picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  293, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2932 ms, ax =  0.5011, ay = -0.6629, az =  9.8236, gx =  0.1106 rad/s, gy = -0.0004 rad/s, gz = -0.0342 rad/s, rpm_pitch =  0.0000, rpm_roll = -374.9666, I_w_pitch =  6.5030 A, I_w_roll = 16.5167 A, theta_pitch = -53.25656mrad, theta_roll_comp = -71.9036 mrad, theta_setpoint = -16.4521 mrad, 
msg =  304, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3042 ms, ax =  0.5718, ay = -0.2445, az =  9.8883, gx =  0.0656 rad/s, gy =  0.0016 rad/s, gz =  0.0296 rad/s, rpm_pitch =  0.0000, rpm_roll = -332.9211, I_w_pitch =  6.3607 A, I_w_roll =  6.8667 A, theta_pitch = -52.84028mrad, theta_roll_comp = -59.2887 mrad, theta_setpoint = -19.0926 mrad, 
msg =  305, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3052 ms, ax =  0.6149, ay = -0.1654, az =  9.8991, gx =  0.0694 rad/s, gy =  0.0002 rad/s, gz =  0.0212 rad/s, rpm_pitch =  0.0000, rpm_roll = -332.9211, I_w_pitch =  6.4287 A, I_w_roll =  8.6422 A, theta_pitch = -52.90315mrad, theta_roll_comp = -58.2287 mrad, theta_setpoint = -19.0926 mrad, 
msg =  306, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3062 ms, ax =  0.5622, ay = -0.0408, az =  9.8967, gx =  0.0741 rad/s, gy = -0.0008 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -310.8289, I_w_pitch =  6.4760 A, I_w_roll = 11.3065 A, theta_pitch = -52.96983mrad, theta_roll_comp = -57.0332 mrad, theta_setpoint = -20.4799 mrad, 
msg =  307, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3072 ms, ax =  0.5754, ay = -0.1654, az =  9.8440, gx =  0.0789 rad/s, gy = -0.0024 rad/s, gz = -0.0380 rad/s, rpm_pitch =  0.0000, rpm_roll = -310.8289, I_w_pitch =  6.5493 A, I_w_roll = 13.4740 A, theta_pitch = -53.03208mrad, theta_roll_comp = -55.8087 mrad, theta_setpoint = -20.4799 mrad, 
msg =  308, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3082 ms, ax =  0.5766, ay = -0.2673, az =  9.6797, gx =  0.0727 rad/s, gy = -0.0038 rad/s, gz = -0.0562 rad/s, rpm_pitch =  0.0000, rpm_roll = -299.6658, I_w_pitch =  6.6214 A, I_w_roll = 12.0447 A, theta_pitch = -53.12248mrad, theta_roll_comp = -54.7235 mrad, theta_setpoint = -21.1810 mrad, 
msg =  309, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3092 ms, ax =  0.5119, ay = -0.4255, az =  9.7517, gx =  0.0609 rad/s, gy = -0.0029 rad/s, gz = -0.0567 rad/s, rpm_pitch =  0.0000, rpm_roll = -299.6658, I_w_pitch =  6.5931 A, I_w_roll =  8.2369 A, theta_pitch = -53.18237mrad, theta_roll_comp = -53.8737 mrad, theta_setpoint = -21.1810 mrad, 
msg =  310, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3102 ms, ax =  0.4267, ay = -0.3992, az =  9.8152, gx =  0.0492 rad/s, gy = -0.0033 rad/s, gz = -0.0370 rad/s, rpm_pitch =  0.0000, rpm_roll = -299.6658, I_w_pitch =  6.6055 A, I_w_roll =  4.4009 A, theta_pitch = -53.15855mrad, theta_roll_comp = -53.2108 mrad, theta_setpoint = -21.1810 mrad, 
msg =  311, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3112 ms, ax =  0.3608, ay = -0.3320, az =  9.9291, gx =  0.0409 rad/s, gy = -0.0024 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -299.6658, I_w_pitch =  6.5523 A, I_w_roll =  1.7554 A, theta_pitch = -53.05234mrad, theta_roll_comp = -52.6009 mrad, theta_setpoint = -21.1810 mrad, 
msg =  312, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3122 ms, ax =  0.4783, ay = -0.1259, az = 10.0370, gx =  0.0427 rad/s, gy = -0.0025 rad/s, gz =  0.0240 rad/s, rpm_pitch =  0.0000, rpm_roll = -278.3088, I_w_pitch =  6.5452 A, I_w_roll =  3.1851 A, theta_pitch = -52.96954mrad, theta_roll_comp = -51.8825 mrad, theta_setpoint = -22.5222 mrad, 
msg =  313, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3132 ms, ax =  0.5790, ay = -0.3093, az =  9.9555, gx =  0.0520 rad/s, gy = -0.0029 rad/s, gz =  0.0357 rad/s, rpm_pitch =  0.0000, rpm_roll = -278.3088, I_w_pitch =  6.5654 A, I_w_roll =  6.7550 A, theta_pitch = -52.99794mrad, theta_roll_comp = -51.1134 mrad, theta_setpoint = -22.5222 mrad, 
msg =  314, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3142 ms, ax =  0.5610, ay = -0.1798, az =  9.8188, gx =  0.0564 rad/s, gy = -0.0045 rad/s, gz =  0.0261 rad/s, rpm_pitch =  0.0000, rpm_roll = -278.3088, I_w_pitch =  6.6418 A, I_w_roll =  8.6162 A, theta_pitch = -53.08060mrad, theta_roll_comp = -50.3053 mrad, theta_setpoint = -22.5222 mrad, 
msg =  315, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3152 ms, ax =  0.5550, ay = -0.3464, az =  9.7661, gx =  0.0586 rad/s, gy = -0.0049 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -278.3088, I_w_pitch =  6.6705 A, I_w_roll =  9.7296 A, theta_pitch = -53.16570mrad, theta_roll_comp = -49.5024 mrad, theta_setpoint = -22.5222 mrad, 
msg =  316, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3162 ms, ax =  0.5706, ay = -0.5035, az =  9.6174, gx =  0.0489 rad/s, gy = -0.0052 rad/s, gz = -0.0273 rad/s, rpm_pitch =  0.0000, rpm_roll = -258.6898, I_w_pitch =  6.6960 A, I_w_roll =  7.0548 A, theta_pitch = -53.26466mrad, theta_roll_comp = -48.9164 mrad, theta_setpoint = -23.7543 mrad, 
msg =  317, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3172 ms, ax =  0.5346, ay = -0.4160, az =  9.6845, gx =  0.0361 rad/s, gy = -0.0050 rad/s, gz = -0.0382 rad/s, rpm_pitch =  0.0000, rpm_roll = -258.6898, I_w_pitch =  6.7040 A, I_w_roll =  2.7552 A, theta_pitch = -53.35357mrad, theta_roll_comp = -48.4804 mrad, theta_setpoint = -23.7543 mrad, 
msg =  318, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3182 ms, ax =  0.5238, ay = -0.4531, az =  9.8751, gx =  0.0299 rad/s, gy = -0.0044 rad/s, gz = -0.0350 rad/s, rpm_pitch =  0.0000, rpm_roll = -249.9666, I_w_pitch =  6.6854 A, I_w_roll =  0.9310 A, theta_pitch = -53.40689mrad, theta_roll_comp = -48.1128 mrad, theta_setpoint = -24.3021 mrad, 
msg =  319, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3192 ms, ax =  0.5226, ay = -0.3476, az =  9.9698, gx =  0.0311 rad/s, gy = -0.0040 rad/s, gz = -0.0161 rad/s, rpm_pitch =  0.0000, rpm_roll = -249.9666, I_w_pitch =  6.6745 A, I_w_roll =  1.5041 A, theta_pitch = -53.44090mrad, theta_roll_comp = -47.7285 mrad, theta_setpoint = -24.3021 mrad, 
msg =  320, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3202 ms, ax =  0.5083, ay = -0.2266, az = 10.0657, gx =  0.0391 rad/s, gy = -0.0020 rad/s, gz = -0.0027 rad/s, rpm_pitch =  0.0000, rpm_roll = -249.9666, I_w_pitch =  6.5958 A, I_w_roll =  4.5184 A, theta_pitch = -53.44907mrad, theta_roll_comp = -47.1835 mrad, theta_setpoint = -24.3021 mrad, 
msg =  321, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3212 ms, ax =  0.6257, ay = -0.3920, az =  9.9926, gx =  0.0510 rad/s, gy = -0.0029 rad/s, gz =  0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -249.9666, I_w_pitch =  6.6418 A, I_w_roll =  8.9569 A, theta_pitch = -53.50700mrad, theta_roll_comp = -46.5730 mrad, theta_setpoint = -24.3021 mrad, 
msg =  322, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3222 ms, ax =  0.6725, ay = -0.4447, az =  9.7337, gx =  0.0526 rad/s, gy = -0.0034 rad/s, gz = -0.0015 rad/s, rpm_pitch =  0.0000, rpm_roll = -234.7594, I_w_pitch =  6.6864 A, I_w_roll = 10.1208 A, theta_pitch = -53.66259mrad, theta_roll_comp = -46.0165 mrad, theta_setpoint = -25.2571 mrad, 
msg =  323, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3232 ms, ax =  0.6161, ay = -0.5250, az =  9.6977, gx =  0.0470 rad/s, gy = -0.0024 rad/s, gz = -0.0185 rad/s, rpm_pitch =  0.0000, rpm_roll = -234.7594, I_w_pitch =  6.6667 A, I_w_roll =  8.3453 A, theta_pitch = -53.81484mrad, theta_roll_comp = -45.5617 mrad, theta_setpoint = -25.2571 mrad, 
msg =  324, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3242 ms, ax =  0.5418, ay = -0.6821, az =  9.6905, gx =  0.0376 rad/s, gy = -0.0009 rad/s, gz = -0.0346 rad/s, rpm_pitch =  0.0000, rpm_roll = -234.7594, I_w_pitch =  6.6189 A, I_w_roll =  5.1360 A, theta_pitch = -53.88667mrad, theta_roll_comp = -45.3129 mrad, theta_setpoint = -25.2571 mrad, 
msg =  325, nerr =    0p/   4r, time steps =    5, qsz =    3, switch = on, t =     3252 ms, ax =  0.4795, ay = -0.4963, az =  9.7792, gx =  0.0273 rad/s, gy =  0.0006 rad/s, gz = -0.0314 rad/s, rpm_pitch =  0.0000, rpm_roll = -234.7594, I_w_pitch =  6.5580 A, I_w_roll =  1.6175 A, theta_pitch = -53.87151mrad, theta_roll_comp = -45.1380 mrad, theta_setpoint = -25.2571 mrad, 
msg =  326, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3262 ms, ax =  0.4963, ay = -0.3776, az = 10.0178, gx =  0.0300 rad/s, gy =  0.0020 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll = -221.4572, I_w_pitch =  6.4905 A, I_w_roll =  3.0032 A, theta_pitch = -53.81225mrad, theta_roll_comp = -44.8393 mrad, theta_setpoint = -26.0925 mrad, 
msg =  327, nerr =    0p/   4r, time steps =    5, qsz =    3, switch = on, t =     3272 ms, ax =  0.5562, ay = -0.4124, az = 10.0070, gx =  0.0395 rad/s, gy =  0.0006 rad/s, gz = -0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = -221.4572, I_w_pitch =  6.5455 A, I_w_roll =  6.4728 A, theta_pitch = -53.78828mrad, theta_roll_comp = -44.4374 mrad, theta_setpoint = -26.0925 mrad, 
msg =  328, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3282 ms, ax =  0.6090, ay = -0.3572, az =  9.9123, gx =  0.0500 rad/s, gy =  0.0010 rad/s, gz =  0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -215.3075, I_w_pitch =  6.5356 A, I_w_roll = 10.5122 A, theta_pitch = -53.82854mrad, theta_roll_comp = -43.9294 mrad, theta_setpoint = -26.4787 mrad, 
msg =  329, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3292 ms, ax =  0.6401, ay = -0.4831, az =  9.8140, gx =  0.0590 rad/s, gy =  0.0004 rad/s, gz = -0.0039 rad/s, rpm_pitch =  0.0000, rpm_roll = -215.3075, I_w_pitch =  6.5701 A, I_w_roll = 13.9034 A, theta_pitch = -53.91650mrad, theta_roll_comp = -43.3740 mrad, theta_setpoint = -26.4787 mrad, 
msg =  330, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3302 ms, ax =  0.6078, ay = -0.5802, az =  9.6438, gx =  0.0553 rad/s, gy =  0.0015 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = -215.3075, I_w_pitch =  6.5410 A, I_w_roll = 12.7798 A, theta_pitch = -54.00677mrad, theta_roll_comp = -42.9207 mrad, theta_setpoint = -26.4787 mrad, 
msg =  331, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3312 ms, ax =  0.5562, ay = -0.4351, az =  9.6162, gx =  0.0423 rad/s, gy =  0.0022 rad/s, gz = -0.0305 rad/s, rpm_pitch =  0.0000, rpm_roll = -215.3075, I_w_pitch =  6.5209 A, I_w_roll =  8.3685 A, theta_pitch = -54.05026mrad, theta_roll_comp = -42.5311 mrad, theta_setpoint = -26.4787 mrad, 
msg =  332, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3322 ms, ax =  0.5298, ay = -0.5382, az =  9.7780, gx =  0.0332 rad/s, gy =  0.0026 rad/s, gz = -0.0402 rad/s, rpm_pitch =  0.0000, rpm_roll = -202.5735, I_w_pitch =  6.5041 A, I_w_roll =  5.6373 A, theta_pitch = -54.04451mrad, theta_roll_comp = -42.2360 mrad, theta_setpoint = -27.2784 mrad, 
msg =  333, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3332 ms, ax =  0.4963, ay = -0.2050, az =  9.9159, gx =  0.0283 rad/s, gy =  0.0039 rad/s, gz = -0.0278 rad/s, rpm_pitch =  0.0000, rpm_roll = -202.5735, I_w_pitch =  6.4428 A, I_w_roll =  4.0562 A, theta_pitch = -53.99121mrad, theta_roll_comp = -41.8780 mrad, theta_setpoint = -27.2784 mrad, 
msg =  334, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3342 ms, ax =  0.4555, ay = -0.0779, az = 10.0346, gx =  0.0371 rad/s, gy =  0.0042 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = -202.5735, I_w_pitch =  6.4165 A, I_w_roll =  7.3744 A, theta_pitch = -53.88713mrad, theta_roll_comp = -41.2721 mrad, theta_setpoint = -27.2784 mrad, 
msg =  335, nerr =    0p/   4r, time steps =    5, qsz =    3, switch = on, t =     3352 ms, ax =  0.5035, ay = -0.1918, az = 10.0178, gx =  0.0490 rad/s, gy =  0.0015 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = -202.5735, I_w_pitch =  6.5100 A, I_w_roll = 11.8514 A, theta_pitch = -53.79997mrad, theta_roll_comp = -40.5654 mrad, theta_setpoint = -27.2784 mrad, 
msg =  336, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3362 ms, ax =  0.4184, ay = -0.1606, az =  9.8679, gx =  0.0536 rad/s, gy = -0.0001 rad/s, gz = -0.0025 rad/s, rpm_pitch =  0.0000, rpm_roll = -188.4693, I_w_pitch =  6.5614 A, I_w_roll = 14.0865 A, theta_pitch = -53.71679mrad, theta_roll_comp = -39.8249 mrad, theta_setpoint = -28.1641 mrad, 
msg =  337, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3372 ms, ax =  0.4879, ay = -0.3692, az =  9.6702, gx =  0.0512 rad/s, gy =  0.0006 rad/s, gz = -0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = -188.4693, I_w_pitch =  6.5238 A, I_w_roll = 13.5042 A, theta_pitch = -53.64334mrad, theta_roll_comp = -39.1835 mrad, theta_setpoint = -28.1641 mrad, 
msg =  338, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3382 ms, ax =  0.4543, ay = -0.5023, az =  9.6186, gx =  0.0392 rad/s, gy =  0.0004 rad/s, gz = -0.0349 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.5210 A, I_w_roll =  9.6561 A, theta_pitch = -53.58921mrad, theta_roll_comp = -38.8006 mrad, theta_setpoint = -28.6469 mrad, 
msg =  339, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     3392 ms, ax =  0.4399, ay = -0.2230, az =  9.7433, gx =  0.0233 rad/s, gy =  0.0019 rad/s, gz = -0.0362 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.4494 A, I_w_roll =  4.2414 A, theta_pitch = -53.50258mrad, theta_roll_comp = -38.4726 mrad, theta_setpoint = -28.6469 mrad, 
msg =  340, nerr =    1p/   4r, time steps =    5, qsz =    2, switch = on, t =     3402 ms, ax =  0.3596, ay = -0.1966, az =  9.9638, gx =  0.0190 rad/s, gy =  0.0019 rad/s, gz = -0.0252 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.4269 A, I_w_roll =  2.8561 A, theta_pitch = -53.35257mrad, theta_roll_comp = -38.0911 mrad, theta_setpoint = -28.6469 mrad, 
msg =  341, nerr =    1p/   4r, time steps =    5, qsz =    2, switch = on, t =     3412 ms, ax =  0.4507, ay = -0.1271, az = 10.0573, gx =  0.0233 rad/s, gy = -0.0001 rad/s, gz = -0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.4866 A, I_w_roll =  4.5671 A, theta_pitch = -53.21802mrad, theta_roll_comp = -37.6584 mrad, theta_setpoint = -28.6469 mrad, 
msg =  342, nerr =    1p/   5r, time steps =    5, qsz =    2, switch = on, t =     3422 ms, ax =  0.4351, ay =  0.0491, az =  9.9950, gx =  0.0355 rad/s, gy = -0.0018 rad/s, gz =  0.0165 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.5437 A, I_w_roll =  9.0639 A, theta_pitch = -53.13738mrad, theta_roll_comp = -37.0188 mrad, theta_setpoint = -28.6469 mrad, 
msg =  343, nerr =    1p/   5r, time steps =    5, qsz =    2, switch = on, t =     3432 ms, ax =  0.5202, ay = -0.2134, az =  9.8656, gx =  0.0439 rad/s, gy = -0.0044 rad/s, gz =  0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.6426 A, I_w_roll = 12.2698 A, theta_pitch = -53.12199mrad, theta_roll_comp = -36.3442 mrad, theta_setpoint = -28.6469 mrad, 
msg =  344, nerr =    1p/   5r, time steps =    5, qsz =    2, switch = on, t =     3442 ms, ax =  0.5298, ay = -0.2361, az =  9.6474, gx =  0.0396 rad/s, gy = -0.0056 rad/s, gz =  0.0012 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.6991 A, I_w_roll = 10.9967 A, theta_pitch = -53.17916mrad, theta_roll_comp = -35.7984 mrad, theta_setpoint = -28.6469 mrad, 
msg =  345, nerr =    1p/   5r, time steps =    5, qsz =    2, switch = on, t =     3452 ms, ax =  0.4891, ay = -0.3045, az =  9.6558, gx =  0.0292 rad/s, gy = -0.0046 rad/s, gz = -0.0234 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.6685 A, I_w_roll =  7.5275 A, theta_pitch = -53.22371mrad, theta_roll_comp = -35.3838 mrad, theta_setpoint = -28.6469 mrad, 
msg =  346, nerr =    2p/   5r, time steps =    5, qsz =    2, switch = on, t =     3462 ms, ax =  0.4735, ay = -0.3428, az =  9.7421, gx =  0.0167 rad/s, gy = -0.0042 rad/s, gz = -0.0340 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.6536 A, I_w_roll =  3.2439 A, theta_pitch = -53.23065mrad, theta_roll_comp = -35.1409 mrad, theta_setpoint = -28.6469 mrad, 
msg =  347, nerr =    2p/   5r, time steps =    5, qsz =    2, switch = on, t =     3472 ms, ax =  0.4387, ay = -0.3332, az =  9.8811, gx =  0.0111 rad/s, gy = -0.0049 rad/s, gz = -0.0238 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.6768 A, I_w_roll =  1.3441 A, theta_pitch = -53.20753mrad, theta_roll_comp = -34.9969 mrad, theta_setpoint = -28.6469 mrad, 
msg =  348, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = on, t =     3482 ms, ax =  0.4495, ay = -0.0863, az =  9.9962, gx =  0.0154 rad/s, gy = -0.0056 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.6985 A, I_w_roll =  2.9476 A, theta_pitch = -53.17482mrad, theta_roll_comp = -34.7165 mrad, theta_setpoint = -28.6469 mrad, 
msg =  349, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = on, t =     3492 ms, ax =  0.5214, ay = -0.2745, az =  9.9399, gx =  0.0232 rad/s, gy = -0.0061 rad/s, gz =  0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.7222 A, I_w_roll =  5.8388 A, theta_pitch = -53.19068mrad, theta_roll_comp = -34.3626 mrad, theta_setpoint = -28.6469 mrad, 
msg =  350, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = on, t =     3502 ms, ax =  0.5586, ay = -0.0659, az =  9.8548, gx =  0.0289 rad/s, gy = -0.0070 rad/s, gz =  0.0186 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.7821, I_w_pitch =  6.7715 A, I_w_roll =  8.0192 A, theta_pitch = -53.27112mrad, theta_roll_comp = -33.9215 mrad, theta_setpoint = -28.6469 mrad, 
