picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 10218, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102182 ms, ax =  0.5191, ay = -0.2517, az =  9.8416, gx = -0.0063 rad/s, gy = -0.0028 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9071 A, I_w_roll =  2.1299 A, theta_pitch = -55.31123mrad, theta_roll_comp = -29.1229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10229, nerr =  554p/ 558r, time steps =    5, qsz =    3, switch = off, t =   102292 ms, ax =  0.5071, ay = -0.2481, az =  9.8440, gx = -0.0059 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9174 A, I_w_roll =  2.1640 A, theta_pitch = -55.27356mrad, theta_roll_comp = -29.3871 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10230, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102302 ms, ax =  0.5107, ay = -0.2529, az =  9.8392, gx = -0.0058 rad/s, gy = -0.0036 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9331 A, I_w_roll =  2.2028 A, theta_pitch = -55.27132mrad, theta_roll_comp = -29.4066 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10231, nerr =  554p/ 558r, time steps =    5, qsz =    3, switch = off, t =   102312 ms, ax =  0.5071, ay = -0.2553, az =  9.8416, gx = -0.0061 rad/s, gy = -0.0036 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9330 A, I_w_roll =  2.1001 A, theta_pitch = -55.27073mrad, theta_roll_comp = -29.4303 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10232, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102322 ms, ax =  0.5107, ay = -0.2541, az =  9.8416, gx = -0.0062 rad/s, gy = -0.0037 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9384 A, I_w_roll =  2.0432 A, theta_pitch = -55.27106mrad, theta_roll_comp = -29.4561 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10233, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102332 ms, ax =  0.5202, ay = -0.2481, az =  9.8380, gx = -0.0065 rad/s, gy = -0.0037 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9395 A, I_w_roll =  1.9404 A, theta_pitch = -55.27895mrad, theta_roll_comp = -29.4800 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10234, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102342 ms, ax =  0.5191, ay = -0.2457, az =  9.8428, gx = -0.0062 rad/s, gy = -0.0040 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9522 A, I_w_roll =  2.0259 A, theta_pitch = -55.29199mrad, theta_roll_comp = -29.4993 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10235, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102352 ms, ax =  0.5155, ay = -0.2445, az =  9.8404, gx = -0.0059 rad/s, gy = -0.0036 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9376 A, I_w_roll =  2.1132 A, theta_pitch = -55.30147mrad, theta_roll_comp = -29.5139 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10236, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102362 ms, ax =  0.5226, ay = -0.2469, az =  9.8368, gx = -0.0059 rad/s, gy = -0.0036 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9391 A, I_w_roll =  2.1076 A, theta_pitch = -55.31131mrad, theta_roll_comp = -29.5280 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10237, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102372 ms, ax =  0.5238, ay = -0.2457, az =  9.8380, gx = -0.0058 rad/s, gy = -0.0034 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9357 A, I_w_roll =  2.1487 A, theta_pitch = -55.32448mrad, theta_roll_comp = -29.5418 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10238, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102382 ms, ax =  0.5214, ay = -0.2445, az =  9.8488, gx = -0.0058 rad/s, gy = -0.0036 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9429 A, I_w_roll =  2.1441 A, theta_pitch = -55.33653mrad, theta_roll_comp = -29.5534 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10239, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102392 ms, ax =  0.5238, ay = -0.2493, az =  9.8500, gx = -0.0054 rad/s, gy = -0.0034 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9393 A, I_w_roll =  2.2794 A, theta_pitch = -55.34824mrad, theta_roll_comp = -29.5646 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10240, nerr =  554p/ 559r, time steps =    5, qsz =    2, switch = off, t =   102402 ms, ax =  0.5262, ay = -0.2541, az =  9.8488, gx = -0.0051 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9359 A, I_w_roll =  2.3675 A, theta_pitch = -55.36091mrad, theta_roll_comp = -29.5773 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10241, nerr =  554p/ 559r, time steps =    5, qsz =    2, switch = off, t =   102412 ms, ax =  0.5238, ay = -0.2565, az =  9.8500, gx = -0.0050 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9376 A, I_w_roll =  2.4084 A, theta_pitch = -55.37267mrad, theta_roll_comp = -29.5916 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10242, nerr =  554p/ 559r, time steps =    5, qsz =    2, switch = off, t =   102422 ms, ax =  0.5250, ay = -0.2589, az =  9.8440, gx = -0.0049 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9393 A, I_w_roll =  2.4489 A, theta_pitch = -55.38399mrad, theta_roll_comp = -29.6068 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10243, nerr =  554p/ 559r, time steps =    5, qsz =    2, switch = off, t =   102432 ms, ax =  0.5214, ay = -0.2589, az =  9.8464, gx = -0.0049 rad/s, gy = -0.0034 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9462 A, I_w_roll =  2.4427 A, theta_pitch = -55.39461mrad, theta_roll_comp = -29.6224 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10244, nerr =  554p/ 559r, time steps =    5, qsz =    2, switch = off, t =   102442 ms, ax =  0.5226, ay = -0.2541, az =  9.8404, gx = -0.0049 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9423 A, I_w_roll =  2.4375 A, theta_pitch = -55.40410mrad, theta_roll_comp = -29.6353 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10245, nerr =  554p/ 559r, time steps =    5, qsz =    3, switch = off, t =   102452 ms, ax =  0.5155, ay = -0.2541, az =  9.8368, gx = -0.0047 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9378 A, I_w_roll =  2.4801 A, theta_pitch = -55.40908mrad, theta_roll_comp = -29.6453 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10246, nerr =  554p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102462 ms, ax =  0.5167, ay = -0.2541, az =  9.8392, gx = -0.0049 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9489 A, I_w_roll =  2.4296 A, theta_pitch = -55.41213mrad, theta_roll_comp = -29.6552 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10247, nerr =  554p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102472 ms, ax =  0.5143, ay = -0.2589, az =  9.8404, gx = -0.0047 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9440 A, I_w_roll =  2.4712 A, theta_pitch = -55.41483mrad, theta_roll_comp = -29.6676 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10248, nerr =  554p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102482 ms, ax =  0.5191, ay = -0.2577, az =  9.8332, gx = -0.0045 rad/s, gy = -0.0032 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9391 A, I_w_roll =  2.5597 A, theta_pitch = -55.41785mrad, theta_roll_comp = -29.6794 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10249, nerr =  554p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102492 ms, ax =  0.5191, ay = -0.2577, az =  9.8404, gx = -0.0045 rad/s, gy = -0.0030 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9343 A, I_w_roll =  2.5557 A, theta_pitch = -55.42170mrad, theta_roll_comp = -29.6893 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10250, nerr =  554p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102502 ms, ax =  0.5179, ay = -0.2601, az =  9.8416, gx = -0.0046 rad/s, gy = -0.0029 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9292 A, I_w_roll =  2.5044 A, theta_pitch = -55.42331mrad, theta_roll_comp = -29.7011 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10251, nerr =  554p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102512 ms, ax =  0.5119, ay = -0.2565, az =  9.8464, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9397 A, I_w_roll =  2.5937 A, theta_pitch = -55.42175mrad, theta_roll_comp = -29.7110 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10252, nerr =  555p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102522 ms, ax =  0.5143, ay = -0.2577, az =  9.8464, gx = -0.0041 rad/s, gy = -0.0030 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9339 A, I_w_roll =  2.6845 A, theta_pitch = -55.41912mrad, theta_roll_comp = -29.7170 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10253, nerr =  555p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102532 ms, ax =  0.5167, ay = -0.2553, az =  9.8512, gx = -0.0042 rad/s, gy = -0.0030 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9338 A, I_w_roll =  2.6360 A, theta_pitch = -55.41818mrad, theta_roll_comp = -29.7217 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10254, nerr =  555p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102542 ms, ax =  0.5143, ay = -0.2565, az =  9.8464, gx = -0.0041 rad/s, gy = -0.0030 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9336 A, I_w_roll =  2.6810 A, theta_pitch = -55.41707mrad, theta_roll_comp = -29.7257 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10255, nerr =  555p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102552 ms, ax =  0.5202, ay = -0.2577, az =  9.8356, gx = -0.0039 rad/s, gy = -0.0030 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9339 A, I_w_roll =  2.7259 A, theta_pitch = -55.41854mrad, theta_roll_comp = -29.7298 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10256, nerr =  555p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102562 ms, ax =  0.5131, ay = -0.2649, az =  9.8416, gx = -0.0038 rad/s, gy = -0.0032 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9394 A, I_w_roll =  2.7696 A, theta_pitch = -55.41968mrad, theta_roll_comp = -29.7371 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10257, nerr =  555p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102572 ms, ax =  0.5131, ay = -0.2697, az =  9.8344, gx = -0.0039 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9391 A, I_w_roll =  2.7177 A, theta_pitch = -55.41813mrad, theta_roll_comp = -29.7504 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10258, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102582 ms, ax =  0.5143, ay = -0.2757, az =  9.8392, gx = -0.0038 rad/s, gy = -0.0030 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9336 A, I_w_roll =  2.7569 A, theta_pitch = -55.41659mrad, theta_roll_comp = -29.7690 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10259, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102592 ms, ax =  0.5131, ay = -0.2745, az =  9.8356, gx = -0.0038 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9387 A, I_w_roll =  2.7489 A, theta_pitch = -55.41506mrad, theta_roll_comp = -29.7889 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10260, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102602 ms, ax =  0.5071, ay = -0.2709, az =  9.8404, gx = -0.0037 rad/s, gy = -0.0029 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9271 A, I_w_roll =  2.7889 A, theta_pitch = -55.40885mrad, theta_roll_comp = -29.8054 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10261, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102612 ms, ax =  0.5167, ay = -0.2637, az =  9.8380, gx = -0.0037 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9372 A, I_w_roll =  2.7849 A, theta_pitch = -55.40528mrad, theta_roll_comp = -29.8155 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10262, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102622 ms, ax =  0.5202, ay = -0.2637, az =  9.8392, gx = -0.0034 rad/s, gy = -0.0030 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9324 A, I_w_roll =  2.8760 A, theta_pitch = -55.40871mrad, theta_roll_comp = -29.8207 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10263, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102632 ms, ax =  0.5202, ay = -0.2577, az =  9.8416, gx = -0.0033 rad/s, gy = -0.0029 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9276 A, I_w_roll =  2.9227 A, theta_pitch = -55.41236mrad, theta_roll_comp = -29.8206 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10264, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102642 ms, ax =  0.5250, ay = -0.2673, az =  9.8476, gx = -0.0034 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9284 A, I_w_roll =  2.8751 A, theta_pitch = -55.41773mrad, theta_roll_comp = -29.8229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10265, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102652 ms, ax =  0.5191, ay = -0.2673, az =  9.8500, gx = -0.0033 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9236 A, I_w_roll =  2.9191 A, theta_pitch = -55.42111mrad, theta_roll_comp = -29.8295 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10266, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102662 ms, ax =  0.5167, ay = -0.2697, az =  9.8452, gx = -0.0031 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9288 A, I_w_roll =  2.9631 A, theta_pitch = -55.42052mrad, theta_roll_comp = -29.8360 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10267, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102672 ms, ax =  0.5179, ay = -0.2661, az =  9.8380, gx = -0.0029 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9397 A, I_w_roll =  3.0548 A, theta_pitch = -55.42182mrad, theta_roll_comp = -29.8397 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10268, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102682 ms, ax =  0.5167, ay = -0.2649, az =  9.8392, gx = -0.0025 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9509 A, I_w_roll =  3.1954 A, theta_pitch = -55.42583mrad, theta_roll_comp = -29.8378 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10269, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102692 ms, ax =  0.5095, ay = -0.2697, az =  9.8368, gx = -0.0022 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9456 A, I_w_roll =  3.2899 A, theta_pitch = -55.42592mrad, theta_roll_comp = -29.8347 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10270, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102702 ms, ax =  0.5083, ay = -0.2697, az =  9.8392, gx = -0.0020 rad/s, gy = -0.0030 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9341 A, I_w_roll =  3.3845 A, theta_pitch = -55.41992mrad, theta_roll_comp = -29.8312 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10271, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102712 ms, ax =  0.5119, ay = -0.2625, az =  9.8392, gx = -0.0016 rad/s, gy = -0.0029 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9278 A, I_w_roll =  3.5286 A, theta_pitch = -55.41336mrad, theta_roll_comp = -29.8204 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10272, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102722 ms, ax =  0.5131, ay = -0.2673, az =  9.8476, gx = -0.0017 rad/s, gy = -0.0030 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9324 A, I_w_roll =  3.4871 A, theta_pitch = -55.40905mrad, theta_roll_comp = -29.8077 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10273, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102732 ms, ax =  0.5214, ay = -0.2613, az =  9.8428, gx = -0.0016 rad/s, gy = -0.0030 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9326 A, I_w_roll =  3.5391 A, theta_pitch = -55.41042mrad, theta_roll_comp = -29.7940 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10274, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102742 ms, ax =  0.5143, ay = -0.2625, az =  9.8416, gx = -0.0020 rad/s, gy = -0.0028 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9220 A, I_w_roll =  3.4050 A, theta_pitch = -55.41063mrad, theta_roll_comp = -29.7799 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10275, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102752 ms, ax =  0.5155, ay = -0.2673, az =  9.8404, gx = -0.0014 rad/s, gy = -0.0028 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9215 A, I_w_roll =  3.5961 A, theta_pitch = -55.40688mrad, theta_roll_comp = -29.7681 mrad, theta_setpoint = -40.0000 mrad, 
