picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -5.5459, rpm_roll = -0.0000, I_w_pitch = -3.5804 A, I_w_roll = -18.7697 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   25, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      502 ms, ax = -2.4838, ay = -0.1474, az =  9.7565, gx =  0.0062 rad/s, gy = -0.0255 rad/s, gz = -0.2414 rad/s, rpm_pitch = -5.3275, rpm_roll = -0.0000, I_w_pitch = -11.6671 A, I_w_roll = 21.4850 A, theta_pitch = 27.74920mrad, theta_roll_comp =  8.3131 mrad, theta_setpoint = -40.0000 mrad, 
msg =   26, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      522 ms, ax = -2.5125, ay = -0.2146, az =  9.5359, gx = -0.0028 rad/s, gy = -0.0070 rad/s, gz = -0.2232 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.0080 A, I_w_roll = 18.1519 A, theta_pitch = 31.92563mrad, theta_roll_comp =  7.7866 mrad, theta_setpoint = -40.0000 mrad, 
msg =   27, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      542 ms, ax = -2.4502, ay = -0.2290, az =  9.4736, gx = -0.0102 rad/s, gy =  0.0068 rad/s, gz = -0.2068 rad/s, rpm_pitch = -5.5459, rpm_roll = -0.0000, I_w_pitch = -14.5505 A, I_w_roll = 15.2275 A, theta_pitch = 36.42357mrad, theta_roll_comp =  7.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   28, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      562 ms, ax = -2.2416, ay = -0.0108, az =  9.6126, gx = -0.0206 rad/s, gy =  0.0116 rad/s, gz = -0.2555 rad/s, rpm_pitch = -5.5459, rpm_roll = -0.0000, I_w_pitch = -15.3663 A, I_w_roll = 11.2632 A, theta_pitch = 40.58415mrad, theta_roll_comp =  6.1770 mrad, theta_setpoint = -40.0000 mrad, 
msg =   29, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      582 ms, ax = -2.1577, ay = -0.1426, az =  9.7541, gx = -0.0181 rad/s, gy =  0.0106 rad/s, gz = -0.3417 rad/s, rpm_pitch = -0.0437, rpm_roll = -0.0000, I_w_pitch = -8.6337 A, I_w_roll = 11.9170 A, theta_pitch = 44.35958mrad, theta_roll_comp =  5.5979 mrad, theta_setpoint = -40.0000 mrad, 
msg =   30, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      602 ms, ax = -2.2536, ay = -0.3584, az =  9.6785, gx =  0.0116 rad/s, gy =  0.0004 rad/s, gz = -0.4334 rad/s, rpm_pitch = -0.0437, rpm_roll = -0.0000, I_w_pitch = -8.7871 A, I_w_roll = 22.0285 A, theta_pitch = 48.08051mrad, theta_roll_comp =  4.8949 mrad, theta_setpoint = -40.0000 mrad, 
msg =   31, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      622 ms, ax = -2.3711, ay = -0.4663, az =  9.5539, gx =  0.0044 rad/s, gy = -0.0065 rad/s, gz = -0.4517 rad/s, rpm_pitch = -5.1528, rpm_roll = -0.0000, I_w_pitch = -15.8016 A, I_w_roll = 19.1373 A, theta_pitch = 51.77082mrad, theta_roll_comp =  3.9585 mrad, theta_setpoint = -40.0000 mrad, 
msg =   32, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      642 ms, ax = -2.3867, ay = -0.5202, az =  9.6570, gx = -0.0001 rad/s, gy = -0.0145 rad/s, gz = -0.4426 rad/s, rpm_pitch = -4.3668, rpm_roll = -0.0000, I_w_pitch = -14.9776 A, I_w_roll = 17.1485 A, theta_pitch = 55.31875mrad, theta_roll_comp =  2.9477 mrad, theta_setpoint = -40.0000 mrad, 
msg =   33, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      662 ms, ax = -2.4190, ay = -0.5574, az =  9.7589, gx =  0.0099 rad/s, gy = -0.0262 rad/s, gz = -0.4377 rad/s, rpm_pitch = -4.3668, rpm_roll = -0.0000, I_w_pitch = -15.0023 A, I_w_roll = 20.2366 A, theta_pitch = 58.60773mrad, theta_roll_comp =  1.9297 mrad, theta_setpoint = -40.0000 mrad, 
msg =   34, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      682 ms, ax = -2.5425, ay = -0.6173, az =  9.7097, gx =  0.0120 rad/s, gy = -0.0408 rad/s, gz = -0.4067 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -9.1272 A, I_w_roll = 20.5801 A, theta_pitch = 61.73962mrad, theta_roll_comp =  0.9243 mrad, theta_setpoint = -40.0000 mrad, 
msg =   35, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      702 ms, ax = -2.5701, ay = -0.5526, az =  9.6222, gx = -0.0043 rad/s, gy = -0.0564 rad/s, gz = -0.3425 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9449 A, I_w_roll = 14.3824 A, theta_pitch = 64.67867mrad, theta_roll_comp = -0.2392 mrad, theta_setpoint = -40.0000 mrad, 
msg =   36, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      722 ms, ax = -2.5449, ay = -0.4699, az =  9.6210, gx = -0.0129 rad/s, gy = -0.0776 rad/s, gz = -0.2699 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.4767 A, I_w_roll = 10.9167 A, theta_pitch = 67.20316mrad, theta_roll_comp = -1.4468 mrad, theta_setpoint = -40.0000 mrad, 
msg =   37, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      742 ms, ax = -2.4958, ay = -0.3944, az =  9.6797, gx = -0.0235 rad/s, gy = -0.0998 rad/s, gz = -0.2072 rad/s, rpm_pitch = -5.9389, rpm_roll = -0.0000, I_w_pitch = -15.7128 A, I_w_roll =  6.6929 A, theta_pitch = 69.15864mrad, theta_roll_comp = -2.6856 mrad, theta_setpoint = -40.0000 mrad, 
msg =   38, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      762 ms, ax = -2.4898, ay = -0.3332, az =  9.7061, gx = -0.0334 rad/s, gy = -0.1211 rad/s, gz = -0.1538 rad/s, rpm_pitch = -5.9389, rpm_roll = -0.0000, I_w_pitch = -15.0724 A, I_w_roll =  2.7381 A, theta_pitch = 70.57063mrad, theta_roll_comp = -3.9507 mrad, theta_setpoint = -40.0000 mrad, 
msg =   39, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      782 ms, ax = -2.4622, ay = -0.3009, az =  9.6869, gx = -0.0487 rad/s, gy = -0.1439 rad/s, gz = -0.1059 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.4659 A, I_w_roll = -3.1746 A, theta_pitch = 71.48071mrad, theta_roll_comp = -5.3338 mrad, theta_setpoint = -40.0000 mrad, 
msg =   40, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      802 ms, ax = -2.3843, ay = -0.3225, az =  9.7109, gx = -0.0605 rad/s, gy = -0.1675 rad/s, gz = -0.0762 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.5747 A, I_w_roll = -7.9723 A, theta_pitch = 71.82371mrad, theta_roll_comp = -6.9587 mrad, theta_setpoint = -40.0000 mrad, 
msg =   41, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      822 ms, ax = -2.2572, ay = -0.2853, az =  9.7325, gx = -0.0717 rad/s, gy = -0.1901 rad/s, gz = -0.0714 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.6160 A, I_w_roll = -12.6134 A, theta_pitch = 71.46889mrad, theta_roll_comp = -8.7747 mrad, theta_setpoint = -40.0000 mrad, 
msg =   42, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      842 ms, ax = -2.2344, ay = -0.3500, az =  9.6666, gx = -0.0724 rad/s, gy = -0.2154 rad/s, gz = -0.0838 rad/s, rpm_pitch = -4.9345, rpm_roll = -0.0000, I_w_pitch = -9.9663 A, I_w_roll = -13.6036 A, theta_pitch = 70.50023mrad, theta_roll_comp = -10.6675 mrad, theta_setpoint = -40.0000 mrad, 
msg =   43, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      862 ms, ax = -2.2177, ay = -0.4220, az =  9.6258, gx = -0.0801 rad/s, gy = -0.2380 rad/s, gz = -0.0694 rad/s, rpm_pitch = -4.9345, rpm_roll = -0.0000, I_w_pitch = -8.8502 A, I_w_roll = -17.1571 A, theta_pitch = 69.09560mrad, theta_roll_comp = -12.7937 mrad, theta_setpoint = -40.0000 mrad, 
msg =   44, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      882 ms, ax = -2.1086, ay = -0.4399, az =  9.6606, gx = -0.0834 rad/s, gy = -0.2589 rad/s, gz = -0.0625 rad/s, rpm_pitch =  0.0437, rpm_roll = -0.0000, I_w_pitch = -1.1560 A, I_w_roll = -19.2297 A, theta_pitch = 67.14393mrad, theta_roll_comp = -15.0626 mrad, theta_setpoint = -40.0000 mrad, 
msg =   45, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      902 ms, ax = -2.0534, ay = -0.5298, az =  9.7145, gx = -0.0856 rad/s, gy = -0.2771 rad/s, gz = -0.0666 rad/s, rpm_pitch = -5.6769, rpm_roll = -0.0000, I_w_pitch = -7.6033 A, I_w_roll = -20.9236 A, theta_pitch = 64.65973mrad, theta_roll_comp = -17.4331 mrad, theta_setpoint = -40.0000 mrad, 
msg =   46, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      922 ms, ax = -2.0211, ay = -0.6066, az =  9.7157, gx = -0.0850 rad/s, gy = -0.2941 rad/s, gz = -0.0656 rad/s, rpm_pitch = -5.6769, rpm_roll = -0.0000, I_w_pitch = -6.4910 A, I_w_roll = -21.7474 A, theta_pitch = 61.78985mrad, theta_roll_comp = -19.9588 mrad, theta_setpoint = -40.0000 mrad, 
msg =   47, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      942 ms, ax = -2.0618, ay = -0.7192, az =  9.5815, gx = -0.0862 rad/s, gy = -0.3106 rad/s, gz = -0.0418 rad/s, rpm_pitch = -0.0437, rpm_roll = -0.0000, I_w_pitch =  2.0653 A, I_w_roll = -23.2382 A, theta_pitch = 58.67738mrad, theta_roll_comp = -22.6371 mrad, theta_setpoint = -40.0000 mrad, 
msg =   48, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      962 ms, ax = -2.0882, ay = -0.7996, az =  9.6114, gx = -0.0924 rad/s, gy = -0.3222 rad/s, gz =  0.0264 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.0696 A, I_w_roll = -26.5356 A, theta_pitch = 55.45537mrad, theta_roll_comp = -25.5212 mrad, theta_setpoint = -40.0000 mrad, 
msg =   49, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      982 ms, ax = -2.0402, ay = -0.7456, az =  9.7025, gx = -0.1027 rad/s, gy = -0.3237 rad/s, gz =  0.0975 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.6298 A, I_w_roll = -31.3837 A, theta_pitch = 52.11095mrad, theta_roll_comp = -28.5537 mrad, theta_setpoint = -40.0000 mrad, 
msg =   50, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1002 ms, ax = -1.9587, ay = -0.7564, az =  9.7613, gx = -0.1066 rad/s, gy = -0.3179 rad/s, gz =  0.1284 rad/s, rpm_pitch = -1.3537, rpm_roll = -0.0000, I_w_pitch =  2.1257 A, I_w_roll = -33.9477 A, theta_pitch = 48.71013mrad, theta_roll_comp = -31.5848 mrad, theta_setpoint = -40.0000 mrad, 
msg =   51, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1022 ms, ax = -1.8688, ay = -0.7576, az =  9.7241, gx = -0.1020 rad/s, gy = -0.3098 rad/s, gz =  0.1110 rad/s, rpm_pitch = -1.3537, rpm_roll = -0.0000, I_w_pitch =  2.3021 A, I_w_roll = -33.5060 A, theta_pitch = 45.36771mrad, theta_roll_comp = -34.5584 mrad, theta_setpoint = -40.0000 mrad, 
msg =   52, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1042 ms, ax = -1.7573, ay = -0.7588, az =  9.6845, gx = -0.0978 rad/s, gy = -0.3004 rad/s, gz =  0.0727 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2020 A, I_w_roll = -33.2033 A, theta_pitch = 42.08288mrad, theta_roll_comp = -37.4134 mrad, theta_setpoint = -40.0000 mrad, 
msg =   53, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1062 ms, ax = -1.6219, ay = -0.8367, az =  9.7529, gx = -0.0920 rad/s, gy = -0.2889 rad/s, gz =  0.0302 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2344 A, I_w_roll = -32.2599 A, theta_pitch = 38.81294mrad, theta_roll_comp = -40.1815 mrad, theta_setpoint = -40.0000 mrad, 
msg =   54, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1082 ms, ax = -1.4001, ay = -0.8883, az =  9.8608, gx = -0.0842 rad/s, gy = -0.2752 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1870 A, I_w_roll = -30.6212 A, theta_pitch = 35.47199mrad, theta_roll_comp = -42.8423 mrad, theta_setpoint = -40.0000 mrad, 
msg =   55, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1102 ms, ax = -1.1580, ay = -0.8847, az =  9.8703, gx = -0.0776 rad/s, gy = -0.2591 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.0591 A, I_w_roll = -29.3054 A, theta_pitch = 32.02807mrad, theta_roll_comp = -45.3782 mrad, theta_setpoint = -40.0000 mrad, 
msg =   56, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1122 ms, ax = -0.9110, ay = -0.8727, az =  9.8404, gx = -0.0756 rad/s, gy = -0.2436 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.9745 A, I_w_roll = -29.5577 A, theta_pitch = 28.47310mrad, theta_roll_comp = -47.7567 mrad, theta_setpoint = -40.0000 mrad, 
msg =   57, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1142 ms, ax = -0.6485, ay = -0.8079, az =  9.8296, gx = -0.0733 rad/s, gy = -0.2326 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.0917 A, I_w_roll = -29.6533 A, theta_pitch = 24.74426mrad, theta_roll_comp = -49.9763 mrad, theta_setpoint = -40.0000 mrad, 
