picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 2209, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44182 ms, ax =  0.1343, ay = -0.3956, az =  9.9339, gx =  0.0010 rad/s, gy = -0.0500 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.6350, I_w_pitch = -0.1694 A, I_w_roll =  0.3840 A, theta_pitch = 4.47074mrad, theta_roll_comp = -39.9355 mrad, theta_setpoint = -40.0399 mrad, 
msg = 2224, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44482 ms, ax = -0.0420, ay = -0.3932, az =  9.9890, gx =  0.0036 rad/s, gy =  0.0264 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.3115, I_w_pitch = -1.5044 A, I_w_roll =  1.6349 A, theta_pitch = -7.01082mrad, theta_roll_comp = -39.3691 mrad, theta_setpoint = -40.2708 mrad, 
msg = 2225, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44502 ms, ax = -0.0240, ay = -0.4100, az =  9.9830, gx =  0.0030 rad/s, gy =  0.0397 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.3115, I_w_pitch = -2.1668 A, I_w_roll =  1.4270 A, theta_pitch = -6.14564mrad, theta_roll_comp = -39.3065 mrad, theta_setpoint = -40.2708 mrad, 
msg = 2226, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44522 ms, ax =  0.0120, ay = -0.3992, az =  9.9842, gx =  0.0028 rad/s, gy =  0.0484 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.2727, I_w_pitch = -2.6662 A, I_w_roll =  1.3567 A, theta_pitch = -5.12409mrad, theta_roll_comp = -39.2378 mrad, theta_setpoint = -40.1427 mrad, 
msg = 2227, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44542 ms, ax =  0.0444, ay = -0.3896, az =  9.9626, gx =  0.0032 rad/s, gy =  0.0504 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.2727, I_w_pitch = -2.8999 A, I_w_roll =  1.5301 A, theta_pitch = -4.09880mrad, theta_roll_comp = -39.1537 mrad, theta_setpoint = -40.1427 mrad, 
msg = 2228, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44562 ms, ax =  0.0791, ay = -0.3848, az =  9.9507, gx =  0.0020 rad/s, gy =  0.0464 rad/s, gz = -0.0020 rad/s, rpm_pitch =  0.0000, rpm_roll =  1.4037, I_w_pitch = -2.8771 A, I_w_roll =  1.1120 A, theta_pitch = -3.18544mrad, theta_roll_comp = -39.0957 mrad, theta_setpoint = -40.0882 mrad, 
msg = 2229, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44582 ms, ax =  0.0923, ay = -0.3536, az =  9.9543, gx =  0.0026 rad/s, gy =  0.0385 rad/s, gz = -0.0025 rad/s, rpm_pitch =  0.0000, rpm_roll =  1.1698, I_w_pitch = -2.6721 A, I_w_roll =  1.3277 A, theta_pitch = -2.45748mrad, theta_roll_comp = -39.0079 mrad, theta_setpoint = -40.0735 mrad, 
msg = 2230, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44602 ms, ax =  0.1019, ay = -0.3632, az =  9.9483, gx =  0.0028 rad/s, gy =  0.0287 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll =  1.1698, I_w_pitch = -2.3540 A, I_w_roll =  1.4514 A, theta_pitch = -1.95025mrad, theta_roll_comp = -38.9316 mrad, theta_setpoint = -40.0735 mrad, 
msg = 2231, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44622 ms, ax =  0.0935, ay = -0.3776, az =  9.9483, gx =  0.0022 rad/s, gy =  0.0188 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -1.8382, I_w_pitch = -2.0061 A, I_w_roll =  1.1741 A, theta_pitch = -1.64181mrad, theta_roll_comp = -38.8536 mrad, theta_setpoint = -39.8846 mrad, 
msg = 2232, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44642 ms, ax =  0.0755, ay = -0.3872, az =  9.9483, gx =  0.0030 rad/s, gy =  0.0119 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -1.8382, I_w_pitch = -1.7524 A, I_w_roll =  1.4898 A, theta_pitch = -1.48732mrad, theta_roll_comp = -38.7632 mrad, theta_setpoint = -39.8846 mrad, 
msg = 2233, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44662 ms, ax =  0.0503, ay = -0.3980, az =  9.9447, gx =  0.0035 rad/s, gy =  0.0087 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.5348, I_w_pitch = -1.6409 A, I_w_roll =  1.7369 A, theta_pitch = -1.37843mrad, theta_roll_comp = -38.6933 mrad, theta_setpoint = -39.9664 mrad, 
msg = 2234, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44682 ms, ax =  0.0276, ay = -0.3884, az =  9.9531, gx =  0.0034 rad/s, gy =  0.0084 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.5013, I_w_pitch = -1.6495 A, I_w_roll =  1.7124 A, theta_pitch = -1.24966mrad, theta_roll_comp = -38.6401 mrad, theta_setpoint = -39.9685 mrad, 
msg = 2235, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44702 ms, ax = -0.0036, ay = -0.3968, az =  9.9626, gx =  0.0046 rad/s, gy =  0.0112 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.5013, I_w_pitch = -1.7940 A, I_w_roll =  2.1550 A, theta_pitch = -1.03246mrad, theta_roll_comp = -38.5823 mrad, theta_setpoint = -39.9685 mrad, 
msg = 2236, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44722 ms, ax = -0.0348, ay = -0.3908, az =  9.9615, gx =  0.0054 rad/s, gy =  0.0155 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1671, I_w_pitch = -2.0139 A, I_w_roll =  2.4720 A, theta_pitch = -0.70247mrad, theta_roll_comp = -38.5098 mrad, theta_setpoint = -39.9895 mrad, 
msg = 2237, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44742 ms, ax = -0.0288, ay = -0.3584, az =  9.9495, gx =  0.0046 rad/s, gy =  0.0196 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1671, I_w_pitch = -2.2436 A, I_w_roll =  2.2338 A, theta_pitch = -0.27210mrad, theta_roll_comp = -38.4062 mrad, theta_setpoint = -39.9895 mrad, 
msg = 2238, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44762 ms, ax = -0.0420, ay = -0.3249, az =  9.9531, gx =  0.0054 rad/s, gy =  0.0240 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll =  6.2834, I_w_pitch = -2.4982 A, I_w_roll =  2.7328 A, theta_pitch = 0.25389mrad, theta_roll_comp = -38.2629 mrad, theta_setpoint = -40.3946 mrad, 
msg = 2239, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44782 ms, ax = -0.0144, ay = -0.3213, az =  9.9507, gx =  0.0064 rad/s, gy =  0.0271 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.6457, I_w_pitch = -2.7034 A, I_w_roll =  3.1344 A, theta_pitch = 0.80524mrad, theta_roll_comp = -38.0882 mrad, theta_setpoint = -40.2917 mrad, 
msg = 2240, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44802 ms, ax = -0.0120, ay = -0.3297, az =  9.9591, gx =  0.0055 rad/s, gy =  0.0276 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.6457, I_w_pitch = -2.8052 A, I_w_roll =  2.8781 A, theta_pitch = 1.34165mrad, theta_roll_comp = -37.9135 mrad, theta_setpoint = -40.2917 mrad, 
msg = 2241, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44822 ms, ax =  0.0024, ay = -0.3404, az =  9.9543, gx =  0.0050 rad/s, gy =  0.0268 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.8075, I_w_pitch = -2.8510 A, I_w_roll =  2.7259 A, theta_pitch = 1.86007mrad, theta_roll_comp = -37.7125 mrad, theta_setpoint = -40.1763 mrad, 
msg = 2242, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44842 ms, ax = -0.0036, ay = -0.3428, az =  9.9615, gx =  0.0048 rad/s, gy =  0.0244 rad/s, gz = -0.0039 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.0722, I_w_pitch = -2.8255 A, I_w_roll =  2.7396 A, theta_pitch = 2.32902mrad, theta_roll_comp = -37.5154 mrad, theta_setpoint = -40.1301 mrad, 
msg = 2243, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44862 ms, ax =  0.0132, ay = -0.3416, az =  9.9698, gx =  0.0034 rad/s, gy =  0.0213 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.0722, I_w_pitch = -2.7610 A, I_w_roll =  2.2916 A, theta_pitch = 2.71613mrad, theta_roll_comp = -37.3539 mrad, theta_setpoint = -40.1301 mrad, 
msg = 2244, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44882 ms, ax =  0.0084, ay = -0.3105, az =  9.9710, gx =  0.0031 rad/s, gy =  0.0176 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll =  1.8717, I_w_pitch = -2.6602 A, I_w_roll =  2.2543 A, theta_pitch = 3.03809mrad, theta_roll_comp = -37.2015 mrad, theta_setpoint = -40.1175 mrad, 
msg = 2245, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44902 ms, ax =  0.0084, ay = -0.3452, az =  9.9591, gx =  0.0024 rad/s, gy =  0.0149 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll =  1.8717, I_w_pitch = -2.5934 A, I_w_roll =  2.0533 A, theta_pitch = 3.30286mrad, theta_roll_comp = -37.1214 mrad, theta_setpoint = -40.1175 mrad, 
msg = 2246, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44922 ms, ax = -0.0108, ay = -0.3261, az =  9.9531, gx =  0.0014 rad/s, gy =  0.0132 rad/s, gz = -0.0112 rad/s, rpm_pitch = -1.6157, rpm_roll = 12.1992, I_w_pitch = -4.6912 A, I_w_roll =  1.9732 A, theta_pitch = 3.54439mrad, theta_roll_comp = -37.0382 mrad, theta_setpoint = -40.7661 mrad, 
msg = 2247, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44942 ms, ax = -0.0228, ay = -0.3404, az =  9.9698, gx =  0.0020 rad/s, gy =  0.0126 rad/s, gz = -0.0109 rad/s, rpm_pitch = -1.6157, rpm_roll = 11.0294, I_w_pitch = -4.6976 A, I_w_roll =  2.2225 A, theta_pitch = 3.76476mrad, theta_roll_comp = -36.9240 mrad, theta_setpoint = -40.6926 mrad, 
msg = 2248, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44962 ms, ax =  0.0575, ay = -0.3644, az =  9.9471, gx =  0.0012 rad/s, gy =  0.0079 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.0294, I_w_pitch = -2.3881 A, I_w_roll =  1.9719 A, theta_pitch = 3.81623mrad, theta_roll_comp = -36.8514 mrad, theta_setpoint = -40.6926 mrad, 
msg = 2249, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44982 ms, ax =  0.0671, ay = -0.3608, az =  9.9339, gx =  0.0000 rad/s, gy = -0.0078 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = 10.0267, I_w_pitch = -1.7299 A, I_w_roll =  1.5347 A, theta_pitch = 3.61798mrad, theta_roll_comp = -36.8330 mrad, theta_setpoint = -40.6297 mrad, 
msg = 2250, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45002 ms, ax =  0.0396, ay = -0.3548, az =  9.9579, gx =  0.0002 rad/s, gy = -0.0222 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = 10.0267, I_w_pitch = -1.0847 A, I_w_roll =  1.5996 A, theta_pitch = 3.15169mrad, theta_roll_comp = -36.7871 mrad, theta_setpoint = -40.6297 mrad, 
msg = 2251, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45022 ms, ax =  0.0060, ay = -0.3548, az =  9.9519, gx = -0.0005 rad/s, gy = -0.0286 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.0294, I_w_pitch = -0.7381 A, I_w_roll =  1.4106 A, theta_pitch = 2.54549mrad, theta_roll_comp = -36.7400 mrad, theta_setpoint = -40.6926 mrad, 
msg = 2252, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45042 ms, ax = -0.0252, ay = -0.3524, az =  9.9447, gx = -0.0014 rad/s, gy = -0.0287 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = 12.1658, I_w_pitch = -0.6429 A, I_w_roll =  1.1081 A, theta_pitch = 1.94602mrad, theta_roll_comp = -36.7521 mrad, theta_setpoint = -40.7640 mrad, 
msg = 2253, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45062 ms, ax = -0.1067, ay = -0.3368, az =  9.9758, gx = -0.0009 rad/s, gy = -0.0199 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = 12.1658, I_w_pitch = -0.9411 A, I_w_roll =  1.3027 A, theta_pitch = 1.59057mrad, theta_roll_comp = -36.7317 mrad, theta_setpoint = -40.7640 mrad, 
msg = 2254, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45082 ms, ax = -0.1355, ay = -0.3464, az = 10.0022, gx = -0.0017 rad/s, gy = -0.0033 rad/s, gz =  0.0007 rad/s, rpm_pitch =  0.0000, rpm_roll = 14.3717, I_w_pitch = -1.6066 A, I_w_roll =  1.0858 A, theta_pitch = 1.58876mrad, theta_roll_comp = -36.7134 mrad, theta_setpoint = -40.9025 mrad, 
msg = 2255, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45102 ms, ax = -0.1678, ay = -0.3464, az = 10.0070, gx = -0.0017 rad/s, gy =  0.0177 rad/s, gz =  0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = 14.3717, I_w_pitch = -2.5105 A, I_w_roll =  1.0809 A, theta_pitch = 2.00495mrad, theta_roll_comp = -36.7257 mrad, theta_setpoint = -40.9025 mrad, 
msg = 2256, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45122 ms, ax = -0.1690, ay = -0.3548, az =  9.9938, gx = -0.0013 rad/s, gy =  0.0394 rad/s, gz =  0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = 14.6056, I_w_pitch = -3.5088 A, I_w_roll =  1.2193 A, theta_pitch = 2.87203mrad, theta_roll_comp = -36.7438 mrad, theta_setpoint = -40.9172 mrad, 
msg = 2257, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45142 ms, ax = -0.1462, ay = -0.3836, az =  9.9746, gx = -0.0012 rad/s, gy =  0.0608 rad/s, gz =  0.0097 rad/s, rpm_pitch = -0.3057, rpm_roll = 14.8061, I_w_pitch = -4.9530 A, I_w_roll =  1.2561 A, theta_pitch = 4.13163mrad, theta_roll_comp = -36.7809 mrad, theta_setpoint = -40.9298 mrad, 
msg = 2258, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45162 ms, ax = -0.1031, ay = -0.3524, az =  9.9734, gx = -0.0017 rad/s, gy =  0.0777 rad/s, gz =  0.0088 rad/s, rpm_pitch = -0.3057, rpm_roll = 14.8061, I_w_pitch = -5.8622 A, I_w_roll =  1.0687 A, theta_pitch = 5.68312mrad, theta_roll_comp = -36.7833 mrad, theta_setpoint = -40.9298 mrad, 
msg = 2259, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45182 ms, ax = -0.0144, ay = -0.3189, az =  9.9710, gx = -0.0006 rad/s, gy =  0.0833 rad/s, gz =  0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.5802, I_w_pitch = -5.9327 A, I_w_roll =  1.5314 A, theta_pitch = 7.34918mrad, theta_roll_comp = -36.7330 mrad, theta_setpoint = -41.1040 mrad, 
msg = 2260, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45202 ms, ax =  0.0264, ay = -0.3285, az =  9.9387, gx = -0.0014 rad/s, gy =  0.0775 rad/s, gz =  0.0024 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.5802, I_w_pitch = -5.9214 A, I_w_roll =  1.2759 A, theta_pitch = 8.80077mrad, theta_roll_comp = -36.6727 mrad, theta_setpoint = -41.1040 mrad, 
msg = 2261, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45222 ms, ax =  0.0683, ay = -0.3548, az =  9.9423, gx = -0.0022 rad/s, gy =  0.0630 rad/s, gz = -0.0039 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.0481, I_w_pitch = -5.5120 A, I_w_roll =  1.0105 A, theta_pitch = 9.94199mrad, theta_roll_comp = -36.6666 mrad, theta_setpoint = -41.1334 mrad, 
msg = 2262, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45242 ms, ax =  0.0851, ay = -0.3548, az =  9.9291, gx = -0.0018 rad/s, gy =  0.0433 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.5160, I_w_pitch = -4.8269 A, I_w_roll =  1.1559 A, theta_pitch = 10.62982mrad, theta_roll_comp = -36.6818 mrad, theta_setpoint = -41.1628 mrad, 
msg = 2263, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45262 ms, ax =  0.1103, ay = -0.3440, az =  9.9387, gx = -0.0022 rad/s, gy =  0.0200 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.5160, I_w_pitch = -3.9247 A, I_w_roll =  1.0139 A, theta_pitch = 10.82918mrad, theta_roll_comp = -36.6873 mrad, theta_setpoint = -41.1628 mrad, 
msg = 2264, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45282 ms, ax =  0.0659, ay = -0.3524, az =  9.9495, gx = -0.0026 rad/s, gy = -0.0033 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.7219, I_w_pitch = -2.9565 A, I_w_roll =  0.9193 A, theta_pitch = 10.58810mrad, theta_roll_comp = -36.7130 mrad, theta_setpoint = -41.3013 mrad, 
msg = 2265, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45302 ms, ax =  0.0456, ay = -0.3476, az =  9.9519, gx = -0.0017 rad/s, gy = -0.0227 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.8222, I_w_pitch = -2.0897 A, I_w_roll =  1.2368 A, theta_pitch = 9.99369mrad, theta_roll_comp = -36.7410 mrad, theta_setpoint = -41.3076 mrad, 
msg = 2266, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45322 ms, ax = -0.0024, ay = -0.3848, az =  9.9531, gx = -0.0025 rad/s, gy = -0.0351 rad/s, gz = -0.0029 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.8222, I_w_pitch = -1.4721 A, I_w_roll =  0.9283 A, theta_pitch = 9.17824mrad, theta_roll_comp = -36.8131 mrad, theta_setpoint = -41.3076 mrad, 
