picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
 A, I_w_roll = -263.7635 A, theta_pitch = -0.30080mrad, theta_roll_comp = -698.0505 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3338, nerr =  134p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33382 ms, ax = -0.6329, ay =  0.2601, az =  9.7744, gx =  0.0481 rad/s, gy =  0.0609 rad/s, gz = -0.0875 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9004 A, I_w_roll = 33.3230 A, theta_pitch = 33.09974mrad, theta_roll_comp =  1.2075 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3362, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33622 ms, ax = -0.5826, ay =  0.2290, az =  9.9075, gx =  0.0026 rad/s, gy = -0.0314 rad/s, gz =  0.0418 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.7870 A, I_w_roll = 21.3805 A, theta_pitch = 43.61695mrad, theta_roll_comp = 11.1975 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3363, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33632 ms, ax = -0.5658, ay =  0.2182, az =  9.9327, gx =  0.0016 rad/s, gy = -0.0330 rad/s, gz =  0.0395 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.6960 A, I_w_roll = 21.1076 A, theta_pitch = 43.43656mrad, theta_roll_comp = 11.3308 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3364, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33642 ms, ax = -0.5526, ay =  0.2038, az =  9.9650, gx =  0.0010 rad/s, gy = -0.0347 rad/s, gz =  0.0351 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.5950 A, I_w_roll = 20.9188 A, theta_pitch = 43.22468mrad, theta_roll_comp = 11.4414 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3365, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33652 ms, ax = -0.5490, ay =  0.1882, az =  9.9890, gx =  0.0007 rad/s, gy = -0.0370 rad/s, gz =  0.0285 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.4685 A, I_w_roll = 20.8614 A, theta_pitch = 42.98528mrad, theta_roll_comp = 11.5309 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3366, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33662 ms, ax = -0.5466, ay =  0.1714, az =  9.9746, gx =  0.0004 rad/s, gy = -0.0396 rad/s, gz =  0.0209 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.3223 A, I_w_roll = 20.7960 A, theta_pitch = 42.72041mrad, theta_roll_comp = 11.6005 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3367, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33672 ms, ax = -0.5466, ay =  0.1486, az =  9.9579, gx =  0.0006 rad/s, gy = -0.0428 rad/s, gz =  0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.1507 A, I_w_roll = 20.8621 A, theta_pitch = 42.42852mrad, theta_roll_comp = 11.6493 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3368, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33682 ms, ax = -0.5466, ay =  0.1319, az =  9.9375, gx =  0.0011 rad/s, gy = -0.0467 rad/s, gz =  0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.9477 A, I_w_roll = 21.0615 A, theta_pitch = 42.10521mrad, theta_roll_comp = 11.6816 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3369, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33692 ms, ax = -0.5490, ay =  0.0971, az =  9.9303, gx =  0.0022 rad/s, gy = -0.0504 rad/s, gz = -0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.7452 A, I_w_roll = 21.4399 A, theta_pitch = 41.74931mrad, theta_roll_comp = 11.6956 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3370, nerr =  136p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33702 ms, ax = -0.5454, ay =  0.0683, az =  9.9483, gx =  0.0038 rad/s, gy = -0.0546 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.5212 A, I_w_roll = 21.9973 A, theta_pitch = 41.35656mrad, theta_roll_comp = 11.6911 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3371, nerr =  136p/ 144r, time steps =    5, qsz =    3, switch = off, t =    33712 ms, ax = -0.5526, ay =  0.0360, az =  9.9902, gx =  0.0056 rad/s, gy = -0.0594 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.2645 A, I_w_roll = 22.6426 A, theta_pitch = 40.92366mrad, theta_roll_comp = 11.6732 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3372, nerr =  137p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33722 ms, ax = -0.5622, ay =  0.0084, az = 10.0106, gx =  0.0078 rad/s, gy = -0.0635 rad/s, gz = -0.0184 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0295 A, I_w_roll = 23.3772 A, theta_pitch = 40.45757mrad, theta_roll_comp = 11.6455 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3373, nerr =  137p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33732 ms, ax = -0.5682, ay = -0.0180, az = 10.0022, gx =  0.0098 rad/s, gy = -0.0679 rad/s, gz = -0.0205 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.7792 A, I_w_roll = 24.0628 A, theta_pitch = 39.96070mrad, theta_roll_comp = 11.6118 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3374, nerr =  137p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33742 ms, ax = -0.5670, ay = -0.0228, az =  9.9650, gx =  0.0124 rad/s, gy = -0.0724 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.5182 A, I_w_roll = 24.9851 A, theta_pitch = 39.42799mrad, theta_roll_comp = 11.5872 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3375, nerr =  137p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33752 ms, ax = -0.5514, ay = -0.0192, az =  9.9231, gx =  0.0147 rad/s, gy = -0.0757 rad/s, gz = -0.0193 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.2991 A, I_w_roll = 25.7772 A, theta_pitch = 38.85487mrad, theta_roll_comp = 11.5868 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3376, nerr =  137p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33762 ms, ax = -0.5346, ay = -0.0108, az =  9.9135, gx =  0.0167 rad/s, gy = -0.0792 rad/s, gz = -0.0168 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.0682 A, I_w_roll = 26.4870 A, theta_pitch = 38.23904mrad, theta_roll_comp = 11.6138 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3377, nerr =  137p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33772 ms, ax = -0.5191, ay =  0.0120, az =  9.9351, gx =  0.0188 rad/s, gy = -0.0820 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.8578 A, I_w_roll = 27.2580 A, theta_pitch = 37.58171mrad, theta_roll_comp = 11.6772 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3378, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33782 ms, ax = -0.4951, ay =  0.0396, az =  9.9626, gx =  0.0203 rad/s, gy = -0.0844 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.6572 A, I_w_roll = 27.8130 A, theta_pitch = 36.88386mrad, theta_roll_comp = 11.7831 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3379, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33792 ms, ax = -0.4699, ay =  0.0719, az =  9.9830, gx =  0.0214 rad/s, gy = -0.0869 rad/s, gz = -0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.4448 A, I_w_roll = 28.2448 A, theta_pitch = 36.14266mrad, theta_roll_comp = 11.9303 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3380, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33802 ms, ax = -0.4483, ay =  0.1031, az =  9.9722, gx =  0.0220 rad/s, gy = -0.0886 rad/s, gz =  0.0025 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.2589 A, I_w_roll = 28.5522 A, theta_pitch = 35.36454mrad, theta_roll_comp = 12.1164 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3381, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33812 ms, ax = -0.4220, ay =  0.1522, az =  9.9423, gx =  0.0224 rad/s, gy = -0.0896 rad/s, gz =  0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.1006 A, I_w_roll = 28.7842 A, theta_pitch = 34.55773mrad, theta_roll_comp = 12.3468 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3382, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33822 ms, ax = -0.3896, ay =  0.1978, az =  9.9255, gx =  0.0219 rad/s, gy = -0.0904 rad/s, gz =  0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.9433 A, I_w_roll = 28.7076 A, theta_pitch = 33.72230mrad, theta_roll_comp = 12.6215 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3383, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33832 ms, ax = -0.3668, ay =  0.2409, az =  9.9099, gx =  0.0210 rad/s, gy = -0.0906 rad/s, gz =  0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.8037 A, I_w_roll = 28.5052 A, theta_pitch = 32.86293mrad, theta_roll_comp = 12.9309 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3384, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33842 ms, ax = -0.3320, ay =  0.2793, az =  9.9303, gx =  0.0194 rad/s, gy = -0.0901 rad/s, gz =  0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.6933 A, I_w_roll = 28.0795 A, theta_pitch = 31.98471mrad, theta_roll_comp = 13.2649 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3385, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33852 ms, ax = -0.2973, ay =  0.3189, az =  9.9626, gx =  0.0176 rad/s, gy = -0.0900 rad/s, gz =  0.0166 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5633 A, I_w_roll = 27.6146 A, theta_pitch = 31.08259mrad, theta_roll_comp = 13.6173 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3386, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33862 ms, ax = -0.2661, ay =  0.3476, az =  9.9830, gx =  0.0151 rad/s, gy = -0.0888 rad/s, gz =  0.0189 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.4733 A, I_w_roll = 26.8732 A, theta_pitch = 30.16291mrad, theta_roll_comp = 13.9775 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3387, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33872 ms, ax = -0.2302, ay =  0.3788, az =  9.9866, gx =  0.0124 rad/s, gy = -0.0880 rad/s, gz =  0.0216 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.3650 A, I_w_roll = 26.0853 A, theta_pitch = 29.22793mrad, theta_roll_comp = 14.3380 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3388, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33882 ms, ax = -0.2038, ay =  0.4004, az =  9.9782, gx =  0.0091 rad/s, gy = -0.0862 rad/s, gz =  0.0244 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.2928 A, I_w_roll = 25.0613 A, theta_pitch = 28.28509mrad, theta_roll_comp = 14.6907 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3389, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33892 ms, ax = -0.1702, ay =  0.4124, az =  9.9603, gx =  0.0055 rad/s, gy = -0.0832 rad/s, gz =  0.0274 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.2744 A, I_w_roll = 23.9357 A, theta_pitch = 27.34575mrad, theta_roll_comp = 15.0223 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3390, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33902 ms, ax = -0.1426, ay =  0.4267, az =  9.9543, gx =  0.0022 rad/s, gy = -0.0804 rad/s, gz =  0.0293 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.2466 A, I_w_roll = 22.8936 A, theta_pitch = 26.41474mrad, theta_roll_comp = 15.3299 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3391, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33912 ms, ax = -0.1187, ay =  0.4279, az =  9.9435, gx = -0.0013 rad/s, gy = -0.0776 rad/s, gz =  0.0302 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.2206 A, I_w_roll = 21.7933 A, theta_pitch = 25.49528mrad, theta_roll_comp = 15.6083 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3392, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33922 ms, ax = -0.0923, ay =  0.4267, az =  9.9543, gx = -0.0050 rad/s, gy = -0.0740 rad/s, gz =  0.0302 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.2289 A, I_w_roll = 20.5842 A, theta_pitch = 24.59194mrad, theta_roll_comp = 15.8478 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3393, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33932 ms, ax = -0.0635, ay =  0.4208, az =  9.9830, gx = -0.0089 rad/s, gy = -0.0699 rad/s, gz =  0.0297 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.2614 A, I_w_roll = 19.3106 A, theta_pitch = 23.70793mrad, theta_roll_comp = 16.0427 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3394, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33942 ms, ax = -0.0336, ay =  0.4291, az = 10.0154, gx = -0.0125 rad/s, gy = -0.0656 rad/s, gz =  0.0294 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.3025 A, I_w_roll = 18.1147 A, theta_pitch = 22.84561mrad, theta_roll_comp = 16.1988 mrad, theta_setpoint = -40.0000 mrad, 
