picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.1892 A, I_w_roll = -249.2544 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   13, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      132 ms, ax =  0.5011, ay = -6.1147, az =  7.8876, gx = -0.0013 rad/s, gy = -0.0008 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4034 A, I_w_roll = -13.3232 A, theta_pitch = -7.10740mrad, theta_roll_comp = -72.1828 mrad, theta_setpoint = -40.0000 mrad, 
msg =   14, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      142 ms, ax =  0.5059, ay = -6.1123, az =  7.8829, gx = -0.0012 rad/s, gy = -0.0005 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3284 A, I_w_roll = -15.6219 A, theta_pitch = -7.67825mrad, theta_roll_comp = -78.0462 mrad, theta_setpoint = -40.0000 mrad, 
msg =   15, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      152 ms, ax =  0.5167, ay = -6.1087, az =  7.8852, gx = -0.0010 rad/s, gy = -0.0005 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2422 A, I_w_roll = -17.8979 A, theta_pitch = -8.25276mrad, theta_roll_comp = -83.8528 mrad, theta_setpoint = -40.0000 mrad, 
msg =   16, nerr =    1p/   0r, time steps =    5, qsz =    2, switch = off, t =      162 ms, ax =  0.5095, ay = -6.1111, az =  7.8888, gx = -0.0009 rad/s, gy =  0.0000 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1785 A, I_w_roll = -20.1469 A, theta_pitch = -8.81931mrad, theta_roll_comp = -89.5916 mrad, theta_setpoint = -40.0000 mrad, 
msg =   17, nerr =    1p/   0r, time steps =    5, qsz =    2, switch = off, t =      172 ms, ax =  0.5131, ay = -6.1075, az =  7.8876, gx = -0.0010 rad/s, gy =  0.0004 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1113 A, I_w_roll = -22.4672 A, theta_pitch = -9.37415mrad, theta_roll_comp = -95.2760 mrad, theta_setpoint = -40.0000 mrad, 
msg =   18, nerr =    1p/   0r, time steps =    5, qsz =    2, switch = off, t =      182 ms, ax =  0.5119, ay = -6.0979, az =  7.8817, gx = -0.0009 rad/s, gy =  0.0004 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0289 A, I_w_roll = -24.6700 A, theta_pitch = -9.92309mrad, theta_roll_comp = -100.8994 mrad, theta_setpoint = -40.0000 mrad, 
msg =   19, nerr =    1p/   0r, time steps =    5, qsz =    2, switch = off, t =      192 ms, ax =  0.5119, ay = -6.0931, az =  7.8829, gx = -0.0009 rad/s, gy =  0.0006 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0471 A, I_w_roll = -26.8959 A, theta_pitch = -10.46555mrad, theta_roll_comp = -106.4641 mrad, theta_setpoint = -40.0000 mrad, 
msg =   20, nerr =    1p/   0r, time steps =    5, qsz =    2, switch = off, t =      202 ms, ax =  0.5155, ay = -6.0943, az =  7.8852, gx = -0.0008 rad/s, gy =  0.0007 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1224 A, I_w_roll = -29.0507 A, theta_pitch = -11.00328mrad, theta_roll_comp = -111.9677 mrad, theta_setpoint = -40.0000 mrad, 
msg =   21, nerr =    1p/   0r, time steps =    5, qsz =    2, switch = off, t =      212 ms, ax =  0.5155, ay = -6.0979, az =  7.8805, gx = -0.0009 rad/s, gy =  0.0010 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1917 A, I_w_roll = -31.2790 A, theta_pitch = -11.53611mrad, theta_roll_comp = -117.4220 mrad, theta_setpoint = -40.0000 mrad, 
msg =   22, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      222 ms, ax =  0.5119, ay = -6.0979, az =  7.8709, gx = -0.0009 rad/s, gy =  0.0014 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2540 A, I_w_roll = -33.4401 A, theta_pitch = -12.05804mrad, theta_roll_comp = -122.8246 mrad, theta_setpoint = -40.0000 mrad, 
msg =   23, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      232 ms, ax =  0.5119, ay = -6.0967, az =  7.8661, gx = -0.0009 rad/s, gy =  0.0020 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3039 A, I_w_roll = -35.5822 A, theta_pitch = -12.56814mrad, theta_roll_comp = -128.1799 mrad, theta_setpoint = -40.0000 mrad, 
msg =   24, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      242 ms, ax =  0.5095, ay = -6.0967, az =  7.8769, gx = -0.0012 rad/s, gy =  0.0026 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3572 A, I_w_roll = -37.7952 A, theta_pitch = -13.06519mrad, theta_roll_comp = -133.4795 mrad, theta_setpoint = -40.0000 mrad, 
msg =   25, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      252 ms, ax =  0.5131, ay = -6.0955, az =  7.8733, gx = -0.0014 rad/s, gy =  0.0030 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4144 A, I_w_roll = -39.9877 A, theta_pitch = -13.55358mrad, theta_roll_comp = -138.7277 mrad, theta_setpoint = -40.0000 mrad, 
msg =   26, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      262 ms, ax =  0.5131, ay = -6.1015, az =  7.8805, gx = -0.0017 rad/s, gy =  0.0030 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4870 A, I_w_roll = -42.1602 A, theta_pitch = -14.03708mrad, theta_roll_comp = -143.9258 mrad, theta_setpoint = -40.0000 mrad, 
msg =   27, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      272 ms, ax =  0.5083, ay = -6.0991, az =  7.8733, gx = -0.0018 rad/s, gy =  0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5475 A, I_w_roll = -44.2678 A, theta_pitch = -14.51139mrad, theta_roll_comp = -149.0782 mrad, theta_setpoint = -40.0000 mrad, 
msg =   28, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      282 ms, ax =  0.5119, ay = -6.1063, az =  7.8757, gx = -0.0018 rad/s, gy =  0.0038 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5959 A, I_w_roll = -46.3082 A, theta_pitch = -14.97630mrad, theta_roll_comp = -154.1793 mrad, theta_setpoint = -40.0000 mrad, 
msg =   29, nerr =    2p/   0r, time steps =    5, qsz =    3, switch = off, t =      292 ms, ax =  0.5095, ay = -6.1123, az =  7.8841, gx = -0.0017 rad/s, gy =  0.0043 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.6429 A, I_w_roll = -48.2837 A, theta_pitch = -15.43168mrad, theta_roll_comp = -159.2346 mrad, theta_setpoint = -40.0000 mrad, 
msg =   30, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      302 ms, ax =  0.5083, ay = -6.1171, az =  7.8793, gx = -0.0014 rad/s, gy =  0.0046 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.6989 A, I_w_roll = -50.1916 A, theta_pitch = -15.87600mrad, theta_roll_comp = -164.2373 mrad, theta_setpoint = -40.0000 mrad, 
msg =   31, nerr =    2p/   0r, time steps =    5, qsz =    2, switch = off, t =      312 ms, ax =  0.5095, ay = -6.1147, az =  7.8805, gx = -0.0009 rad/s, gy =  0.0051 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7430 A, I_w_roll = -51.9864 A, theta_pitch = -16.31229mrad, theta_roll_comp = -169.1904 mrad, theta_setpoint = -40.0000 mrad, 
msg =   32, nerr =    3p/   0r, time steps =    5, qsz =    2, switch = off, t =      322 ms, ax =  0.5095, ay = -6.1111, az =  7.8841, gx = -0.0010 rad/s, gy =  0.0052 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8021 A, I_w_roll = -53.9914 A, theta_pitch = -16.74137mrad, theta_roll_comp = -174.0865 mrad, theta_setpoint = -40.0000 mrad, 
msg =   33, nerr =    3p/   0r, time steps =    5, qsz =    2, switch = off, t =      332 ms, ax =  0.5095, ay = -6.1111, az =  7.8888, gx = -0.0013 rad/s, gy =  0.0059 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8385 A, I_w_roll = -56.0232 A, theta_pitch = -17.16174mrad, theta_roll_comp = -178.9329 mrad, theta_setpoint = -40.0000 mrad, 
msg =   34, nerr =    3p/   0r, time steps =    5, qsz =    2, switch = off, t =      342 ms, ax =  0.5071, ay = -6.1087, az =  7.8852, gx = -0.0012 rad/s, gy =  0.0062 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8893 A, I_w_roll = -57.8954 A, theta_pitch = -17.57172mrad, theta_roll_comp = -183.7298 mrad, theta_setpoint = -40.0000 mrad, 
msg =   35, nerr =    3p/   0r, time steps =    5, qsz =    2, switch = off, t =      352 ms, ax =  0.4999, ay = -6.1051, az =  7.8888, gx = -0.0010 rad/s, gy =  0.0063 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9437 A, I_w_roll = -59.7478 A, theta_pitch = -17.96962mrad, theta_roll_comp = -188.4773 mrad, theta_setpoint = -40.0000 mrad, 
msg =   36, nerr =    3p/   0r, time steps =    5, qsz =    2, switch = off, t =      362 ms, ax =  0.5011, ay = -6.0979, az =  7.8876, gx = -0.0008 rad/s, gy =  0.0066 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9912 A, I_w_roll = -61.5303 A, theta_pitch = -18.35772mrad, theta_roll_comp = -193.1667 mrad, theta_setpoint = -40.0000 mrad, 
msg =   37, nerr =    3p/   0r, time steps =    5, qsz =    2, switch = off, t =      372 ms, ax =  0.5035, ay = -6.0896, az =  7.8841, gx = -0.0010 rad/s, gy =  0.0071 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0274 A, I_w_roll = -63.4801 A, theta_pitch = -18.74067mrad, theta_roll_comp = -197.8083 mrad, theta_setpoint = -40.0000 mrad, 
msg =   38, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      382 ms, ax =  0.4927, ay = -6.0872, az =  7.8864, gx = -0.0012 rad/s, gy =  0.0071 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0830 A, I_w_roll = -65.3630 A, theta_pitch = -19.11121mrad, theta_roll_comp = -202.3988 mrad, theta_setpoint = -40.0000 mrad, 
msg =   39, nerr =    4p/   0r, time steps =    5, qsz =    3, switch = off, t =      392 ms, ax =  0.4855, ay = -6.0848, az =  7.8805, gx = -0.0012 rad/s, gy =  0.0071 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1364 A, I_w_roll = -67.1816 A, theta_pitch = -19.46728mrad, theta_roll_comp = -206.9455 mrad, theta_setpoint = -40.0000 mrad, 
msg =   40, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      402 ms, ax =  0.4867, ay = -6.0931, az =  7.8912, gx = -0.0012 rad/s, gy =  0.0072 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1833 A, I_w_roll = -68.9821 A, theta_pitch = -19.81537mrad, theta_roll_comp = -211.4467 mrad, theta_setpoint = -40.0000 mrad, 
msg =   41, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      412 ms, ax =  0.4867, ay = -6.0955, az =  7.8888, gx = -0.0013 rad/s, gy =  0.0074 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2295 A, I_w_roll = -70.8127 A, theta_pitch = -20.15914mrad, theta_roll_comp = -215.9065 mrad, theta_setpoint = -40.0000 mrad, 
msg =   42, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      422 ms, ax =  0.4831, ay = -6.0931, az =  7.8876, gx = -0.0013 rad/s, gy =  0.0075 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2747 A, I_w_roll = -72.5791 A, theta_pitch = -20.49580mrad, theta_roll_comp = -220.3226 mrad, theta_setpoint = -40.0000 mrad, 
msg =   43, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      432 ms, ax =  0.4819, ay = -6.1039, az =  7.8829, gx = -0.0012 rad/s, gy =  0.0071 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.3405 A, I_w_roll = -74.2836 A, theta_pitch = -20.82803mrad, theta_roll_comp = -224.7004 mrad, theta_setpoint = -40.0000 mrad, 
msg =   44, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      442 ms, ax =  0.4723, ay = -6.1063, az =  7.8876, gx = -0.0013 rad/s, gy =  0.0070 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.3944 A, I_w_roll = -76.0655 A, theta_pitch = -21.15222mrad, theta_roll_comp = -229.0386 mrad, theta_setpoint = -40.0000 mrad, 
msg =   45, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      452 ms, ax =  0.4651, ay = -6.1171, az =  7.8817, gx = -0.0016 rad/s, gy =  0.0067 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4520 A, I_w_roll = -77.8808 A, theta_pitch = -21.46502mrad, theta_roll_comp = -233.3438 mrad, theta_setpoint = -40.0000 mrad, 
msg =   46, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      462 ms, ax =  0.4567, ay = -6.1147, az =  7.8769, gx = -0.0016 rad/s, gy =  0.0063 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.5135 A, I_w_roll = -79.5874 A, theta_pitch = -21.76835mrad, theta_roll_comp = -237.6105 mrad, theta_setpoint = -40.0000 mrad, 
msg =   47, nerr =    4p/   0r, time steps =    5, qsz =    2, switch = off, t =      472 ms, ax =  0.4459, ay = -6.1207, az =  7.8841, gx = -0.0012 rad/s, gy =  0.0062 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.5624 A, I_w_roll = -81.1376 A, theta_pitch = -22.05916mrad, theta_roll_comp = -241.8355 mrad, theta_setpoint = -40.0000 mrad, 
msg =   48, nerr =    4p/   1r, time steps =    5, qsz =    2, switch = off, t =      482 ms, ax =  0.4459, ay = -6.1147, az =  7.8805, gx = -0.0012 rad/s, gy =  0.0060 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6102 A, I_w_roll = -82.8089 A, theta_pitch = -22.34178mrad, theta_roll_comp = -246.0136 mrad, theta_setpoint = -40.0000 mrad, 
msg =   49, nerr =    4p/   1r, time steps =    5, qsz =    2, switch = off, t =      492 ms, ax =  0.4447, ay = -6.1135, az =  7.8781, gx = -0.0009 rad/s, gy =  0.0058 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6630 A, I_w_roll = -84.3701 A, theta_pitch = -22.62317mrad, theta_roll_comp = -250.1497 mrad, theta_setpoint = -40.0000 mrad, 
msg =   50, nerr =    4p/   1r, time steps =    5, qsz =    2, switch = off, t =      502 ms, ax =  0.4471, ay = -6.1147, az =  7.8829, gx = -0.0005 rad/s, gy =  0.0056 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7105 A, I_w_roll = -85.8656 A, theta_pitch = -22.90435mrad, theta_roll_comp = -254.2380 mrad, theta_setpoint = -40.0000 mrad, 
msg =   51, nerr =    4p/   1r, time steps =    5, qsz =    2, switch = off, t =      512 ms, ax =  0.4447, ay = -6.1171, az =  7.8781, gx = -0.0006 rad/s, gy =  0.0055 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7578 A, I_w_roll = -87.5324 A, theta_pitch = -23.18403mrad, theta_roll_comp = -258.2885 mrad, theta_setpoint = -40.0000 mrad, 
msg =   52, nerr =    4p/   1r, time steps =    5, qsz =    2, switch = off, t =      522 ms, ax =  0.4447, ay = -6.1111, az =  7.8769, gx = -0.0005 rad/s, gy =  0.0052 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.8101 A, I_w_roll = -89.0887 A, theta_pitch = -23.46157mrad, theta_roll_comp = -262.2957 mrad, theta_setpoint = -40.0000 mrad, 
msg =   53, nerr =    4p/   1r, time steps =    5, qsz =    2, switch = off, t =      532 ms, ax =  0.4471, ay = -6.1051, az =  7.8900, gx = -0.0004 rad/s, gy =  0.0050 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.8625 A, I_w_roll = -90.6259 A, theta_pitch = -23.74028mrad, theta_roll_comp = -266.2551 mrad, theta_setpoint = -40.0000 mrad, 
msg =   54, nerr =    4p/   2r, time steps =    5, qsz =    2, switch = off, t =      542 ms, ax =  0.4435, ay = -6.0955, az =  7.8876, gx = -0.0004 rad/s, gy =  0.0046 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.9202 A, I_w_roll = -92.1898 A, theta_pitch = -24.01819mrad, theta_roll_comp = -270.1649 mrad, theta_setpoint = -40.0000 mrad, 
msg =   55, nerr =    4p/   2r, time steps =    5, qsz =    2, switch = off, t =      552 ms, ax =  0.4495, ay = -6.0884, az =  7.8876, gx = -0.0006 rad/s, gy =  0.0043 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.9729 A, I_w_roll = -93.8300 A, theta_pitch = -24.29869mrad, theta_roll_comp = -274.0323 mrad, theta_setpoint = -40.0000 mrad, 
msg =   56, nerr =    4p/   2r, time steps =    5, qsz =    2, switch = off, t =      562 ms, ax =  0.4495, ay = -6.0836, az =  7.8876, gx = -0.0008 rad/s, gy =  0.0043 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.0153 A, I_w_roll = -95.4059 A, theta_pitch = -24.58094mrad, theta_roll_comp = -277.8557 mrad, theta_setpoint = -40.0000 mrad, 
msg =   57, nerr =    4p/   2r, time steps =    5, qsz =    2, switch = off, t =      572 ms, ax =  0.4471, ay = -6.0836, az =  7.8924, gx = -0.0012 rad/s, gy =  0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.1004 A, I_w_roll = -97.0609 A, theta_pitch = -24.86449mrad, theta_roll_comp = -281.6436 mrad, theta_setpoint = -40.0000 mrad, 
