picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0485 A, I_w_roll =  2.9387 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   12, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      242 ms, ax = -0.1678, ay = -0.2829, az =  9.9447, gx =  0.0589 rad/s, gy =  0.0633 rad/s, gz = -0.0216 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.7112 A, I_w_roll = 35.2461 A, theta_pitch = 11.19899mrad, theta_roll_comp = -3.4222 mrad, theta_setpoint = -40.0000 mrad, 
msg =   13, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      262 ms, ax = -0.1702, ay = -0.2433, az =  9.9998, gx =  0.0628 rad/s, gy =  0.0650 rad/s, gz = -0.0390 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.9878 A, I_w_roll = 36.9111 A, theta_pitch = 12.58128mrad, theta_roll_comp = -2.6383 mrad, theta_setpoint = -40.0000 mrad, 
msg =   14, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      282 ms, ax = -0.1726, ay = -0.2338, az =  9.9638, gx =  0.0597 rad/s, gy =  0.0685 rad/s, gz = -0.0446 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.3394 A, I_w_roll = 36.1561 A, theta_pitch = 14.00202mrad, theta_roll_comp = -1.8462 mrad, theta_setpoint = -40.0000 mrad, 
msg =   15, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      302 ms, ax = -0.1786, ay = -0.2206, az =  9.9267, gx =  0.0626 rad/s, gy =  0.0721 rad/s, gz = -0.0369 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.7068 A, I_w_roll = 37.5007 A, theta_pitch = 15.49248mrad, theta_roll_comp = -1.0479 mrad, theta_setpoint = -40.0000 mrad, 
msg =   16, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      322 ms, ax = -0.2170, ay = -0.2541, az =  9.9638, gx =  0.0650 rad/s, gy =  0.0782 rad/s, gz = -0.0194 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.1893 A, I_w_roll = 38.6571 A, theta_pitch = 17.07604mrad, theta_roll_comp = -0.2540 mrad, theta_setpoint = -40.0000 mrad, 
msg =   17, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      342 ms, ax = -0.3153, ay = -0.3297, az =  9.9902, gx =  0.0662 rad/s, gy =  0.0822 rad/s, gz =  0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.6136 A, I_w_roll = 39.3861 A, theta_pitch = 18.83982mrad, theta_roll_comp =  0.5199 mrad, theta_setpoint = -40.0000 mrad, 
msg =   18, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      362 ms, ax = -0.8091, ay = -0.1426, az =  9.8548, gx =  0.0621 rad/s, gy =  0.0795 rad/s, gz =  0.0519 rad/s, rpm_pitch =  6.2445, rpm_roll = -0.0000, I_w_pitch =  0.3796 A, I_w_roll = 38.2128 A, theta_pitch = 21.16383mrad, theta_roll_comp =  1.1985 mrad, theta_setpoint = -40.0000 mrad, 
msg =   19, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      382 ms, ax = -0.7900, ay =  0.0048, az =  9.8775, gx =  0.0553 rad/s, gy =  0.0568 rad/s, gz =  0.0975 rad/s, rpm_pitch =  3.9738, rpm_roll = -0.0000, I_w_pitch = -2.0893 A, I_w_roll = 36.2864 A, theta_pitch = 23.73049mrad, theta_roll_comp =  2.3244 mrad, theta_setpoint = -40.0000 mrad, 
msg =   20, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      402 ms, ax = -0.7061, ay =  0.0731, az =  9.9351, gx =  0.0620 rad/s, gy =  0.0372 rad/s, gz =  0.0992 rad/s, rpm_pitch =  3.9738, rpm_roll = -0.0000, I_w_pitch = -1.6009 A, I_w_roll = 39.0915 A, theta_pitch = 25.69421mrad, theta_roll_comp =  3.5117 mrad, theta_setpoint = -40.0000 mrad, 
msg =   21, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      422 ms, ax = -0.5754, ay =  0.0803, az =  9.9806, gx =  0.0529 rad/s, gy =  0.0233 rad/s, gz =  0.0711 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.4873 A, I_w_roll = 36.3789 A, theta_pitch = 27.02527mrad, theta_roll_comp =  4.6529 mrad, theta_setpoint = -40.0000 mrad, 
msg =   22, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      442 ms, ax = -0.4543, ay =  0.0336, az = 10.0130, gx =  0.0537 rad/s, gy =  0.0136 rad/s, gz =  0.0182 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2188 A, I_w_roll = 37.1133 A, theta_pitch = 27.82729mrad, theta_roll_comp =  5.7898 mrad, theta_setpoint = -40.0000 mrad, 
msg =   23, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      462 ms, ax = -0.4891, ay = -0.0264, az =  9.9195, gx =  0.0625 rad/s, gy =  0.0062 rad/s, gz = -0.0401 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.0081 A, I_w_roll = 40.6033 A, theta_pitch = 28.41128mrad, theta_roll_comp =  6.8251 mrad, theta_setpoint = -40.0000 mrad, 
msg =   24, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      482 ms, ax = -0.5574, ay = -0.0575, az =  9.8608, gx =  0.0569 rad/s, gy = -0.0018 rad/s, gz = -0.0772 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.7669 A, I_w_roll = 39.0088 A, theta_pitch = 28.93366mrad, theta_roll_comp =  7.7324 mrad, theta_setpoint = -40.0000 mrad, 
msg =   25, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      502 ms, ax = -0.6533, ay = -0.0348, az =  9.9159, gx =  0.0564 rad/s, gy = -0.0146 rad/s, gz = -0.0811 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.3244 A, I_w_roll = 39.1925 A, theta_pitch = 29.39259mrad, theta_roll_comp =  8.6577 mrad, theta_setpoint = -40.0000 mrad, 
msg =   26, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      522 ms, ax = -0.7240, ay =  0.0240, az =  9.8967, gx =  0.0566 rad/s, gy = -0.0302 rad/s, gz = -0.0517 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.7562 A, I_w_roll = 39.6601 A, theta_pitch = 29.75887mrad, theta_roll_comp =  9.5935 mrad, theta_setpoint = -40.0000 mrad, 
msg =   27, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      542 ms, ax = -0.7061, ay =  0.0875, az =  9.9075, gx =  0.0445 rad/s, gy = -0.0464 rad/s, gz =  0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.1152 A, I_w_roll = 35.7768 A, theta_pitch = 29.81730mrad, theta_roll_comp = 10.4878 mrad, theta_setpoint = -40.0000 mrad, 
msg =   28, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      562 ms, ax = -0.5946, ay =  0.1139, az =  9.9411, gx =  0.0361 rad/s, gy = -0.0596 rad/s, gz =  0.0675 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -3.5317 A, I_w_roll = 33.1723 A, theta_pitch = 29.44238mrad, theta_roll_comp = 11.3187 mrad, theta_setpoint = -39.9979 mrad, 
msg =   29, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      582 ms, ax = -0.4975, ay =  0.1259, az =  9.9267, gx =  0.0348 rad/s, gy = -0.0684 rad/s, gz =  0.0932 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -3.0645 A, I_w_roll = 32.9903 A, theta_pitch = 28.67167mrad, theta_roll_comp = 12.0289 mrad, theta_setpoint = -39.9979 mrad, 
msg =   30, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      602 ms, ax = -0.4052, ay =  0.2266, az =  9.9075, gx =  0.0243 rad/s, gy = -0.0721 rad/s, gz =  0.0903 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -2.7541 A, I_w_roll = 29.5711 A, theta_pitch = 27.59652mrad, theta_roll_comp = 12.6851 mrad, theta_setpoint = -39.9979 mrad, 
msg =   31, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      622 ms, ax = -0.3285, ay =  0.2529, az =  9.9195, gx =  0.0195 rad/s, gy = -0.0743 rad/s, gz =  0.0667 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.4768 A, I_w_roll = 28.1666 A, theta_pitch = 26.31563mrad, theta_roll_comp = 13.3660 mrad, theta_setpoint = -40.0000 mrad, 
msg =   32, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      642 ms, ax = -0.2445, ay =  0.2937, az =  9.9626, gx =  0.0150 rad/s, gy = -0.0740 rad/s, gz =  0.0421 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.2734 A, I_w_roll = 26.8435 A, theta_pitch = 24.88893mrad, theta_roll_comp = 14.0198 mrad, theta_setpoint = -40.0000 mrad, 
msg =   33, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      662 ms, ax = -0.1055, ay =  0.2709, az =  9.8656, gx =  0.0051 rad/s, gy = -0.0677 rad/s, gz =  0.0470 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.2910 A, I_w_roll = 23.5707 A, theta_pitch = 23.33725mrad, theta_roll_comp = 14.4595 mrad, theta_setpoint = -40.0000 mrad, 
msg =   34, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      682 ms, ax =  0.0611, ay =  0.1834, az = 10.0502, gx = -0.0006 rad/s, gy = -0.0564 rad/s, gz =  0.0581 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.4895 A, I_w_roll = 21.6748 A, theta_pitch = 21.64253mrad, theta_roll_comp = 14.7295 mrad, theta_setpoint = -40.0000 mrad, 
msg =   35, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      702 ms, ax =  0.1295, ay =  0.1271, az = 10.0837, gx =  0.0028 rad/s, gy = -0.0455 rad/s, gz =  0.0233 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.6835 A, I_w_roll = 22.9112 A, theta_pitch = 20.02434mrad, theta_roll_comp = 14.7912 mrad, theta_setpoint = -40.0000 mrad, 
msg =   36, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      722 ms, ax =  0.1187, ay =  0.1055, az =  9.8572, gx =  0.0024 rad/s, gy = -0.0342 rad/s, gz = -0.0469 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.9255 A, I_w_roll = 22.7397 A, theta_pitch = 18.61944mrad, theta_roll_comp = 14.7120 mrad, theta_setpoint = -40.0000 mrad, 
msg =   37, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      742 ms, ax =  0.1043, ay =  0.0060, az =  9.8224, gx =  0.0006 rad/s, gy = -0.0254 rad/s, gz = -0.1234 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.0970 A, I_w_roll = 22.0456 A, theta_pitch = 17.41923mrad, theta_roll_comp = 14.6080 mrad, theta_setpoint = -40.0000 mrad, 
msg =   38, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      762 ms, ax =  0.0695, ay = -0.1223, az = 10.0154, gx =  0.0138 rad/s, gy = -0.0205 rad/s, gz = -0.1799 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.1501 A, I_w_roll = 26.5614 A, theta_pitch = 16.45935mrad, theta_roll_comp = 14.3629 mrad, theta_setpoint = -40.0000 mrad, 
msg =   39, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      782 ms, ax =  0.0000, ay = -0.1690, az = 10.0765, gx =  0.0179 rad/s, gy = -0.0155 rad/s, gz = -0.1964 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -3.2377 A, I_w_roll = 27.8734 A, theta_pitch = 15.72939mrad, theta_roll_comp = 14.0332 mrad, theta_setpoint = -39.9979 mrad, 
msg =   40, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      802 ms, ax =  0.2026, ay = -0.0420, az = 10.0034, gx = -0.0001 rad/s, gy = -0.0042 rad/s, gz = -0.1517 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -3.5842 A, I_w_roll = 21.4876 A, theta_pitch = 15.02161mrad, theta_roll_comp = 13.7976 mrad, theta_setpoint = -39.9979 mrad, 
msg =   41, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      822 ms, ax =  0.2673, ay =  0.1522, az =  9.8811, gx =  0.0336 rad/s, gy =  0.0048 rad/s, gz = -0.0782 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.8362 A, I_w_roll = 33.3876 A, theta_pitch = 14.28658mrad, theta_roll_comp = 14.0684 mrad, theta_setpoint = -40.0000 mrad, 
msg =   42, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      842 ms, ax =  0.1319, ay =  0.0971, az =  9.9615, gx = -0.0093 rad/s, gy =  0.0256 rad/s, gz =  0.0029 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.6159 A, I_w_roll = 18.3572 A, theta_pitch = 13.94590mrad, theta_roll_comp = 14.0087 mrad, theta_setpoint = -40.0000 mrad, 
msg =   43, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      862 ms, ax =  0.1990, ay = -0.0959, az = 10.2539, gx = -0.0261 rad/s, gy =  0.0406 rad/s, gz =  0.0656 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -5.2170 A, I_w_roll = 12.3060 A, theta_pitch = 13.94068mrad, theta_roll_comp = 13.5630 mrad, theta_setpoint = -39.9979 mrad, 
msg =   44, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      882 ms, ax =  0.1726, ay = -0.0803, az = 10.0502, gx =  0.0082 rad/s, gy =  0.0478 rad/s, gz =  0.0853 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -5.5523 A, I_w_roll = 24.0325 A, theta_pitch = 14.25874mrad, theta_roll_comp = 12.9362 mrad, theta_setpoint = -39.9979 mrad, 
msg =   45, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      902 ms, ax =  0.0539, ay =  0.0575, az =  9.6270, gx = -0.0186 rad/s, gy =  0.0632 rad/s, gz =  0.1052 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -6.2719 A, I_w_roll = 14.4272 A, theta_pitch = 14.97274mrad, theta_roll_comp = 12.3416 mrad, theta_setpoint = -39.9979 mrad, 
msg =   46, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      922 ms, ax = -0.0503, ay =  0.0779, az =  9.9854, gx = -0.0177 rad/s, gy =  0.0711 rad/s, gz =  0.0948 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -6.7527 A, I_w_roll = 14.6664 A, theta_pitch = 16.04729mrad, theta_roll_comp = 12.1239 mrad, theta_setpoint = -39.9979 mrad, 
msg =   47, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      942 ms, ax = -0.1762, ay =  0.2685, az = 10.2228, gx =  0.0107 rad/s, gy =  0.0718 rad/s, gz =  0.0438 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -6.9796 A, I_w_roll = 24.6073 A, theta_pitch = 17.38244mrad, theta_roll_comp = 12.1595 mrad, theta_setpoint = -39.9979 mrad, 
msg =   48, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      962 ms, ax = -0.4927, ay =  0.5179, az =  9.8955, gx = -0.0167 rad/s, gy =  0.0722 rad/s, gz =  0.0031 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -7.2646 A, I_w_roll = 15.1001 A, theta_pitch = 19.17614mrad, theta_roll_comp = 12.3925 mrad, theta_setpoint = -39.9979 mrad, 
msg =   49, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      982 ms, ax = -0.4244, ay =  0.5430, az =  9.8440, gx = -0.0322 rad/s, gy =  0.0655 rad/s, gz = -0.0454 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.2795 A, I_w_roll =  9.9015 A, theta_pitch = 21.05071mrad, theta_roll_comp = 12.9090 mrad, theta_setpoint = -40.0000 mrad, 
msg =   50, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1002 ms, ax = -0.3500, ay =  0.4303, az =  9.9447, gx = -0.0178 rad/s, gy =  0.0589 rad/s, gz = -0.1092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -7.2546 A, I_w_roll = 15.0301 A, theta_pitch = 22.66015mrad, theta_roll_comp = 13.1477 mrad, theta_setpoint = -40.0000 mrad, 
msg =   51, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1022 ms, ax = -0.4375, ay =  0.2146, az = 10.0238, gx = -0.0423 rad/s, gy =  0.0628 rad/s, gz = -0.1522 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -7.6356 A, I_w_roll =  6.3165 A, theta_pitch = 24.17006mrad, theta_roll_comp = 12.8036 mrad, theta_setpoint = -39.9979 mrad, 
msg =   52, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1042 ms, ax = -0.4435, ay =  0.0012, az = 10.1269, gx = -0.0482 rad/s, gy =  0.0641 rad/s, gz = -0.1831 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -7.9311 A, I_w_roll =  3.9318 A, theta_pitch = 25.78531mrad, theta_roll_comp = 11.9682 mrad, theta_setpoint = -39.9979 mrad, 
msg =   53, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1062 ms, ax = -0.6257, ay = -0.0791, az = 10.0118, gx = -0.0403 rad/s, gy =  0.0616 rad/s, gz = -0.1896 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -8.1066 A, I_w_roll =  6.1970 A, theta_pitch = 27.63006mrad, theta_roll_comp = 10.7572 mrad, theta_setpoint = -39.9979 mrad, 
msg =   54, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1082 ms, ax = -0.8715, ay = -0.1091, az =  9.8668, gx = -0.0555 rad/s, gy =  0.0564 rad/s, gz = -0.1336 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -8.2187 A, I_w_roll =  0.3138 A, theta_pitch = 29.76195mrad, theta_roll_comp =  9.3312 mrad, theta_setpoint = -39.9979 mrad, 
msg =   55, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1102 ms, ax = -0.8943, ay = -0.1438, az =  9.9411, gx = -0.0487 rad/s, gy =  0.0396 rad/s, gz = -0.0565 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -7.8660 A, I_w_roll =  2.1270 A, theta_pitch = 31.88441mrad, theta_roll_comp =  7.9223 mrad, theta_setpoint = -39.9979 mrad, 
msg =   56, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1122 ms, ax = -0.9170, ay = -0.2026, az =  9.9579, gx = -0.0488 rad/s, gy =  0.0211 rad/s, gz =  0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -7.3925 A, I_w_roll =  1.4688 A, theta_pitch = 33.66389mrad, theta_roll_comp =  6.3931 mrad, theta_setpoint = -39.9979 mrad, 
msg =   57, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1142 ms, ax = -0.9338, ay = -0.2373, az =  9.9543, gx = -0.0553 rad/s, gy =  0.0011 rad/s, gz =  0.0383 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.7972 A, I_w_roll = -1.4520 A, theta_pitch = 35.02134mrad, theta_roll_comp =  4.7980 mrad, theta_setpoint = -40.0000 mrad, 
