picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   81, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4294 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -548.9564 A, I_w_roll = 2995.3262 A, theta_pitch = 2697.66602mrad, theta_roll_comp = 4274.5469 mrad, theta_setpoint = -40.0000 mrad, 
msg =   92, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     4865 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -554.7517 A, I_w_roll = 3019.8140 A, theta_pitch = 2736.30127mrad, theta_roll_comp = 4335.7661 mrad, theta_setpoint = -40.0000 mrad, 
msg =   93, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4917 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -555.1298 A, I_w_roll = 3021.4114 A, theta_pitch = 2738.82178mrad, theta_roll_comp = 4339.7603 mrad, theta_setpoint = -40.0000 mrad, 
msg =   94, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     4969 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -555.4866 A, I_w_roll = 3022.9187 A, theta_pitch = 2741.20044mrad, theta_roll_comp = 4343.5283 mrad, theta_setpoint = -40.0000 mrad, 
msg =   95, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5021 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -555.8265 A, I_w_roll = 3024.3552 A, theta_pitch = 2743.46680mrad, theta_roll_comp = 4347.1191 mrad, theta_setpoint = -40.0000 mrad, 
msg =   96, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5073 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -556.1473 A, I_w_roll = 3025.7102 A, theta_pitch = 2745.60498mrad, theta_roll_comp = 4350.5068 mrad, theta_setpoint = -40.0000 mrad, 
msg =   97, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5125 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -556.4528 A, I_w_roll = 3027.0010 A, theta_pitch = 2747.64185mrad, theta_roll_comp = 4353.7344 mrad, theta_setpoint = -40.0000 mrad, 
msg =   98, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5177 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -556.7411 A, I_w_roll = 3028.2188 A, theta_pitch = 2749.56396mrad, theta_roll_comp = 4356.7788 mrad, theta_setpoint = -40.0000 mrad, 
msg =   99, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5229 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.0159 A, I_w_roll = 3029.3799 A, theta_pitch = 2751.39551mrad, theta_roll_comp = 4359.6816 mrad, theta_setpoint = -40.0000 mrad, 
msg =  100, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5281 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.2750 A, I_w_roll = 3030.4741 A, theta_pitch = 2753.12305mrad, theta_roll_comp = 4362.4170 mrad, theta_setpoint = -40.0000 mrad, 
msg =  101, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5332 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.5219 A, I_w_roll = 3031.5176 A, theta_pitch = 2754.76880mrad, theta_roll_comp = 4365.0254 mrad, theta_setpoint = -40.0000 mrad, 
msg =  102, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5384 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.7549 A, I_w_roll = 3032.5020 A, theta_pitch = 2756.32227mrad, theta_roll_comp = 4367.4863 mrad, theta_setpoint = -40.0000 mrad, 
msg =  103, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5436 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.9769 A, I_w_roll = 3033.4402 A, theta_pitch = 2757.80249mrad, theta_roll_comp = 4369.8325 mrad, theta_setpoint = -40.0000 mrad, 
msg =  104, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5488 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.1864 A, I_w_roll = 3034.3247 A, theta_pitch = 2759.19897mrad, theta_roll_comp = 4372.0430 mrad, theta_setpoint = -40.0000 mrad, 
msg =  105, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5540 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.3859 A, I_w_roll = 3035.1675 A, theta_pitch = 2760.52856mrad, theta_roll_comp = 4374.1509 mrad, theta_setpoint = -40.0000 mrad, 
msg =  106, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5592 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.5742 A, I_w_roll = 3035.9634 A, theta_pitch = 2761.78394mrad, theta_roll_comp = 4376.1401 mrad, theta_setpoint = -40.0000 mrad, 
msg =  107, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5644 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.7535 A, I_w_roll = 3036.7214 A, theta_pitch = 2762.97974mrad, theta_roll_comp = 4378.0352 mrad, theta_setpoint = -40.0000 mrad, 
msg =  108, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5696 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.9227 A, I_w_roll = 3037.4363 A, theta_pitch = 2764.10767mrad, theta_roll_comp = 4379.8218 mrad, theta_setpoint = -40.0000 mrad, 
msg =  109, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5748 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.0839 A, I_w_roll = 3038.1167 A, theta_pitch = 2765.18213mrad, theta_roll_comp = 4381.5234 mrad, theta_setpoint = -40.0000 mrad, 
msg =  110, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5800 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.2360 A, I_w_roll = 3038.7593 A, theta_pitch = 2766.19653mrad, theta_roll_comp = 4383.1294 mrad, theta_setpoint = -40.0000 mrad, 
msg =  111, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5852 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.3810 A, I_w_roll = 3039.3721 A, theta_pitch = 2767.16284mrad, theta_roll_comp = 4384.6611 mrad, theta_setpoint = -40.0000 mrad, 
msg =  112, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     5904 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.5177 A, I_w_roll = 3039.9492 A, theta_pitch = 2768.07397mrad, theta_roll_comp = 4386.1050 mrad, theta_setpoint = -40.0000 mrad, 
msg =  113, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     5955 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.6479 A, I_w_roll = 3040.5000 A, theta_pitch = 2768.94214mrad, theta_roll_comp = 4387.4814 mrad, theta_setpoint = -40.0000 mrad, 
msg =  114, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6007 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.7708 A, I_w_roll = 3041.0190 A, theta_pitch = 2769.76147mrad, theta_roll_comp = 4388.7793 mrad, theta_setpoint = -40.0000 mrad, 
msg =  115, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6059 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.8879 A, I_w_roll = 3041.5139 A, theta_pitch = 2770.54224mrad, theta_roll_comp = 4390.0166 mrad, theta_setpoint = -40.0000 mrad, 
msg =  116, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6111 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.9984 A, I_w_roll = 3041.9810 A, theta_pitch = 2771.27905mrad, theta_roll_comp = 4391.1841 mrad, theta_setpoint = -40.0000 mrad, 
msg =  117, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6163 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.1035 A, I_w_roll = 3042.4255 A, theta_pitch = 2771.97974mrad, theta_roll_comp = 4392.2954 mrad, theta_setpoint = -40.0000 mrad, 
msg =  118, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6215 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.2029 A, I_w_roll = 3042.8452 A, theta_pitch = 2772.64209mrad, theta_roll_comp = 4393.3442 mrad, theta_setpoint = -40.0000 mrad, 
msg =  119, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6267 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.2974 A, I_w_roll = 3043.2446 A, theta_pitch = 2773.27222mrad, theta_roll_comp = 4394.3433 mrad, theta_setpoint = -40.0000 mrad, 
msg =  120, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6319 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.3867 A, I_w_roll = 3043.6216 A, theta_pitch = 2773.86768mrad, theta_roll_comp = 4395.2856 mrad, theta_setpoint = -40.0000 mrad, 
msg =  121, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6371 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.4717 A, I_w_roll = 3043.9810 A, theta_pitch = 2774.43433mrad, theta_roll_comp = 4396.1841 mrad, theta_setpoint = -40.0000 mrad, 
msg =  122, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6423 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.5521 A, I_w_roll = 3044.3201 A, theta_pitch = 2774.96997mrad, theta_roll_comp = 4397.0317 mrad, theta_setpoint = -40.0000 mrad, 
msg =  123, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6475 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.6284 A, I_w_roll = 3044.6433 A, theta_pitch = 2775.47876mrad, theta_roll_comp = 4397.8394 mrad, theta_setpoint = -40.0000 mrad, 
msg =  124, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6527 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.7006 A, I_w_roll = 3044.9482 A, theta_pitch = 2775.95996mrad, theta_roll_comp = 4398.6021 mrad, theta_setpoint = -40.0000 mrad, 
msg =  125, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6578 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.7692 A, I_w_roll = 3045.2388 A, theta_pitch = 2776.41797mrad, theta_roll_comp = 4399.3281 mrad, theta_setpoint = -40.0000 mrad, 
msg =  126, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6630 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.8341 A, I_w_roll = 3045.5125 A, theta_pitch = 2776.85034mrad, theta_roll_comp = 4400.0127 mrad, theta_setpoint = -40.0000 mrad, 
msg =  127, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6682 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.8959 A, I_w_roll = 3045.7737 A, theta_pitch = 2777.26196mrad, theta_roll_comp = 4400.6655 mrad, theta_setpoint = -40.0000 mrad, 
msg =  128, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6734 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -560.9542 A, I_w_roll = 3046.0195 A, theta_pitch = 2777.65137mrad, theta_roll_comp = 4401.2808 mrad, theta_setpoint = -40.0000 mrad, 
msg =  129, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6786 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.0097 A, I_w_roll = 3046.2544 A, theta_pitch = 2778.02100mrad, theta_roll_comp = 4401.8672 mrad, theta_setpoint = -40.0000 mrad, 
msg =  130, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6838 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.0621 A, I_w_roll = 3046.4758 A, theta_pitch = 2778.37061mrad, theta_roll_comp = 4402.4214 mrad, theta_setpoint = -40.0000 mrad, 
msg =  131, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6890 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.1120 A, I_w_roll = 3046.6870 A, theta_pitch = 2778.70288mrad, theta_roll_comp = 4402.9487 mrad, theta_setpoint = -40.0000 mrad, 
msg =  132, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     6942 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.1591 A, I_w_roll = 3046.8853 A, theta_pitch = 2779.01709mrad, theta_roll_comp = 4403.4453 mrad, theta_setpoint = -40.0000 mrad, 
msg =  133, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     6994 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.2040 A, I_w_roll = 3047.0752 A, theta_pitch = 2779.31616mrad, theta_roll_comp = 4403.9199 mrad, theta_setpoint = -40.0000 mrad, 
msg =  134, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7046 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.2463 A, I_w_roll = 3047.2537 A, theta_pitch = 2779.59839mrad, theta_roll_comp = 4404.3662 mrad, theta_setpoint = -40.0000 mrad, 
msg =  135, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7098 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.2866 A, I_w_roll = 3047.4241 A, theta_pitch = 2779.86694mrad, theta_roll_comp = 4404.7920 mrad, theta_setpoint = -40.0000 mrad, 
msg =  136, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7150 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.3247 A, I_w_roll = 3047.5850 A, theta_pitch = 2780.12134mrad, theta_roll_comp = 4405.1938 mrad, theta_setpoint = -40.0000 mrad, 
msg =  137, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7201 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.3610 A, I_w_roll = 3047.7383 A, theta_pitch = 2780.36255mrad, theta_roll_comp = 4405.5771 mrad, theta_setpoint = -40.0000 mrad, 
