picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 1226, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24522 ms, ax =  0.0995, ay = -0.2517, az =  9.9567, gx = -0.0115 rad/s, gy =  0.0629 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.8062, I_w_pitch = -1.7833 A, I_w_roll =  0.6926 A, theta_pitch = -14.88018mrad, theta_roll_comp = -33.8120 mrad, theta_setpoint = -45.6398 mrad, 
msg = 1237, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24742 ms, ax =  0.0348, ay = -0.4100, az =  9.9303, gx = -0.0030 rad/s, gy =  0.0351 rad/s, gz = -0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = 97.9278, I_w_pitch = -2.5016 A, I_w_roll =  2.6772 A, theta_pitch = -2.67078mrad, theta_roll_comp = -36.8170 mrad, theta_setpoint = -46.1499 mrad, 
msg = 1238, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24762 ms, ax = -0.0276, ay = -0.3644, az =  9.9686, gx = -0.0077 rad/s, gy =  0.0352 rad/s, gz = -0.0169 rad/s, rpm_pitch = -5.6332, rpm_roll = 97.9278, I_w_pitch = -10.0452 A, I_w_roll =  1.0252 A, theta_pitch = -1.94234mrad, theta_roll_comp = -36.8694 mrad, theta_setpoint = -46.1499 mrad, 
msg = 1239, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24782 ms, ax = -0.0072, ay = -0.3069, az = 10.0046, gx = -0.0059 rad/s, gy =  0.0343 rad/s, gz = -0.0185 rad/s, rpm_pitch = -5.6332, rpm_roll = 98.3623, I_w_pitch = -10.1187 A, I_w_roll =  1.6552 A, theta_pitch = -1.20409mrad, theta_roll_comp = -36.8361 mrad, theta_setpoint = -46.1772 mrad, 
msg = 1240, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24802 ms, ax =  0.2218, ay = -0.3428, az =  9.9135, gx =  0.0127 rad/s, gy =  0.0135 rad/s, gz = -0.0249 rad/s, rpm_pitch =  0.0000, rpm_roll = 98.8302, I_w_pitch = -1.9083 A, I_w_roll =  8.2176 A, theta_pitch = -0.87348mrad, theta_roll_comp = -36.7709 mrad, theta_setpoint = -46.2065 mrad, 
msg = 1241, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24822 ms, ax =  0.3728, ay = -0.2314, az =  9.8799, gx = -0.0097 rad/s, gy = -0.0419 rad/s, gz = -0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = 98.8302, I_w_pitch =  0.4462 A, I_w_roll =  0.4139 A, theta_pitch = -1.79918mrad, theta_roll_comp = -36.7066 mrad, theta_setpoint = -46.2065 mrad, 
msg = 1242, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24842 ms, ax =  0.0971, ay = -0.0671, az = 10.0789, gx = -0.0097 rad/s, gy = -0.0973 rad/s, gz = -0.0261 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.6016, I_w_pitch =  2.9384 A, I_w_roll =  0.5253 A, theta_pitch = -3.64293mrad, theta_roll_comp = -36.5393 mrad, theta_setpoint = -46.3178 mrad, 
msg = 1243, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24862 ms, ax =  0.0384, ay = -0.1438, az = 10.0585, gx =  0.0084 rad/s, gy = -0.1215 rad/s, gz = -0.0483 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.6016, I_w_pitch =  4.2402 A, I_w_roll =  6.9504 A, theta_pitch = -5.85897mrad, theta_roll_comp = -36.3219 mrad, theta_setpoint = -46.3178 mrad, 
msg = 1244, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24882 ms, ax = -0.0384, ay = -0.1594, az =  9.9195, gx = -0.0082 rad/s, gy = -0.1198 rad/s, gz = -0.0659 rad/s, rpm_pitch = -6.2009, rpm_roll = 103.5428, I_w_pitch = -3.6632 A, I_w_roll =  1.2298 A, theta_pitch = -8.14929mrad, theta_roll_comp = -36.2443 mrad, theta_setpoint = -46.5025 mrad, 
msg = 1245, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24902 ms, ax = -0.1211, ay = -0.1606, az = 10.0394, gx = -0.0118 rad/s, gy = -0.1041 rad/s, gz = -0.0822 rad/s, rpm_pitch = -6.2009, rpm_roll = 105.1805, I_w_pitch = -4.0038 A, I_w_roll =  0.0156 A, theta_pitch = -10.06849mrad, theta_roll_comp = -36.2369 mrad, theta_setpoint = -46.6053 mrad, 
msg = 1246, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24922 ms, ax =  0.0132, ay = -0.3021, az = 10.0214, gx =  0.0031 rad/s, gy = -0.0905 rad/s, gz = -0.0864 rad/s, rpm_pitch = -0.0437, rpm_roll = 105.1805, I_w_pitch =  3.8232 A, I_w_roll =  5.2313 A, theta_pitch = -11.73584mrad, theta_roll_comp = -36.2468 mrad, theta_setpoint = -46.6053 mrad, 
msg = 1247, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24942 ms, ax = -0.0012, ay = -0.5874, az =  9.9147, gx = -0.0099 rad/s, gy = -0.0880 rad/s, gz = -0.0730 rad/s, rpm_pitch = -0.0437, rpm_roll = 108.8904, I_w_pitch =  3.9489 A, I_w_roll =  0.6896 A, theta_pitch = -13.24849mrad, theta_roll_comp = -36.4160 mrad, theta_setpoint = -46.8383 mrad, 
msg = 1248, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24962 ms, ax = -0.1498, ay = -0.4184, az = 10.0310, gx = -0.0205 rad/s, gy = -0.0893 rad/s, gz = -0.0585 rad/s, rpm_pitch = -5.3275, rpm_roll = 108.8904, I_w_pitch = -2.7703 A, I_w_roll = -3.0679 A, theta_pitch = -14.55452mrad, theta_roll_comp = -36.6057 mrad, theta_setpoint = -46.8383 mrad, 
msg = 1249, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24982 ms, ax = -0.2517, ay = -0.3141, az =  9.9962, gx = -0.0109 rad/s, gy = -0.0769 rad/s, gz = -0.0479 rad/s, rpm_pitch = -4.0175, rpm_roll = 111.6310, I_w_pitch = -1.3852 A, I_w_roll =  0.2892 A, theta_pitch = -15.57322mrad, theta_roll_comp = -36.7735 mrad, theta_setpoint = -47.0104 mrad, 
msg = 1250, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25002 ms, ax = -0.1678, ay = -0.3201, az =  9.9303, gx = -0.0189 rad/s, gy = -0.0604 rad/s, gz = -0.0270 rad/s, rpm_pitch = -4.0175, rpm_roll = 113.0013, I_w_pitch = -1.9544 A, I_w_roll = -2.5689 A, theta_pitch = -16.18095mrad, theta_roll_comp = -37.0144 mrad, theta_setpoint = -47.0965 mrad, 
msg = 1251, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25022 ms, ax = -0.1307, ay = -0.2002, az = 10.0550, gx = -0.0193 rad/s, gy = -0.0523 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = 113.0013, I_w_pitch =  3.0913 A, I_w_roll = -2.9055 A, theta_pitch = -16.66340mrad, theta_roll_comp = -37.5062 mrad, theta_setpoint = -47.0965 mrad, 
msg = 1252, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25042 ms, ax = -0.0491, ay = -0.3836, az =  9.9686, gx = -0.0049 rad/s, gy = -0.0468 rad/s, gz =  0.0007 rad/s, rpm_pitch =  0.0000, rpm_roll = 113.8035, I_w_pitch =  2.9507 A, I_w_roll =  1.9811 A, theta_pitch = -17.18222mrad, theta_roll_comp = -37.9232 mrad, theta_setpoint = -47.1469 mrad, 
msg = 1253, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25062 ms, ax = -0.1055, ay = -0.6269, az =  9.8248, gx = -0.0213 rad/s, gy = -0.0341 rad/s, gz =  0.0185 rad/s, rpm_pitch = -3.3188, rpm_roll = 113.8035, I_w_pitch = -1.8945 A, I_w_roll = -3.9832 A, theta_pitch = -17.46843mrad, theta_roll_comp = -38.5033 mrad, theta_setpoint = -47.1469 mrad, 
msg = 1254, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25082 ms, ax = -0.0971, ay = -0.5550, az =  9.9806, gx = -0.0202 rad/s, gy = -0.0177 rad/s, gz =  0.0220 rad/s, rpm_pitch = -4.6288, rpm_roll = 112.5000, I_w_pitch = -4.2772 A, I_w_roll = -3.8531 A, theta_pitch = -17.46860mrad, theta_roll_comp = -39.0284 mrad, theta_setpoint = -47.0650 mrad, 
msg = 1255, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25102 ms, ax = -0.0839, ay = -0.5910, az =  9.9698, gx = -0.0013 rad/s, gy = -0.0033 rad/s, gz =  0.0248 rad/s, rpm_pitch = -4.6288, rpm_roll = 111.6310, I_w_pitch = -4.9151 A, I_w_roll =  2.5990 A, theta_pitch = -17.05092mrad, theta_roll_comp = -39.3879 mrad, theta_setpoint = -47.0104 mrad, 
msg = 1256, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25122 ms, ax =  0.0132, ay = -0.5214, az =  9.9279, gx = -0.0075 rad/s, gy =  0.0038 rad/s, gz =  0.0296 rad/s, rpm_pitch =  0.0000, rpm_roll = 111.6310, I_w_pitch =  0.8562 A, I_w_roll =  0.3186 A, theta_pitch = -16.71200mrad, theta_roll_comp = -39.6128 mrad, theta_setpoint = -47.0104 mrad, 
msg = 1257, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25142 ms, ax =  0.0707, ay = -0.3560, az =  9.9854, gx = -0.0062 rad/s, gy = -0.0065 rad/s, gz =  0.0228 rad/s, rpm_pitch =  0.0000, rpm_roll = 108.2553, I_w_pitch =  1.2427 A, I_w_roll =  0.6378 A, theta_pitch = -16.55419mrad, theta_roll_comp = -39.7679 mrad, theta_setpoint = -46.7984 mrad, 
msg = 1258, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25162 ms, ax = -0.0168, ay = -0.2481, az =  9.9423, gx =  0.0036 rad/s, gy = -0.0174 rad/s, gz =  0.0130 rad/s, rpm_pitch =  0.0000, rpm_roll = 105.8824, I_w_pitch =  1.6688 A, I_w_roll =  4.0148 A, theta_pitch = -16.48314mrad, theta_roll_comp = -39.7983 mrad, theta_setpoint = -46.6494 mrad, 
msg = 1259, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25182 ms, ax =  0.0348, ay = -0.2050, az =  9.9375, gx = -0.0012 rad/s, gy = -0.0126 rad/s, gz =  0.0012 rad/s, rpm_pitch =  0.0000, rpm_roll = 105.8824, I_w_pitch =  1.4647 A, I_w_roll =  2.3712 A, theta_pitch = -16.40085mrad, theta_roll_comp = -39.7127 mrad, theta_setpoint = -46.6494 mrad, 
msg = 1260, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25202 ms, ax =  0.0324, ay = -0.0791, az = 10.0274, gx = -0.0024 rad/s, gy = -0.0030 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = 105.2473, I_w_pitch =  1.0662 A, I_w_roll =  1.9872 A, theta_pitch = -16.30082mrad, theta_roll_comp = -39.5842 mrad, theta_setpoint = -46.6095 mrad, 
msg = 1261, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25222 ms, ax = -0.0479, ay = -0.1750, az = 10.0226, gx =  0.0042 rad/s, gy =  0.0114 rad/s, gz = -0.0214 rad/s, rpm_pitch =  0.0000, rpm_roll = 105.2473, I_w_pitch =  0.4178 A, I_w_roll =  4.3603 A, theta_pitch = -15.81284mrad, theta_roll_comp = -39.3606 mrad, theta_setpoint = -46.6095 mrad, 
msg = 1262, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25242 ms, ax = -0.1007, ay = -0.3273, az =  9.9998, gx = -0.0041 rad/s, gy =  0.0263 rad/s, gz = -0.0238 rad/s, rpm_pitch =  0.0000, rpm_roll = 105.6150, I_w_pitch = -0.3072 A, I_w_roll =  1.5273 A, theta_pitch = -14.95638mrad, theta_roll_comp = -39.2427 mrad, theta_setpoint = -46.6326 mrad, 
msg = 1263, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25262 ms, ax = -0.0324, ay = -0.4016, az = 10.0142, gx = -0.0042 rad/s, gy =  0.0359 rad/s, gz = -0.0245 rad/s, rpm_pitch =  0.0000, rpm_roll = 106.4505, I_w_pitch = -0.8505 A, I_w_roll =  1.5301 A, theta_pitch = -13.89095mrad, theta_roll_comp = -39.1716 mrad, theta_setpoint = -46.6851 mrad, 
msg = 1264, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25282 ms, ax = -0.0324, ay = -0.5466, az =  9.9758, gx = -0.0034 rad/s, gy =  0.0408 rad/s, gz = -0.0194 rad/s, rpm_pitch =  0.0000, rpm_roll = 106.4505, I_w_pitch = -1.2121 A, I_w_roll =  1.8419 A, theta_pitch = -12.79441mrad, theta_roll_comp = -39.0912 mrad, theta_setpoint = -46.6851 mrad, 
msg = 1265, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25302 ms, ax =  0.0587, ay = -0.5346, az =  9.9159, gx = -0.0150 rad/s, gy =  0.0417 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = 108.7233, I_w_pitch = -1.4082 A, I_w_roll = -2.1731 A, theta_pitch = -11.73575mrad, theta_roll_comp = -39.1349 mrad, theta_setpoint = -46.8278 mrad, 
msg = 1266, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25322 ms, ax =  0.0923, ay = -0.3812, az = 10.0585, gx = -0.0078 rad/s, gy =  0.0363 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = 108.7233, I_w_pitch = -1.3173 A, I_w_roll =  0.3411 A, theta_pitch = -10.88562mrad, theta_roll_comp = -39.1409 mrad, theta_setpoint = -46.8278 mrad, 
msg = 1267, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25342 ms, ax =  0.0827, ay = -0.2361, az = 10.0094, gx = -0.0004 rad/s, gy =  0.0287 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = 110.9291, I_w_pitch = -1.1179 A, I_w_roll =  2.9937 A, theta_pitch = -10.19068mrad, theta_roll_comp = -39.1726 mrad, theta_setpoint = -46.9664 mrad, 
msg = 1268, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25362 ms, ax =  0.0599, ay = -0.1678, az =  9.9890, gx = -0.0131 rad/s, gy =  0.0196 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = 111.1631, I_w_pitch = -0.8360 A, I_w_roll = -1.5060 A, theta_pitch = -9.65558mrad, theta_roll_comp = -39.2514 mrad, theta_setpoint = -46.9810 mrad, 
msg = 1269, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25382 ms, ax =  0.0959, ay = -0.1247, az = 10.0154, gx = -0.0066 rad/s, gy =  0.0086 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = 111.1631, I_w_pitch = -0.4423 A, I_w_roll =  0.7257 A, theta_pitch = -9.33306mrad, theta_roll_comp = -39.3813 mrad, theta_setpoint = -46.9810 mrad, 
msg = 1270, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25402 ms, ax =  0.0551, ay = -0.3776, az =  9.9087, gx = -0.0043 rad/s, gy = -0.0010 rad/s, gz = -0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = 111.1631, I_w_pitch = -0.0793 A, I_w_roll =  1.4733 A, theta_pitch = -9.19695mrad, theta_roll_comp = -39.4929 mrad, theta_setpoint = -46.9810 mrad, 
msg = 1271, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25422 ms, ax =  0.0360, ay = -0.6749, az =  9.8548, gx = -0.0179 rad/s, gy = -0.0096 rad/s, gz = -0.0196 rad/s, rpm_pitch =  0.0000, rpm_roll = 112.3329, I_w_pitch =  0.2699 A, I_w_roll = -3.4133 A, theta_pitch = -9.25217mrad, theta_roll_comp = -39.8990 mrad, theta_setpoint = -47.0545 mrad, 
msg = 1272, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25442 ms, ax =  0.0312, ay = -0.6425, az =  9.9087, gx = -0.0143 rad/s, gy = -0.0169 rad/s, gz = -0.0285 rad/s, rpm_pitch =  0.0000, rpm_roll = 112.3329, I_w_pitch =  0.5897 A, I_w_roll = -2.3200 A, theta_pitch = -9.43135mrad, theta_roll_comp = -40.3113 mrad, theta_setpoint = -47.0545 mrad, 
msg = 1273, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25462 ms, ax =  0.0264, ay = -0.4987, az =  9.8608, gx = -0.0109 rad/s, gy = -0.0210 rad/s, gz = -0.0313 rad/s, rpm_pitch =  0.0000, rpm_roll = 112.0655, I_w_pitch =  0.7918 A, I_w_roll = -1.2096 A, theta_pitch = -9.67798mrad, theta_roll_comp = -40.5479 mrad, theta_setpoint = -47.0377 mrad, 
msg = 1274, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25482 ms, ax =  0.0132, ay = -0.2721, az =  9.9722, gx = -0.0135 rad/s, gy = -0.0227 rad/s, gz = -0.0304 rad/s, rpm_pitch =  0.0000, rpm_roll = 112.0655, I_w_pitch =  0.9088 A, I_w_roll = -2.2219 A, theta_pitch = -9.99605mrad, theta_roll_comp = -40.7484 mrad, theta_setpoint = -47.0377 mrad, 
msg = 1275, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25502 ms, ax =  0.0312, ay = -0.2086, az =  9.9998, gx = -0.0047 rad/s, gy = -0.0233 rad/s, gz = -0.0304 rad/s, rpm_pitch =  0.0000, rpm_roll = 111.2634, I_w_pitch =  0.9745 A, I_w_roll =  0.7416 A, theta_pitch = -10.29219mrad, theta_roll_comp = -40.9790 mrad, theta_setpoint = -46.9873 mrad, 
msg = 1276, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25522 ms, ax =  0.0024, ay = -0.2865, az =  9.9638, gx = -0.0042 rad/s, gy = -0.0207 rad/s, gz = -0.0246 rad/s, rpm_pitch =  0.0000, rpm_roll = 111.2634, I_w_pitch =  0.9127 A, I_w_roll =  0.8544 A, theta_pitch = -10.55486mrad, theta_roll_comp = -41.1631 mrad, theta_setpoint = -46.9873 mrad, 
msg = 1277, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25542 ms, ax =  0.0024, ay = -0.4052, az =  9.9591, gx = -0.0097 rad/s, gy = -0.0171 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = 109.5254, I_w_pitch =  0.7945 A, I_w_roll = -1.1888 A, theta_pitch = -10.72589mrad, theta_roll_comp = -41.3849 mrad, theta_setpoint = -46.8782 mrad, 
msg = 1278, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25562 ms, ax =  0.0360, ay = -0.4519, az =  9.9734, gx = -0.0071 rad/s, gy = -0.0171 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 108.7567, I_w_pitch =  0.8197 A, I_w_roll = -0.3920 A, theta_pitch = -10.89357mrad, theta_roll_comp = -41.5583 mrad, theta_setpoint = -46.8299 mrad, 
msg = 1279, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25582 ms, ax =  0.0348, ay = -0.6401, az =  9.8895, gx = -0.0045 rad/s, gy = -0.0187 rad/s, gz = -0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = 108.7567, I_w_pitch =  0.9088 A, I_w_roll =  0.4639 A, theta_pitch = -11.06153mrad, theta_roll_comp = -41.7488 mrad, theta_setpoint = -46.8299 mrad, 
msg = 1280, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25602 ms, ax =  0.0288, ay = -0.6209, az =  9.8332, gx = -0.0158 rad/s, gy = -0.0201 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = 107.4198, I_w_pitch =  0.9926 A, I_w_roll = -3.6686 A, theta_pitch = -11.26516mrad, theta_roll_comp = -42.0928 mrad, theta_setpoint = -46.7460 mrad, 
msg = 1281, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25622 ms, ax =  0.0503, ay = -0.5586, az =  9.8811, gx = -0.0165 rad/s, gy = -0.0233 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = 106.5508, I_w_pitch =  1.1666 A, I_w_roll = -4.0434 A, theta_pitch = -11.57274mrad, theta_roll_comp = -42.3927 mrad, theta_setpoint = -46.6914 mrad, 
msg = 1282, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25642 ms, ax =  0.0851, ay = -0.5898, az =  9.8644, gx = -0.0093 rad/s, gy = -0.0279 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = 106.5508, I_w_pitch =  1.4165 A, I_w_roll = -1.6789 A, theta_pitch = -11.99640mrad, theta_roll_comp = -42.7729 mrad, theta_setpoint = -46.6914 mrad, 
msg = 1283, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25662 ms, ax =  0.0575, ay = -0.5083, az =  9.8859, gx = -0.0137 rad/s, gy = -0.0321 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.5789, I_w_pitch =  1.6587 A, I_w_roll = -3.3993 A, theta_pitch = -12.51027mrad, theta_roll_comp = -43.1053 mrad, theta_setpoint = -46.5676 mrad, 
