picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    4, qsz =  116, switch = off, t =      153 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   11, nerr =    0p/   1r, time steps =    4, qsz =  457, switch = off, t =      668 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   12, nerr =    0p/   2r, time steps =    5, qsz =  489, switch = off, t =      719 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   13, nerr =    0p/   2r, time steps =    5, qsz =  527, switch = off, t =      770 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   14, nerr =    0p/   2r, time steps =    5, qsz =  560, switch = off, t =      821 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   15, nerr =    0p/   2r, time steps =    5, qsz =  594, switch = off, t =      873 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   16, nerr =    0p/   2r, time steps =    5, qsz =  627, switch = off, t =      925 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -144.4160 A, I_w_roll = 1285.9697 A, theta_pitch = 0.72955mrad, theta_roll_comp =  1.1560 mrad, theta_setpoint = -40.0000 mrad, 
msg =   17, nerr =    0p/   2r, time steps =    5, qsz =  661, switch = off, t =      977 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -166.2799 A, I_w_roll = 1378.3540 A, theta_pitch = 146.48882mrad, theta_roll_comp = 232.1168 mrad, theta_setpoint = -40.0000 mrad, 
msg =   18, nerr =    0p/   2r, time steps =    5, qsz =  695, switch = off, t =     1029 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -186.7950 A, I_w_roll = 1465.0392 A, theta_pitch = 283.25620mrad, theta_roll_comp = 448.8297 mrad, theta_setpoint = -40.0000 mrad, 
msg =   19, nerr =    0p/   2r, time steps =    5, qsz =  733, switch = off, t =     1081 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -206.2990 A, I_w_roll = 1547.4521 A, theta_pitch = 413.28299mrad, theta_roll_comp = 654.8619 mrad, theta_setpoint = -40.0000 mrad, 
msg =   20, nerr =    0p/   2r, time steps =    5, qsz =  765, switch = off, t =     1133 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -224.7322 A, I_w_roll = 1625.3401 A, theta_pitch = 536.17072mrad, theta_roll_comp = 849.5818 mrad, theta_setpoint = -40.0000 mrad, 
msg =   21, nerr =    0p/   2r, time steps =    5, qsz =  800, switch = off, t =     1185 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -242.2787 A, I_w_roll = 1699.4818 A, theta_pitch = 653.14764mrad, theta_roll_comp = 1034.9359 mrad, theta_setpoint = -40.0000 mrad, 
msg =   22, nerr =    0p/   2r, time steps =    5, qsz =  832, switch = off, t =     1237 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -258.8334 A, I_w_roll = 1769.4325 A, theta_pitch = 763.51227mrad, theta_roll_comp = 1209.8129 mrad, theta_setpoint = -40.0000 mrad, 
msg =   23, nerr =    0p/   2r, time steps =    5, qsz =  869, switch = off, t =     1289 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -274.6060 A, I_w_roll = 1836.0781 A, theta_pitch = 868.66248mrad, theta_roll_comp = 1376.4271 mrad, theta_setpoint = -40.0000 mrad, 
msg =   24, nerr =    0p/   2r, time steps =    5, qsz =  905, switch = off, t =     1341 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -289.4838 A, I_w_roll = 1898.9436 A, theta_pitch = 967.84821mrad, theta_roll_comp = 1533.5907 mrad, theta_setpoint = -40.0000 mrad, 
msg =   25, nerr =    0p/   2r, time steps =    5, qsz =  939, switch = off, t =     1392 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -303.6630 A, I_w_roll = 1958.8564 A, theta_pitch = 1062.37585mrad, theta_roll_comp = 1683.3730 mrad, theta_setpoint = -40.0000 mrad, 
msg =   26, nerr =    0p/   2r, time steps =    5, qsz =  972, switch = off, t =     1444 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -317.0473 A, I_w_roll = 2015.4114 A, theta_pitch = 1151.60486mrad, theta_roll_comp = 1824.7601 mrad, theta_setpoint = -40.0000 mrad, 
msg =   27, nerr =    0p/   2r, time steps =    5, qsz = 1005, switch = off, t =     1496 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -329.7910 A, I_w_roll = 2069.2593 A, theta_pitch = 1236.56323mrad, theta_roll_comp = 1959.3798 mrad, theta_setpoint = -40.0000 mrad, 
msg =   28, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     1548 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -341.8153 A, I_w_roll = 2120.0671 A, theta_pitch = 1316.72510mrad, theta_roll_comp = 2086.3994 mrad, theta_setpoint = -40.0000 mrad, 
msg =   29, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     1600 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -353.2692 A, I_w_roll = 2168.4644 A, theta_pitch = 1393.08423mrad, theta_roll_comp = 2207.3923 mrad, theta_setpoint = -40.0000 mrad, 
msg =   30, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     1652 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -364.0789 A, I_w_roll = 2214.1401 A, theta_pitch = 1465.14917mrad, theta_roll_comp = 2321.5820 mrad, theta_setpoint = -40.0000 mrad, 
msg =   31, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     1704 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -374.3755 A, I_w_roll = 2257.6475 A, theta_pitch = 1533.79272mrad, theta_roll_comp = 2430.3506 mrad, theta_setpoint = -40.0000 mrad, 
msg =   32, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     1757 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -384.0871 A, I_w_roll = 2298.6833 A, theta_pitch = 1598.53687mrad, theta_roll_comp = 2532.9399 mrad, theta_setpoint = -40.0000 mrad, 
msg =   33, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     1809 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -393.5178 A, I_w_roll = 2338.5320 A, theta_pitch = 1661.40833mrad, theta_roll_comp = 2632.5615 mrad, theta_setpoint = -40.0000 mrad, 
msg =   34, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     1861 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -402.2406 A, I_w_roll = 2375.3896 A, theta_pitch = 1719.56006mrad, theta_roll_comp = 2724.7056 mrad, theta_setpoint = -40.0000 mrad, 
msg =   35, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     1913 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -410.5527 A, I_w_roll = 2410.5117 A, theta_pitch = 1774.97449mrad, theta_roll_comp = 2812.5112 mrad, theta_setpoint = -40.0000 mrad, 
msg =   36, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     1965 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -418.3947 A, I_w_roll = 2443.6477 A, theta_pitch = 1827.25439mrad, theta_roll_comp = 2895.3508 mrad, theta_setpoint = -40.0000 mrad, 
msg =   37, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2016 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -425.8668 A, I_w_roll = 2475.2207 A, theta_pitch = 1877.06836mrad, theta_roll_comp = 2974.2830 mrad, theta_setpoint = -40.0000 mrad, 
msg =   38, nerr =    0p/   2r, time steps =    5, qsz = 1021, switch = off, t =     2068 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -432.9158 A, I_w_roll = 2505.0059 A, theta_pitch = 1924.06201mrad, theta_roll_comp = 3048.7463 mrad, theta_setpoint = -40.0000 mrad, 
msg =   39, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2120 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -439.6335 A, I_w_roll = 2533.3906 A, theta_pitch = 1968.84595mrad, theta_roll_comp = 3119.7080 mrad, theta_setpoint = -40.0000 mrad, 
msg =   40, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     2172 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -445.9716 A, I_w_roll = 2560.1714 A, theta_pitch = 2011.10010mrad, theta_roll_comp = 3186.6604 mrad, theta_setpoint = -40.0000 mrad, 
msg =   41, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2224 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -452.0056 A, I_w_roll = 2585.6677 A, theta_pitch = 2051.32690mrad, theta_roll_comp = 3250.4014 mrad, theta_setpoint = -40.0000 mrad, 
msg =   42, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     2276 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -457.7017 A, I_w_roll = 2609.7361 A, theta_pitch = 2089.30054mrad, theta_roll_comp = 3310.5718 mrad, theta_setpoint = -40.0000 mrad, 
msg =   43, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2328 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -463.1280 A, I_w_roll = 2632.6650 A, theta_pitch = 2125.47632mrad, theta_roll_comp = 3367.8943 mrad, theta_setpoint = -40.0000 mrad, 
msg =   44, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     2380 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -468.2480 A, I_w_roll = 2654.2991 A, theta_pitch = 2159.60986mrad, theta_roll_comp = 3421.9790 mrad, theta_setpoint = -40.0000 mrad, 
msg =   45, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2432 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -473.1284 A, I_w_roll = 2674.9207 A, theta_pitch = 2192.14526mrad, theta_roll_comp = 3473.5334 mrad, theta_setpoint = -40.0000 mrad, 
msg =   46, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     2484 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -477.7270 A, I_w_roll = 2694.3518 A, theta_pitch = 2222.80322mrad, theta_roll_comp = 3522.1108 mrad, theta_setpoint = -40.0000 mrad, 
msg =   47, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2536 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -482.1143 A, I_w_roll = 2712.8896 A, theta_pitch = 2252.05176mrad, theta_roll_comp = 3568.4561 mrad, theta_setpoint = -40.0000 mrad, 
msg =   48, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     2588 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -486.2505 A, I_w_roll = 2730.3672 A, theta_pitch = 2279.62671mrad, theta_roll_comp = 3612.1494 mrad, theta_setpoint = -40.0000 mrad, 
msg =   49, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2640 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -490.1922 A, I_w_roll = 2747.0227 A, theta_pitch = 2305.90405mrad, theta_roll_comp = 3653.7881 mrad, theta_setpoint = -40.0000 mrad, 
msg =   50, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     2691 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -493.9121 A, I_w_roll = 2762.7407 A, theta_pitch = 2330.70361mrad, theta_roll_comp = 3693.0833 mrad, theta_setpoint = -40.0000 mrad, 
msg =   51, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2743 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -497.4549 A, I_w_roll = 2777.7109 A, theta_pitch = 2354.32251mrad, theta_roll_comp = 3730.5088 mrad, theta_setpoint = -40.0000 mrad, 
msg =   52, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     2795 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -500.7971 A, I_w_roll = 2791.8333 A, theta_pitch = 2376.60352mrad, theta_roll_comp = 3765.8142 mrad, theta_setpoint = -40.0000 mrad, 
msg =   53, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2847 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -503.9819 A, I_w_roll = 2805.2905 A, theta_pitch = 2397.83594mrad, theta_roll_comp = 3799.4578 mrad, theta_setpoint = -40.0000 mrad, 
msg =   54, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     2899 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -506.9868 A, I_w_roll = 2817.9871 A, theta_pitch = 2417.86841mrad, theta_roll_comp = 3831.1992 mrad, theta_setpoint = -40.0000 mrad, 
msg =   55, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     2951 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -509.8511 A, I_w_roll = 2830.0903 A, theta_pitch = 2436.96411mrad, theta_roll_comp = 3861.4573 mrad, theta_setpoint = -40.0000 mrad, 
msg =   56, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3003 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -512.5500 A, I_w_roll = 2841.4939 A, theta_pitch = 2454.95654mrad, theta_roll_comp = 3889.9661 mrad, theta_setpoint = -40.0000 mrad, 
