picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   82, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      822 ms, ax =  0.0611, ay = -6.4156, az =  7.6563, gx = -0.0010 rad/s, gy = -0.0162 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1531 A, I_w_roll = -137.3825 A, theta_pitch = -13.36477mrad, theta_roll_comp = -382.5641 mrad, theta_setpoint = -40.0000 mrad, 
msg =  114, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1142 ms, ax =  0.0935, ay = -6.4000, az =  7.6635, gx = -0.0014 rad/s, gy = -0.0064 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1116 A, I_w_roll = -172.0060 A, theta_pitch = -15.71570mrad, theta_roll_comp = -468.7733 mrad, theta_setpoint = -40.0000 mrad, 
msg =  115, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1152 ms, ax =  0.0923, ay = -6.4072, az =  7.6659, gx = -0.0014 rad/s, gy = -0.0061 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1048 A, I_w_roll = -172.9175 A, theta_pitch = -15.74172mrad, theta_roll_comp = -471.0522 mrad, theta_setpoint = -40.0000 mrad, 
msg =  116, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1162 ms, ax =  0.0875, ay = -6.4108, az =  7.6719, gx = -0.0016 rad/s, gy = -0.0056 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0862 A, I_w_roll = -173.8672 A, theta_pitch = -15.75921mrad, theta_roll_comp = -473.3098 mrad, theta_setpoint = -40.0000 mrad, 
msg =  117, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1172 ms, ax =  0.0839, ay = -6.4144, az =  7.6695, gx = -0.0012 rad/s, gy = -0.0054 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0821 A, I_w_roll = -174.6218 A, theta_pitch = -15.76799mrad, theta_roll_comp = -475.5458 mrad, theta_setpoint = -40.0000 mrad, 
msg =  118, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1182 ms, ax =  0.0851, ay = -6.4132, az =  7.6647, gx = -0.0012 rad/s, gy = -0.0049 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0614 A, I_w_roll = -175.5077 A, theta_pitch = -15.77194mrad, theta_roll_comp = -477.7605 mrad, theta_setpoint = -40.0000 mrad, 
msg =  119, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1192 ms, ax =  0.0827, ay = -6.4120, az =  7.6647, gx = -0.0012 rad/s, gy = -0.0046 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0506 A, I_w_roll = -176.3849 A, theta_pitch = -15.77105mrad, theta_roll_comp = -479.9537 mrad, theta_setpoint = -40.0000 mrad, 
msg =  120, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1202 ms, ax =  0.0899, ay = -6.4144, az =  7.6515, gx = -0.0012 rad/s, gy = -0.0042 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0346 A, I_w_roll = -177.2554 A, theta_pitch = -15.77052mrad, theta_roll_comp = -482.1299 mrad, theta_setpoint = -40.0000 mrad, 
msg =  121, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1212 ms, ax =  0.0911, ay = -6.4060, az =  7.6443, gx = -0.0009 rad/s, gy = -0.0037 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.0133 A, I_w_roll = -178.0252 A, theta_pitch = -15.77063mrad, theta_roll_comp = -484.2873 mrad, theta_setpoint = -40.0000 mrad, 
msg =  122, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1222 ms, ax =  0.0935, ay = -6.3964, az =  7.6455, gx = -0.0008 rad/s, gy = -0.0032 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9916 A, I_w_roll = -178.8299 A, theta_pitch = -15.76785mrad, theta_roll_comp = -486.4157 mrad, theta_setpoint = -40.0000 mrad, 
msg =  123, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1232 ms, ax =  0.0827, ay = -6.3940, az =  7.6467, gx = -0.0008 rad/s, gy = -0.0030 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9845 A, I_w_roll = -179.6707 A, theta_pitch = -15.75590mrad, theta_roll_comp = -488.5176 mrad, theta_setpoint = -40.0000 mrad, 
msg =  124, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1242 ms, ax =  0.0791, ay = -6.3988, az =  7.6455, gx = -0.0006 rad/s, gy = -0.0028 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9704 A, I_w_roll = -180.4564 A, theta_pitch = -15.73292mrad, theta_roll_comp = -490.5984 mrad, theta_setpoint = -40.0000 mrad, 
msg =  125, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1252 ms, ax =  0.0779, ay = -6.3988, az =  7.6479, gx = -0.0009 rad/s, gy = -0.0020 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9337 A, I_w_roll = -181.3748 A, theta_pitch = -15.70168mrad, theta_roll_comp = -492.6615 mrad, theta_setpoint = -40.0000 mrad, 
msg =  126, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1262 ms, ax =  0.0827, ay = -6.4000, az =  7.6419, gx = -0.0010 rad/s, gy = -0.0017 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9181 A, I_w_roll = -182.2393 A, theta_pitch = -15.66826mrad, theta_roll_comp = -494.7062 mrad, theta_setpoint = -40.0000 mrad, 
msg =  127, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1272 ms, ax =  0.0791, ay = -6.4072, az =  7.6491, gx = -0.0013 rad/s, gy = -0.0012 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8912 A, I_w_roll = -183.1448 A, theta_pitch = -15.63150mrad, theta_roll_comp = -496.7370 mrad, theta_setpoint = -40.0000 mrad, 
msg =  128, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1282 ms, ax =  0.0803, ay = -6.4048, az =  7.6587, gx = -0.0014 rad/s, gy = -0.0009 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8743 A, I_w_roll = -183.9944 A, theta_pitch = -15.58975mrad, theta_roll_comp = -498.7444 mrad, theta_setpoint = -40.0000 mrad, 
msg =  129, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1292 ms, ax =  0.0827, ay = -6.4084, az =  7.6611, gx = -0.0016 rad/s, gy = -0.0002 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8411 A, I_w_roll = -184.8356 A, theta_pitch = -15.54593mrad, theta_roll_comp = -500.7310 mrad, theta_setpoint = -40.0000 mrad, 
msg =  130, nerr =    3p/   5r, time steps =    5, qsz =    2, switch = off, t =     1302 ms, ax =  0.0875, ay = -6.4072, az =  7.6527, gx = -0.0016 rad/s, gy =  0.0000 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8240 A, I_w_roll = -185.6232 A, theta_pitch = -15.50289mrad, theta_roll_comp = -502.7000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  131, nerr =    3p/   5r, time steps =    5, qsz =    2, switch = off, t =     1312 ms, ax =  0.0863, ay = -6.4084, az =  7.6503, gx = -0.0014 rad/s, gy =  0.0003 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8069 A, I_w_roll = -186.3578 A, theta_pitch = -15.45974mrad, theta_roll_comp = -504.6529 mrad, theta_setpoint = -40.0000 mrad, 
msg =  132, nerr =    3p/   5r, time steps =    5, qsz =    2, switch = off, t =     1322 ms, ax =  0.0839, ay = -6.4156, az =  7.6467, gx = -0.0012 rad/s, gy =  0.0008 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7782 A, I_w_roll = -187.0393 A, theta_pitch = -15.41055mrad, theta_roll_comp = -506.5897 mrad, theta_setpoint = -40.0000 mrad, 
msg =  133, nerr =    3p/   5r, time steps =    5, qsz =    2, switch = off, t =     1332 ms, ax =  0.0827, ay = -6.4192, az =  7.6479, gx = -0.0013 rad/s, gy =  0.0014 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7485 A, I_w_roll = -187.8545 A, theta_pitch = -15.35430mrad, theta_roll_comp = -508.5111 mrad, theta_setpoint = -40.0000 mrad, 
msg =  134, nerr =    3p/   5r, time steps =    5, qsz =    2, switch = off, t =     1342 ms, ax =  0.0803, ay = -6.4192, az =  7.6563, gx = -0.0010 rad/s, gy =  0.0016 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7285 A, I_w_roll = -188.5211 A, theta_pitch = -15.29224mrad, theta_roll_comp = -510.4106 mrad, theta_setpoint = -40.0000 mrad, 
msg =  135, nerr =    3p/   5r, time steps =    5, qsz =    2, switch = off, t =     1352 ms, ax =  0.0779, ay = -6.4204, az =  7.6527, gx = -0.0010 rad/s, gy =  0.0019 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7078 A, I_w_roll = -189.2726 A, theta_pitch = -15.22501mrad, theta_roll_comp = -512.2895 mrad, theta_setpoint = -40.0000 mrad, 
msg =  136, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1362 ms, ax =  0.0827, ay = -6.4168, az =  7.6479, gx = -0.0008 rad/s, gy =  0.0022 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.6870 A, I_w_roll = -189.9234 A, theta_pitch = -15.15781mrad, theta_roll_comp = -514.1495 mrad, theta_setpoint = -40.0000 mrad, 
msg =  137, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1372 ms, ax =  0.0803, ay = -6.4048, az =  7.6491, gx = -0.0006 rad/s, gy =  0.0026 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.6607 A, I_w_roll = -190.6107 A, theta_pitch = -15.08912mrad, theta_roll_comp = -515.9841 mrad, theta_setpoint = -40.0000 mrad, 
msg =  138, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1382 ms, ax =  0.0743, ay = -6.3952, az =  7.6539, gx = -0.0006 rad/s, gy =  0.0030 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.6331 A, I_w_roll = -191.3328 A, theta_pitch = -15.01140mrad, theta_roll_comp = -517.7894 mrad, theta_setpoint = -40.0000 mrad, 
msg =  139, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1392 ms, ax =  0.0791, ay = -6.3976, az =  7.6551, gx = -0.0006 rad/s, gy =  0.0039 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5832 A, I_w_roll = -192.0461 A, theta_pitch = -14.92736mrad, theta_roll_comp = -519.5728 mrad, theta_setpoint = -40.0000 mrad, 
