picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   86, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      862 ms, ax =  0.4447, ay =  1.3114, az =  9.7732, gx = -0.0046 rad/s, gy = -0.0030 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7289 A, I_w_roll = 44.1117 A, theta_pitch = -27.38550mrad, theta_roll_comp = 74.3172 mrad, theta_setpoint = -40.0000 mrad, 
msg =   97, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =      972 ms, ax =  0.4327, ay =  1.3150, az =  9.7529, gx = -0.0035 rad/s, gy = -0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.0524 A, I_w_roll = 46.7985 A, theta_pitch = -29.50636mrad, theta_roll_comp = 80.1019 mrad, theta_setpoint = -40.0000 mrad, 
msg =   98, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =      982 ms, ax =  0.4375, ay =  1.3222, az =  9.7517, gx = -0.0037 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.0851 A, I_w_roll = 46.9540 A, theta_pitch = -29.68909mrad, theta_roll_comp = 80.6072 mrad, theta_setpoint = -40.0000 mrad, 
msg =   99, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =      992 ms, ax =  0.4375, ay =  1.3330, az =  9.7565, gx = -0.0038 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.1126 A, I_w_roll = 47.1105 A, theta_pitch = -29.87274mrad, theta_roll_comp = 81.1149 mrad, theta_setpoint = -40.0000 mrad, 
msg =  100, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =     1002 ms, ax =  0.4387, ay =  1.3294, az =  9.7613, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.1454 A, I_w_roll = 47.2185 A, theta_pitch = -30.05574mrad, theta_roll_comp = 81.6180 mrad, theta_setpoint = -40.0000 mrad, 
msg =  101, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =     1012 ms, ax =  0.4387, ay =  1.3318, az =  9.7649, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.1782 A, I_w_roll = 47.3699 A, theta_pitch = -30.23861mrad, theta_roll_comp = 82.1132 mrad, theta_setpoint = -40.0000 mrad, 
msg =  102, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =     1022 ms, ax =  0.4411, ay =  1.3282, az =  9.7601, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.2002 A, I_w_roll = 47.5186 A, theta_pitch = -30.42091mrad, theta_roll_comp = 82.6013 mrad, theta_setpoint = -40.0000 mrad, 
msg =  103, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =     1032 ms, ax =  0.4447, ay =  1.3330, az =  9.7601, gx = -0.0041 rad/s, gy = -0.0037 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.2385 A, I_w_roll = 47.8060 A, theta_pitch = -30.60542mrad, theta_roll_comp = 83.0867 mrad, theta_setpoint = -40.0000 mrad, 
msg =  104, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =     1042 ms, ax =  0.4435, ay =  1.3306, az =  9.7685, gx = -0.0042 rad/s, gy = -0.0040 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.2771 A, I_w_roll = 47.9519 A, theta_pitch = -30.79156mrad, theta_roll_comp = 83.5681 mrad, theta_setpoint = -40.0000 mrad, 
msg =  105, nerr =    2p/   2r, time steps =    5, qsz =    2, switch = off, t =     1052 ms, ax =  0.4423, ay =  1.3294, az =  9.7697, gx = -0.0043 rad/s, gy = -0.0041 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.3101 A, I_w_roll = 48.0945 A, theta_pitch = -30.97639mrad, theta_roll_comp = 84.0410 mrad, theta_setpoint = -40.0000 mrad, 
msg =  106, nerr =    2p/   3r, time steps =    5, qsz =    2, switch = off, t =     1062 ms, ax =  0.4447, ay =  1.3294, az =  9.7697, gx = -0.0043 rad/s, gy = -0.0038 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.3269 A, I_w_roll = 48.2813 A, theta_pitch = -31.15925mrad, theta_roll_comp = 84.5080 mrad, theta_setpoint = -40.0000 mrad, 
msg =  107, nerr =    2p/   3r, time steps =    5, qsz =    2, switch = off, t =     1072 ms, ax =  0.4471, ay =  1.3366, az =  9.7744, gx = -0.0045 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.3379 A, I_w_roll = 48.4207 A, theta_pitch = -31.33929mrad, theta_roll_comp = 84.9732 mrad, theta_setpoint = -40.0000 mrad, 
msg =  108, nerr =    2p/   3r, time steps =    5, qsz =    2, switch = off, t =     1082 ms, ax =  0.4459, ay =  1.3306, az =  9.7721, gx = -0.0045 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.3645 A, I_w_roll = 48.6046 A, theta_pitch = -31.51603mrad, theta_roll_comp = 85.4328 mrad, theta_setpoint = -40.0000 mrad, 
msg =  109, nerr =    2p/   3r, time steps =    5, qsz =    2, switch = off, t =     1092 ms, ax =  0.4459, ay =  1.3186, az =  9.7697, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.3961 A, I_w_roll = 48.7832 A, theta_pitch = -31.69138mrad, theta_roll_comp = 85.8793 mrad, theta_setpoint = -40.0000 mrad, 
msg =  110, nerr =    2p/   3r, time steps =    5, qsz =    2, switch = off, t =     1102 ms, ax =  0.4411, ay =  1.3126, az =  9.7637, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.4218 A, I_w_roll = 49.0504 A, theta_pitch = -31.86305mrad, theta_roll_comp = 86.3143 mrad, theta_setpoint = -40.0000 mrad, 
msg =  111, nerr =    2p/   3r, time steps =    5, qsz =    2, switch = off, t =     1112 ms, ax =  0.4411, ay =  1.3150, az =  9.7661, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.4524 A, I_w_roll = 49.2227 A, theta_pitch = -32.03162mrad, theta_roll_comp = 86.7451 mrad, theta_setpoint = -40.0000 mrad, 
msg =  112, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1122 ms, ax =  0.4363, ay =  1.3138, az =  9.7649, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.4663 A, I_w_roll = 49.4403 A, theta_pitch = -32.19504mrad, theta_roll_comp = 87.1726 mrad, theta_setpoint = -40.0000 mrad, 
msg =  113, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1132 ms, ax =  0.4411, ay =  1.3042, az =  9.7613, gx = -0.0039 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.4905 A, I_w_roll = 49.6546 A, theta_pitch = -32.35606mrad, theta_roll_comp = 87.5918 mrad, theta_setpoint = -40.0000 mrad, 
msg =  114, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1142 ms, ax =  0.4387, ay =  1.3066, az =  9.7589, gx = -0.0038 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.5037 A, I_w_roll = 49.8666 A, theta_pitch = -32.51513mrad, theta_roll_comp = 88.0054 mrad, theta_setpoint = -40.0000 mrad, 
msg =  115, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1152 ms, ax =  0.4375, ay =  1.3042, az =  9.7625, gx = -0.0039 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.5268 A, I_w_roll = 49.9837 A, theta_pitch = -32.66960mrad, theta_roll_comp = 88.4145 mrad, theta_setpoint = -40.0000 mrad, 
msg =  116, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1162 ms, ax =  0.4399, ay =  1.3054, az =  9.7685, gx = -0.0039 rad/s, gy = -0.0032 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.5499 A, I_w_roll = 50.1450 A, theta_pitch = -32.82303mrad, theta_roll_comp = 88.8178 mrad, theta_setpoint = -40.0000 mrad, 
msg =  117, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1172 ms, ax =  0.4459, ay =  1.3090, az =  9.7625, gx = -0.0038 rad/s, gy = -0.0029 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.5624 A, I_w_roll = 50.3526 A, theta_pitch = -32.97797mrad, theta_roll_comp = 89.2204 mrad, theta_setpoint = -40.0000 mrad, 
msg =  118, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1182 ms, ax =  0.4435, ay =  1.3102, az =  9.7685, gx = -0.0037 rad/s, gy = -0.0033 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.6018 A, I_w_roll = 50.5600 A, theta_pitch = -33.13369mrad, theta_roll_comp = 89.6224 mrad, theta_setpoint = -40.0000 mrad, 
msg =  119, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1192 ms, ax =  0.4411, ay =  1.3114, az =  9.7709, gx = -0.0037 rad/s, gy = -0.0032 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.6194 A, I_w_roll = 50.7198 A, theta_pitch = -33.28645mrad, theta_roll_comp = 90.0219 mrad, theta_setpoint = -40.0000 mrad, 
msg =  120, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1202 ms, ax =  0.4435, ay =  1.3150, az =  9.7637, gx = -0.0038 rad/s, gy = -0.0030 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.6366 A, I_w_roll = 50.8322 A, theta_pitch = -33.43656mrad, theta_roll_comp = 90.4192 mrad, theta_setpoint = -40.0000 mrad, 
msg =  121, nerr =    2p/   4r, time steps =    5, qsz =    3, switch = off, t =     1212 ms, ax =  0.4459, ay =  1.3234, az =  9.7601, gx = -0.0039 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.6646 A, I_w_roll = 50.9452 A, theta_pitch = -33.58802mrad, theta_roll_comp = 90.8184 mrad, theta_setpoint = -40.0000 mrad, 
msg =  122, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1222 ms, ax =  0.4447, ay =  1.3258, az =  9.7553, gx = -0.0038 rad/s, gy = -0.0028 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.6710 A, I_w_roll = 51.1522 A, theta_pitch = -33.73710mrad, theta_roll_comp = 91.2193 mrad, theta_setpoint = -40.0000 mrad, 
msg =  123, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1232 ms, ax =  0.4435, ay =  1.3282, az =  9.7553, gx = -0.0038 rad/s, gy = -0.0029 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.6981 A, I_w_roll = 51.3124 A, theta_pitch = -33.88248mrad, theta_roll_comp = 91.6197 mrad, theta_setpoint = -40.0000 mrad, 
msg =  124, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1242 ms, ax =  0.4399, ay =  1.3354, az =  9.7553, gx = -0.0037 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.7194 A, I_w_roll = 51.5198 A, theta_pitch = -34.02448mrad, theta_roll_comp = 92.0218 mrad, theta_setpoint = -40.0000 mrad, 
msg =  125, nerr =    2p/   4r, time steps =    5, qsz =    2, switch = off, t =     1252 ms, ax =  0.4387, ay =  1.3390, az =  9.7565, gx = -0.0037 rad/s, gy = -0.0028 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.7347 A, I_w_roll = 51.6814 A, theta_pitch = -34.16201mrad, theta_roll_comp = 92.4257 mrad, theta_setpoint = -40.0000 mrad, 
msg =  126, nerr =    2p/   5r, time steps =    5, qsz =    2, switch = off, t =     1262 ms, ax =  0.4327, ay =  1.3378, az =  9.7541, gx = -0.0038 rad/s, gy = -0.0029 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.7599 A, I_w_roll = 51.7948 A, theta_pitch = -34.29438mrad, theta_roll_comp = 92.8258 mrad, theta_setpoint = -40.0000 mrad, 
msg =  127, nerr =    2p/   5r, time steps =    5, qsz =    2, switch = off, t =     1272 ms, ax =  0.4303, ay =  1.3306, az =  9.7661, gx = -0.0039 rad/s, gy = -0.0032 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.7899 A, I_w_roll = 51.9042 A, theta_pitch = -34.42316mrad, theta_roll_comp = 93.2157 mrad, theta_setpoint = -40.0000 mrad, 
msg =  128, nerr =    2p/   5r, time steps =    5, qsz =    2, switch = off, t =     1282 ms, ax =  0.4327, ay =  1.3270, az =  9.7697, gx = -0.0039 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.8200 A, I_w_roll = 52.0557 A, theta_pitch = -34.55310mrad, theta_roll_comp = 93.5946 mrad, theta_setpoint = -40.0000 mrad, 
msg =  129, nerr =    2p/   5r, time steps =    5, qsz =    2, switch = off, t =     1292 ms, ax =  0.4291, ay =  1.3270, az =  9.7661, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.8340 A, I_w_roll = 52.1114 A, theta_pitch = -34.68149mrad, theta_roll_comp = 93.9668 mrad, theta_setpoint = -40.0000 mrad, 
msg =  130, nerr =    2p/   5r, time steps =    5, qsz =    2, switch = off, t =     1302 ms, ax =  0.4339, ay =  1.3294, az =  9.7601, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.8531 A, I_w_roll = 52.2121 A, theta_pitch = -34.80905mrad, theta_roll_comp = 94.3352 mrad, theta_setpoint = -40.0000 mrad, 
msg =  131, nerr =    2p/   5r, time steps =    5, qsz =    2, switch = off, t =     1312 ms, ax =  0.4399, ay =  1.3258, az =  9.7589, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.8675 A, I_w_roll = 52.3577 A, theta_pitch = -34.94035mrad, theta_roll_comp = 94.6990 mrad, theta_setpoint = -40.0000 mrad, 
msg =  132, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1322 ms, ax =  0.4291, ay =  1.3234, az =  9.7613, gx = -0.0045 rad/s, gy = -0.0032 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.8864 A, I_w_roll = 52.4536 A, theta_pitch = -35.06663mrad, theta_roll_comp = 95.0554 mrad, theta_setpoint = -40.0000 mrad, 
msg =  133, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1332 ms, ax =  0.4351, ay =  1.3222, az =  9.7649, gx = -0.0046 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.9212 A, I_w_roll = 52.5468 A, theta_pitch = -35.19185mrad, theta_roll_comp = 95.4048 mrad, theta_setpoint = -40.0000 mrad, 
msg =  134, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1342 ms, ax =  0.4387, ay =  1.3222, az =  9.7661, gx = -0.0047 rad/s, gy = -0.0038 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.9516 A, I_w_roll = 52.6376 A, theta_pitch = -35.32374mrad, theta_roll_comp = 95.7484 mrad, theta_setpoint = -40.0000 mrad, 
msg =  135, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1352 ms, ax =  0.4375, ay =  1.3246, az =  9.7697, gx = -0.0049 rad/s, gy = -0.0038 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.9715 A, I_w_roll = 52.7270 A, theta_pitch = -35.45655mrad, theta_roll_comp = 96.0884 mrad, theta_setpoint = -40.0000 mrad, 
msg =  136, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1362 ms, ax =  0.4399, ay =  1.3246, az =  9.7673, gx = -0.0046 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.9750 A, I_w_roll = 52.9555 A, theta_pitch = -35.58652mrad, theta_roll_comp = 96.4266 mrad, theta_setpoint = -40.0000 mrad, 
msg =  137, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1372 ms, ax =  0.4399, ay =  1.3246, az =  9.7661, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.9943 A, I_w_roll = 53.2308 A, theta_pitch = -35.71468mrad, theta_roll_comp = 96.7653 mrad, theta_setpoint = -40.0000 mrad, 
msg =  138, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1382 ms, ax =  0.4447, ay =  1.3282, az =  9.7637, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.0245 A, I_w_roll = 53.3664 A, theta_pitch = -35.84554mrad, theta_roll_comp = 97.1044 mrad, theta_setpoint = -40.0000 mrad, 
msg =  139, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1392 ms, ax =  0.4507, ay =  1.3210, az =  9.7637, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.0450 A, I_w_roll = 53.5000 A, theta_pitch = -35.98201mrad, theta_roll_comp = 97.4383 mrad, theta_setpoint = -40.0000 mrad, 
msg =  140, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1402 ms, ax =  0.4507, ay =  1.3114, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.0657 A, I_w_roll = 53.5819 A, theta_pitch = -36.11993mrad, theta_roll_comp = 97.7595 mrad, theta_setpoint = -40.0000 mrad, 
msg =  141, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1412 ms, ax =  0.4507, ay =  1.3138, az =  9.7685, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.0862 A, I_w_roll = 53.7074 A, theta_pitch = -36.25638mrad, theta_roll_comp = 98.0735 mrad, theta_setpoint = -40.0000 mrad, 
msg =  142, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1422 ms, ax =  0.4519, ay =  1.3186, az =  9.7685, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.0956 A, I_w_roll = 53.9269 A, theta_pitch = -36.39058mrad, theta_roll_comp = 98.3891 mrad, theta_setpoint = -40.0000 mrad, 
msg =  143, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1432 ms, ax =  0.4507, ay =  1.3174, az =  9.7661, gx = -0.0041 rad/s, gy = -0.0033 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1100 A, I_w_roll = 54.0531 A, theta_pitch = -36.52155mrad, theta_roll_comp = 98.7047 mrad, theta_setpoint = -40.0000 mrad, 
