picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 8997, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179942 ms, ax =  0.0420, ay = -0.5191, az =  9.9746, gx = -0.0042 rad/s, gy =  0.0181 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.6658, I_w_pitch = -1.6859 A, I_w_roll = -3.5050 A, theta_pitch = -3.59937mrad, theta_roll_comp = -48.1931 mrad, theta_setpoint = -43.1190 mrad, 
msg = 9008, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180162 ms, ax =  0.0156, ay = -0.4351, az =  9.9782, gx = -0.0008 rad/s, gy = -0.0121 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.2487, I_w_pitch = -0.4480 A, I_w_roll = -3.1875 A, theta_pitch = -3.79138mrad, theta_roll_comp = -48.4556 mrad, theta_setpoint = -41.1460 mrad, 
msg = 9009, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180182 ms, ax = -0.0096, ay = -0.4471, az =  9.9926, gx =  0.0000 rad/s, gy = -0.0090 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = 14.1711, I_w_pitch = -0.5492 A, I_w_roll = -2.9785 A, theta_pitch = -3.93342mrad, theta_roll_comp = -48.3762 mrad, theta_setpoint = -40.8899 mrad, 
msg = 9010, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180202 ms, ax = -0.0156, ay = -0.4639, az =  9.9746, gx = -0.0008 rad/s, gy = -0.0045 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.7313, I_w_pitch = -0.7269 A, I_w_roll = -3.3024 A, theta_pitch = -3.95652mrad, theta_roll_comp = -48.3338 mrad, theta_setpoint = -40.7367 mrad, 
msg = 9011, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180222 ms, ax = -0.0084, ay = -0.4471, az =  9.9830, gx = -0.0017 rad/s, gy =  0.0003 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.7313, I_w_pitch = -0.9285 A, I_w_roll = -3.6189 A, theta_pitch = -3.89076mrad, theta_roll_comp = -48.3093 mrad, theta_setpoint = -40.7367 mrad, 
msg = 9012, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180242 ms, ax = -0.0348, ay = -0.4639, az =  9.9890, gx = -0.0013 rad/s, gy =  0.0051 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll =  6.9853, I_w_pitch = -1.1473 A, I_w_roll = -3.5903 A, theta_pitch = -3.71027mrad, theta_roll_comp = -48.2893 mrad, theta_setpoint = -40.4387 mrad, 
msg = 9013, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180262 ms, ax =  0.0024, ay = -0.4663, az =  9.9878, gx = -0.0028 rad/s, gy =  0.0084 rad/s, gz = -0.0149 rad/s, rpm_pitch = -2.3144, rpm_roll =  6.9853, I_w_pitch = -4.3702 A, I_w_roll = -4.0983 A, theta_pitch = -3.45997mrad, theta_roll_comp = -48.2776 mrad, theta_setpoint = -40.4387 mrad, 
msg = 9014, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180282 ms, ax =  0.0240, ay = -0.4136, az =  9.9794, gx = -0.0033 rad/s, gy =  0.0086 rad/s, gz = -0.0132 rad/s, rpm_pitch = -2.3144, rpm_roll =  2.3396, I_w_pitch = -4.4094 A, I_w_roll = -4.3945 A, theta_pitch = -3.23410mrad, theta_roll_comp = -48.2604 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9015, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180302 ms, ax =  0.1894, ay = -0.4267, az =  9.9543, gx = -0.0029 rad/s, gy = -0.0014 rad/s, gz = -0.0150 rad/s, rpm_pitch = -0.5240, rpm_roll =  0.0668, I_w_pitch = -1.6367 A, I_w_roll = -4.3115 A, theta_pitch = -3.31468mrad, theta_roll_comp = -48.2597 mrad, theta_setpoint = -40.0042 mrad, 
msg = 9016, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180322 ms, ax =  0.2194, ay = -0.4567, az =  9.9207, gx = -0.0037 rad/s, gy = -0.0294 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.0668, I_w_pitch =  0.2701 A, I_w_roll = -4.6108 A, theta_pitch = -3.96310mrad, theta_roll_comp = -48.3090 mrad, theta_setpoint = -40.0042 mrad, 
msg = 9017, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180342 ms, ax =  0.1510, ay = -0.4543, az =  9.9555, gx = -0.0045 rad/s, gy = -0.0579 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = -5.5816, I_w_pitch =  1.5814 A, I_w_roll = -5.0532 A, theta_pitch = -5.10646mrad, theta_roll_comp = -48.3611 mrad, theta_setpoint = -39.6495 mrad, 
msg = 9018, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180362 ms, ax =  0.0695, ay = -0.4855, az =  9.9615, gx = -0.0037 rad/s, gy = -0.0724 rad/s, gz = -0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = -5.5816, I_w_pitch =  2.3721 A, I_w_roll = -4.7994 A, theta_pitch = -6.50734mrad, theta_roll_comp = -48.4257 mrad, theta_setpoint = -39.6495 mrad, 
msg = 9019, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180382 ms, ax =  0.0120, ay = -0.4999, az =  9.9543, gx = -0.0037 rad/s, gy = -0.0741 rad/s, gz = -0.0257 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.5976, I_w_pitch =  2.6532 A, I_w_roll = -4.9900 A, theta_pitch = -7.91948mrad, theta_roll_comp = -48.5244 mrad, theta_setpoint = -39.2717 mrad, 
msg = 9020, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180402 ms, ax = -0.0204, ay = -0.4831, az =  9.9722, gx = -0.0035 rad/s, gy = -0.0668 rad/s, gz = -0.0278 rad/s, rpm_pitch =  0.0000, rpm_roll = -13.7032, I_w_pitch =  2.5448 A, I_w_roll = -5.0342 A, theta_pitch = -9.14983mrad, theta_roll_comp = -48.6191 mrad, theta_setpoint = -39.1394 mrad, 
msg = 9021, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180422 ms, ax = -0.0432, ay = -0.4891, az = 10.0058, gx = -0.0014 rad/s, gy = -0.0546 rad/s, gz = -0.0302 rad/s, rpm_pitch = -2.6201, rpm_roll = -13.7032, I_w_pitch = -1.2569 A, I_w_roll = -4.3016 A, theta_pitch = -10.10785mrad, theta_roll_comp = -48.6518 mrad, theta_setpoint = -39.1394 mrad, 
msg = 9022, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180442 ms, ax = -0.0587, ay = -0.5191, az = 10.0094, gx = -0.0005 rad/s, gy = -0.0407 rad/s, gz = -0.0309 rad/s, rpm_pitch = -2.6201, rpm_roll = -19.3516, I_w_pitch = -1.7156 A, I_w_roll = -4.1350 A, theta_pitch = -10.74283mrad, theta_roll_comp = -48.6961 mrad, theta_setpoint = -38.7847 mrad, 
msg = 9023, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180462 ms, ax =  0.0024, ay = -0.5155, az =  9.9830, gx = -0.0012 rad/s, gy = -0.0287 rad/s, gz = -0.0286 rad/s, rpm_pitch = -0.3930, rpm_roll = -22.6270, I_w_pitch =  0.8093 A, I_w_roll = -4.4751 A, theta_pitch = -11.19085mrad, theta_roll_comp = -48.7582 mrad, theta_setpoint = -38.5790 mrad, 
msg = 9024, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180482 ms, ax =  0.0336, ay = -0.4891, az =  9.9722, gx = -0.0005 rad/s, gy = -0.0255 rad/s, gz = -0.0246 rad/s, rpm_pitch =  0.0000, rpm_roll = -22.6270, I_w_pitch =  1.2536 A, I_w_roll = -4.2499 A, theta_pitch = -11.54943mrad, theta_roll_comp = -48.7777 mrad, theta_setpoint = -38.5790 mrad, 
msg = 9025, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180502 ms, ax = -0.0468, ay = -0.5083, az =  9.9998, gx =  0.0011 rad/s, gy = -0.0206 rad/s, gz = -0.0189 rad/s, rpm_pitch =  0.0000, rpm_roll = -28.7433, I_w_pitch =  1.0913 A, I_w_roll = -3.8424 A, theta_pitch = -11.78090mrad, theta_roll_comp = -48.7730 mrad, theta_setpoint = -38.1949 mrad, 
msg = 9026, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180522 ms, ax = -0.0444, ay = -0.4831, az =  9.9962, gx =  0.0003 rad/s, gy = -0.0072 rad/s, gz = -0.0139 rad/s, rpm_pitch =  0.0000, rpm_roll = -28.7433, I_w_pitch =  0.5445 A, I_w_roll = -4.1253 A, theta_pitch = -11.72216mrad, theta_roll_comp = -48.7812 mrad, theta_setpoint = -38.1949 mrad, 
msg = 9027, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180542 ms, ax = -0.0575, ay = -0.4795, az = 10.0058, gx =  0.0015 rad/s, gy =  0.0114 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -35.0602, I_w_pitch = -0.2506 A, I_w_roll = -3.8500 A, theta_pitch = -11.35719mrad, theta_roll_comp = -48.7447 mrad, theta_setpoint = -37.7982 mrad, 
msg = 9028, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180562 ms, ax = -0.0719, ay = -0.4483, az =  9.9974, gx =  0.0027 rad/s, gy =  0.0304 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -38.5027, I_w_pitch = -1.1310 A, I_w_roll = -3.4843 A, theta_pitch = -10.56500mrad, theta_roll_comp = -48.6629 mrad, theta_setpoint = -37.5820 mrad, 
msg = 9029, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180582 ms, ax = -0.0456, ay = -0.4531, az =  9.9938, gx =  0.0015 rad/s, gy =  0.0484 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -38.5027, I_w_pitch = -2.0184 A, I_w_roll = -3.8795 A, theta_pitch = -9.44305mrad, theta_roll_comp = -48.6024 mrad, theta_setpoint = -37.5820 mrad, 
msg = 9030, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180602 ms, ax = -0.0515, ay = -0.4052, az = 10.0010, gx =  0.0028 rad/s, gy =  0.0620 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -44.6858, I_w_pitch = -2.7668 A, I_w_roll = -3.5235 A, theta_pitch = -8.07530mrad, theta_roll_comp = -48.4892 mrad, theta_setpoint = -37.1937 mrad, 
msg = 9031, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180622 ms, ax =  0.0324, ay = -0.5095, az =  9.9638, gx =  0.0036 rad/s, gy =  0.0693 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -44.6858, I_w_pitch = -3.2780 A, I_w_roll = -3.2118 A, theta_pitch = -6.61991mrad, theta_roll_comp = -48.4089 mrad, theta_setpoint = -37.1937 mrad, 
msg = 9032, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180642 ms, ax =  0.0611, ay = -0.4843, az =  9.9423, gx =  0.0023 rad/s, gy =  0.0693 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -50.6016, I_w_pitch = -3.4856 A, I_w_roll = -3.7903 A, theta_pitch = -5.23640mrad, theta_roll_comp = -48.3186 mrad, theta_setpoint = -36.8222 mrad, 
msg = 9033, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180662 ms, ax =  0.0839, ay = -0.4771, az =  9.9746, gx =  0.0026 rad/s, gy =  0.0633 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.9439, I_w_pitch = -3.4363 A, I_w_roll = -3.7553 A, theta_pitch = -3.96720mrad, theta_roll_comp = -48.2542 mrad, theta_setpoint = -36.6123 mrad, 
msg = 9034, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180682 ms, ax =  0.0935, ay = -0.4927, az =  9.9591, gx =  0.0027 rad/s, gy =  0.0509 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.9439, I_w_pitch = -3.0930 A, I_w_roll = -3.6824 A, theta_pitch = -2.95347mrad, theta_roll_comp = -48.1885 mrad, theta_setpoint = -36.6123 mrad, 
msg = 9035, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180702 ms, ax =  0.0947, ay = -0.5274, az =  9.9411, gx =  0.0030 rad/s, gy =  0.0355 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.4251, I_w_pitch = -2.5808 A, I_w_roll = -3.7167 A, theta_pitch = -2.24951mrad, theta_roll_comp = -48.1631 mrad, theta_setpoint = -36.2681 mrad, 
msg = 9036, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180722 ms, ax =  0.0815, ay = -0.4471, az =  9.9579, gx =  0.0027 rad/s, gy =  0.0217 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.4251, I_w_pitch = -2.0976 A, I_w_roll = -3.7886 A, theta_pitch = -1.81320mrad, theta_roll_comp = -48.1098 mrad, theta_setpoint = -36.2681 mrad, 
msg = 9037, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180742 ms, ax =  0.0563, ay = -0.4699, az =  9.9638, gx =  0.0020 rad/s, gy =  0.0123 rad/s, gz = -0.0020 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.4746, I_w_pitch = -1.7548 A, I_w_roll = -4.1515 A, theta_pitch = -1.57775mrad, theta_roll_comp = -48.0547 mrad, theta_setpoint = -35.8882 mrad, 
msg = 9038, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180762 ms, ax =  0.0024, ay = -0.4951, az =  9.9579, gx =  0.0020 rad/s, gy =  0.0082 rad/s, gz = -0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.2821, I_w_pitch = -1.6172 A, I_w_roll = -4.2156 A, theta_pitch = -1.39408mrad, theta_roll_comp = -48.0386 mrad, theta_setpoint = -35.7119 mrad, 
msg = 9039, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180782 ms, ax =  0.0084, ay = -0.5262, az =  9.9662, gx =  0.0036 rad/s, gy =  0.0086 rad/s, gz =  0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.2821, I_w_pitch = -1.6615 A, I_w_roll = -3.6360 A, theta_pitch = -1.20547mrad, theta_roll_comp = -47.9875 mrad, theta_setpoint = -35.7119 mrad, 
msg = 9040, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180802 ms, ax = -0.0096, ay = -0.5370, az =  9.9674, gx =  0.0044 rad/s, gy =  0.0096 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -74.3650, I_w_pitch = -1.7366 A, I_w_roll = -3.5004 A, theta_pitch = -0.98904mrad, theta_roll_comp = -47.9656 mrad, theta_setpoint = -35.3299 mrad, 
msg = 9041, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180822 ms, ax = -0.0264, ay = -0.4939, az =  9.9734, gx =  0.0050 rad/s, gy =  0.0128 rad/s, gz = -0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -74.3650, I_w_pitch = -1.9057 A, I_w_roll = -3.2975 A, theta_pitch = -0.71371mrad, theta_roll_comp = -47.9246 mrad, theta_setpoint = -35.3299 mrad, 
msg = 9042, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180842 ms, ax = -0.0408, ay = -0.4483, az =  9.9974, gx =  0.0066 rad/s, gy =  0.0189 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -80.7821, I_w_pitch = -2.2095 A, I_w_roll = -2.8472 A, theta_pitch = -0.32189mrad, theta_roll_comp = -47.7938 mrad, theta_setpoint = -34.9269 mrad, 
msg = 9043, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180862 ms, ax = -0.0563, ay = -0.4184, az = 10.0010, gx =  0.0072 rad/s, gy =  0.0256 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -83.8569, I_w_pitch = -2.5572 A, I_w_roll = -2.6342 A, theta_pitch = 0.22118mrad, theta_roll_comp = -47.6509 mrad, theta_setpoint = -34.7338 mrad, 
msg = 9044, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180882 ms, ax = -0.0539, ay = -0.3920, az =  9.9830, gx =  0.0072 rad/s, gy =  0.0320 rad/s, gz = -0.0108 rad/s, rpm_pitch = -4.5415, rpm_roll = -83.8569, I_w_pitch = -8.9035 A, I_w_roll = -2.5786 A, theta_pitch = 0.89627mrad, theta_roll_comp = -47.5119 mrad, theta_setpoint = -34.7338 mrad, 
msg = 9045, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180902 ms, ax = -0.0192, ay = -0.3237, az = 10.0046, gx =  0.0079 rad/s, gy =  0.0371 rad/s, gz = -0.0123 rad/s, rpm_pitch = -0.2183, rpm_roll = -89.7059, I_w_pitch = -3.5155 A, I_w_roll = -2.4066 A, theta_pitch = 1.63609mrad, theta_roll_comp = -47.2971 mrad, theta_setpoint = -34.3665 mrad, 
msg = 9046, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180922 ms, ax =  0.2829, ay = -0.3009, az =  9.9279, gx =  0.0084 rad/s, gy =  0.0236 rad/s, gz = -0.0157 rad/s, rpm_pitch = -0.2183, rpm_roll = -92.4465, I_w_pitch = -3.0339 A, I_w_roll = -2.1931 A, theta_pitch = 2.01218mrad, theta_roll_comp = -47.0573 mrad, theta_setpoint = -34.1944 mrad, 
msg = 9047, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180942 ms, ax =  0.1079, ay = -0.3764, az =  9.9459, gx =  0.0072 rad/s, gy = -0.0106 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.4465, I_w_pitch = -1.3612 A, I_w_roll = -2.5535 A, theta_pitch = 1.90565mrad, theta_roll_comp = -46.9097 mrad, theta_setpoint = -34.1944 mrad, 
msg = 9048, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180962 ms, ax =  0.0683, ay = -0.3836, az =  9.9986, gx =  0.0058 rad/s, gy = -0.0330 rad/s, gz = -0.0015 rad/s, rpm_pitch =  0.0000, rpm_roll = -97.3596, I_w_pitch = -0.3661 A, I_w_roll = -3.1267 A, theta_pitch = 1.23697mrad, theta_roll_comp = -46.7526 mrad, theta_setpoint = -33.8858 mrad, 
msg = 9049, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   180982 ms, ax =  0.0563, ay = -0.4687, az =  9.9339, gx =  0.0055 rad/s, gy = -0.0455 rad/s, gz =  0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -97.3596, I_w_pitch =  0.2818 A, I_w_roll = -3.1501 A, theta_pitch = 0.25534mrad, theta_roll_comp = -46.5779 mrad, theta_setpoint = -33.8858 mrad, 
msg = 9050, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181002 ms, ax = -0.0312, ay = -0.5598, az =  9.9027, gx =  0.0052 rad/s, gy = -0.0464 rad/s, gz =  0.0134 rad/s, rpm_pitch =  0.0000, rpm_roll = -101.7714, I_w_pitch =  0.4662 A, I_w_roll = -3.3322 A, theta_pitch = -0.72524mrad, theta_roll_comp = -46.5232 mrad, theta_setpoint = -33.6088 mrad, 
msg = 9051, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181022 ms, ax = -0.0288, ay = -0.6137, az =  9.9722, gx =  0.0042 rad/s, gy = -0.0364 rad/s, gz =  0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = -104.1110, I_w_pitch =  0.1761 A, I_w_roll = -3.7539 A, theta_pitch = -1.45444mrad, theta_roll_comp = -46.4985 mrad, theta_setpoint = -33.4618 mrad, 
msg = 9052, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181042 ms, ax = -0.0851, ay = -0.5622, az =  9.9962, gx =  0.0035 rad/s, gy = -0.0227 rad/s, gz =  0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -104.1110, I_w_pitch = -0.3070 A, I_w_roll = -3.9562 A, theta_pitch = -1.89086mrad, theta_roll_comp = -46.4215 mrad, theta_setpoint = -33.4618 mrad, 
msg = 9053, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181062 ms, ax = -0.0791, ay = -0.4088, az =  9.9962, gx =  0.0032 rad/s, gy = -0.0050 rad/s, gz =  0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -109.1243, I_w_pitch = -1.0075 A, I_w_roll = -4.1244 A, theta_pitch = -1.94347mrad, theta_roll_comp = -46.2943 mrad, theta_setpoint = -33.1470 mrad, 
msg = 9054, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181082 ms, ax = -0.0959, ay = -0.3656, az = 10.0034, gx =  0.0046 rad/s, gy =  0.0116 rad/s, gz =  0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -109.1243, I_w_pitch = -1.7183 A, I_w_roll = -3.6291 A, theta_pitch = -1.64357mrad, theta_roll_comp = -46.2212 mrad, theta_setpoint = -33.1470 mrad, 
