picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -0.0000, rpm_roll =  0.0000, I_w_pitch =  0.0000 A, I_w_roll = 8893892.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = 47223.9258 mrad, 
msg =   11, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      222 ms, ax = -0.0336, ay = -0.0863, az =  9.9710, gx = -0.0045 rad/s, gy =  0.0002 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2814 A, I_w_roll = 16.2064 A, theta_pitch = -8.16874mrad, theta_roll_comp =  4.4374 mrad, theta_setpoint = -40.0000 mrad, 
msg =   12, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      242 ms, ax = -0.0324, ay = -0.0899, az =  9.9902, gx = -0.0049 rad/s, gy = -0.0002 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2994 A, I_w_roll = 15.9227 A, theta_pitch = -7.94225mrad, theta_roll_comp =  4.0776 mrad, theta_setpoint = -40.0000 mrad, 
msg =   13, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      262 ms, ax = -0.0276, ay = -0.0935, az =  9.9866, gx = -0.0053 rad/s, gy = -0.0013 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2871 A, I_w_roll = 15.6350 A, theta_pitch = -7.74076mrad, theta_roll_comp =  3.7080 mrad, theta_setpoint = -40.0000 mrad, 
msg =   14, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      282 ms, ax = -0.0288, ay = -0.0959, az =  9.9842, gx = -0.0051 rad/s, gy = -0.0018 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2925 A, I_w_roll = 15.5349 A, theta_pitch = -7.56222mrad, theta_roll_comp =  3.3412 mrad, theta_setpoint = -40.0000 mrad, 
msg =   15, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      302 ms, ax = -0.0300, ay = -0.0863, az =  9.9890, gx = -0.0057 rad/s, gy = -0.0022 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3017 A, I_w_roll = 15.2082 A, theta_pitch = -7.39437mrad, theta_roll_comp =  2.9905 mrad, theta_setpoint = -40.0000 mrad, 
msg =   16, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      322 ms, ax = -0.0180, ay = -0.0827, az =  9.9950, gx = -0.0059 rad/s, gy = -0.0022 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3242 A, I_w_roll = 14.9792 A, theta_pitch = -7.24429mrad, theta_roll_comp =  2.6510 mrad, theta_setpoint = -40.0000 mrad, 
msg =   17, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      342 ms, ax = -0.0144, ay = -0.0875, az =  9.9878, gx = -0.0065 rad/s, gy = -0.0020 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3544 A, I_w_roll = 14.6534 A, theta_pitch = -7.11425mrad, theta_roll_comp =  2.3024 mrad, theta_setpoint = -40.0000 mrad, 
msg =   18, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      362 ms, ax = -0.0072, ay = -0.0911, az =  9.9854, gx = -0.0070 rad/s, gy = -0.0018 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3786 A, I_w_roll = 14.3237 A, theta_pitch = -6.98829mrad, theta_roll_comp =  1.9444 mrad, theta_setpoint = -40.0000 mrad, 
msg =   19, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      382 ms, ax =  0.0000, ay = -0.0863, az =  9.9986, gx = -0.0074 rad/s, gy = -0.0020 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3900 A, I_w_roll = 14.0399 A, theta_pitch = -6.87719mrad, theta_roll_comp =  1.5842 mrad, theta_setpoint = -40.0000 mrad, 
msg =   20, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      402 ms, ax = -0.0012, ay = -0.0851, az =  9.9938, gx = -0.0081 rad/s, gy = -0.0016 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4206 A, I_w_roll = 13.6633 A, theta_pitch = -6.77967mrad, theta_roll_comp =  1.2255 mrad, theta_setpoint = -40.0000 mrad, 
msg =   21, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      422 ms, ax =  0.0012, ay = -0.0839, az =  9.9938, gx = -0.0083 rad/s, gy = -0.0008 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4686 A, I_w_roll = 13.4280 A, theta_pitch = -6.67233mrad, theta_roll_comp =  0.8702 mrad, theta_setpoint = -40.0000 mrad, 
msg =   22, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      442 ms, ax =  0.0060, ay = -0.0851, az =  9.9866, gx = -0.0089 rad/s, gy = -0.0002 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5072 A, I_w_roll = 13.1011 A, theta_pitch = -6.55686mrad, theta_roll_comp =  0.5190 mrad, theta_setpoint = -40.0000 mrad, 
msg =   23, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      462 ms, ax =  0.0048, ay = -0.1007, az =  9.9782, gx = -0.0095 rad/s, gy =  0.0004 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5519 A, I_w_roll = 12.7168 A, theta_pitch = -6.43695mrad, theta_roll_comp =  0.1406 mrad, theta_setpoint = -40.0000 mrad, 
msg =   24, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      482 ms, ax = -0.0024, ay = -0.1019, az =  9.9902, gx = -0.0091 rad/s, gy =  0.0010 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5942 A, I_w_roll = 12.7002 A, theta_pitch = -6.29671mrad, theta_roll_comp = -0.2504 mrad, theta_setpoint = -40.0000 mrad, 
msg =   25, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      502 ms, ax = -0.0012, ay = -0.1103, az =  9.9878, gx = -0.0094 rad/s, gy =  0.0010 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6171 A, I_w_roll = 12.4505 A, theta_pitch = -6.14402mrad, theta_roll_comp = -0.6415 mrad, theta_setpoint = -40.0000 mrad, 
msg =   26, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      522 ms, ax =  0.0024, ay = -0.1151, az =  9.9866, gx = -0.0095 rad/s, gy =  0.0015 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6606 A, I_w_roll = 12.2440 A, theta_pitch = -5.99607mrad, theta_roll_comp = -1.0413 mrad, theta_setpoint = -40.0000 mrad, 
msg =   27, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      542 ms, ax = -0.0072, ay = -0.1163, az =  9.9914, gx = -0.0094 rad/s, gy =  0.0018 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6950 A, I_w_roll = 12.1323 A, theta_pitch = -5.83789mrad, theta_roll_comp = -1.4370 mrad, theta_setpoint = -40.0000 mrad, 
msg =   28, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      562 ms, ax = -0.0180, ay = -0.1295, az =  9.9938, gx = -0.0089 rad/s, gy =  0.0022 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7376 A, I_w_roll = 12.1583 A, theta_pitch = -5.66053mrad, theta_roll_comp = -1.8380 mrad, theta_setpoint = -40.0000 mrad, 
msg =   29, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      582 ms, ax = -0.0288, ay = -0.1343, az =  9.9890, gx = -0.0082 rad/s, gy =  0.0019 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7567 A, I_w_roll = 12.2346 A, theta_pitch = -5.46168mrad, theta_roll_comp = -2.2298 mrad, theta_setpoint = -40.0000 mrad, 
msg =   30, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      602 ms, ax = -0.0444, ay = -0.1438, az =  9.9914, gx = -0.0075 rad/s, gy =  0.0016 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7792 A, I_w_roll = 12.3135 A, theta_pitch = -5.24081mrad, theta_roll_comp = -2.6152 mrad, theta_setpoint = -40.0000 mrad, 
msg =   31, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      622 ms, ax = -0.0456, ay = -0.1403, az =  9.9902, gx = -0.0069 rad/s, gy =  0.0019 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8237 A, I_w_roll = 12.3976 A, theta_pitch = -5.01509mrad, theta_roll_comp = -2.9874 mrad, theta_setpoint = -40.0000 mrad, 
msg =   32, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      642 ms, ax = -0.0300, ay = -0.1391, az =  9.9986, gx = -0.0066 rad/s, gy =  0.0020 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8607 A, I_w_roll = 12.3511 A, theta_pitch = -4.80394mrad, theta_roll_comp = -3.3369 mrad, theta_setpoint = -40.0000 mrad, 
msg =   33, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      662 ms, ax = -0.0204, ay = -0.1426, az =  9.9974, gx = -0.0055 rad/s, gy =  0.0024 rad/s, gz = -0.0178 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9043 A, I_w_roll = 12.5921 A, theta_pitch = -4.61983mrad, theta_roll_comp = -3.6663 mrad, theta_setpoint = -40.0000 mrad, 
msg =   34, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      682 ms, ax = -0.0240, ay = -0.1510, az =  9.9914, gx = -0.0047 rad/s, gy =  0.0031 rad/s, gz = -0.0192 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9598 A, I_w_roll = 12.7419 A, theta_pitch = -4.42738mrad, theta_roll_comp = -3.9909 mrad, theta_setpoint = -40.0000 mrad, 
msg =   35, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      702 ms, ax = -0.0384, ay = -0.1438, az =  9.9902, gx = -0.0035 rad/s, gy =  0.0027 rad/s, gz = -0.0177 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9758 A, I_w_roll = 13.0443 A, theta_pitch = -4.21459mrad, theta_roll_comp = -4.2834 mrad, theta_setpoint = -40.0000 mrad, 
msg =   36, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      722 ms, ax = -0.0348, ay = -0.1391, az =  9.9998, gx = -0.0033 rad/s, gy =  0.0022 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9851 A, I_w_roll = 13.0342 A, theta_pitch = -4.01037mrad, theta_roll_comp = -4.5417 mrad, theta_setpoint = -40.0000 mrad, 
msg =   37, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      742 ms, ax = -0.0300, ay = -0.1379, az =  9.9950, gx = -0.0029 rad/s, gy =  0.0023 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0186 A, I_w_roll = 13.0760 A, theta_pitch = -3.82220mrad, theta_roll_comp = -4.7868 mrad, theta_setpoint = -40.0000 mrad, 
msg =   38, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      762 ms, ax = -0.0276, ay = -0.1462, az =  9.9806, gx = -0.0024 rad/s, gy =  0.0026 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0562 A, I_w_roll = 13.1665 A, theta_pitch = -3.64294mrad, theta_roll_comp = -5.0265 mrad, theta_setpoint = -40.0000 mrad, 
msg =   39, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      782 ms, ax = -0.0264, ay = -0.1403, az =  9.9782, gx = -0.0022 rad/s, gy =  0.0030 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0991 A, I_w_roll = 13.1213 A, theta_pitch = -3.46319mrad, theta_roll_comp = -5.2561 mrad, theta_setpoint = -40.0000 mrad, 
msg =   40, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      802 ms, ax = -0.0228, ay = -0.1367, az =  9.9866, gx = -0.0020 rad/s, gy =  0.0035 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1483 A, I_w_roll = 13.1292 A, theta_pitch = -3.27761mrad, theta_roll_comp = -5.4693 mrad, theta_setpoint = -40.0000 mrad, 
msg =   41, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      822 ms, ax = -0.0228, ay = -0.1295, az = 10.0022, gx = -0.0010 rad/s, gy =  0.0040 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1969 A, I_w_roll = 13.3831 A, theta_pitch = -3.09543mrad, theta_roll_comp = -5.6501 mrad, theta_setpoint = -40.0000 mrad, 
msg =   42, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      842 ms, ax = -0.0288, ay = -0.1319, az =  9.9782, gx = -0.0004 rad/s, gy =  0.0039 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2198 A, I_w_roll = 13.5521 A, theta_pitch = -2.90705mrad, theta_roll_comp = -5.8101 mrad, theta_setpoint = -40.0000 mrad, 
msg =   43, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      862 ms, ax = -0.0252, ay = -0.1391, az =  9.9914, gx = -0.0001 rad/s, gy =  0.0039 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2486 A, I_w_roll = 13.5824 A, theta_pitch = -2.71501mrad, theta_roll_comp = -5.9675 mrad, theta_setpoint = -40.0000 mrad, 
msg =   44, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      882 ms, ax = -0.0336, ay = -0.1331, az =  9.9986, gx =  0.0003 rad/s, gy =  0.0046 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3045 A, I_w_roll = 13.6633 A, theta_pitch = -2.51997mrad, theta_roll_comp = -6.1148 mrad, theta_setpoint = -40.0000 mrad, 
msg =   45, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      902 ms, ax = -0.0252, ay = -0.1271, az =  9.9962, gx =  0.0006 rad/s, gy =  0.0047 rad/s, gz = -0.0156 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3393 A, I_w_roll = 13.7063 A, theta_pitch = -2.32372mrad, theta_roll_comp = -6.2403 mrad, theta_setpoint = -40.0000 mrad, 
msg =   46, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      922 ms, ax = -0.0324, ay = -0.1307, az =  9.9914, gx =  0.0008 rad/s, gy =  0.0050 rad/s, gz = -0.0176 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3796 A, I_w_roll = 13.7530 A, theta_pitch = -2.12608mrad, theta_roll_comp = -6.3567 mrad, theta_setpoint = -40.0000 mrad, 
msg =   47, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      942 ms, ax = -0.0420, ay = -0.1271, az = 10.0010, gx =  0.0011 rad/s, gy =  0.0050 rad/s, gz = -0.0186 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4118 A, I_w_roll = 13.8034 A, theta_pitch = -1.91101mrad, theta_roll_comp = -6.4635 mrad, theta_setpoint = -40.0000 mrad, 
msg =   48, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      962 ms, ax = -0.0563, ay = -0.1271, az =  9.9950, gx =  0.0011 rad/s, gy =  0.0046 rad/s, gz = -0.0189 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4304 A, I_w_roll = 13.7627 A, theta_pitch = -1.68091mrad, theta_roll_comp = -6.5653 mrad, theta_setpoint = -40.0000 mrad, 
msg =   49, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      982 ms, ax = -0.0671, ay = -0.1271, az =  9.9794, gx =  0.0010 rad/s, gy =  0.0039 rad/s, gz = -0.0177 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4396 A, I_w_roll = 13.6740 A, theta_pitch = -1.44165mrad, theta_roll_comp = -6.6706 mrad, theta_setpoint = -40.0000 mrad, 
msg =   50, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1002 ms, ax = -0.0731, ay = -0.1319, az =  9.9830, gx =  0.0014 rad/s, gy =  0.0035 rad/s, gz = -0.0161 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4597 A, I_w_roll = 13.7724 A, theta_pitch = -1.20161mrad, theta_roll_comp = -6.7741 mrad, theta_setpoint = -40.0000 mrad, 
msg =   51, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1022 ms, ax = -0.0755, ay = -0.1259, az =  9.9902, gx =  0.0012 rad/s, gy =  0.0026 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4573 A, I_w_roll = 13.6865 A, theta_pitch = -0.96890mrad, theta_roll_comp = -6.8724 mrad, theta_setpoint = -40.0000 mrad, 
msg =   52, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1042 ms, ax = -0.0707, ay = -0.1259, az =  9.9890, gx =  0.0011 rad/s, gy =  0.0020 rad/s, gz = -0.0139 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4672 A, I_w_roll = 13.6053 A, theta_pitch = -0.76093mrad, theta_roll_comp = -6.9588 mrad, theta_setpoint = -40.0000 mrad, 
msg =   53, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1062 ms, ax = -0.0815, ay = -0.1211, az =  9.9950, gx =  0.0010 rad/s, gy =  0.0016 rad/s, gz = -0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4815 A, I_w_roll = 13.5250 A, theta_pitch = -0.55888mrad, theta_roll_comp = -7.0430 mrad, theta_setpoint = -40.0000 mrad, 
msg =   54, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1082 ms, ax = -0.0827, ay = -0.1235, az =  9.9950, gx =  0.0007 rad/s, gy =  0.0008 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4801 A, I_w_roll = 13.3963 A, theta_pitch = -0.35522mrad, theta_roll_comp = -7.1319 mrad, theta_setpoint = -40.0000 mrad, 
msg =   55, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1102 ms, ax = -0.0779, ay = -0.1187, az =  9.9962, gx =  0.0012 rad/s, gy = -0.0004 rad/s, gz = -0.0161 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4575 A, I_w_roll = 13.5505 A, theta_pitch = -0.18620mrad, theta_roll_comp = -7.2124 mrad, theta_setpoint = -40.0000 mrad, 
msg =   56, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1122 ms, ax = -0.0755, ay = -0.1151, az =  9.9938, gx =  0.0014 rad/s, gy = -0.0009 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4576 A, I_w_roll = 13.5738 A, theta_pitch = -0.04361mrad, theta_roll_comp = -7.2706 mrad, theta_setpoint = -40.0000 mrad, 
msg =   57, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1142 ms, ax = -0.0767, ay = -0.1259, az =  9.9830, gx =  0.0012 rad/s, gy = -0.0021 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4286 A, I_w_roll = 13.4983 A, theta_pitch = 0.08243mrad, theta_roll_comp = -7.3428 mrad, theta_setpoint = -40.0000 mrad, 
