picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.1004 A, I_w_roll = -12.4082 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   11, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      222 ms, ax = -0.1522, ay = -0.6173, az =  9.9423, gx = -0.0111 rad/s, gy = -0.0253 rad/s, gz = -0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7446 A, I_w_roll =  6.8129 A, theta_pitch = 1.70098mrad, theta_roll_comp = -13.2209 mrad, theta_setpoint = -40.0000 mrad, 
msg =   12, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      242 ms, ax = -0.1235, ay = -0.6281, az =  9.9555, gx = -0.0086 rad/s, gy = -0.0273 rad/s, gz = -0.0244 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6209 A, I_w_roll =  7.2336 A, theta_pitch = 1.40896mrad, theta_roll_comp = -14.3829 mrad, theta_setpoint = -40.0000 mrad, 
msg =   13, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      262 ms, ax = -0.1115, ay = -0.6521, az =  9.9531, gx = -0.0067 rad/s, gy = -0.0289 rad/s, gz = -0.0266 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5035 A, I_w_roll =  7.4278 A, theta_pitch = 1.05206mrad, theta_roll_comp = -15.5284 mrad, theta_setpoint = -40.0000 mrad, 
msg =   14, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      282 ms, ax = -0.1019, ay = -0.6785, az =  9.9603, gx = -0.0051 rad/s, gy = -0.0295 rad/s, gz = -0.0176 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4187 A, I_w_roll =  7.5345 A, theta_pitch = 0.66486mrad, theta_roll_comp = -16.6599 mrad, theta_setpoint = -40.0000 mrad, 
msg =   15, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      302 ms, ax = -0.0899, ay = -0.6953, az =  9.9447, gx = -0.0017 rad/s, gy = -0.0307 rad/s, gz = -0.0007 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3077 A, I_w_roll =  8.3051 A, theta_pitch = 0.24387mrad, theta_roll_comp = -17.7626 mrad, theta_setpoint = -40.0000 mrad, 
msg =   16, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      322 ms, ax = -0.0599, ay = -0.6941, az =  9.9375, gx =  0.0008 rad/s, gy = -0.0319 rad/s, gz =  0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1876 A, I_w_roll =  8.7724 A, theta_pitch = -0.23703mrad, theta_roll_comp = -18.8082 mrad, theta_setpoint = -40.0000 mrad, 
msg =   17, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      342 ms, ax = -0.0228, ay = -0.6761, az =  9.9483, gx =  0.0036 rad/s, gy = -0.0326 rad/s, gz =  0.0324 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0770 A, I_w_roll =  9.3756 A, theta_pitch = -0.79663mrad, theta_roll_comp = -19.7467 mrad, theta_setpoint = -40.0000 mrad, 
msg =   18, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      362 ms, ax =  0.0120, ay = -0.6485, az =  9.9435, gx =  0.0075 rad/s, gy = -0.0339 rad/s, gz =  0.0377 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0717 A, I_w_roll = 10.4002 A, theta_pitch = -1.43329mrad, theta_roll_comp = -20.5641 mrad, theta_setpoint = -40.0000 mrad, 
msg =   19, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      382 ms, ax =  0.0468, ay = -0.6305, az =  9.9495, gx =  0.0110 rad/s, gy = -0.0343 rad/s, gz =  0.0326 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1942 A, I_w_roll = 11.3416 A, theta_pitch = -2.14318mrad, theta_roll_comp = -21.2397 mrad, theta_setpoint = -40.0000 mrad, 
msg =   20, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      402 ms, ax =  0.0599, ay = -0.6185, az =  9.9626, gx =  0.0147 rad/s, gy = -0.0339 rad/s, gz =  0.0186 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2891 A, I_w_roll = 12.4219 A, theta_pitch = -2.88206mrad, theta_roll_comp = -21.8014 mrad, theta_setpoint = -40.0000 mrad, 
msg =   21, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      422 ms, ax =  0.0755, ay = -0.6233, az =  9.9686, gx =  0.0179 rad/s, gy = -0.0323 rad/s, gz =  0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3352 A, I_w_roll = 13.3515 A, theta_pitch = -3.61572mrad, theta_roll_comp = -22.2735 mrad, theta_setpoint = -40.0000 mrad, 
msg =   22, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      442 ms, ax =  0.0851, ay = -0.6317, az =  9.9710, gx =  0.0212 rad/s, gy = -0.0302 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3556 A, I_w_roll = 14.3511 A, theta_pitch = -4.32016mrad, theta_roll_comp = -22.6872 mrad, theta_setpoint = -40.0000 mrad, 
msg =   23, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      462 ms, ax =  0.1067, ay = -0.6521, az =  9.9794, gx =  0.0244 rad/s, gy = -0.0277 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3552 A, I_w_roll = 15.3233 A, theta_pitch = -4.99214mrad, theta_roll_comp = -23.0530 mrad, theta_setpoint = -40.0000 mrad, 
msg =   24, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      482 ms, ax =  0.1187, ay = -0.6593, az =  9.9591, gx =  0.0287 rad/s, gy = -0.0250 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3453 A, I_w_roll = 16.6881 A, theta_pitch = -5.63607mrad, theta_roll_comp = -23.3695 mrad, theta_setpoint = -40.0000 mrad, 
msg =   25, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      502 ms, ax =  0.1295, ay = -0.6317, az =  9.9363, gx =  0.0317 rad/s, gy = -0.0226 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3401 A, I_w_roll = 17.6741 A, theta_pitch = -6.24083mrad, theta_roll_comp = -23.5840 mrad, theta_setpoint = -40.0000 mrad, 
msg =   26, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      522 ms, ax =  0.1582, ay = -0.6030, az =  9.9806, gx =  0.0340 rad/s, gy = -0.0191 rad/s, gz = -0.0019 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2874 A, I_w_roll = 18.4289 A, theta_pitch = -6.81257mrad, theta_roll_comp = -23.6776 mrad, theta_setpoint = -40.0000 mrad, 
msg =   27, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      542 ms, ax =  0.1930, ay = -0.5754, az =  9.9998, gx =  0.0353 rad/s, gy = -0.0154 rad/s, gz =  0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2216 A, I_w_roll = 18.8928 A, theta_pitch = -7.36796mrad, theta_roll_comp = -23.6832 mrad, theta_setpoint = -40.0000 mrad, 
msg =   28, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      562 ms, ax =  0.2278, ay = -0.5706, az =  9.9674, gx =  0.0377 rad/s, gy = -0.0101 rad/s, gz =  0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0861 A, I_w_roll = 19.7549 A, theta_pitch = -7.88498mrad, theta_roll_comp = -23.6251 mrad, theta_setpoint = -40.0000 mrad, 
msg =   29, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      582 ms, ax =  0.2625, ay = -0.5250, az =  9.9519, gx =  0.0388 rad/s, gy = -0.0037 rad/s, gz =  0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0989 A, I_w_roll = 20.1836 A, theta_pitch = -8.35603mrad, theta_roll_comp = -23.4854 mrad, theta_setpoint = -40.0000 mrad, 
msg =   30, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      602 ms, ax =  0.2697, ay = -0.4543, az =  9.9423, gx =  0.0401 rad/s, gy =  0.0024 rad/s, gz =  0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2870 A, I_w_roll = 20.7618 A, theta_pitch = -8.73550mrad, theta_roll_comp = -23.2049 mrad, theta_setpoint = -40.0000 mrad, 
msg =   31, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      622 ms, ax =  0.2553, ay = -0.3704, az =  9.9495, gx =  0.0416 rad/s, gy =  0.0083 rad/s, gz =  0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4862 A, I_w_roll = 21.4560 A, theta_pitch = -8.96975mrad, theta_roll_comp = -22.7510 mrad, theta_setpoint = -40.0000 mrad, 
msg =   32, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      642 ms, ax =  0.2230, ay = -0.2997, az =  9.9543, gx =  0.0385 rad/s, gy =  0.0147 rad/s, gz = -0.0246 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7310 A, I_w_roll = 20.6159 A, theta_pitch = -9.04173mrad, theta_roll_comp = -22.1716 mrad, theta_setpoint = -40.0000 mrad, 
msg =   33, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      662 ms, ax =  0.1810, ay = -0.2721, az =  9.9794, gx =  0.0353 rad/s, gy =  0.0197 rad/s, gz = -0.0530 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9519 A, I_w_roll = 19.7442 A, theta_pitch = -8.91875mrad, theta_roll_comp = -21.5546 mrad, theta_setpoint = -40.0000 mrad, 
msg =   34, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      682 ms, ax =  0.1307, ay = -0.2769, az =  9.9698, gx =  0.0315 rad/s, gy =  0.0237 rad/s, gz = -0.0736 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1587 A, I_w_roll = 18.6098 A, theta_pitch = -8.60523mrad, theta_roll_comp = -21.0118 mrad, theta_setpoint = -40.0000 mrad, 
msg =   35, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      702 ms, ax =  0.0743, ay = -0.3201, az =  9.9459, gx =  0.0263 rad/s, gy =  0.0271 rad/s, gz = -0.0792 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3634 A, I_w_roll = 16.9468 A, theta_pitch = -8.12839mrad, theta_roll_comp = -20.6254 mrad, theta_setpoint = -40.0000 mrad, 
msg =   36, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      722 ms, ax =  0.0216, ay = -0.3728, az =  9.9519, gx =  0.0220 rad/s, gy =  0.0289 rad/s, gz = -0.0698 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5326 A, I_w_roll = 15.5324 A, theta_pitch = -7.49734mrad, theta_roll_comp = -20.4331 mrad, theta_setpoint = -40.0000 mrad, 
msg =   37, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      742 ms, ax = -0.0228, ay = -0.3884, az =  9.9615, gx =  0.0188 rad/s, gy =  0.0297 rad/s, gz = -0.0463 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.6752 A, I_w_roll = 14.4318 A, theta_pitch = -6.75965mrad, theta_roll_comp = -20.3885 mrad, theta_setpoint = -40.0000 mrad, 
msg =   38, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      762 ms, ax = -0.0527, ay = -0.3980, az =  9.9626, gx =  0.0154 rad/s, gy =  0.0296 rad/s, gz = -0.0201 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7902 A, I_w_roll = 13.1995 A, theta_pitch = -5.95766mrad, theta_roll_comp = -20.4398 mrad, theta_setpoint = -40.0000 mrad, 
msg =   39, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      782 ms, ax = -0.0755, ay = -0.3908, az =  9.9495, gx =  0.0122 rad/s, gy =  0.0277 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.8378 A, I_w_roll = 12.0357 A, theta_pitch = -5.14345mrad, theta_roll_comp = -20.5532 mrad, theta_setpoint = -40.0000 mrad, 
msg =   40, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      802 ms, ax = -0.0731, ay = -0.3920, az =  9.9519, gx =  0.0095 rad/s, gy =  0.0247 rad/s, gz =  0.0106 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.8305 A, I_w_roll = 11.0399 A, theta_pitch = -4.37496mrad, theta_roll_comp = -20.7125 mrad, theta_setpoint = -40.0000 mrad, 
msg =   41, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      822 ms, ax = -0.0767, ay = -0.3776, az =  9.9315, gx =  0.0090 rad/s, gy =  0.0213 rad/s, gz =  0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.8007 A, I_w_roll = 10.7834 A, theta_pitch = -3.68611mrad, theta_roll_comp = -20.8876 mrad, theta_setpoint = -40.0000 mrad, 
msg =   42, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      842 ms, ax = -0.0767, ay = -0.3740, az =  9.9327, gx =  0.0092 rad/s, gy =  0.0185 rad/s, gz =  0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7809 A, I_w_roll = 10.8149 A, theta_pitch = -3.07271mrad, theta_roll_comp = -21.0420 mrad, theta_setpoint = -40.0000 mrad, 
msg =   43, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      862 ms, ax = -0.0935, ay = -0.3788, az =  9.9555, gx =  0.0086 rad/s, gy =  0.0151 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7266 A, I_w_roll = 10.5178 A, theta_pitch = -2.51124mrad, theta_roll_comp = -21.2021 mrad, theta_setpoint = -40.0000 mrad, 
msg =   44, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      882 ms, ax = -0.1199, ay = -0.3836, az =  9.9686, gx =  0.0076 rad/s, gy =  0.0120 rad/s, gz = -0.0288 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.6843 A, I_w_roll = 10.1195 A, theta_pitch = -1.97687mrad, theta_roll_comp = -21.3823 mrad, theta_setpoint = -40.0000 mrad, 
msg =   45, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      902 ms, ax = -0.1271, ay = -0.4004, az =  9.9351, gx =  0.0058 rad/s, gy =  0.0092 rad/s, gz = -0.0306 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.6461 A, I_w_roll =  9.3755 A, theta_pitch = -1.48575mrad, theta_roll_comp = -21.6111 mrad, theta_setpoint = -40.0000 mrad, 
msg =   46, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      922 ms, ax = -0.1343, ay = -0.4184, az =  9.9423, gx =  0.0047 rad/s, gy =  0.0062 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5898 A, I_w_roll =  8.8875 A, theta_pitch = -1.04439mrad, theta_roll_comp = -21.8990 mrad, theta_setpoint = -40.0000 mrad, 
msg =   47, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      942 ms, ax = -0.1283, ay = -0.4064, az =  9.9363, gx =  0.0034 rad/s, gy =  0.0039 rad/s, gz =  0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5560 A, I_w_roll =  8.2987 A, theta_pitch = -0.66569mrad, theta_roll_comp = -22.2059 mrad, theta_setpoint = -40.0000 mrad, 
msg =   48, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      962 ms, ax = -0.1115, ay = -0.4088, az =  9.9447, gx =  0.0015 rad/s, gy =  0.0019 rad/s, gz =  0.0189 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5222 A, I_w_roll =  7.5178 A, theta_pitch = -0.35869mrad, theta_roll_comp = -22.5271 mrad, theta_setpoint = -40.0000 mrad, 
msg =   49, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =      982 ms, ax = -0.0947, ay = -0.3980, az =  9.9435, gx =  0.0002 rad/s, gy = -0.0002 rad/s, gz =  0.0198 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4709 A, I_w_roll =  6.9148 A, theta_pitch = -0.13279mrad, theta_roll_comp = -22.8694 mrad, theta_setpoint = -40.0000 mrad, 
msg =   50, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1002 ms, ax = -0.0755, ay = -0.4076, az =  9.9447, gx = -0.0004 rad/s, gy = -0.0022 rad/s, gz =  0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4123 A, I_w_roll =  6.5856 A, theta_pitch = 0.00918mrad, theta_roll_comp = -23.2265 mrad, theta_setpoint = -40.0000 mrad, 
msg =   51, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1022 ms, ax = -0.0563, ay = -0.4028, az =  9.9543, gx = -0.0005 rad/s, gy = -0.0032 rad/s, gz =  0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3867 A, I_w_roll =  6.3948 A, theta_pitch = 0.08730mrad, theta_roll_comp = -23.5870 mrad, theta_setpoint = -40.0000 mrad, 
msg =   52, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1042 ms, ax = -0.0539, ay = -0.3848, az =  9.9471, gx =  0.0007 rad/s, gy = -0.0040 rad/s, gz =  0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3600 A, I_w_roll =  6.6849 A, theta_pitch = 0.12208mrad, theta_roll_comp = -23.9103 mrad, theta_setpoint = -40.0000 mrad, 
msg =   53, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1062 ms, ax = -0.0479, ay = -0.3692, az =  9.9483, gx =  0.0011 rad/s, gy = -0.0053 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3073 A, I_w_roll =  6.7215 A, theta_pitch = 0.12623mrad, theta_roll_comp = -24.1683 mrad, theta_setpoint = -40.0000 mrad, 
msg =   54, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1082 ms, ax = -0.0635, ay = -0.3644, az =  9.9591, gx =  0.0015 rad/s, gy = -0.0068 rad/s, gz = -0.0293 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2474 A, I_w_roll =  6.7710 A, theta_pitch = 0.11761mrad, theta_roll_comp = -24.3941 mrad, theta_setpoint = -40.0000 mrad, 
msg =   55, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1102 ms, ax = -0.0851, ay = -0.3764, az =  9.9626, gx =  0.0008 rad/s, gy = -0.0081 rad/s, gz = -0.0491 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1932 A, I_w_roll =  6.4446 A, theta_pitch = 0.11127mrad, theta_roll_comp = -24.6275 mrad, theta_setpoint = -40.0000 mrad, 
msg =   56, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1122 ms, ax = -0.1007, ay = -0.4052, az =  9.9435, gx = -0.0004 rad/s, gy = -0.0105 rad/s, gz = -0.0553 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0970 A, I_w_roll =  5.9076 A, theta_pitch = 0.10865mrad, theta_roll_comp = -24.9215 mrad, theta_setpoint = -40.0000 mrad, 
msg =   57, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1142 ms, ax = -0.1139, ay = -0.4136, az =  9.9387, gx = -0.0008 rad/s, gy = -0.0137 rad/s, gz = -0.0447 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9651 A, I_w_roll =  5.6346 A, theta_pitch = 0.08201mrad, theta_roll_comp = -25.2545 mrad, theta_setpoint = -40.0000 mrad, 
