picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =    6, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      122 ms, ax =  0.1558, ay =  0.0060, az =  9.9483, gx = -0.0138 rad/s, gy = -0.0050 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1111 A, I_w_roll = 10.6286 A, theta_pitch = -1.25275mrad, theta_roll_comp = -1.3514 mrad, theta_setpoint = -40.0000 mrad, 
msg =   18, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      362 ms, ax =  0.1510, ay = -0.1738, az =  9.9495, gx = -0.0189 rad/s, gy = -0.0135 rad/s, gz =  0.0256 rad/s, rpm_pitch =  0.0000, rpm_roll = 10.1604, I_w_pitch =  0.2048 A, I_w_roll =  5.2261 A, theta_pitch = -7.75316mrad, theta_roll_comp = -11.0684 mrad, theta_setpoint = -40.6381 mrad, 
msg =   19, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      382 ms, ax =  0.1606, ay = -0.2014, az =  9.9615, gx = -0.0288 rad/s, gy = -0.0127 rad/s, gz =  0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.7647, I_w_pitch =  0.2375 A, I_w_roll =  1.4914 A, theta_pitch = -8.18402mrad, theta_roll_comp = -11.7676 mrad, theta_setpoint = -40.7388 mrad, 
msg =   20, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      402 ms, ax =  0.1534, ay = -0.2266, az =  9.9926, gx = -0.0269 rad/s, gy = -0.0126 rad/s, gz =  0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.7647, I_w_pitch =  0.2927 A, I_w_roll =  1.8770 A, theta_pitch = -8.58759mrad, theta_roll_comp = -12.5513 mrad, theta_setpoint = -40.7388 mrad, 
msg =   21, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      422 ms, ax =  0.1450, ay = -0.3213, az =  9.9423, gx = -0.0253 rad/s, gy = -0.0131 rad/s, gz = -0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.7086, I_w_pitch =  0.3692 A, I_w_roll =  2.2098 A, theta_pitch = -8.95562mrad, theta_roll_comp = -13.3652 mrad, theta_setpoint = -40.9865 mrad, 
msg =   22, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      442 ms, ax =  0.1235, ay = -0.3093, az =  9.9399, gx = -0.0318 rad/s, gy = -0.0134 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.7086, I_w_pitch =  0.4317 A, I_w_roll = -0.4446 A, theta_pitch = -9.30138mrad, theta_roll_comp = -14.2922 mrad, theta_setpoint = -40.9865 mrad, 
msg =   23, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      462 ms, ax =  0.1151, ay = -0.2601, az =  9.9806, gx = -0.0286 rad/s, gy = -0.0134 rad/s, gz = -0.0178 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.4211, I_w_pitch =  0.4780 A, I_w_roll =  0.4441 A, theta_pitch = -9.60987mrad, theta_roll_comp = -15.1626 mrad, theta_setpoint = -41.2824 mrad, 
msg =   24, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      482 ms, ax =  0.1223, ay = -0.3656, az =  9.9650, gx = -0.0269 rad/s, gy = -0.0117 rad/s, gz = -0.0194 rad/s, rpm_pitch =  0.0000, rpm_roll = 21.7580, I_w_pitch =  0.4531 A, I_w_roll =  0.7213 A, theta_pitch = -9.90568mrad, theta_roll_comp = -16.0681 mrad, theta_setpoint = -41.3664 mrad, 
msg =   25, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      502 ms, ax =  0.1247, ay = -0.4052, az =  9.9626, gx = -0.0327 rad/s, gy = -0.0107 rad/s, gz = -0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = 21.7580, I_w_pitch =  0.4576 A, I_w_roll = -1.7343 A, theta_pitch = -10.18396mrad, theta_roll_comp = -17.0808 mrad, theta_setpoint = -41.3664 mrad, 
msg =   26, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      522 ms, ax =  0.1415, ay = -0.3632, az =  9.9626, gx = -0.0290 rad/s, gy = -0.0122 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = 23.1618, I_w_pitch =  0.5571 A, I_w_roll = -0.7826 A, theta_pitch = -10.45712mrad, theta_roll_comp = -18.0519 mrad, theta_setpoint = -41.4546 mrad, 
msg =   27, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      542 ms, ax =  0.1558, ay = -0.4255, az =  9.9447, gx = -0.0267 rad/s, gy = -0.0154 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = 23.1618, I_w_pitch =  0.7390 A, I_w_roll = -0.3733 A, theta_pitch = -10.81740mrad, theta_roll_comp = -19.0093 mrad, theta_setpoint = -41.4546 mrad, 
msg =   28, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      562 ms, ax =  0.1690, ay = -0.4220, az =  9.9435, gx = -0.0292 rad/s, gy = -0.0198 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.0642, I_w_pitch =  0.9848 A, I_w_roll = -1.6501 A, theta_pitch = -11.28391mrad, theta_roll_comp = -20.0442 mrad, theta_setpoint = -41.5112 mrad, 
msg =   29, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      582 ms, ax =  0.1774, ay = -0.3944, az =  9.9615, gx = -0.0251 rad/s, gy = -0.0253 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = 23.6631, I_w_pitch =  1.2868 A, I_w_roll = -0.6006 A, theta_pitch = -11.84187mrad, theta_roll_comp = -21.0072 mrad, theta_setpoint = -41.4860 mrad, 
msg =   30, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      602 ms, ax =  0.1954, ay = -0.4255, az =  9.9327, gx = -0.0239 rad/s, gy = -0.0299 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = 23.6631, I_w_pitch =  1.5766 A, I_w_roll = -0.5379 A, theta_pitch = -12.53067mrad, theta_roll_comp = -21.8991 mrad, theta_setpoint = -41.4860 mrad, 
msg =   31, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      622 ms, ax =  0.2050, ay = -0.4244, az =  9.9375, gx = -0.0247 rad/s, gy = -0.0345 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = 23.3957, I_w_pitch =  1.8774 A, I_w_roll = -1.1747 A, theta_pitch = -13.32917mrad, theta_roll_comp = -22.7750 mrad, theta_setpoint = -41.4692 mrad, 
msg =   32, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      642 ms, ax =  0.2122, ay = -0.4196, az =  9.9615, gx = -0.0210 rad/s, gy = -0.0380 rad/s, gz = -0.0168 rad/s, rpm_pitch =  0.0000, rpm_roll = 22.2594, I_w_pitch =  2.1522 A, I_w_roll = -0.2193 A, theta_pitch = -14.20234mrad, theta_roll_comp = -23.5776 mrad, theta_setpoint = -41.3979 mrad, 
msg =   33, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      662 ms, ax =  0.1930, ay = -0.4591, az =  9.9411, gx = -0.0195 rad/s, gy = -0.0403 rad/s, gz = -0.0214 rad/s, rpm_pitch =  0.0000, rpm_roll = 22.2594, I_w_pitch =  2.3769 A, I_w_roll = -0.0323 A, theta_pitch = -15.09690mrad, theta_roll_comp = -24.3917 mrad, theta_setpoint = -41.3979 mrad, 
msg =   34, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      682 ms, ax =  0.2062, ay = -0.4531, az =  9.9423, gx = -0.0206 rad/s, gy = -0.0400 rad/s, gz = -0.0241 rad/s, rpm_pitch =  0.0000, rpm_roll = 19.3182, I_w_pitch =  2.4992 A, I_w_roll = -0.8089 A, theta_pitch = -15.98289mrad, theta_roll_comp = -25.2164 mrad, theta_setpoint = -41.2132 mrad, 
msg =   35, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      702 ms, ax =  0.1978, ay = -0.4447, az =  9.9579, gx = -0.0193 rad/s, gy = -0.0390 rad/s, gz = -0.0262 rad/s, rpm_pitch =  0.0000, rpm_roll = 19.3182, I_w_pitch =  2.5886 A, I_w_roll = -0.6441 A, theta_pitch = -16.86326mrad, theta_roll_comp = -25.9694 mrad, theta_setpoint = -41.2132 mrad, 
msg =   36, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      722 ms, ax =  0.2038, ay = -0.4088, az =  9.9782, gx = -0.0177 rad/s, gy = -0.0355 rad/s, gz = -0.0253 rad/s, rpm_pitch =  0.0000, rpm_roll = 19.3182, I_w_pitch =  2.5678 A, I_w_roll = -0.3579 A, theta_pitch = -17.64791mrad, theta_roll_comp = -26.6520 mrad, theta_setpoint = -41.2132 mrad, 
msg =   37, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      742 ms, ax =  0.2218, ay = -0.4064, az =  9.9866, gx = -0.0178 rad/s, gy = -0.0313 rad/s, gz = -0.0216 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.4131, I_w_pitch =  2.5057 A, I_w_roll = -0.7047 A, theta_pitch = -18.36974mrad, theta_roll_comp = -27.2830 mrad, theta_setpoint = -41.0935 mrad, 
msg =   38, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      762 ms, ax =  0.2302, ay = -0.4148, az =  9.9902, gx = -0.0170 rad/s, gy = -0.0262 rad/s, gz = -0.0182 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.4131, I_w_pitch =  2.3995 A, I_w_roll = -0.6782 A, theta_pitch = -19.01102mrad, theta_roll_comp = -27.9158 mrad, theta_setpoint = -41.0935 mrad, 
msg =   39, nerr =    0p/   2r, time steps =   10, qsz =    3, switch = on, t =      782 ms, ax =  0.2338, ay = -0.4531, az =  9.9818, gx = -0.0173 rad/s, gy = -0.0189 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.3797, I_w_pitch =  2.1838 A, I_w_roll = -1.0421 A, theta_pitch = -19.52607mrad, theta_roll_comp = -28.5905 mrad, theta_setpoint = -41.0914 mrad, 
msg =   40, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      802 ms, ax =  0.2673, ay = -0.4591, az =  9.9770, gx = -0.0159 rad/s, gy = -0.0118 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = 14.0709, I_w_pitch =  1.9606 A, I_w_roll = -0.9300 A, theta_pitch = -19.91987mrad, theta_roll_comp = -29.2675 mrad, theta_setpoint = -40.8836 mrad, 
msg =   41, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      822 ms, ax =  0.2517, ay = -0.4651, az =  9.9722, gx = -0.0146 rad/s, gy = -0.0056 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = 12.7340, I_w_pitch =  1.7527 A, I_w_roll = -0.7593 A, theta_pitch = -20.20290mrad, theta_roll_comp = -29.9218 mrad, theta_setpoint = -40.7997 mrad, 
msg =   42, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      842 ms, ax =  0.2589, ay = -0.4699, az =  9.9579, gx = -0.0149 rad/s, gy =  0.0004 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = 12.0989, I_w_pitch =  1.5357 A, I_w_roll = -1.1163 A, theta_pitch = -20.35416mrad, theta_roll_comp = -30.5414 mrad, theta_setpoint = -40.7598 mrad, 
msg =   43, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      862 ms, ax =  0.2517, ay = -0.4447, az =  9.9543, gx = -0.0134 rad/s, gy =  0.0036 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = 12.0989, I_w_pitch =  1.4159 A, I_w_roll = -0.8334 A, theta_pitch = -20.40762mrad, theta_roll_comp = -31.1159 mrad, theta_setpoint = -40.7598 mrad, 
msg =   44, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      882 ms, ax =  0.2601, ay = -0.4459, az =  9.9423, gx = -0.0126 rad/s, gy =  0.0038 rad/s, gz = -0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.5976, I_w_pitch =  1.4138 A, I_w_roll = -0.7732 A, theta_pitch = -20.42902mrad, theta_roll_comp = -31.6329 mrad, theta_setpoint = -40.7283 mrad, 
msg =   45, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      902 ms, ax =  0.2769, ay = -0.4327, az =  9.9543, gx = -0.0135 rad/s, gy =  0.0014 rad/s, gz =  0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.5976, I_w_pitch =  1.5221 A, I_w_roll = -1.2985 A, theta_pitch = -20.51195mrad, theta_roll_comp = -32.1307 mrad, theta_setpoint = -40.7283 mrad, 
msg =   46, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      922 ms, ax =  0.3213, ay = -0.4136, az =  9.9686, gx = -0.0127 rad/s, gy = -0.0046 rad/s, gz =  0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll =  9.6925, I_w_pitch =  1.7929 A, I_w_roll = -1.2528 A, theta_pitch = -20.71946mrad, theta_roll_comp = -32.5958 mrad, theta_setpoint = -40.6087 mrad, 
msg =   47, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      942 ms, ax =  0.3177, ay = -0.4196, az =  9.9531, gx = -0.0130 rad/s, gy = -0.0085 rad/s, gz =  0.0170 rad/s, rpm_pitch =  2.8384, rpm_roll =  8.5561, I_w_pitch =  5.7415 A, I_w_roll = -1.5557 A, theta_pitch = -21.05808mrad, theta_roll_comp = -33.0487 mrad, theta_setpoint = -40.5373 mrad, 
msg =   48, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      962 ms, ax =  0.2829, ay = -0.4232, az =  9.9782, gx = -0.0134 rad/s, gy = -0.0086 rad/s, gz =  0.0130 rad/s, rpm_pitch =  4.8035, rpm_roll =  8.5561, I_w_pitch =  8.3931 A, I_w_roll = -1.8779 A, theta_pitch = -21.42350mrad, theta_roll_comp = -33.5045 mrad, theta_setpoint = -40.5373 mrad, 
msg =   49, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      982 ms, ax =  0.1055, ay = -0.4124, az = 10.0226, gx = -0.0182 rad/s, gy =  0.0051 rad/s, gz =  0.0077 rad/s, rpm_pitch =  4.8035, rpm_roll =  5.9492, I_w_pitch =  7.8446 A, I_w_roll = -3.8093 A, theta_pitch = -21.42378mrad, theta_roll_comp = -33.9750 mrad, theta_setpoint = -40.3736 mrad, 
msg =   50, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1002 ms, ax = -0.0120, ay = -0.4411, az = 10.1197, gx = -0.0178 rad/s, gy =  0.0474 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll =  5.9492, I_w_pitch = -0.3162 A, I_w_roll = -3.8682 A, theta_pitch = -20.54245mrad, theta_roll_comp = -34.4717 mrad, theta_setpoint = -40.3736 mrad, 
msg =   51, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1022 ms, ax = -0.0983, ay = -0.4687, az = 10.1473, gx = -0.0099 rad/s, gy =  0.1118 rad/s, gz = -0.0220 rad/s, rpm_pitch =  0.0000, rpm_roll =  3.0080, I_w_pitch = -3.2133 A, I_w_roll = -1.4055 A, theta_pitch = -18.37881mrad, theta_roll_comp = -35.0043 mrad, theta_setpoint = -40.1889 mrad, 
msg =   52, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1042 ms, ax =  0.0911, ay = -0.5071, az = 10.0394, gx = -0.0077 rad/s, gy =  0.1622 rad/s, gz = -0.0268 rad/s, rpm_pitch =  1.7904, rpm_roll =  1.0361, I_w_pitch = -3.3197 A, I_w_roll = -0.8600 A, theta_pitch = -15.38527mrad, theta_roll_comp = -35.4975 mrad, theta_setpoint = -40.0651 mrad, 
msg =   53, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1062 ms, ax =  0.1223, ay = -0.5083, az =  9.9806, gx = -0.0106 rad/s, gy =  0.1806 rad/s, gz = -0.0131 rad/s, rpm_pitch =  4.8472, rpm_roll =  1.0361, I_w_pitch = -0.5481 A, I_w_roll = -2.0720 A, theta_pitch = -11.88753mrad, theta_roll_comp = -35.9643 mrad, theta_setpoint = -40.0651 mrad, 
msg =   54, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1082 ms, ax =  0.2350, ay = -0.4711, az =  9.8955, gx = -0.0111 rad/s, gy =  0.1767 rad/s, gz =  0.0028 rad/s, rpm_pitch =  4.8472, rpm_roll = -2.1725, I_w_pitch = -0.9064 A, I_w_roll = -2.5142 A, theta_pitch = -8.46913mrad, theta_roll_comp = -36.4023 mrad, theta_setpoint = -39.8636 mrad, 
msg =   55, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1102 ms, ax =  0.2002, ay = -0.4423, az =  9.8703, gx = -0.0131 rad/s, gy =  0.1662 rad/s, gz =  0.0185 rad/s, rpm_pitch =  3.0568, rpm_roll = -2.8075, I_w_pitch = -3.3279 A, I_w_roll = -3.3940 A, theta_pitch = -5.26236mrad, theta_roll_comp = -36.8143 mrad, theta_setpoint = -39.8237 mrad, 
msg =   56, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1122 ms, ax =  0.2182, ay = -0.4160, az =  9.8967, gx = -0.0181 rad/s, gy =  0.1576 rad/s, gz =  0.0289 rad/s, rpm_pitch =  3.0568, rpm_roll = -2.8075, I_w_pitch = -3.4172 A, I_w_roll = -5.2907 A, theta_pitch = -2.35908mrad, theta_roll_comp = -37.2451 mrad, theta_setpoint = -39.8237 mrad, 
msg =   57, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1142 ms, ax =  0.2062, ay = -0.4160, az =  9.9171, gx = -0.0129 rad/s, gy =  0.1458 rad/s, gz =  0.0292 rad/s, rpm_pitch =  0.5677, rpm_roll = -5.3810, I_w_pitch = -6.6219 A, I_w_roll = -3.7209 A, theta_pitch = 0.24670mrad, theta_roll_comp = -37.7028 mrad, theta_setpoint = -39.6621 mrad, 
msg =   58, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1162 ms, ax =  0.2074, ay = -0.4543, az =  9.8883, gx = -0.0129 rad/s, gy =  0.1313 rad/s, gz =  0.0252 rad/s, rpm_pitch =  0.0000, rpm_roll = -5.3810, I_w_pitch = -7.1362 A, I_w_roll = -3.9104 A, theta_pitch = 2.55458mrad, theta_roll_comp = -38.1767 mrad, theta_setpoint = -39.6621 mrad, 
msg =   59, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1182 ms, ax =  0.2877, ay = -0.4735, az =  9.8811, gx = -0.0139 rad/s, gy =  0.1094 rad/s, gz =  0.0152 rad/s, rpm_pitch =  0.0000, rpm_roll = -10.4947, I_w_pitch = -6.5267 A, I_w_roll = -4.6057 A, theta_pitch = 4.35013mrad, theta_roll_comp = -38.6615 mrad, theta_setpoint = -39.3409 mrad, 
msg =   60, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1202 ms, ax =  0.3356, ay = -0.4807, az =  9.8931, gx = -0.0097 rad/s, gy =  0.0769 rad/s, gz =  0.0013 rad/s, rpm_pitch =  2.3144, rpm_roll = -13.0682, I_w_pitch = -2.3379 A, I_w_roll = -3.3565 A, theta_pitch = 5.43676mrad, theta_roll_comp = -39.1053 mrad, theta_setpoint = -39.1793 mrad, 
msg =   61, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1222 ms, ax =  0.3812, ay = -0.5155, az =  9.8775, gx = -0.0098 rad/s, gy =  0.0388 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0873, rpm_roll = -13.0682, I_w_pitch = -3.7947 A, I_w_roll = -3.5634 A, theta_pitch = 5.72328mrad, theta_roll_comp = -39.5060 mrad, theta_setpoint = -39.1793 mrad, 
msg =   62, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1242 ms, ax =  0.2973, ay = -0.4747, az =  9.8943, gx = -0.0125 rad/s, gy =  0.0026 rad/s, gz = -0.0188 rad/s, rpm_pitch =  0.0873, rpm_roll = -17.0120, I_w_pitch = -2.2898 A, I_w_roll = -4.7430 A, theta_pitch = 5.34921mrad, theta_roll_comp = -39.8772 mrad, theta_setpoint = -38.9316 mrad, 
msg =   63, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1262 ms, ax =  0.2517, ay = -0.4771, az =  9.9075, gx = -0.0097 rad/s, gy = -0.0231 rad/s, gz = -0.0244 rad/s, rpm_pitch =  0.0000, rpm_roll = -17.0120, I_w_pitch = -1.2519 A, I_w_roll = -3.8965 A, theta_pitch = 4.51513mrad, theta_roll_comp = -40.2077 mrad, theta_setpoint = -38.9316 mrad, 
