picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0000 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad 
msg =   14, time steps =   10, qsz =    2, switch = off, t =      282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.7132, ay = -0.7252, az =  9.9363, gx =  0.0283 rad/s, gy =  0.0035 rad/s, gz = -0.0035 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -9.4722 A, theta_roll_comp = -12.6075 mrad 
msg =   15, time steps =   10, qsz =    2, switch = off, t =      302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6749, ay = -0.7037, az =  9.9267, gx =  0.0261 rad/s, gy =  0.0060 rad/s, gz = -0.0080 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -8.9869 A, theta_roll_comp = -13.2438 mrad 
msg =   16, time steps =   10, qsz =    2, switch = off, t =      322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6137, ay = -0.7001, az =  9.9279, gx =  0.0243 rad/s, gy =  0.0079 rad/s, gz = -0.0099 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -8.5496 A, theta_roll_comp = -13.8795 mrad 
msg =   17, time steps =   10, qsz =    2, switch = off, t =      342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5430, ay = -0.6833, az =  9.9255, gx =  0.0221 rad/s, gy =  0.0078 rad/s, gz = -0.0093 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -8.0643 A, theta_roll_comp = -14.5159 mrad 
msg =   18, time steps =   10, qsz =    2, switch = off, t =      362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4939, ay = -0.6905, az =  9.9003, gx =  0.0212 rad/s, gy =  0.0067 rad/s, gz = -0.0063 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.7914 A, theta_roll_comp = -15.1729 mrad 
msg =   19, time steps =   10, qsz =    2, switch = off, t =      382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4627, ay = -0.7025, az =  9.9015, gx =  0.0214 rad/s, gy =  0.0039 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.7081 A, theta_roll_comp = -15.8432 mrad 
msg =   20, time steps =   10, qsz =    2, switch = off, t =      402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4771, ay = -0.7252, az =  9.8979, gx =  0.0214 rad/s, gy =  0.0010 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.5969 A, theta_roll_comp = -16.5386 mrad 
msg =   21, time steps =   10, qsz =    2, switch = off, t =      422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5274, ay = -0.7240, az =  9.9027, gx =  0.0216 rad/s, gy = -0.0022 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.5333 A, theta_roll_comp = -17.2355 mrad 
msg =   22, time steps =   10, qsz =    2, switch = off, t =      442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.7360, az =  9.9159, gx =  0.0220 rad/s, gy = -0.0033 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.4956 A, theta_roll_comp = -17.9205 mrad 
msg =   23, time steps =   10, qsz =    2, switch = off, t =      462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6137, ay = -0.7516, az =  9.9255, gx =  0.0231 rad/s, gy = -0.0025 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.5789 A, theta_roll_comp = -18.5982 mrad 
msg =   24, time steps =   10, qsz =    2, switch = off, t =      482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6377, ay = -0.7696, az =  9.9171, gx =  0.0239 rad/s, gy = -0.0016 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.6128 A, theta_roll_comp = -19.2856 mrad 
msg =   25, time steps =   10, qsz =    2, switch = off, t =      502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6641, ay = -0.7684, az =  9.9279, gx =  0.0245 rad/s, gy =  0.0004 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.6250 A, theta_roll_comp = -19.9579 mrad 
msg =   26, time steps =   10, qsz =    2, switch = off, t =      522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6593, ay = -0.7588, az =  9.9399, gx =  0.0259 rad/s, gy =  0.0023 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.7648 A, theta_roll_comp = -20.5824 mrad 
msg =   27, time steps =   10, qsz =    2, switch = off, t =      542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6377, ay = -0.7432, az =  9.9327, gx =  0.0272 rad/s, gy =  0.0046 rad/s, gz = -0.0059 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.9148 A, theta_roll_comp = -21.1430 mrad 
msg =   28, time steps =   10, qsz =    2, switch = off, t =      562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6054, ay = -0.7120, az =  9.9267, gx =  0.0275 rad/s, gy =  0.0059 rad/s, gz = -0.0071 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.8847 A, theta_roll_comp = -21.6303 mrad 
msg =   29, time steps =   10, qsz =    2, switch = off, t =      582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5778, ay = -0.6605, az =  9.9363, gx =  0.0276 rad/s, gy =  0.0063 rad/s, gz = -0.0064 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.8460 A, theta_roll_comp = -22.0221 mrad 
msg =   30, time steps =   10, qsz =    2, switch = off, t =      602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.6245, az =  9.9279, gx =  0.0271 rad/s, gy =  0.0060 rad/s, gz = -0.0056 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.7024 A, theta_roll_comp = -22.3203 mrad 
msg =   31, time steps =   10, qsz =    2, switch = off, t =      622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5382, ay = -0.5898, az =  9.9147, gx =  0.0256 rad/s, gy =  0.0046 rad/s, gz = -0.0048 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.3997 A, theta_roll_comp = -22.5646 mrad 
msg =   32, time steps =   10, qsz =    2, switch = off, t =      642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5334, ay = -0.5682, az =  9.9195, gx =  0.0233 rad/s, gy =  0.0034 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.9569 A, theta_roll_comp = -22.7858 mrad 
msg =   33, time steps =   10, qsz =    2, switch = off, t =      662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.5466, az =  9.9123, gx =  0.0215 rad/s, gy =  0.0023 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.5868 A, theta_roll_comp = -23.0012 mrad 
msg =   34, time steps =   10, qsz =    2, switch = off, t =      682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.5262, az =  9.9063, gx =  0.0186 rad/s, gy =  0.0015 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.0247 A, theta_roll_comp = -23.2188 mrad 
msg =   35, time steps =   10, qsz =    2, switch = off, t =      702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.5202, az =  9.9195, gx =  0.0156 rad/s, gy =  0.0012 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -5.4581 A, theta_roll_comp = -23.4645 mrad 
msg =   36, time steps =   10, qsz =    2, switch = off, t =      722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.5191, az =  9.9135, gx =  0.0123 rad/s, gy =  0.0018 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.8117 A, theta_roll_comp = -23.7596 mrad 
msg =   37, time steps =   10, qsz =    2, switch = off, t =      742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5838, ay = -0.5310, az =  9.9015, gx =  0.0096 rad/s, gy =  0.0020 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.2735 A, theta_roll_comp = -24.1274 mrad 
msg =   38, time steps =   10, qsz =    2, switch = off, t =      762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5790, ay = -0.5514, az =  9.9183, gx =  0.0067 rad/s, gy =  0.0015 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -3.6747 A, theta_roll_comp = -24.5746 mrad 
msg =   39, time steps =   10, qsz =    2, switch = off, t =      782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5586, ay = -0.5874, az =  9.9207, gx =  0.0056 rad/s, gy =  0.0012 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -3.3975 A, theta_roll_comp = -25.1083 mrad 
msg =   40, time steps =   10, qsz =    2, switch = off, t =      802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5334, ay = -0.6509, az =  9.9255, gx =  0.0055 rad/s, gy =  0.0004 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -3.2723 A, theta_roll_comp = -25.7410 mrad 
msg =   41, time steps =   10, qsz =    2, switch = off, t =      822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5310, ay = -0.7096, az =  9.9291, gx =  0.0068 rad/s, gy = -0.0012 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -3.3959 A, theta_roll_comp = -26.4667 mrad 
msg =   42, time steps =   10, qsz =    2, switch = off, t =      842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.7264, az =  9.9303, gx =  0.0091 rad/s, gy = -0.0026 rad/s, gz =  0.0053 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -3.6829 A, theta_roll_comp = -27.2194 mrad 
msg =   43, time steps =   10, qsz =    2, switch = off, t =      862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6197, ay = -0.7120, az =  9.9387, gx =  0.0120 rad/s, gy = -0.0026 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.1013 A, theta_roll_comp = -27.9002 mrad 
msg =   44, time steps =   10, qsz =    2, switch = off, t =      882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6629, ay = -0.7001, az =  9.9435, gx =  0.0143 rad/s, gy = -0.0016 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.4151 A, theta_roll_comp = -28.4857 mrad 
msg =   45, time steps =   10, qsz =    2, switch = off, t =      902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6869, ay = -0.7120, az =  9.9435, gx =  0.0172 rad/s, gy =  0.0006 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.8582 A, theta_roll_comp = -29.0117 mrad 
msg =   46, time steps =   10, qsz =    2, switch = off, t =      922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6773, ay = -0.7084, az =  9.9375, gx =  0.0194 rad/s, gy =  0.0032 rad/s, gz = -0.0032 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -5.1658 A, theta_roll_comp = -29.4856 mrad 
msg =   47, time steps =   10, qsz =    2, switch = off, t =      942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6497, ay = -0.6917, az =  9.9315, gx =  0.0216 rad/s, gy =  0.0054 rad/s, gz = -0.0061 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -5.5084 A, theta_roll_comp = -29.8913 mrad 
msg =   48, time steps =   10, qsz =    2, switch = off, t =      962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6066, ay = -0.6617, az =  9.9231, gx =  0.0235 rad/s, gy =  0.0066 rad/s, gz = -0.0071 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -5.7949 A, theta_roll_comp = -30.1980 mrad 
msg =   49, time steps =   10, qsz =    2, switch = off, t =      982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.6317, az =  9.9267, gx =  0.0248 rad/s, gy =  0.0066 rad/s, gz = -0.0067 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.0014 A, theta_roll_comp = -30.4054 mrad 
msg =   50, time steps =   10, qsz =    2, switch = off, t =     1002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5274, ay = -0.6114, az =  9.9267, gx =  0.0260 rad/s, gy =  0.0059 rad/s, gz = -0.0056 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.1960 A, theta_roll_comp = -30.5371 mrad 
msg =   51, time steps =   10, qsz =    2, switch = off, t =     1022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5298, ay = -0.5958, az =  9.9147, gx =  0.0273 rad/s, gy =  0.0047 rad/s, gz = -0.0037 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.4242 A, theta_roll_comp = -30.6091 mrad 
msg =   52, time steps =   10, qsz =    2, switch = off, t =     1042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5406, ay = -0.5730, az =  9.9159, gx =  0.0272 rad/s, gy =  0.0036 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.3973 A, theta_roll_comp = -30.6269 mrad 
msg =   53, time steps =   10, qsz =    2, switch = off, t =     1062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5490, ay = -0.5490, az =  9.9351, gx =  0.0267 rad/s, gy =  0.0027 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.3058 A, theta_roll_comp = -30.5998 mrad 
msg =   54, time steps =   10, qsz =    2, switch = off, t =     1082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.5262, az =  9.9351, gx =  0.0260 rad/s, gy =  0.0023 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.1958 A, theta_roll_comp = -30.5382 mrad 
msg =   55, time steps =   10, qsz =    2, switch = off, t =     1102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5826, ay = -0.5059, az =  9.9339, gx =  0.0252 rad/s, gy =  0.0018 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.0656 A, theta_roll_comp = -30.4534 mrad 
msg =   56, time steps =   10, qsz =    2, switch = off, t =     1122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6042, ay = -0.4783, az =  9.9219, gx =  0.0237 rad/s, gy =  0.0026 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -5.8197 A, theta_roll_comp = -30.3427 mrad 
msg =   57, time steps =   10, qsz =    2, switch = off, t =     1142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6042, ay = -0.4627, az =  9.9243, gx =  0.0217 rad/s, gy =  0.0028 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -5.4789 A, theta_roll_comp = -30.2254 mrad 
msg =   58, time steps =   10, qsz =    2, switch = off, t =     1162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5814, ay = -0.4507, az =  9.9339, gx =  0.0190 rad/s, gy =  0.0032 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.9901 A, theta_roll_comp = -30.1348 mrad 
