picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  123, time steps =   10, qsz =    2, switch = on, t =     2462 ms, ax =  0.5622, ay = -2.1050, az =  9.8584, gx = -0.0482 rad/s, gy = -0.0032 rad/s, gz = -0.0324 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 32.1848 A, theta_roll_comp = -186.9796 mrad, theta_setpoint = -40.0000 mrad, 
msg =  136, time steps =   10, qsz =    2, switch = on, t =     2722 ms, ax =  0.8295, ay = -1.9851, az =  9.6666, gx = -0.0118 rad/s, gy =  0.0016 rad/s, gz =  0.0233 rad/s, erpm_pitch =    0, erpm_roll = 11691, I_w_pitch = -0.0000 A, I_w_roll = 27.2617 A, theta_roll_comp = -197.1049 mrad, theta_setpoint = -40.0000 mrad, 
msg =  137, time steps =   10, qsz =    2, switch = on, t =     2742 ms, ax =  0.8211, ay = -1.9431, az =  9.7457, gx = -0.0045 rad/s, gy = -0.0002 rad/s, gz = -0.0059 rad/s, erpm_pitch =    0, erpm_roll = 11691, I_w_pitch = -0.0000 A, I_w_roll = 25.9721 A, theta_roll_comp = -197.2840 mrad, theta_setpoint = -40.0000 mrad, 
msg =  138, time steps =   10, qsz =    2, switch = on, t =     2762 ms, ax =  0.4951, ay = -2.1385, az =  9.6762, gx = -0.0046 rad/s, gy = -0.0017 rad/s, gz = -0.0069 rad/s, erpm_pitch =    0, erpm_roll = 11690, I_w_pitch = -0.0000 A, I_w_roll = 26.0558 A, theta_roll_comp = -197.6570 mrad, theta_setpoint = -40.0000 mrad, 
msg =  139, time steps =   10, qsz =    2, switch = on, t =     2782 ms, ax =  0.6305, ay = -1.9312, az =  9.7756, gx = -0.0093 rad/s, gy =  0.0010 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 26.9206 A, theta_roll_comp = -197.8192 mrad, theta_setpoint = -40.0000 mrad, 
msg =  140, time steps =   10, qsz =    2, switch = on, t =     2802 ms, ax =  0.8151, ay = -1.9132, az =  9.7097, gx = -0.0054 rad/s, gy =  0.0011 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 26.2420 A, theta_roll_comp = -197.9224 mrad, theta_setpoint = -40.0000 mrad, 
msg =  141, time steps =   10, qsz =    2, switch = on, t =     2822 ms, ax =  0.5358, ay = -2.1086, az =  9.7001, gx = -0.0045 rad/s, gy =  0.0011 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 26.1253 A, theta_roll_comp = -198.2413 mrad, theta_setpoint = -40.0000 mrad, 
msg =  142, time steps =   10, qsz =    2, switch = on, t =     2842 ms, ax =  0.6437, ay = -1.9731, az =  9.7457, gx = -0.0065 rad/s, gy =  0.0032 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 26.5185 A, theta_roll_comp = -198.4519 mrad, theta_setpoint = -40.0000 mrad, 
msg =  143, time steps =   10, qsz =    2, switch = on, t =     2862 ms, ax =  0.7468, ay = -1.9168, az =  9.7673, gx = -0.0058 rad/s, gy =  0.0015 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = 11697, I_w_pitch = -0.0000 A, I_w_roll = 26.4050 A, theta_roll_comp = -198.4917 mrad, theta_setpoint = -40.0000 mrad, 
msg =  144, time steps =   10, qsz =    2, switch = on, t =     2882 ms, ax =  0.3249, ay = -2.0079, az =  9.7553, gx = -0.0049 rad/s, gy =  0.0015 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = 11698, I_w_pitch = -0.0000 A, I_w_roll = 26.2541 A, theta_roll_comp = -198.5972 mrad, theta_setpoint = -40.0000 mrad, 
msg =  145, time steps =   10, qsz =    2, switch = on, t =     2902 ms, ax =  0.4411, ay = -2.0223, az =  9.7397, gx = -0.0058 rad/s, gy =  0.0031 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = 11698, I_w_pitch = -0.0000 A, I_w_roll = 26.4606 A, theta_roll_comp = -198.8388 mrad, theta_setpoint = -40.0000 mrad, 
msg =  146, time steps =   10, qsz =    2, switch = on, t =     2922 ms, ax =  0.5694, ay = -1.8844, az =  9.7217, gx = -0.0057 rad/s, gy =  0.0014 rad/s, gz = -0.0024 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 26.4536 A, theta_roll_comp = -198.9450 mrad, theta_setpoint = -40.0000 mrad, 
msg =  147, time steps =   10, qsz =    2, switch = on, t =     2942 ms, ax =  0.6545, ay = -1.9767, az =  9.6893, gx = -0.0053 rad/s, gy =  0.0016 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 26.3909 A, theta_roll_comp = -199.0026 mrad, theta_setpoint = -40.0000 mrad, 
msg =  148, time steps =   10, qsz =    2, switch = on, t =     2962 ms, ax =  0.5550, ay = -2.0678, az =  9.7768, gx = -0.0051 rad/s, gy =  0.0026 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = 11698, I_w_pitch = -0.0000 A, I_w_roll = 26.4142 A, theta_roll_comp = -199.2983 mrad, theta_setpoint = -40.0000 mrad, 
msg =  149, time steps =   10, qsz =    2, switch = on, t =     2982 ms, ax =  0.5310, ay = -1.9743, az =  9.7816, gx = -0.0058 rad/s, gy =  0.0028 rad/s, gz = -0.0031 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 26.5749 A, theta_roll_comp = -199.5537 mrad, theta_setpoint = -40.0000 mrad, 
msg =  150, time steps =   10, qsz =    2, switch = on, t =     3002 ms, ax =  0.6425, ay = -1.8928, az =  9.7541, gx = -0.0049 rad/s, gy =  0.0014 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 26.3962 A, theta_roll_comp = -199.4849 mrad, theta_setpoint = -40.0000 mrad, 
msg =  151, time steps =   10, qsz =    2, switch = on, t =     3022 ms, ax =  0.6425, ay = -2.0654, az =  9.6893, gx = -0.0057 rad/s, gy =  0.0015 rad/s, gz =  0.0059 rad/s, erpm_pitch =    0, erpm_roll = 11701, I_w_pitch = -0.0000 A, I_w_roll = 26.5733 A, theta_roll_comp = -199.6933 mrad, theta_setpoint = -40.0000 mrad, 
msg =  152, time steps =   10, qsz =    2, switch = on, t =     3042 ms, ax =  0.6078, ay = -2.0738, az =  9.6845, gx = -0.0059 rad/s, gy =  0.0019 rad/s, gz =  0.0045 rad/s, erpm_pitch =    0, erpm_roll = 11702, I_w_pitch = -0.0000 A, I_w_roll = 26.6776 A, theta_roll_comp = -200.0452 mrad, theta_setpoint = -40.0000 mrad, 
msg =  153, time steps =   10, qsz =    2, switch = on, t =     3062 ms, ax =  0.4951, ay = -1.9539, az =  9.8224, gx = -0.0054 rad/s, gy =  0.0022 rad/s, gz = -0.0021 rad/s, erpm_pitch =    0, erpm_roll = 11702, I_w_pitch = -0.0000 A, I_w_roll = 26.6003 A, theta_roll_comp = -200.1616 mrad, theta_setpoint = -40.0000 mrad, 
msg =  154, time steps =   10, qsz =    2, switch = on, t =     3082 ms, ax =  0.6090, ay = -2.0115, az =  9.7385, gx = -0.0045 rad/s, gy =  0.0008 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 26.4406 A, theta_roll_comp = -200.2122 mrad, theta_setpoint = -40.0000 mrad, 
msg =  155, time steps =   10, qsz =    2, switch = on, t =     3102 ms, ax =  0.7252, ay = -2.0990, az =  9.6702, gx = -0.0051 rad/s, gy =  0.0012 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 26.6006 A, theta_roll_comp = -200.4633 mrad, theta_setpoint = -40.0000 mrad, 
msg =  156, time steps =   10, qsz =    2, switch = on, t =     3122 ms, ax =  0.4291, ay = -2.0283, az =  9.7361, gx = -0.0051 rad/s, gy =  0.0023 rad/s, gz = -0.0029 rad/s, erpm_pitch =    0, erpm_roll = 11703, I_w_pitch = -0.0000 A, I_w_roll = 26.6494 A, theta_roll_comp = -200.7682 mrad, theta_setpoint = -40.0000 mrad, 
msg =  157, time steps =   10, qsz =    2, switch = on, t =     3142 ms, ax =  0.5322, ay = -1.9443, az =  9.7816, gx = -0.0045 rad/s, gy =  0.0002 rad/s, gz = -0.0029 rad/s, erpm_pitch =    0, erpm_roll = 11704, I_w_pitch = -0.0000 A, I_w_roll = 26.5373 A, theta_roll_comp = -200.8163 mrad, theta_setpoint = -40.0000 mrad, 
msg =  158, time steps =   10, qsz =    2, switch = on, t =     3162 ms, ax =  0.6929, ay = -2.0546, az =  9.7241, gx = -0.0049 rad/s, gy =  0.0008 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = 11704, I_w_pitch = -0.0000 A, I_w_roll = 26.6178 A, theta_roll_comp = -200.8704 mrad, theta_setpoint = -40.0000 mrad, 
msg =  159, time steps =   10, qsz =    2, switch = on, t =     3182 ms, ax =  0.5155, ay = -2.0402, az =  9.7169, gx = -0.0066 rad/s, gy =  0.0028 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11703, I_w_pitch = -0.0000 A, I_w_roll = 26.9749 A, theta_roll_comp = -201.1549 mrad, theta_setpoint = -40.0000 mrad, 
msg =  160, time steps =   10, qsz =    2, switch = on, t =     3202 ms, ax =  0.4795, ay = -1.9899, az =  9.7697, gx = -0.0053 rad/s, gy =  0.0020 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = 11703, I_w_pitch = -0.0000 A, I_w_roll = 26.7624 A, theta_roll_comp = -201.3247 mrad, theta_setpoint = -40.0000 mrad, 
msg =  161, time steps =   10, qsz =    2, switch = on, t =     3222 ms, ax =  0.5298, ay = -1.9443, az =  9.7972, gx = -0.0041 rad/s, gy =  0.0023 rad/s, gz = -0.0041 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 26.5525 A, theta_roll_comp = -201.3606 mrad, theta_setpoint = -40.0000 mrad, 
msg =  162, time steps =   10, qsz =    2, switch = on, t =     3242 ms, ax =  0.6833, ay = -2.0498, az =  9.7445, gx = -0.0058 rad/s, gy =  0.0016 rad/s, gz =  0.0041 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 26.8877 A, theta_roll_comp = -201.5082 mrad, theta_setpoint = -40.0000 mrad, 
msg =  163, time steps =   10, qsz =    2, switch = on, t =     3262 ms, ax =  0.5286, ay = -2.0558, az =  9.7457, gx = -0.0062 rad/s, gy =  0.0027 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.0055 A, theta_roll_comp = -201.7954 mrad, theta_setpoint = -40.0000 mrad, 
msg =  164, time steps =   10, qsz =    2, switch = on, t =     3282 ms, ax =  0.4927, ay = -1.9324, az =  9.8080, gx = -0.0046 rad/s, gy =  0.0028 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 26.7449 A, theta_roll_comp = -201.9639 mrad, theta_setpoint = -40.0000 mrad, 
msg =  165, time steps =   10, qsz =    2, switch = on, t =     3302 ms, ax =  0.6257, ay = -2.0055, az =  9.7601, gx = -0.0041 rad/s, gy =  0.0022 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 26.6565 A, theta_roll_comp = -202.0110 mrad, theta_setpoint = -40.0000 mrad, 
msg =  166, time steps =   10, qsz =    2, switch = on, t =     3322 ms, ax =  0.6353, ay = -2.0498, az =  9.7301, gx = -0.0054 rad/s, gy =  0.0018 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = 11695, I_w_pitch = -0.0000 A, I_w_roll = 26.9209 A, theta_roll_comp = -202.1655 mrad, theta_setpoint = -40.0000 mrad, 
msg =  167, time steps =   10, qsz =    2, switch = on, t =     3342 ms, ax =  0.5718, ay = -2.0103, az =  9.7732, gx = -0.0059 rad/s, gy =  0.0012 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.0410 A, theta_roll_comp = -202.3168 mrad, theta_setpoint = -40.0000 mrad, 
msg =  168, time steps =   10, qsz =    2, switch = on, t =     3362 ms, ax =  0.5922, ay = -1.9911, az =  9.7840, gx = -0.0043 rad/s, gy =  0.0008 rad/s, gz = -0.0031 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 26.7645 A, theta_roll_comp = -202.3862 mrad, theta_setpoint = -40.0000 mrad, 
msg =  169, time steps =   10, qsz =    2, switch = on, t =     3382 ms, ax =  0.6569, ay = -2.0151, az =  9.7505, gx = -0.0049 rad/s, gy =  0.0016 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 26.8728 A, theta_roll_comp = -202.4640 mrad, theta_setpoint = -40.0000 mrad, 
msg =  170, time steps =   10, qsz =    2, switch = on, t =     3402 ms, ax =  0.6545, ay = -2.0990, az =  9.7337, gx = -0.0055 rad/s, gy =  0.0030 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.0272 A, theta_roll_comp = -202.6797 mrad, theta_setpoint = -40.0000 mrad, 
msg =  171, time steps =   10, qsz =    2, switch = on, t =     3422 ms, ax =  0.4291, ay = -2.0223, az =  9.7337, gx = -0.0047 rad/s, gy =  0.0010 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 26.9102 A, theta_roll_comp = -202.8473 mrad, theta_setpoint = -40.0000 mrad, 
msg =  172, time steps =   10, qsz =    2, switch = on, t =     3442 ms, ax =  0.5274, ay = -1.9647, az =  9.7936, gx = -0.0041 rad/s, gy =  0.0000 rad/s, gz = -0.0040 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 26.7972 A, theta_roll_comp = -202.8904 mrad, theta_setpoint = -40.0000 mrad, 
msg =  173, time steps =   10, qsz =    2, switch = on, t =     3462 ms, ax =  0.6761, ay = -2.0318, az =  9.7685, gx = -0.0051 rad/s, gy =  0.0006 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 26.9983 A, theta_roll_comp = -202.9487 mrad, theta_setpoint = -40.0000 mrad, 
msg =  174, time steps =   10, qsz =    2, switch = on, t =     3482 ms, ax =  0.5310, ay = -1.9539, az =  9.7517, gx = -0.0061 rad/s, gy =  0.0022 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.1863 A, theta_roll_comp = -203.0752 mrad, theta_setpoint = -40.0000 mrad, 
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, ax =  0.5346, ay = -1.9731, az =  9.7445, gx = -0.0055 rad/s, gy =  0.0014 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 11698, I_w_pitch = -0.0000 A, I_w_roll = 27.1069 A, theta_roll_comp = -203.1781 mrad, theta_setpoint = -40.0000 mrad, 
msg =  176, time steps =   10, qsz =    2, switch = on, t =     3522 ms, ax =  0.5694, ay = -1.9443, az =  9.7457, gx = -0.0049 rad/s, gy =  0.0008 rad/s, gz = -0.0032 rad/s, erpm_pitch =    0, erpm_roll = 11698, I_w_pitch = -0.0000 A, I_w_roll = 26.9866 A, theta_roll_comp = -203.1752 mrad, theta_setpoint = -40.0000 mrad, 
msg =  177, time steps =   10, qsz =    2, switch = on, t =     3542 ms, ax =  0.6629, ay = -1.9743, az =  9.7409, gx = -0.0055 rad/s, gy =  0.0014 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 27.1148 A, theta_roll_comp = -203.2275 mrad, theta_setpoint = -40.0000 mrad, 
msg =  178, time steps =   10, qsz =    2, switch = on, t =     3562 ms, ax =  0.4975, ay = -2.0414, az =  9.7960, gx = -0.0054 rad/s, gy =  0.0028 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 27.1204 A, theta_roll_comp = -203.4120 mrad, theta_setpoint = -40.0000 mrad, 
msg =  179, time steps =   10, qsz =    2, switch = on, t =     3582 ms, ax =  0.5167, ay = -1.9923, az =  9.7373, gx = -0.0051 rad/s, gy =  0.0002 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 27.0866 A, theta_roll_comp = -203.5007 mrad, theta_setpoint = -40.0000 mrad, 
msg =  180, time steps =   10, qsz =    2, switch = on, t =     3602 ms, ax =  0.6569, ay = -1.9455, az =  9.7325, gx = -0.0045 rad/s, gy = -0.0005 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 26.9650 A, theta_roll_comp = -203.4892 mrad, theta_setpoint = -40.0000 mrad, 
msg =  181, time steps =   10, qsz =    2, switch = on, t =     3622 ms, ax =  0.6461, ay = -2.0570, az =  9.7265, gx = -0.0054 rad/s, gy =  0.0012 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 27.1466 A, theta_roll_comp = -203.5756 mrad, theta_setpoint = -40.0000 mrad, 
msg =  182, time steps =   10, qsz =    2, switch = on, t =     3642 ms, ax =  0.5418, ay = -2.0019, az =  9.7780, gx = -0.0061 rad/s, gy =  0.0016 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 27.2821 A, theta_roll_comp = -203.6736 mrad, theta_setpoint = -40.0000 mrad, 
msg =  183, time steps =   10, qsz =    2, switch = on, t =     3662 ms, ax =  0.5934, ay = -1.9815, az =  9.7013, gx = -0.0050 rad/s, gy =  0.0002 rad/s, gz = -0.0032 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 27.0985 A, theta_roll_comp = -203.7247 mrad, theta_setpoint = -40.0000 mrad, 
msg =  184, time steps =   10, qsz =    2, switch = on, t =     3682 ms, ax =  0.6677, ay = -2.0055, az =  9.7217, gx = -0.0051 rad/s, gy =  0.0008 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 27.1290 A, theta_roll_comp = -203.7654 mrad, theta_setpoint = -40.0000 mrad, 
msg =  185, time steps =   10, qsz =    2, switch = on, t =     3702 ms, ax =  0.6533, ay = -2.0858, az =  9.7205, gx = -0.0054 rad/s, gy =  0.0023 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.1971 A, theta_roll_comp = -203.8917 mrad, theta_setpoint = -40.0000 mrad, 
msg =  186, time steps =   10, qsz =    2, switch = on, t =     3722 ms, ax =  0.4423, ay = -1.9983, az =  9.7601, gx = -0.0051 rad/s, gy =  0.0018 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.1629 A, theta_roll_comp = -203.9772 mrad, theta_setpoint = -40.0000 mrad, 
msg =  187, time steps =   10, qsz =    2, switch = on, t =     3742 ms, ax =  0.6090, ay = -1.9635, az =  9.6941, gx = -0.0042 rad/s, gy = -0.0001 rad/s, gz = -0.0032 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 26.9933 A, theta_roll_comp = -203.9658 mrad, theta_setpoint = -40.0000 mrad, 
msg =  188, time steps =   10, qsz =    2, switch = on, t =     3762 ms, ax =  0.7084, ay = -1.9815, az =  9.6977, gx = -0.0049 rad/s, gy =  0.0004 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.1174 A, theta_roll_comp = -203.9929 mrad, theta_setpoint = -40.0000 mrad, 
msg =  189, time steps =   10, qsz =    2, switch = on, t =     3782 ms, ax =  0.4951, ay = -1.9923, az =  9.7289, gx = -0.0059 rad/s, gy =  0.0035 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.3312 A, theta_roll_comp = -204.1302 mrad, theta_setpoint = -40.0000 mrad, 
msg =  190, time steps =   10, qsz =    2, switch = on, t =     3802 ms, ax =  0.5107, ay = -1.9300, az =  9.7768, gx = -0.0058 rad/s, gy =  0.0030 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 27.3150 A, theta_roll_comp = -204.1790 mrad, theta_setpoint = -40.0000 mrad, 
