picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  307, time steps =   10, qsz =    2, switch = on, t =     6142 ms, ax =  0.4795, ay = -0.5286, az =  9.9507, gx =  0.0150 rad/s, gy = -0.0005 rad/s, gz = -0.0185 rad/s, erpm_pitch =    0, erpm_roll = 8958, I_w_pitch = -0.0000 A, I_w_roll = -0.8243 A, theta_roll_comp = -48.5430 mrad, theta_setpoint = -36.8663 mrad, 
msg =  318, time steps =   10, qsz =    2, switch = on, t =     6362 ms, ax =  0.5934, ay = -0.3656, az = 10.0190, gx =  0.0080 rad/s, gy =  0.0022 rad/s, gz =  0.0205 rad/s, erpm_pitch =    0, erpm_roll = 8693, I_w_pitch = -0.0000 A, I_w_roll = -0.2040 A, theta_roll_comp = -44.7234 mrad, theta_setpoint = -36.9590 mrad, 
msg =  319, time steps =   10, qsz =    2, switch = on, t =     6382 ms, ax =  0.6137, ay = -0.4076, az =  9.9291, gx =  0.0091 rad/s, gy =  0.0028 rad/s, gz =  0.0220 rad/s, erpm_pitch =    0, erpm_roll = 8684, I_w_pitch = -0.0000 A, I_w_roll = -0.4294 A, theta_roll_comp = -44.5162 mrad, theta_setpoint = -36.9621 mrad, 
msg =  320, time steps =   10, qsz =    2, switch = on, t =     6402 ms, ax =  0.6665, ay = -0.3404, az =  9.8811, gx =  0.0091 rad/s, gy =  0.0016 rad/s, gz = -0.0045 rad/s, erpm_pitch =    0, erpm_roll = 8674, I_w_pitch = -0.0000 A, I_w_roll = -0.4853 A, theta_roll_comp = -44.1700 mrad, theta_setpoint = -36.9656 mrad, 
msg =  321, time steps =   10, qsz =    2, switch = on, t =     6422 ms, ax =  0.6413, ay = -0.2649, az =  9.9123, gx =  0.0075 rad/s, gy =  0.0012 rad/s, gz = -0.0245 rad/s, erpm_pitch =    0, erpm_roll = 8666, I_w_pitch = -0.0000 A, I_w_roll = -0.2554 A, theta_roll_comp = -43.8121 mrad, theta_setpoint = -36.9684 mrad, 
msg =  322, time steps =   10, qsz =    2, switch = on, t =     6442 ms, ax =  0.4232, ay = -0.3320, az =  9.9986, gx =  0.0064 rad/s, gy =  0.0034 rad/s, gz = -0.0165 rad/s, erpm_pitch =    0, erpm_roll = 8666, I_w_pitch = -0.0000 A, I_w_roll = -0.1183 A, theta_roll_comp = -43.4705 mrad, theta_setpoint = -36.9684 mrad, 
msg =  323, time steps =   10, qsz =    2, switch = on, t =     6462 ms, ax =  0.5370, ay = -0.4339, az =  9.9926, gx =  0.0070 rad/s, gy =  0.0036 rad/s, gz =  0.0137 rad/s, erpm_pitch =    0, erpm_roll = 8653, I_w_pitch = -0.0000 A, I_w_roll = -0.2510 A, theta_roll_comp = -43.2452 mrad, theta_setpoint = -36.9730 mrad, 
msg =  324, time steps =   10, qsz =    2, switch = on, t =     6482 ms, ax =  0.5898, ay = -0.3692, az =  9.9219, gx =  0.0076 rad/s, gy =  0.0027 rad/s, gz =  0.0232 rad/s, erpm_pitch =    0, erpm_roll = 8653, I_w_pitch = -0.0000 A, I_w_roll = -0.3950 A, theta_roll_comp = -43.0939 mrad, theta_setpoint = -36.9730 mrad, 
msg =  325, time steps =   10, qsz =    2, switch = on, t =     6502 ms, ax =  0.5694, ay = -0.3153, az =  9.8787, gx =  0.0074 rad/s, gy =  0.0011 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 8628, I_w_pitch = -0.0000 A, I_w_roll = -0.3954 A, theta_roll_comp = -42.8010 mrad, theta_setpoint = -36.9817 mrad, 
msg =  326, time steps =   10, qsz =    2, switch = on, t =     6522 ms, ax =  0.6030, ay = -0.2961, az =  9.9255, gx =  0.0070 rad/s, gy =  0.0000 rad/s, gz = -0.0220 rad/s, erpm_pitch =    0, erpm_roll = 8634, I_w_pitch = -0.0000 A, I_w_roll = -0.3904 A, theta_roll_comp = -42.3804 mrad, theta_setpoint = -36.9796 mrad, 
msg =  327, time steps =   10, qsz =    2, switch = on, t =     6542 ms, ax =  0.6353, ay = -0.3356, az =  9.9471, gx =  0.0056 rad/s, gy = -0.0006 rad/s, gz = -0.0152 rad/s, erpm_pitch =    0, erpm_roll = 8634, I_w_pitch = -0.0000 A, I_w_roll = -0.2025 A, theta_roll_comp = -42.0568 mrad, theta_setpoint = -36.9796 mrad, 
msg =  328, time steps =   10, qsz =    2, switch = on, t =     6562 ms, ax =  0.4999, ay = -0.4100, az =  9.9567, gx =  0.0058 rad/s, gy =  0.0008 rad/s, gz =  0.0129 rad/s, erpm_pitch =    0, erpm_roll = 8606, I_w_pitch = -0.0000 A, I_w_roll = -0.2420 A, theta_roll_comp = -41.9695 mrad, theta_setpoint = -36.9894 mrad, 
msg =  329, time steps =   10, qsz =    2, switch = on, t =     6582 ms, ax =  0.6066, ay = -0.3608, az =  9.9123, gx =  0.0060 rad/s, gy =  0.0028 rad/s, gz =  0.0260 rad/s, erpm_pitch =    0, erpm_roll = 8606, I_w_pitch = -0.0000 A, I_w_roll = -0.3168 A, theta_roll_comp = -41.8019 mrad, theta_setpoint = -36.9894 mrad, 
msg =  330, time steps =   10, qsz =    2, switch = on, t =     6602 ms, ax =  0.6149, ay = -0.3320, az =  9.8871, gx =  0.0056 rad/s, gy =  0.0020 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = 8578, I_w_pitch = -0.0000 A, I_w_roll = -0.2936 A, theta_roll_comp = -41.5069 mrad, theta_setpoint = -36.9992 mrad, 
msg =  331, time steps =   10, qsz =    2, switch = on, t =     6622 ms, ax =  0.5958, ay = -0.3129, az =  9.9243, gx =  0.0047 rad/s, gy =  0.0014 rad/s, gz = -0.0224 rad/s, erpm_pitch =    0, erpm_roll = 8557, I_w_pitch = -0.0000 A, I_w_roll = -0.1818 A, theta_roll_comp = -41.1648 mrad, theta_setpoint = -37.0066 mrad, 
msg =  332, time steps =   10, qsz =    2, switch = on, t =     6642 ms, ax =  0.5934, ay = -0.3440, az = 10.0130, gx =  0.0035 rad/s, gy =  0.0019 rad/s, gz = -0.0194 rad/s, erpm_pitch =    0, erpm_roll = 8557, I_w_pitch = -0.0000 A, I_w_roll = -0.0095 A, theta_roll_comp = -40.8935 mrad, theta_setpoint = -37.0066 mrad, 
msg =  333, time steps =   10, qsz =    2, switch = on, t =     6662 ms, ax =  0.6173, ay = -0.4184, az =  9.9591, gx =  0.0039 rad/s, gy =  0.0023 rad/s, gz =  0.0077 rad/s, erpm_pitch =    0, erpm_roll = 8519, I_w_pitch = -0.0000 A, I_w_roll = -0.1019 A, theta_roll_comp = -40.7787 mrad, theta_setpoint = -37.0199 mrad, 
msg =  334, time steps =   10, qsz =    2, switch = on, t =     6682 ms, ax =  0.5790, ay = -0.3584, az =  9.9147, gx =  0.0039 rad/s, gy =  0.0027 rad/s, gz =  0.0245 rad/s, erpm_pitch =    0, erpm_roll = 8519, I_w_pitch = -0.0000 A, I_w_roll = -0.1201 A, theta_roll_comp = -40.6650 mrad, theta_setpoint = -37.0199 mrad, 
msg =  335, time steps =   10, qsz =    2, switch = on, t =     6702 ms, ax =  0.5982, ay = -0.3668, az =  9.9111, gx =  0.0040 rad/s, gy =  0.0018 rad/s, gz =  0.0085 rad/s, erpm_pitch =    0, erpm_roll = 8494, I_w_pitch = -0.0000 A, I_w_roll = -0.1771 A, theta_roll_comp = -40.4669 mrad, theta_setpoint = -37.0286 mrad, 
msg =  336, time steps =   10, qsz =    2, switch = on, t =     6722 ms, ax =  0.6102, ay = -0.2877, az =  9.9423, gx =  0.0036 rad/s, gy =  0.0006 rad/s, gz = -0.0161 rad/s, erpm_pitch =    0, erpm_roll = 8481, I_w_pitch = -0.0000 A, I_w_roll = -0.1419 A, theta_roll_comp = -40.2424 mrad, theta_setpoint = -37.0332 mrad, 
msg =  337, time steps =   10, qsz =    2, switch = on, t =     6742 ms, ax =  0.5095, ay = -0.3416, az =  9.9027, gx =  0.0022 rad/s, gy =  0.0008 rad/s, gz = -0.0182 rad/s, erpm_pitch =    0, erpm_roll = 8481, I_w_pitch = -0.0000 A, I_w_roll =  0.0872 A, theta_roll_comp = -40.0260 mrad, theta_setpoint = -37.0332 mrad, 
msg =  338, time steps =   10, qsz =    2, switch = on, t =     6762 ms, ax =  0.4843, ay = -0.3297, az =  9.9662, gx =  0.0014 rad/s, gy =  0.0022 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = 8457, I_w_pitch = -0.0000 A, I_w_roll =  0.2059 A, theta_roll_comp = -39.8779 mrad, theta_setpoint = -37.0416 mrad, 
msg =  339, time steps =   10, qsz =    2, switch = on, t =     6782 ms, ax =  0.5718, ay = -0.3920, az =  9.9435, gx =  0.0038 rad/s, gy =  0.0026 rad/s, gz =  0.0220 rad/s, erpm_pitch =    0, erpm_roll = 8457, I_w_pitch = -0.0000 A, I_w_roll = -0.2414 A, theta_roll_comp = -39.7785 mrad, theta_setpoint = -37.0416 mrad, 
msg =  340, time steps =   10, qsz =    2, switch = on, t =     6802 ms, ax =  0.5550, ay = -0.4076, az =  9.9195, gx =  0.0044 rad/s, gy =  0.0022 rad/s, gz =  0.0113 rad/s, erpm_pitch =    0, erpm_roll = 8439, I_w_pitch = -0.0000 A, I_w_roll = -0.3809 A, theta_roll_comp = -39.6621 mrad, theta_setpoint = -37.0479 mrad, 
msg =  341, time steps =   10, qsz =    2, switch = on, t =     6822 ms, ax =  0.6102, ay = -0.3189, az =  9.9207, gx =  0.0026 rad/s, gy =  0.0019 rad/s, gz = -0.0128 rad/s, erpm_pitch =    0, erpm_roll = 8434, I_w_pitch = -0.0000 A, I_w_roll = -0.0781 A, theta_roll_comp = -39.4591 mrad, theta_setpoint = -37.0496 mrad, 
msg =  342, time steps =   10, qsz =    2, switch = on, t =     6842 ms, ax =  0.6641, ay = -0.3093, az =  9.9015, gx =  0.0012 rad/s, gy = -0.0001 rad/s, gz = -0.0220 rad/s, erpm_pitch =    0, erpm_roll = 8434, I_w_pitch = -0.0000 A, I_w_roll =  0.1282 A, theta_roll_comp = -39.2503 mrad, theta_setpoint = -37.0496 mrad, 
msg =  343, time steps =   10, qsz =    2, switch = on, t =     6862 ms, ax =  0.6018, ay = -0.4220, az =  9.9674, gx =  0.0026 rad/s, gy =  0.0027 rad/s, gz = -0.0037 rad/s, erpm_pitch =    0, erpm_roll = 8415, I_w_pitch = -0.0000 A, I_w_roll = -0.1271 A, theta_roll_comp = -39.1594 mrad, theta_setpoint = -37.0562 mrad, 
msg =  344, time steps =   10, qsz =    2, switch = on, t =     6882 ms, ax =  0.5167, ay = -0.3752, az =  9.9782, gx =  0.0032 rad/s, gy =  0.0035 rad/s, gz =  0.0181 rad/s, erpm_pitch =    0, erpm_roll = 8399, I_w_pitch = -0.0000 A, I_w_roll = -0.2439 A, theta_roll_comp = -39.1843 mrad, theta_setpoint = -37.0618 mrad, 
msg =  345, time steps =   10, qsz =    2, switch = on, t =     6902 ms, ax =  0.5910, ay = -0.2865, az =  9.9219, gx =  0.0032 rad/s, gy =  0.0024 rad/s, gz =  0.0161 rad/s, erpm_pitch =    0, erpm_roll = 8399, I_w_pitch = -0.0000 A, I_w_roll = -0.2643 A, theta_roll_comp = -39.0566 mrad, theta_setpoint = -37.0618 mrad, 
msg =  346, time steps =   10, qsz =    2, switch = on, t =     6922 ms, ax =  0.5766, ay = -0.2805, az =  9.8967, gx =  0.0038 rad/s, gy =  0.0007 rad/s, gz = -0.0055 rad/s, erpm_pitch =    0, erpm_roll = 8378, I_w_pitch = -0.0000 A, I_w_roll = -0.4062 A, theta_roll_comp = -38.7761 mrad, theta_setpoint = -37.0692 mrad, 
msg =  347, time steps =   10, qsz =    2, switch = on, t =     6942 ms, ax =  0.6102, ay = -0.3273, az =  9.8703, gx =  0.0035 rad/s, gy =  0.0003 rad/s, gz = -0.0184 rad/s, erpm_pitch =    0, erpm_roll = 8378, I_w_pitch = -0.0000 A, I_w_roll = -0.3986 A, theta_roll_comp = -38.5242 mrad, theta_setpoint = -37.0692 mrad, 
msg =  348, time steps =   10, qsz =    2, switch = on, t =     6962 ms, ax =  0.4747, ay = -0.3476, az =  9.9615, gx =  0.0019 rad/s, gy =  0.0015 rad/s, gz = -0.0116 rad/s, erpm_pitch =    0, erpm_roll = 8346, I_w_pitch = -0.0000 A, I_w_roll = -0.1263 A, theta_roll_comp = -38.4399 mrad, theta_setpoint = -37.0804 mrad, 
msg =  349, time steps =   10, qsz =    2, switch = on, t =     6982 ms, ax =  0.5454, ay = -0.2805, az = 10.0346, gx =  0.0027 rad/s, gy =  0.0036 rad/s, gz =  0.0141 rad/s, erpm_pitch =    0, erpm_roll = 8329, I_w_pitch = -0.0000 A, I_w_roll = -0.2974 A, theta_roll_comp = -38.2751 mrad, theta_setpoint = -37.0863 mrad, 
msg =  350, time steps =   10, qsz =    2, switch = on, t =     7002 ms, ax =  0.6341, ay = -0.3608, az =  9.8967, gx =  0.0039 rad/s, gy =  0.0034 rad/s, gz =  0.0192 rad/s, erpm_pitch =    0, erpm_roll = 8329, I_w_pitch = -0.0000 A, I_w_roll = -0.5338 A, theta_roll_comp = -38.1455 mrad, theta_setpoint = -37.0863 mrad, 
msg =  351, time steps =   10, qsz =    2, switch = on, t =     7022 ms, ax =  0.5862, ay = -0.2829, az =  9.8835, gx =  0.0028 rad/s, gy =  0.0010 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 8289, I_w_pitch = -0.0000 A, I_w_roll = -0.3704 A, theta_roll_comp = -37.9824 mrad, theta_setpoint = -37.1003 mrad, 
msg =  352, time steps =   10, qsz =    2, switch = on, t =     7042 ms, ax =  0.5262, ay = -0.3153, az =  9.9111, gx =  0.0028 rad/s, gy =  0.0006 rad/s, gz = -0.0170 rad/s, erpm_pitch =    0, erpm_roll = 8289, I_w_pitch = -0.0000 A, I_w_roll = -0.4169 A, theta_roll_comp = -37.6921 mrad, theta_setpoint = -37.1003 mrad, 
msg =  353, time steps =   10, qsz =    2, switch = on, t =     7062 ms, ax =  0.4939, ay = -0.3249, az =  9.9830, gx =  0.0028 rad/s, gy =  0.0020 rad/s, gz = -0.0148 rad/s, erpm_pitch =    0, erpm_roll = 8244, I_w_pitch = -0.0000 A, I_w_roll = -0.4545 A, theta_roll_comp = -37.4723 mrad, theta_setpoint = -37.1161 mrad, 
msg =  354, time steps =   10, qsz =    2, switch = on, t =     7082 ms, ax =  0.5502, ay = -0.3141, az =  9.9471, gx =  0.0023 rad/s, gy =  0.0024 rad/s, gz =  0.0055 rad/s, erpm_pitch =    0, erpm_roll = 8223, I_w_pitch = -0.0000 A, I_w_roll = -0.3848 A, theta_roll_comp = -37.3166 mrad, theta_setpoint = -37.1234 mrad, 
msg =  355, time steps =   10, qsz =    2, switch = on, t =     7102 ms, ax =  0.5658, ay = -0.3800, az =  9.8823, gx =  0.0026 rad/s, gy =  0.0014 rad/s, gz =  0.0192 rad/s, erpm_pitch =    0, erpm_roll = 8223, I_w_pitch = -0.0000 A, I_w_roll = -0.4469 A, theta_roll_comp = -37.2276 mrad, theta_setpoint = -37.1234 mrad, 
msg =  356, time steps =   10, qsz =    2, switch = on, t =     7122 ms, ax =  0.6018, ay = -0.2841, az =  9.9135, gx =  0.0038 rad/s, gy =  0.0012 rad/s, gz =  0.0084 rad/s, erpm_pitch =    0, erpm_roll = 8175, I_w_pitch = -0.0000 A, I_w_roll = -0.6906 A, theta_roll_comp = -37.0699 mrad, theta_setpoint = -37.1402 mrad, 
msg =  357, time steps =   10, qsz =    2, switch = on, t =     7142 ms, ax =  0.5622, ay = -0.3368, az =  9.9171, gx =  0.0044 rad/s, gy =  0.0008 rad/s, gz = -0.0111 rad/s, erpm_pitch =    0, erpm_roll = 8175, I_w_pitch = -0.0000 A, I_w_roll = -0.8371 A, theta_roll_comp = -36.9031 mrad, theta_setpoint = -37.1402 mrad, 
msg =  358, time steps =   10, qsz =    2, switch = on, t =     7162 ms, ax =  0.7804, ay = -0.2805, az =  9.8919, gx =  0.0026 rad/s, gy =  0.0000 rad/s, gz = -0.0152 rad/s, erpm_pitch =    0, erpm_roll = 8122, I_w_pitch = -0.0000 A, I_w_roll = -0.5418 A, theta_roll_comp = -36.6698 mrad, theta_setpoint = -37.1587 mrad, 
msg =  359, time steps =   10, qsz =    2, switch = on, t =     7182 ms, ax =  0.5790, ay = -0.3680, az =  9.9734, gx =  0.0028 rad/s, gy =  0.0018 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = 8095, I_w_pitch = -0.0000 A, I_w_roll = -0.6139 A, theta_roll_comp = -36.5285 mrad, theta_setpoint = -37.1682 mrad, 
msg =  360, time steps =   10, qsz =    2, switch = on, t =     7202 ms, ax =  0.5538, ay = -0.3141, az =  9.9603, gx =  0.0031 rad/s, gy =  0.0031 rad/s, gz =  0.0132 rad/s, erpm_pitch =    0, erpm_roll = 8095, I_w_pitch = -0.0000 A, I_w_roll = -0.6791 A, theta_roll_comp = -36.4206 mrad, theta_setpoint = -37.1682 mrad, 
msg =  361, time steps =   10, qsz =    2, switch = on, t =     7222 ms, ax =  0.5250, ay = -0.3285, az =  9.8991, gx =  0.0036 rad/s, gy =  0.0024 rad/s, gz =  0.0128 rad/s, erpm_pitch =    0, erpm_roll = 8036, I_w_pitch = -0.0000 A, I_w_roll = -0.8020 A, theta_roll_comp = -36.2720 mrad, theta_setpoint = -37.1888 mrad, 
msg =  362, time steps =   10, qsz =    2, switch = on, t =     7242 ms, ax =  0.6042, ay = -0.2553, az =  9.9279, gx =  0.0036 rad/s, gy =  0.0018 rad/s, gz = -0.0024 rad/s, erpm_pitch =    0, erpm_roll = 8036, I_w_pitch = -0.0000 A, I_w_roll = -0.8426 A, theta_roll_comp = -36.0186 mrad, theta_setpoint = -37.1888 mrad, 
msg =  363, time steps =   10, qsz =    2, switch = on, t =     7262 ms, ax =  0.6317, ay = -0.2146, az =  9.9555, gx =  0.0039 rad/s, gy =  0.0015 rad/s, gz = -0.0135 rad/s, erpm_pitch =    0, erpm_roll = 7979, I_w_pitch = -0.0000 A, I_w_roll = -0.9376 A, theta_roll_comp = -35.7444 mrad, theta_setpoint = -37.2088 mrad, 
msg =  364, time steps =   10, qsz =    2, switch = on, t =     7282 ms, ax =  0.5562, ay = -0.3428, az = 10.0046, gx =  0.0030 rad/s, gy =  0.0028 rad/s, gz = -0.0108 rad/s, erpm_pitch =    0, erpm_roll = 7941, I_w_pitch = -0.0000 A, I_w_roll = -0.8149 A, theta_roll_comp = -35.4756 mrad, theta_setpoint = -37.2221 mrad, 
msg =  365, time steps =   10, qsz =    2, switch = on, t =     7302 ms, ax =  0.5598, ay = -0.3141, az =  9.9710, gx =  0.0031 rad/s, gy =  0.0032 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = 7941, I_w_pitch = -0.0000 A, I_w_roll = -0.8550 A, theta_roll_comp = -35.3753 mrad, theta_setpoint = -37.2221 mrad, 
msg =  366, time steps =   10, qsz =    2, switch = on, t =     7322 ms, ax =  0.5454, ay = -0.2877, az =  9.9327, gx =  0.0034 rad/s, gy =  0.0027 rad/s, gz =  0.0164 rad/s, erpm_pitch =    0, erpm_roll = 7874, I_w_pitch = -0.0000 A, I_w_roll = -0.9257 A, theta_roll_comp = -35.2561 mrad, theta_setpoint = -37.2455 mrad, 
msg =  367, time steps =   10, qsz =    2, switch = on, t =     7342 ms, ax =  0.5694, ay = -0.3656, az =  9.9171, gx =  0.0039 rad/s, gy =  0.0018 rad/s, gz =  0.0081 rad/s, erpm_pitch =    0, erpm_roll = 7835, I_w_pitch = -0.0000 A, I_w_roll = -1.0470 A, theta_roll_comp = -35.1112 mrad, theta_setpoint = -37.2591 mrad, 
msg =  368, time steps =   10, qsz =    2, switch = on, t =     7362 ms, ax =  0.6054, ay = -0.2961, az =  9.9399, gx =  0.0042 rad/s, gy =  0.0024 rad/s, gz = -0.0071 rad/s, erpm_pitch =    0, erpm_roll = 7835, I_w_pitch = -0.0000 A, I_w_roll = -1.1245 A, theta_roll_comp = -34.9262 mrad, theta_setpoint = -37.2591 mrad, 
msg =  369, time steps =   10, qsz =    2, switch = on, t =     7382 ms, ax =  0.6149, ay = -0.2421, az =  9.8835, gx =  0.0034 rad/s, gy =  0.0015 rad/s, gz = -0.0109 rad/s, erpm_pitch =    0, erpm_roll = 7764, I_w_pitch = -0.0000 A, I_w_roll = -1.0226 A, theta_roll_comp = -34.6891 mrad, theta_setpoint = -37.2840 mrad, 
msg =  370, time steps =   10, qsz =    2, switch = on, t =     7402 ms, ax =  0.5346, ay = -0.2913, az =  9.9147, gx =  0.0034 rad/s, gy =  0.0010 rad/s, gz = -0.0068 rad/s, erpm_pitch =    0, erpm_roll = 7764, I_w_pitch = -0.0000 A, I_w_roll = -1.0430 A, theta_roll_comp = -34.5615 mrad, theta_setpoint = -37.2840 mrad, 
msg =  371, time steps =   10, qsz =    2, switch = on, t =     7422 ms, ax =  0.5958, ay = -0.3009, az =  9.9986, gx =  0.0036 rad/s, gy =  0.0031 rad/s, gz =  0.0085 rad/s, erpm_pitch =    0, erpm_roll = 7689, I_w_pitch = -0.0000 A, I_w_roll = -1.1249 A, theta_roll_comp = -34.3754 mrad, theta_setpoint = -37.3102 mrad, 
msg =  372, time steps =   10, qsz =    2, switch = on, t =     7442 ms, ax =  0.5694, ay = -0.2961, az =  9.9375, gx =  0.0042 rad/s, gy =  0.0028 rad/s, gz =  0.0120 rad/s, erpm_pitch =    0, erpm_roll = 7646, I_w_pitch = -0.0000 A, I_w_roll = -1.2424 A, theta_roll_comp = -34.2554 mrad, theta_setpoint = -37.3253 mrad, 
msg =  373, time steps =   10, qsz =    2, switch = on, t =     7462 ms, ax =  0.5982, ay = -0.2997, az =  9.9003, gx =  0.0051 rad/s, gy =  0.0016 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = 7646, I_w_pitch = -0.0000 A, I_w_roll = -1.4314 A, theta_roll_comp = -34.1229 mrad, theta_setpoint = -37.3253 mrad, 
msg =  374, time steps =   10, qsz =    2, switch = on, t =     7482 ms, ax =  0.5274, ay = -0.2589, az =  9.9315, gx =  0.0052 rad/s, gy =  0.0014 rad/s, gz = -0.0071 rad/s, erpm_pitch =    0, erpm_roll = 7564, I_w_pitch = -0.0000 A, I_w_roll = -1.4973 A, theta_roll_comp = -33.8891 mrad, theta_setpoint = -37.3539 mrad, 
