picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0020 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = 1221724868382616705607437123584.0000 mrad, 
msg =   18, time steps =   10, qsz =    2, switch = off, t =      362 ms, ax =  0.5226, ay =  0.1391, az =  9.9315, gx = -0.0002 rad/s, gy =  0.0008 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -8.0819 A, theta_roll_comp = 10.7598 mrad, theta_setpoint = -40.0000 mrad, 
msg =   19, time steps =   10, qsz =    2, switch = off, t =      382 ms, ax =  0.5574, ay =  0.1498, az =  9.9195, gx = -0.0042 rad/s, gy =  0.0002 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -7.3659 A, theta_roll_comp = 10.7788 mrad, theta_setpoint = -40.0000 mrad, 
msg =   20, time steps =   10, qsz =    2, switch = off, t =      402 ms, ax =  0.5778, ay =  0.1498, az =  9.9303, gx = -0.0083 rad/s, gy =  0.0003 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.6172 A, theta_roll_comp = 10.7432 mrad, theta_setpoint = -40.0000 mrad, 
msg =   21, time steps =   10, qsz =    2, switch = off, t =      422 ms, ax =  0.6006, ay =  0.1510, az =  9.9399, gx = -0.0125 rad/s, gy =  0.0007 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -5.8557 A, theta_roll_comp = 10.6279 mrad, theta_setpoint = -40.0000 mrad, 
msg =   22, time steps =   10, qsz =    2, switch = off, t =      442 ms, ax =  0.5994, ay =  0.1606, az =  9.9447, gx = -0.0165 rad/s, gy =  0.0014 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -5.1076 A, theta_roll_comp = 10.4460 mrad, theta_setpoint = -40.0000 mrad, 
msg =   23, time steps =   10, qsz =    2, switch = off, t =      462 ms, ax =  0.5958, ay =  0.1510, az =  9.9363, gx = -0.0206 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.3217 A, theta_roll_comp = 10.1781 mrad, theta_setpoint = -40.0000 mrad, 
msg =   24, time steps =   10, qsz =    2, switch = on, t =      482 ms, ax =  0.5670, ay =  0.1307, az =  9.9411, gx = -0.0246 rad/s, gy =  0.0027 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -3.5430 A, theta_roll_comp =  9.8053 mrad, theta_setpoint = -40.0000 mrad, 
msg =   25, time steps =   10, qsz =    2, switch = on, t =      502 ms, ax =  0.5406, ay =  0.1091, az =  9.9303, gx = -0.0283 rad/s, gy =  0.0024 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -2.7955 A, theta_roll_comp =  9.3276 mrad, theta_setpoint = -40.0000 mrad, 
msg =   26, time steps =   10, qsz =    2, switch = on, t =      522 ms, ax =  0.5286, ay =  0.2098, az =  9.9447, gx = -0.0350 rad/s, gy =  0.0024 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.5090 A, theta_roll_comp =  8.7767 mrad, theta_setpoint = -40.0000 mrad, 
msg =   27, time steps =   10, qsz =    2, switch = on, t =      542 ms, ax =  0.5167, ay =  0.2110, az =  9.9447, gx = -0.0383 rad/s, gy =  0.0024 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.8153 A, theta_roll_comp =  8.1860 mrad, theta_setpoint = -40.0000 mrad, 
msg =   28, time steps =   10, qsz =    2, switch = on, t =      562 ms, ax =  0.5238, ay =  0.1259, az =  9.9195, gx = -0.0376 rad/s, gy = -0.0001 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = -109, I_w_pitch = -0.0000 A, I_w_roll = -0.8346 A, theta_roll_comp =  7.5577 mrad, theta_setpoint = -40.0000 mrad, 
msg =   29, time steps =   10, qsz =    2, switch = on, t =      582 ms, ax =  0.5119, ay =  0.0647, az =  9.9303, gx = -0.0415 rad/s, gy = -0.0010 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = -147, I_w_pitch = -0.0000 A, I_w_roll = -0.0153 A, theta_roll_comp =  6.7814 mrad, theta_setpoint = -40.0000 mrad, 
msg =   30, time steps =   10, qsz =    2, switch = on, t =      602 ms, ax =  0.5442, ay =  0.0108, az =  9.9171, gx = -0.0463 rad/s, gy = -0.0001 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = -147, I_w_pitch = -0.0000 A, I_w_roll =  1.0030 A, theta_roll_comp =  5.8096 mrad, theta_setpoint = -40.0000 mrad, 
msg =   31, time steps =   10, qsz =    2, switch = on, t =      622 ms, ax =  0.5778, ay = -0.0048, az =  9.9531, gx = -0.0452 rad/s, gy = -0.0013 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll = -199, I_w_pitch = -0.0000 A, I_w_roll =  0.9770 A, theta_roll_comp =  4.7739 mrad, theta_setpoint = -40.0000 mrad, 
msg =   32, time steps =   10, qsz =    2, switch = on, t =      642 ms, ax =  0.5814, ay = -0.0468, az =  9.9447, gx = -0.0450 rad/s, gy = -0.0013 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = -199, I_w_pitch = -0.0000 A, I_w_roll =  1.0988 A, theta_roll_comp =  3.7127 mrad, theta_setpoint = -40.0000 mrad, 
msg =   33, time steps =   10, qsz =    2, switch = on, t =      662 ms, ax =  0.5874, ay = -0.0875, az =  9.9435, gx = -0.0479 rad/s, gy =  0.0007 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -283, I_w_pitch = -0.0000 A, I_w_roll =  1.8119 A, theta_roll_comp =  2.5517 mrad, theta_setpoint = -40.0000 mrad, 
msg =   34, time steps =   10, qsz =    2, switch = on, t =      682 ms, ax =  0.5874, ay = -0.0587, az =  9.9483, gx = -0.0470 rad/s, gy =  0.0014 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -306, I_w_pitch = -0.0000 A, I_w_roll =  1.8291 A, theta_roll_comp =  1.3955 mrad, theta_setpoint = -40.0000 mrad, 
msg =   35, time steps =   10, qsz =    2, switch = on, t =      702 ms, ax =  0.5718, ay = -0.0995, az =  9.9351, gx = -0.0436 rad/s, gy =  0.0012 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -306, I_w_pitch = -0.0000 A, I_w_roll =  1.4092 A, theta_roll_comp =  0.2748 mrad, theta_setpoint = -40.0000 mrad, 
msg =   36, time steps =   10, qsz =    2, switch = on, t =      722 ms, ax =  0.5382, ay = -0.1426, az =  9.9567, gx = -0.0436 rad/s, gy =  0.0012 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -250, I_w_pitch = -0.0000 A, I_w_roll =  1.5959 A, theta_roll_comp = -0.8919 mrad, theta_setpoint = -40.0000 mrad, 
msg =   37, time steps =   10, qsz =    2, switch = on, t =      742 ms, ax =  0.5550, ay = -0.1462, az =  9.9411, gx = -0.0430 rad/s, gy =  0.0014 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = -250, I_w_pitch = -0.0000 A, I_w_roll =  1.6621 A, theta_roll_comp = -2.0544 mrad, theta_setpoint = -40.0000 mrad, 
msg =   38, time steps =   10, qsz =    2, switch = on, t =      762 ms, ax =  0.5730, ay = -0.1199, az =  9.9363, gx = -0.0399 rad/s, gy =  0.0003 rad/s, gz =  0.0029 rad/s, erpm_pitch =    0, erpm_roll = -165, I_w_pitch = -0.0000 A, I_w_roll =  1.2790 A, theta_roll_comp = -3.1056 mrad, theta_setpoint = -40.0000 mrad, 
msg =   39, time steps =   10, qsz =    2, switch = on, t =      782 ms, ax =  0.5718, ay = -0.1426, az =  9.9411, gx = -0.0396 rad/s, gy =  0.0004 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = -113, I_w_pitch = -0.0000 A, I_w_roll =  1.3931 A, theta_roll_comp = -4.1182 mrad, theta_setpoint = -40.0000 mrad, 
msg =   40, time steps =   10, qsz =    2, switch = on, t =      802 ms, ax =  0.6042, ay = -0.0911, az =  9.9399, gx = -0.0418 rad/s, gy =  0.0015 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = -113, I_w_pitch = -0.0000 A, I_w_roll =  1.9310 A, theta_roll_comp = -5.0836 mrad, theta_setpoint = -40.0000 mrad, 
msg =   41, time steps =   10, qsz =    2, switch = on, t =      822 ms, ax =  0.5946, ay = -0.0432, az =  9.9591, gx = -0.0415 rad/s, gy =  0.0023 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll =  -27, I_w_pitch = -0.0000 A, I_w_roll =  2.0199 A, theta_roll_comp = -5.9388 mrad, theta_setpoint = -40.0000 mrad, 
msg =   42, time steps =   10, qsz =    2, switch = on, t =      842 ms, ax =  0.5646, ay = -0.0599, az =  9.9459, gx = -0.0426 rad/s, gy =  0.0022 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =  -27, I_w_pitch = -0.0000 A, I_w_roll =  2.3426 A, theta_roll_comp = -6.7570 mrad, theta_setpoint = -40.0000 mrad, 
msg =   43, time steps =   10, qsz =    2, switch = on, t =      862 ms, ax =  0.5538, ay = -0.0372, az =  9.9399, gx = -0.0463 rad/s, gy =  0.0027 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =   51, I_w_pitch = -0.0000 A, I_w_roll =  3.1527 A, theta_roll_comp = -7.6261 mrad, theta_setpoint = -40.0000 mrad, 
msg =   44, time steps =   10, qsz =    2, switch = on, t =      882 ms, ax =  0.5131, ay = -0.0491, az =  9.9315, gx = -0.0474 rad/s, gy =  0.0018 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll =   88, I_w_pitch = -0.0000 A, I_w_roll =  3.4846 A, theta_roll_comp = -8.5018 mrad, theta_setpoint = -40.0000 mrad, 
msg =   45, time steps =   10, qsz =    2, switch = on, t =      902 ms, ax =  0.5011, ay = -0.1259, az =  9.9327, gx = -0.0459 rad/s, gy =  0.0002 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll =   88, I_w_pitch = -0.0000 A, I_w_roll =  3.3754 A, theta_roll_comp = -9.4671 mrad, theta_setpoint = -40.0000 mrad, 
msg =   46, time steps =   10, qsz =    2, switch = on, t =      922 ms, ax =  0.5011, ay = -0.2194, az =  9.9375, gx = -0.0454 rad/s, gy = -0.0008 rad/s, gz =  0.0049 rad/s, erpm_pitch =    0, erpm_roll =  227, I_w_pitch = -0.0000 A, I_w_roll =  3.4562 A, theta_roll_comp = -10.5716 mrad, theta_setpoint = -40.0000 mrad, 
msg =   47, time steps =   10, qsz =    2, switch = on, t =      942 ms, ax =  0.5131, ay = -0.2709, az =  9.9555, gx = -0.0443 rad/s, gy = -0.0016 rad/s, gz =  0.0059 rad/s, erpm_pitch =    0, erpm_roll =  325, I_w_pitch = -0.0000 A, I_w_roll =  3.4560 A, theta_roll_comp = -11.7684 mrad, theta_setpoint = -40.0000 mrad, 
msg =   48, time steps =   10, qsz =    2, switch = on, t =      962 ms, ax =  0.5622, ay = -0.3201, az =  9.9567, gx = -0.0399 rad/s, gy = -0.0025 rad/s, gz =  0.0068 rad/s, erpm_pitch =    0, erpm_roll =  325, I_w_pitch = -0.0000 A, I_w_roll =  2.8579 A, theta_roll_comp = -12.9735 mrad, theta_setpoint = -40.0000 mrad, 
msg =   49, time steps =   10, qsz =    2, switch = on, t =      982 ms, ax =  0.6197, ay = -0.3344, az =  9.9579, gx = -0.0368 rad/s, gy = -0.0020 rad/s, gz =  0.0060 rad/s, erpm_pitch =    0, erpm_roll =  461, I_w_pitch = -0.0000 A, I_w_roll =  2.4884 A, theta_roll_comp = -14.1095 mrad, theta_setpoint = -40.0000 mrad, 
msg =   50, time steps =   10, qsz =    2, switch = on, t =     1002 ms, ax =  0.6209, ay = -0.3356, az =  9.9591, gx = -0.0342 rad/s, gy = -0.0001 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll =  461, I_w_pitch = -0.0000 A, I_w_roll =  2.1779 A, theta_roll_comp = -15.1650 mrad, theta_setpoint = -40.0000 mrad, 
msg =   51, time steps =   10, qsz =    2, switch = on, t =     1022 ms, ax =  0.6161, ay = -0.3992, az =  9.9507, gx = -0.0292 rad/s, gy =  0.0012 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll =  622, I_w_pitch = -0.0000 A, I_w_roll =  1.4552 A, theta_roll_comp = -16.1907 mrad, theta_setpoint = -40.0000 mrad, 
msg =   52, time steps =   10, qsz =    2, switch = on, t =     1042 ms, ax =  0.6066, ay = -0.4028, az =  9.9423, gx = -0.0261 rad/s, gy =  0.0027 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =  696, I_w_pitch = -0.0000 A, I_w_roll =  1.0378 A, theta_roll_comp = -17.1774 mrad, theta_setpoint = -40.0000 mrad, 
msg =   53, time steps =   10, qsz =    2, switch = on, t =     1062 ms, ax =  0.5814, ay = -0.3584, az =  9.9411, gx = -0.0241 rad/s, gy =  0.0040 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =  696, I_w_pitch = -0.0000 A, I_w_roll =  0.8154 A, theta_roll_comp = -18.0342 mrad, theta_setpoint = -40.0000 mrad, 
msg =   54, time steps =   10, qsz =    2, switch = on, t =     1082 ms, ax =  0.5550, ay = -0.3536, az =  9.9375, gx = -0.0185 rad/s, gy =  0.0032 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =  786, I_w_pitch = -0.0000 A, I_w_roll = -0.0735 A, theta_roll_comp = -18.7703 mrad, theta_setpoint = -40.0000 mrad, 
msg =   55, time steps =   10, qsz =    2, switch = on, t =     1102 ms, ax =  0.5334, ay = -0.3704, az =  9.9219, gx = -0.0151 rad/s, gy =  0.0023 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =  786, I_w_pitch = -0.0000 A, I_w_roll = -0.5713 A, theta_roll_comp = -19.4040 mrad, theta_setpoint = -40.0000 mrad, 
msg =   56, time steps =   10, qsz =    2, switch = on, t =     1122 ms, ax =  0.5334, ay = -0.3033, az =  9.9363, gx = -0.0150 rad/s, gy =  0.0022 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =  850, I_w_pitch = -0.0000 A, I_w_roll = -0.5103 A, theta_roll_comp = -19.9346 mrad, theta_setpoint = -40.0000 mrad, 
msg =   57, time steps =   10, qsz =    2, switch = on, t =     1142 ms, ax =  0.5586, ay = -0.2601, az =  9.9579, gx = -0.0109 rad/s, gy =  0.0011 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll =  829, I_w_pitch = -0.0000 A, I_w_roll = -1.1920 A, theta_roll_comp = -20.3180 mrad, theta_setpoint = -40.0000 mrad, 
msg =   58, time steps =   10, qsz =    2, switch = on, t =     1162 ms, ax =  0.5658, ay = -0.2673, az =  9.9423, gx = -0.0073 rad/s, gy = -0.0001 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll =  829, I_w_pitch = -0.0000 A, I_w_roll = -1.7958 A, theta_roll_comp = -20.5886 mrad, theta_setpoint = -40.0000 mrad, 
msg =   59, time steps =   10, qsz =    2, switch = on, t =     1182 ms, ax =  0.5790, ay = -0.2409, az =  9.9423, gx = -0.0105 rad/s, gy =  0.0008 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =  783, I_w_pitch = -0.0000 A, I_w_roll = -1.1737 A, theta_roll_comp = -20.8815 mrad, theta_setpoint = -40.0000 mrad, 
msg =   60, time steps =   10, qsz =    2, switch = on, t =     1202 ms, ax =  0.6030, ay = -0.1762, az =  9.9471, gx = -0.0102 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =  783, I_w_pitch = -0.0000 A, I_w_roll = -1.1882 A, theta_roll_comp = -21.0905 mrad, theta_setpoint = -40.0000 mrad, 
msg =   61, time steps =   10, qsz =    2, switch = on, t =     1222 ms, ax =  0.5910, ay = -0.2038, az =  9.9387, gx = -0.0066 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =  596, I_w_pitch = -0.0000 A, I_w_roll = -1.8180 A, theta_roll_comp = -21.1992 mrad, theta_setpoint = -40.0000 mrad, 
msg =   62, time steps =   10, qsz =    2, switch = on, t =     1242 ms, ax =  0.5610, ay = -0.2326, az =  9.9315, gx = -0.0063 rad/s, gy =  0.0023 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll =  480, I_w_pitch = -0.0000 A, I_w_roll = -1.8413 A, theta_roll_comp = -21.3531 mrad, theta_setpoint = -40.0000 mrad, 
msg =   63, time steps =   10, qsz =    2, switch = on, t =     1262 ms, ax =  0.5358, ay = -0.3033, az =  9.9411, gx = -0.0033 rad/s, gy =  0.0023 rad/s, gz = -0.0019 rad/s, erpm_pitch =    0, erpm_roll =  480, I_w_pitch = -0.0000 A, I_w_roll = -2.3587 A, theta_roll_comp = -21.5644 mrad, theta_setpoint = -40.0000 mrad, 
msg =   64, time steps =   10, qsz =    2, switch = on, t =     1282 ms, ax =  0.5346, ay = -0.4220, az =  9.9147, gx =  0.0023 rad/s, gy =  0.0006 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll =  160, I_w_pitch = -0.0000 A, I_w_roll = -3.3120 A, theta_roll_comp = -21.8981 mrad, theta_setpoint = -40.0000 mrad, 
msg =   65, time steps =   10, qsz =    2, switch = on, t =     1302 ms, ax =  0.5418, ay = -0.4076, az =  9.9003, gx =  0.0007 rad/s, gy =  0.0007 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll =   -6, I_w_pitch = -0.0000 A, I_w_roll = -2.9631 A, theta_roll_comp = -22.2812 mrad, theta_setpoint = -40.0000 mrad, 
msg =   66, time steps =   10, qsz =    2, switch = on, t =     1322 ms, ax =  0.5982, ay = -0.2517, az =  9.9459, gx = -0.0004 rad/s, gy =  0.0020 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll =   -6, I_w_pitch = -0.0000 A, I_w_roll = -2.7412 A, theta_roll_comp = -22.4697 mrad, theta_setpoint = -40.0000 mrad, 
msg =   67, time steps =   10, qsz =    2, switch = on, t =     1342 ms, ax =  0.6281, ay = -0.1846, az =  9.9399, gx =  0.0058 rad/s, gy =  0.0012 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =   10, I_w_pitch = -0.0000 A, I_w_roll = -3.8583 A, theta_roll_comp = -22.3782 mrad, theta_setpoint = -40.0000 mrad, 
msg =   68, time steps =   10, qsz =    2, switch = on, t =     1362 ms, ax =  0.5958, ay = -0.1990, az =  9.9327, gx =  0.0058 rad/s, gy =  0.0012 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =   10, I_w_pitch = -0.0000 A, I_w_roll = -3.8913 A, theta_roll_comp = -22.1723 mrad, theta_setpoint = -40.0000 mrad, 
