picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  242, time steps =   10, qsz =    2, switch = off, t =     4842 ms, ax =  0.5838, ay = -0.2853, az =  9.9351, gx = -0.0079 rad/s, gy =  0.0011 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.4015 A, theta_roll_comp = -33.5729 mrad, theta_setpoint = -40.0000 mrad, 
msg =  293, time steps =   10, qsz =    2, switch = off, t =     5862 ms, ax =  0.5730, ay = -0.2841, az =  9.9543, gx =  0.0006 rad/s, gy =  0.0020 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.2171 A, theta_roll_comp = -33.0439 mrad, theta_setpoint = -40.0000 mrad, 
msg =  294, time steps =   10, qsz =    2, switch = off, t =     5882 ms, ax =  0.5730, ay = -0.2805, az =  9.9471, gx =  0.0003 rad/s, gy =  0.0018 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.1848 A, theta_roll_comp = -32.9459 mrad, theta_setpoint = -40.0000 mrad, 
msg =  295, time steps =   10, qsz =    2, switch = off, t =     5902 ms, ax =  0.5718, ay = -0.2757, az =  9.9315, gx =  0.0007 rad/s, gy =  0.0019 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.2745 A, theta_roll_comp = -32.8349 mrad, theta_setpoint = -40.0000 mrad, 
msg =  296, time steps =   10, qsz =    2, switch = off, t =     5922 ms, ax =  0.5742, ay = -0.2637, az =  9.9363, gx =  0.0008 rad/s, gy =  0.0018 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.3198 A, theta_roll_comp = -32.7016 mrad, theta_setpoint = -40.0000 mrad, 
msg =  297, time steps =   10, qsz =    2, switch = on, t =     5942 ms, ax =  0.5790, ay = -0.2661, az =  9.9447, gx =  0.0008 rad/s, gy =  0.0020 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.3415 A, theta_roll_comp = -32.5659 mrad, theta_setpoint = -40.0000 mrad, 
msg =  298, time steps =   10, qsz =    2, switch = on, t =     5962 ms, ax =  0.5838, ay = -0.2661, az =  9.9387, gx =  0.0007 rad/s, gy =  0.0015 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.3381 A, theta_roll_comp = -32.4373 mrad, theta_setpoint = -40.0000 mrad, 
msg =  299, time steps =   10, qsz =    2, switch = on, t =     5982 ms, ax =  0.5862, ay = -0.2326, az =  9.9387, gx = -0.0009 rad/s, gy =  0.0016 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =    1, I_w_pitch = -0.0000 A, I_w_roll = -1.0721 A, theta_roll_comp = -32.3024 mrad, theta_setpoint = -40.0004 mrad, 
msg =  300, time steps =   10, qsz =    2, switch = on, t =     6002 ms, ax =  0.5802, ay = -0.2230, az =  9.9531, gx = -0.0017 rad/s, gy =  0.0022 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =  -32, I_w_pitch = -0.0000 A, I_w_roll = -0.9502 A, theta_roll_comp = -32.1539 mrad, theta_setpoint = -39.9888 mrad, 
msg =  301, time steps =   10, qsz =    2, switch = off, t =     6022 ms, ax =  0.5778, ay = -0.2397, az =  9.9219, gx = -0.0013 rad/s, gy =  0.0015 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =  -32, I_w_pitch = -0.0000 A, I_w_roll = -1.0476 A, theta_roll_comp = -31.9948 mrad, theta_setpoint = -39.9888 mrad, 
msg =  302, time steps =   10, qsz =    2, switch = on, t =     6042 ms, ax =  0.5682, ay = -0.2385, az =  9.9315, gx = -0.0025 rad/s, gy =  0.0014 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -130, I_w_pitch = -0.0000 A, I_w_roll = -0.8466 A, theta_roll_comp = -31.8687 mrad, theta_setpoint = -39.9545 mrad, 
msg =  303, time steps =   10, qsz =    2, switch = on, t =     6062 ms, ax =  0.5694, ay = -0.2158, az =  9.9495, gx = -0.0026 rad/s, gy =  0.0011 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -168, I_w_pitch = -0.0000 A, I_w_roll = -0.8409 A, theta_roll_comp = -31.7411 mrad, theta_setpoint = -39.9412 mrad, 
msg =  304, time steps =   10, qsz =    2, switch = on, t =     6082 ms, ax =  0.5754, ay = -0.2218, az =  9.9435, gx = -0.0026 rad/s, gy =  0.0010 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -168, I_w_pitch = -0.0000 A, I_w_roll = -0.8567 A, theta_roll_comp = -31.6421 mrad, theta_setpoint = -39.9412 mrad, 
msg =  305, time steps =   10, qsz =    2, switch = on, t =     6102 ms, ax =  0.5886, ay = -0.2877, az =  9.9279, gx = -0.0037 rad/s, gy =  0.0015 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -206, I_w_pitch = -0.0000 A, I_w_roll = -0.6689 A, theta_roll_comp = -31.6046 mrad, theta_setpoint = -39.9279 mrad, 
msg =  306, time steps =   10, qsz =    2, switch = on, t =     6122 ms, ax =  0.5838, ay = -0.2925, az =  9.9339, gx = -0.0025 rad/s, gy =  0.0012 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -206, I_w_pitch = -0.0000 A, I_w_roll = -0.8853 A, theta_roll_comp = -31.5999 mrad, theta_setpoint = -39.9279 mrad, 
msg =  307, time steps =   10, qsz =    2, switch = on, t =     6142 ms, ax =  0.5790, ay = -0.2901, az =  9.9351, gx = -0.0021 rad/s, gy =  0.0014 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -232, I_w_pitch = -0.0000 A, I_w_roll = -0.9579 A, theta_roll_comp = -31.5866 mrad, theta_setpoint = -39.9188 mrad, 
msg =  308, time steps =   10, qsz =    2, switch = on, t =     6162 ms, ax =  0.5730, ay = -0.2949, az =  9.9447, gx = -0.0026 rad/s, gy =  0.0016 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -243, I_w_pitch = -0.0000 A, I_w_roll = -0.8627 A, theta_roll_comp = -31.5785 mrad, theta_setpoint = -39.9150 mrad, 
msg =  309, time steps =   10, qsz =    2, switch = on, t =     6182 ms, ax =  0.5790, ay = -0.2697, az =  9.9567, gx = -0.0017 rad/s, gy =  0.0019 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -243, I_w_pitch = -0.0000 A, I_w_roll = -1.0362 A, theta_roll_comp = -31.5427 mrad, theta_setpoint = -39.9150 mrad, 
msg =  310, time steps =   10, qsz =    2, switch = on, t =     6202 ms, ax =  0.5826, ay = -0.2637, az =  9.9495, gx = -0.0017 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -327, I_w_pitch = -0.0000 A, I_w_roll = -1.0415 A, theta_roll_comp = -31.4805 mrad, theta_setpoint = -39.8856 mrad, 
