picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  181, time steps =   10, qsz =    2, switch = off, t =     3622 ms, ax =  0.4279, ay =  2.7643, az =  9.5347, gx = -0.0047 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.6867 A, theta_roll_comp = 269.6335 mrad, theta_setpoint = -40.0000 mrad, 
msg =  192, time steps =   10, qsz =    2, switch = off, t =     3842 ms, ax =  0.4291, ay =  2.7631, az =  9.5479, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.9442 A, theta_roll_comp = 271.0931 mrad, theta_setpoint = -40.0000 mrad, 
msg =  193, time steps =   10, qsz =    2, switch = off, t =     3862 ms, ax =  0.4327, ay =  2.7715, az =  9.5359, gx = -0.0046 rad/s, gy =  0.0022 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.9650 A, theta_roll_comp = 271.2229 mrad, theta_setpoint = -40.0000 mrad, 
msg =  194, time steps =   10, qsz =    2, switch = off, t =     3882 ms, ax =  0.4279, ay =  2.7691, az =  9.5395, gx = -0.0045 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.0112 A, theta_roll_comp = 271.3615 mrad, theta_setpoint = -40.0000 mrad, 
msg =  195, time steps =   10, qsz =    2, switch = off, t =     3902 ms, ax =  0.4208, ay =  2.7679, az =  9.5443, gx = -0.0046 rad/s, gy =  0.0020 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.0076 A, theta_roll_comp = 271.4890 mrad, theta_setpoint = -40.0000 mrad, 
msg =  196, time steps =   10, qsz =    2, switch = off, t =     3922 ms, ax =  0.4315, ay =  2.7643, az =  9.5455, gx = -0.0049 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.9784 A, theta_roll_comp = 271.6061 mrad, theta_setpoint = -40.0000 mrad, 
msg =  197, time steps =   10, qsz =    2, switch = off, t =     3942 ms, ax =  0.4279, ay =  2.7679, az =  9.5431, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.0455 A, theta_roll_comp = 271.7256 mrad, theta_setpoint = -40.0000 mrad, 
msg =  198, time steps =   10, qsz =    2, switch = off, t =     3962 ms, ax =  0.4291, ay =  2.7691, az =  9.5395, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.0404 A, theta_roll_comp = 271.8441 mrad, theta_setpoint = -40.0000 mrad, 
msg =  199, time steps =   10, qsz =    2, switch = off, t =     3982 ms, ax =  0.4339, ay =  2.7643, az =  9.5323, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.0823 A, theta_roll_comp = 271.9561 mrad, theta_setpoint = -40.0000 mrad, 
msg =  200, time steps =   10, qsz =    2, switch = off, t =     4002 ms, ax =  0.4267, ay =  2.7631, az =  9.5443, gx = -0.0046 rad/s, gy =  0.0023 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.0996 A, theta_roll_comp = 272.0642 mrad, theta_setpoint = -40.0000 mrad, 
msg =  201, time steps =   10, qsz =    2, switch = off, t =     4022 ms, ax =  0.4339, ay =  2.7619, az =  9.5503, gx = -0.0045 rad/s, gy =  0.0019 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1385 A, theta_roll_comp = 272.1576 mrad, theta_setpoint = -40.0000 mrad, 
msg =  202, time steps =   10, qsz =    2, switch = off, t =     4042 ms, ax =  0.4315, ay =  2.7643, az =  9.5455, gx = -0.0043 rad/s, gy =  0.0016 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1785 A, theta_roll_comp = 272.2577 mrad, theta_setpoint = -40.0000 mrad, 
msg =  203, time steps =   10, qsz =    2, switch = off, t =     4062 ms, ax =  0.4291, ay =  2.7607, az =  9.5299, gx = -0.0045 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1719 A, theta_roll_comp = 272.3663 mrad, theta_setpoint = -40.0000 mrad, 
msg =  204, time steps =   10, qsz =    2, switch = off, t =     4082 ms, ax =  0.4291, ay =  2.7607, az =  9.5287, gx = -0.0046 rad/s, gy =  0.0020 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1632 A, theta_roll_comp = 272.4618 mrad, theta_setpoint = -40.0000 mrad, 
msg =  205, time steps =   10, qsz =    2, switch = off, t =     4102 ms, ax =  0.4291, ay =  2.7631, az =  9.5263, gx = -0.0047 rad/s, gy =  0.0020 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1550 A, theta_roll_comp = 272.5603 mrad, theta_setpoint = -40.0000 mrad, 
msg =  206, time steps =   10, qsz =    2, switch = off, t =     4122 ms, ax =  0.4232, ay =  2.7595, az =  9.5251, gx = -0.0047 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1695 A, theta_roll_comp = 272.6508 mrad, theta_setpoint = -40.0000 mrad, 
msg =  207, time steps =   10, qsz =    2, switch = off, t =     4142 ms, ax =  0.4351, ay =  2.7619, az =  9.5347, gx = -0.0045 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.2328 A, theta_roll_comp = 272.7469 mrad, theta_setpoint = -40.0000 mrad, 
msg =  208, time steps =   10, qsz =    2, switch = off, t =     4162 ms, ax =  0.4375, ay =  2.7619, az =  9.5563, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.2229 A, theta_roll_comp = 272.8346 mrad, theta_setpoint = -40.0000 mrad, 
msg =  209, time steps =   10, qsz =    2, switch = off, t =     4182 ms, ax =  0.4291, ay =  2.7655, az =  9.5455, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.2124 A, theta_roll_comp = 272.9187 mrad, theta_setpoint = -40.0000 mrad, 
msg =  210, time steps =   10, qsz =    2, switch = off, t =     4202 ms, ax =  0.4375, ay =  2.7727, az =  9.5323, gx = -0.0050 rad/s, gy =  0.0016 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1793 A, theta_roll_comp = 273.0113 mrad, theta_setpoint = -40.0000 mrad, 
msg =  211, time steps =   10, qsz =    2, switch = off, t =     4222 ms, ax =  0.4351, ay =  2.7667, az =  9.5347, gx = -0.0050 rad/s, gy =  0.0011 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1939 A, theta_roll_comp = 273.1031 mrad, theta_setpoint = -40.0000 mrad, 
msg =  212, time steps =   10, qsz =    2, switch = off, t =     4242 ms, ax =  0.4363, ay =  2.7559, az =  9.5251, gx = -0.0051 rad/s, gy =  0.0014 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.1814 A, theta_roll_comp = 273.1744 mrad, theta_setpoint = -40.0000 mrad, 
msg =  213, time steps =   10, qsz =    2, switch = off, t =     4262 ms, ax =  0.4303, ay =  2.7559, az =  9.5287, gx = -0.0049 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.2410 A, theta_roll_comp = 273.2472 mrad, theta_setpoint = -40.0000 mrad, 
msg =  214, time steps =   10, qsz =    2, switch = off, t =     4282 ms, ax =  0.4315, ay =  2.7511, az =  9.5323, gx = -0.0047 rad/s, gy =  0.0016 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.2753 A, theta_roll_comp = 273.3120 mrad, theta_setpoint = -40.0000 mrad, 
msg =  215, time steps =   10, qsz =    2, switch = off, t =     4302 ms, ax =  0.4291, ay =  2.7631, az =  9.5359, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3101 A, theta_roll_comp = 273.3799 mrad, theta_setpoint = -40.0000 mrad, 
msg =  216, time steps =   10, qsz =    2, switch = off, t =     4322 ms, ax =  0.4279, ay =  2.7691, az =  9.5395, gx = -0.0045 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3487 A, theta_roll_comp = 273.4711 mrad, theta_setpoint = -40.0000 mrad, 
msg =  217, time steps =   10, qsz =    2, switch = off, t =     4342 ms, ax =  0.4315, ay =  2.7679, az =  9.5323, gx = -0.0047 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3155 A, theta_roll_comp = 273.5631 mrad, theta_setpoint = -40.0000 mrad, 
msg =  218, time steps =   10, qsz =    2, switch = off, t =     4362 ms, ax =  0.4291, ay =  2.7619, az =  9.5335, gx = -0.0046 rad/s, gy =  0.0020 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3517 A, theta_roll_comp = 273.6395 mrad, theta_setpoint = -40.0000 mrad, 
msg =  219, time steps =   10, qsz =    2, switch = off, t =     4382 ms, ax =  0.4315, ay =  2.7583, az =  9.5467, gx = -0.0045 rad/s, gy =  0.0019 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3867 A, theta_roll_comp = 273.7086 mrad, theta_setpoint = -40.0000 mrad, 
msg =  220, time steps =   10, qsz =    2, switch = off, t =     4402 ms, ax =  0.4303, ay =  2.7571, az =  9.5431, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3722 A, theta_roll_comp = 273.7680 mrad, theta_setpoint = -40.0000 mrad, 
msg =  221, time steps =   10, qsz =    2, switch = off, t =     4422 ms, ax =  0.4303, ay =  2.7595, az =  9.5479, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3807 A, theta_roll_comp = 273.8207 mrad, theta_setpoint = -40.0000 mrad, 
msg =  222, time steps =   10, qsz =    2, switch = off, t =     4442 ms, ax =  0.4291, ay =  2.7619, az =  9.5491, gx = -0.0046 rad/s, gy =  0.0014 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3905 A, theta_roll_comp = 273.8824 mrad, theta_setpoint = -40.0000 mrad, 
msg =  223, time steps =   10, qsz =    2, switch = off, t =     4462 ms, ax =  0.4315, ay =  2.7583, az =  9.5431, gx = -0.0047 rad/s, gy =  0.0020 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3752 A, theta_roll_comp = 273.9366 mrad, theta_setpoint = -40.0000 mrad, 
msg =  224, time steps =   10, qsz =    2, switch = off, t =     4482 ms, ax =  0.4351, ay =  2.7619, az =  9.5479, gx = -0.0047 rad/s, gy =  0.0020 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.3846 A, theta_roll_comp = 273.9949 mrad, theta_setpoint = -40.0000 mrad, 
msg =  225, time steps =   10, qsz =    2, switch = off, t =     4502 ms, ax =  0.4303, ay =  2.7631, az =  9.5371, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4201 A, theta_roll_comp = 274.0670 mrad, theta_setpoint = -40.0000 mrad, 
msg =  226, time steps =   10, qsz =    2, switch = off, t =     4522 ms, ax =  0.4387, ay =  2.7655, az =  9.5335, gx = -0.0047 rad/s, gy =  0.0016 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4074 A, theta_roll_comp = 274.1375 mrad, theta_setpoint = -40.0000 mrad, 
msg =  227, time steps =   10, qsz =    2, switch = off, t =     4542 ms, ax =  0.4387, ay =  2.7559, az =  9.5287, gx = -0.0045 rad/s, gy =  0.0016 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4659 A, theta_roll_comp = 274.2037 mrad, theta_setpoint = -40.0000 mrad, 
msg =  228, time steps =   10, qsz =    2, switch = off, t =     4562 ms, ax =  0.4363, ay =  2.7547, az =  9.5263, gx = -0.0045 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4746 A, theta_roll_comp = 274.2583 mrad, theta_setpoint = -40.0000 mrad, 
msg =  229, time steps =   10, qsz =    2, switch = off, t =     4582 ms, ax =  0.4399, ay =  2.7631, az =  9.5203, gx = -0.0047 rad/s, gy =  0.0022 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4376 A, theta_roll_comp = 274.3263 mrad, theta_setpoint = -40.0000 mrad, 
msg =  230, time steps =   10, qsz =    2, switch = off, t =     4602 ms, ax =  0.4279, ay =  2.7619, az =  9.5371, gx = -0.0049 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4224 A, theta_roll_comp = 274.3813 mrad, theta_setpoint = -40.0000 mrad, 
msg =  231, time steps =   10, qsz =    2, switch = off, t =     4622 ms, ax =  0.4244, ay =  2.7679, az =  9.5431, gx = -0.0045 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5039 A, theta_roll_comp = 274.4412 mrad, theta_setpoint = -40.0000 mrad, 
msg =  232, time steps =   10, qsz =    2, switch = off, t =     4642 ms, ax =  0.4267, ay =  2.7703, az =  9.5491, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4907 A, theta_roll_comp = 274.5081 mrad, theta_setpoint = -40.0000 mrad, 
msg =  233, time steps =   10, qsz =    2, switch = off, t =     4662 ms, ax =  0.4255, ay =  2.7691, az =  9.5539, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5005 A, theta_roll_comp = 274.5699 mrad, theta_setpoint = -40.0000 mrad, 
msg =  234, time steps =   10, qsz =    2, switch = off, t =     4682 ms, ax =  0.4279, ay =  2.7619, az =  9.5443, gx = -0.0049 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4608 A, theta_roll_comp = 274.6214 mrad, theta_setpoint = -40.0000 mrad, 
msg =  235, time steps =   10, qsz =    2, switch = off, t =     4702 ms, ax =  0.4255, ay =  2.7631, az =  9.5467, gx = -0.0049 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4679 A, theta_roll_comp = 274.6656 mrad, theta_setpoint = -40.0000 mrad, 
msg =  236, time steps =   10, qsz =    2, switch = off, t =     4722 ms, ax =  0.4327, ay =  2.7691, az =  9.5515, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4993 A, theta_roll_comp = 274.7118 mrad, theta_setpoint = -40.0000 mrad, 
msg =  237, time steps =   10, qsz =    2, switch = off, t =     4742 ms, ax =  0.4232, ay =  2.7679, az =  9.5347, gx = -0.0049 rad/s, gy =  0.0019 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4847 A, theta_roll_comp = 274.7704 mrad, theta_setpoint = -40.0000 mrad, 
msg =  238, time steps =   10, qsz =    2, switch = off, t =     4762 ms, ax =  0.4232, ay =  2.7571, az =  9.5359, gx = -0.0047 rad/s, gy =  0.0014 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5160 A, theta_roll_comp = 274.8163 mrad, theta_setpoint = -40.0000 mrad, 
msg =  239, time steps =   10, qsz =    2, switch = off, t =     4782 ms, ax =  0.4255, ay =  2.7595, az =  9.5515, gx = -0.0047 rad/s, gy =  0.0016 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5218 A, theta_roll_comp = 274.8527 mrad, theta_setpoint = -40.0000 mrad, 
msg =  240, time steps =   10, qsz =    2, switch = off, t =     4802 ms, ax =  0.4232, ay =  2.7595, az =  9.5443, gx = -0.0050 rad/s, gy =  0.0026 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.4794 A, theta_roll_comp = 274.8873 mrad, theta_setpoint = -40.0000 mrad, 
msg =  241, time steps =   10, qsz =    2, switch = off, t =     4822 ms, ax =  0.4267, ay =  2.7631, az =  9.5479, gx = -0.0049 rad/s, gy =  0.0026 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5081 A, theta_roll_comp = 274.9167 mrad, theta_setpoint = -40.0000 mrad, 
msg =  242, time steps =   10, qsz =    2, switch = off, t =     4842 ms, ax =  0.4315, ay =  2.7547, az =  9.5455, gx = -0.0049 rad/s, gy =  0.0022 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5126 A, theta_roll_comp = 274.9449 mrad, theta_setpoint = -40.0000 mrad, 
msg =  243, time steps =   10, qsz =    2, switch = off, t =     4862 ms, ax =  0.4303, ay =  2.7547, az =  9.5347, gx = -0.0047 rad/s, gy =  0.0024 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5414 A, theta_roll_comp = 274.9748 mrad, theta_setpoint = -40.0000 mrad, 
msg =  244, time steps =   10, qsz =    2, switch = off, t =     4882 ms, ax =  0.4208, ay =  2.7595, az =  9.5419, gx = -0.0047 rad/s, gy =  0.0026 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5466 A, theta_roll_comp = 275.0077 mrad, theta_setpoint = -40.0000 mrad, 
msg =  245, time steps =   10, qsz =    2, switch = off, t =     4902 ms, ax =  0.4244, ay =  2.7643, az =  9.5503, gx = -0.0045 rad/s, gy =  0.0022 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6011 A, theta_roll_comp = 275.0487 mrad, theta_setpoint = -40.0000 mrad, 
msg =  246, time steps =   10, qsz =    2, switch = off, t =     4922 ms, ax =  0.4255, ay =  2.7679, az =  9.5575, gx = -0.0043 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6327 A, theta_roll_comp = 275.0962 mrad, theta_setpoint = -40.0000 mrad, 
msg =  247, time steps =   10, qsz =    2, switch = off, t =     4942 ms, ax =  0.4255, ay =  2.7571, az =  9.5467, gx = -0.0046 rad/s, gy =  0.0015 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5908 A, theta_roll_comp = 275.1340 mrad, theta_setpoint = -40.0000 mrad, 
msg =  248, time steps =   10, qsz =    2, switch = off, t =     4962 ms, ax =  0.4244, ay =  2.7571, az =  9.5371, gx = -0.0045 rad/s, gy =  0.0015 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6197 A, theta_roll_comp = 275.1646 mrad, theta_setpoint = -40.0000 mrad, 
msg =  249, time steps =   10, qsz =    2, switch = off, t =     4982 ms, ax =  0.4375, ay =  2.7463, az =  9.5455, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5988 A, theta_roll_comp = 275.1840 mrad, theta_setpoint = -40.0000 mrad, 
