picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  573, time steps =   10, qsz =    2, switch = on, t =    11462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4687, ay = -0.7073, az =  9.9650, gx = -0.0298 rad/s, gy =  0.0006 rad/s, gz =  0.0172 rad/s, erpm_pitch =    0, erpm_roll = -9435, I_w_pitch = -0.0000 A, I_w_roll =  2.7384 A, theta_roll_comp = -23.6118 mrad 
msg =  591, time steps =   10, qsz =    2, switch = on, t =    11822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5778, ay = -0.3189, az =  9.9171, gx = -0.0400 rad/s, gy = -0.0012 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = -4784, I_w_pitch = -0.0000 A, I_w_roll =  5.5468 A, theta_roll_comp = -29.6295 mrad 
msg =  592, time steps =   10, qsz =    2, switch = on, t =    11842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5814, ay = -0.3213, az =  9.9207, gx = -0.0395 rad/s, gy = -0.0008 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -4419, I_w_pitch = -0.0000 A, I_w_roll =  5.5852 A, theta_roll_comp = -30.4691 mrad 
msg =  593, time steps =   10, qsz =    2, switch = on, t =    11862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5934, ay = -0.3488, az =  9.9459, gx = -0.0384 rad/s, gy =  0.0002 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -4419, I_w_pitch = -0.0000 A, I_w_roll =  5.5350 A, theta_roll_comp = -31.3535 mrad 
msg =  594, time steps =   10, qsz =    2, switch = on, t =    11882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.3141, az =  9.9638, gx = -0.0358 rad/s, gy =  0.0003 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -3619, I_w_pitch = -0.0000 A, I_w_roll =  5.1865 A, theta_roll_comp = -32.1711 mrad 
msg =  595, time steps =   10, qsz =    2, switch = on, t =    11902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.3788, az =  9.9399, gx = -0.0340 rad/s, gy =  0.0003 rad/s, gz =  0.0044 rad/s, erpm_pitch =    0, erpm_roll = -3619, I_w_pitch = -0.0000 A, I_w_roll =  4.9961 A, theta_roll_comp = -32.9285 mrad 
msg =  596, time steps =   10, qsz =    2, switch = on, t =    11922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5442, ay = -0.4196, az =  9.9459, gx = -0.0314 rad/s, gy =  0.0007 rad/s, gz =  0.0061 rad/s, erpm_pitch =    0, erpm_roll = -2730, I_w_pitch = -0.0000 A, I_w_roll =  4.6505 A, theta_roll_comp = -33.7646 mrad 
msg =  597, time steps =   10, qsz =    2, switch = on, t =    11942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.4220, az =  9.9063, gx = -0.0328 rad/s, gy =  0.0012 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = -2236, I_w_pitch = -0.0000 A, I_w_roll =  5.0516 A, theta_roll_comp = -34.6235 mrad 
msg =  598, time steps =   10, qsz =    2, switch = on, t =    11962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5934, ay =  0.2781, az =  9.9327, gx = -0.0479 rad/s, gy =  0.0030 rad/s, gz =  0.0122 rad/s, erpm_pitch =    0, erpm_roll = -2236, I_w_pitch = -0.0000 A, I_w_roll =  7.8415 A, theta_roll_comp = -35.1334 mrad 
msg =  599, time steps =   10, qsz =    2, switch = on, t =    11982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5466, ay =  0.0216, az = 10.0454, gx = -0.0351 rad/s, gy =  0.0038 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = -1075, I_w_pitch = -0.0000 A, I_w_roll =  5.5359 A, theta_roll_comp = -35.1039 mrad 
msg =  600, time steps =   10, qsz =    2, switch = on, t =    12002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4771, ay = -0.4951, az =  9.8775, gx = -0.0117 rad/s, gy = -0.0038 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = -806, I_w_pitch = -0.0000 A, I_w_roll =  1.3631 A, theta_roll_comp = -35.3888 mrad 
msg =  601, time steps =   10, qsz =    2, switch = on, t =    12022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4184, ay = -0.7204, az =  9.8272, gx = -0.0296 rad/s, gy = -0.0040 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = -806, I_w_pitch = -0.0000 A, I_w_roll =  4.7571 A, theta_roll_comp = -36.3782 mrad 
msg =  602, time steps =   10, qsz =    2, switch = on, t =    12042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5874, ay = -0.3752, az = 10.0262, gx = -0.0475 rad/s, gy =  0.0011 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -341, I_w_pitch = -0.0000 A, I_w_roll =  8.1488 A, theta_roll_comp = -37.5032 mrad 
msg =  603, time steps =   10, qsz =    2, switch = on, t =    12062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6653, ay = -0.2266, az = 10.0526, gx = -0.0231 rad/s, gy = -0.0032 rad/s, gz =  0.0178 rad/s, erpm_pitch =    0, erpm_roll = -341, I_w_pitch = -0.0000 A, I_w_roll =  3.8430 A, theta_roll_comp = -38.0055 mrad 
msg =  604, time steps =   10, qsz =    2, switch = on, t =    12082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5790, ay = -0.5526, az =  9.8500, gx = -0.0106 rad/s, gy = -0.0044 rad/s, gz =  0.0125 rad/s, erpm_pitch =    0, erpm_roll =  106, I_w_pitch = -0.0000 A, I_w_roll =  1.6412 A, theta_roll_comp = -38.3249 mrad 
msg =  605, time steps =   10, qsz =    2, switch = on, t =    12102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6078, ay = -0.5970, az =  9.8392, gx = -0.0311 rad/s, gy =  0.0007 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll =  313, I_w_pitch = -0.0000 A, I_w_roll =  5.4524 A, theta_roll_comp = -39.0764 mrad 
msg =  606, time steps =   10, qsz =    2, switch = on, t =    12122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6641, ay = -0.3069, az = 10.0993, gx = -0.0312 rad/s, gy =  0.0031 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =  313, I_w_pitch = -0.0000 A, I_w_roll =  5.5850 A, theta_roll_comp = -39.7550 mrad 
msg =  607, time steps =   10, qsz =    2, switch = on, t =    12142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5814, ay = -0.3860, az = 10.0142, gx = -0.0073 rad/s, gy =  0.0014 rad/s, gz =  0.0087 rad/s, erpm_pitch =    0, erpm_roll =  728, I_w_pitch = -0.0000 A, I_w_roll =  1.3064 A, theta_roll_comp = -39.9773 mrad 
msg =  608, time steps =   10, qsz =    2, switch = on, t =    12162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5143, ay = -0.7144, az =  9.7697, gx = -0.0102 rad/s, gy =  0.0011 rad/s, gz =  0.0047 rad/s, erpm_pitch =    0, erpm_roll =  728, I_w_pitch = -0.0000 A, I_w_roll =  1.9108 A, theta_roll_comp = -40.4591 mrad 
msg =  609, time steps =   10, qsz =    2, switch = on, t =    12182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.4651, az =  9.9267, gx = -0.0245 rad/s, gy =  0.0030 rad/s, gz = -0.0051 rad/s, erpm_pitch =    0, erpm_roll = 1094, I_w_pitch = -0.0000 A, I_w_roll =  4.5703 A, theta_roll_comp = -41.0527 mrad 
msg =  610, time steps =   10, qsz =    2, switch = on, t =    12202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6006, ay = -0.2829, az = 10.0729, gx = -0.0103 rad/s, gy =  0.0023 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = 1253, I_w_pitch = -0.0000 A, I_w_roll =  2.0566 A, theta_roll_comp = -41.2211 mrad 
msg =  611, time steps =   10, qsz =    2, switch = on, t =    12222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5274, ay = -0.5298, az =  9.9039, gx =  0.0036 rad/s, gy = -0.0009 rad/s, gz =  0.0105 rad/s, erpm_pitch =    0, erpm_roll = 1253, I_w_pitch = -0.0000 A, I_w_roll = -0.4503 A, theta_roll_comp = -41.2816 mrad 
msg =  612, time steps =   10, qsz =    2, switch = on, t =    12242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5202, ay = -0.5394, az =  9.8272, gx = -0.0097 rad/s, gy =  0.0004 rad/s, gz =  0.0059 rad/s, erpm_pitch =    0, erpm_roll = 1475, I_w_pitch = -0.0000 A, I_w_roll =  1.9935 A, theta_roll_comp = -41.5753 mrad 
msg =  613, time steps =   10, qsz =    2, switch = on, t =    12262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6006, ay = -0.2985, az = 10.0022, gx = -0.0126 rad/s, gy =  0.0018 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = 1475, I_w_pitch = -0.0000 A, I_w_roll =  2.5507 A, theta_roll_comp = -41.7623 mrad 
msg =  614, time steps =   10, qsz =    2, switch = on, t =    12282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5898, ay = -0.3237, az =  9.9986, gx =  0.0036 rad/s, gy = -0.0006 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = 1593, I_w_pitch = -0.0000 A, I_w_roll = -0.4039 A, theta_roll_comp = -41.5717 mrad 
msg =  615, time steps =   10, qsz =    2, switch = on, t =    12302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5418, ay = -0.4723, az =  9.8727, gx =  0.0019 rad/s, gy =  0.0004 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = 1659, I_w_pitch = -0.0000 A, I_w_roll = -0.0988 A, theta_roll_comp = -41.5313 mrad 
msg =  616, time steps =   10, qsz =    2, switch = on, t =    12322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5886, ay = -0.3800, az =  9.9303, gx = -0.0103 rad/s, gy =  0.0031 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = 1659, I_w_pitch = -0.0000 A, I_w_roll =  2.1245 A, theta_roll_comp = -41.6454 mrad 
msg =  617, time steps =   10, qsz =    2, switch = on, t =    12342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6054, ay = -0.1546, az = 10.0142, gx = -0.0025 rad/s, gy =  0.0028 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = 1672, I_w_pitch = -0.0000 A, I_w_roll =  0.6794 A, theta_roll_comp = -41.4514 mrad 
msg =  618, time steps =   10, qsz =    2, switch = on, t =    12362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5574, ay = -0.3716, az =  9.9027, gx =  0.0051 rad/s, gy =  0.0010 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = 1672, I_w_pitch = -0.0000 A, I_w_roll = -0.7250 A, theta_roll_comp = -41.2126 mrad 
msg =  619, time steps =   10, qsz =    2, switch = on, t =    12382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5430, ay = -0.3992, az =  9.8979, gx = -0.0053 rad/s, gy =  0.0027 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = 1657, I_w_pitch = -0.0000 A, I_w_roll =  1.1495 A, theta_roll_comp = -41.2439 mrad 
msg =  620, time steps =   10, qsz =    2, switch = on, t =    12402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5766, ay = -0.2601, az = 10.0034, gx = -0.0065 rad/s, gy =  0.0032 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = 1631, I_w_pitch = -0.0000 A, I_w_roll =  1.3626 A, theta_roll_comp = -41.2276 mrad 
msg =  621, time steps =   10, qsz =    2, switch = on, t =    12422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.2745, az =  9.9459, gx =  0.0031 rad/s, gy =  0.0006 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = 1631, I_w_pitch = -0.0000 A, I_w_roll = -0.4025 A, theta_roll_comp = -40.9811 mrad 
msg =  622, time steps =   10, qsz =    2, switch = on, t =    12442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5179, ay = -0.4244, az =  9.8715, gx = -0.0002 rad/s, gy =  0.0006 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = 1572, I_w_pitch = -0.0000 A, I_w_roll =  0.1854 A, theta_roll_comp = -40.9105 mrad 
msg =  623, time steps =   10, qsz =    2, switch = on, t =    12462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.3380, az =  9.9387, gx = -0.0063 rad/s, gy =  0.0014 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = 1552, I_w_pitch = -0.0000 A, I_w_roll =  1.2915 A, theta_roll_comp = -40.9328 mrad 
msg =  624, time steps =   10, qsz =    2, switch = on, t =    12482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5886, ay = -0.3021, az =  9.9818, gx =  0.0010 rad/s, gy =  0.0007 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll = 1552, I_w_pitch = -0.0000 A, I_w_roll = -0.0513 A, theta_roll_comp = -40.7792 mrad 
msg =  625, time steps =   10, qsz =    2, switch = on, t =    12502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5766, ay = -0.3908, az =  9.9123, gx =  0.0019 rad/s, gy =  0.0004 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 1489, I_w_pitch = -0.0000 A, I_w_roll = -0.2423 A, theta_roll_comp = -40.6344 mrad 
msg =  626, time steps =   10, qsz =    2, switch = on, t =    12522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5826, ay = -0.3908, az =  9.9447, gx = -0.0041 rad/s, gy =  0.0023 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 1489, I_w_pitch = -0.0000 A, I_w_roll =  0.8354 A, theta_roll_comp = -40.6286 mrad 
msg =  627, time steps =   10, qsz =    2, switch = on, t =    12542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5946, ay = -0.2949, az =  9.9770, gx = -0.0013 rad/s, gy =  0.0020 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = 1443, I_w_pitch = -0.0000 A, I_w_roll =  0.3128 A, theta_roll_comp = -40.5085 mrad 
msg =  628, time steps =   10, qsz =    2, switch = on, t =    12562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5706, ay = -0.3728, az =  9.9315, gx =  0.0023 rad/s, gy =  0.0020 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 1443, I_w_pitch = -0.0000 A, I_w_roll = -0.3588 A, theta_roll_comp = -40.3556 mrad 
msg =  629, time steps =   10, qsz =    2, switch = on, t =    12582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5586, ay = -0.3764, az =  9.9219, gx = -0.0018 rad/s, gy =  0.0023 rad/s, gz = -0.0019 rad/s, erpm_pitch =    0, erpm_roll = 1443, I_w_pitch = -0.0000 A, I_w_roll =  0.3782 A, theta_roll_comp = -40.3177 mrad 
msg =  630, time steps =   10, qsz =    2, switch = on, t =    12602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.4040, az =  9.9423, gx = -0.0008 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = 1362, I_w_pitch = -0.0000 A, I_w_roll =  0.1887 A, theta_roll_comp = -40.3320 mrad 
msg =  631, time steps =   10, qsz =    2, switch = on, t =    12622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5370, ay = -0.3896, az =  9.9387, gx =  0.0023 rad/s, gy =  0.0002 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = 1362, I_w_pitch = -0.0000 A, I_w_roll = -0.3748 A, theta_roll_comp = -40.2555 mrad 
