picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  262, time steps =   10, qsz =    2, switch = on, t =     5242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.2733, az =  9.9890, gx = -0.0041 rad/s, gy = -0.0009 rad/s, gz = -0.0474 rad/s, erpm_pitch =    0, erpm_roll = -11368, I_w_pitch = -0.0000 A, I_w_roll = -0.1513 A, theta_roll_comp = -34.4618 mrad 
msg =  294, time steps =   10, qsz =    2, switch = on, t =     5882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5155, ay = -0.3344, az =  9.9279, gx =  0.0594 rad/s, gy =  0.0034 rad/s, gz =  0.0391 rad/s, erpm_pitch =    0, erpm_roll = -11750, I_w_pitch = -0.0000 A, I_w_roll = -13.3102 A, theta_roll_comp = -23.6726 mrad 
msg =  295, time steps =   10, qsz =    2, switch = on, t =     5902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6173, ay = -0.1702, az =  9.8919, gx =  0.0598 rad/s, gy =  0.0042 rad/s, gz = -0.0234 rad/s, erpm_pitch =    0, erpm_roll = -11752, I_w_pitch = -0.0000 A, I_w_roll = -13.5758 A, theta_roll_comp = -22.4620 mrad 
msg =  296, time steps =   10, qsz =    2, switch = on, t =     5922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5226, ay = -0.3033, az =  9.9734, gx =  0.0656 rad/s, gy =  0.0019 rad/s, gz = -0.0409 rad/s, erpm_pitch =    0, erpm_roll = -11752, I_w_pitch = -0.0000 A, I_w_roll = -14.8049 A, theta_roll_comp = -21.2214 mrad 
msg =  297, time steps =   10, qsz =    2, switch = on, t =     5942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4387, ay = -0.4675, az = 10.0058, gx =  0.0753 rad/s, gy =  0.0008 rad/s, gz =  0.0222 rad/s, erpm_pitch =    0, erpm_roll = -11754, I_w_pitch = -0.0000 A, I_w_roll = -16.7182 A, theta_roll_comp = -20.1987 mrad 
msg =  298, time steps =   10, qsz =    2, switch = on, t =     5962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6281, ay = -0.3069, az =  9.9279, gx =  0.0793 rad/s, gy =  0.0044 rad/s, gz =  0.0282 rad/s, erpm_pitch =    0, erpm_roll = -11754, I_w_pitch = -0.0000 A, I_w_roll = -17.6324 A, theta_roll_comp = -18.9790 mrad 
msg =  299, time steps =   10, qsz =    2, switch = on, t =     5982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6365, ay = -0.1834, az =  9.9303, gx =  0.0802 rad/s, gy =  0.0044 rad/s, gz = -0.0337 rad/s, erpm_pitch =    0, erpm_roll = -11752, I_w_pitch = -0.0000 A, I_w_roll = -18.0518 A, theta_roll_comp = -17.4065 mrad 
msg =  300, time steps =   10, qsz =    2, switch = on, t =     6002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5310, ay = -0.3872, az =  9.9531, gx =  0.0890 rad/s, gy =  0.0022 rad/s, gz = -0.0317 rad/s, erpm_pitch =    0, erpm_roll = -11750, I_w_pitch = -0.0000 A, I_w_roll = -19.8700 A, theta_roll_comp = -15.9292 mrad 
msg =  301, time steps =   10, qsz =    2, switch = on, t =     6022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4603, ay = -0.4495, az =  9.9902, gx =  0.1010 rad/s, gy =  0.0019 rad/s, gz =  0.0298 rad/s, erpm_pitch =    0, erpm_roll = -11750, I_w_pitch = -0.0000 A, I_w_roll = -22.2485 A, theta_roll_comp = -14.5456 mrad 
msg =  302, time steps =   10, qsz =    2, switch = on, t =     6042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.2433, az =  9.9027, gx =  0.1044 rad/s, gy =  0.0046 rad/s, gz =  0.0138 rad/s, erpm_pitch =    0, erpm_roll = -11743, I_w_pitch = -0.0000 A, I_w_roll = -23.1492 A, theta_roll_comp = -12.8110 mrad 
msg =  303, time steps =   10, qsz =    2, switch = on, t =     6062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6030, ay = -0.1259, az =  9.9207, gx =  0.1066 rad/s, gy =  0.0046 rad/s, gz = -0.0437 rad/s, erpm_pitch =    0, erpm_roll = -11740, I_w_pitch = -0.0000 A, I_w_roll = -23.8539 A, theta_roll_comp = -10.8035 mrad 
msg =  304, time steps =   10, qsz =    2, switch = on, t =     6082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4963, ay = -0.3392, az =  9.9171, gx =  0.1175 rad/s, gy =  0.0024 rad/s, gz = -0.0162 rad/s, erpm_pitch =    0, erpm_roll = -11740, I_w_pitch = -0.0000 A, I_w_roll = -26.1305 A, theta_roll_comp = -8.8580 mrad 
msg =  305, time steps =   10, qsz =    2, switch = on, t =     6102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4759, ay = -0.1307, az =  9.9531, gx =  0.1252 rad/s, gy =  0.0016 rad/s, gz =  0.0342 rad/s, erpm_pitch =    0, erpm_roll = -11735, I_w_pitch = -0.0000 A, I_w_roll = -27.8648 A, theta_roll_comp = -6.7070 mrad 
msg =  306, time steps =   10, qsz =    2, switch = on, t =     6122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5982, ay =  0.2973, az =  9.9111, gx =  0.1174 rad/s, gy =  0.0039 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll = -11735, I_w_pitch = -0.0000 A, I_w_roll = -26.8954 A, theta_roll_comp = -3.9277 mrad 
msg =  307, time steps =   10, qsz =    2, switch = on, t =     6142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7013, ay =  0.4555, az =  9.9507, gx =  0.1055 rad/s, gy =  0.0048 rad/s, gz = -0.0437 rad/s, erpm_pitch =    0, erpm_roll = -11734, I_w_pitch = -0.0000 A, I_w_roll = -25.2650 A, theta_roll_comp = -0.7855 mrad 
msg =  308, time steps =   10, qsz =    2, switch = on, t =     6162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6557, ay =  0.4052, az =  9.9638, gx =  0.1062 rad/s, gy =  0.0056 rad/s, gz =  0.0029 rad/s, erpm_pitch =    0, erpm_roll = -11732, I_w_pitch = -0.0000 A, I_w_roll = -25.8528 A, theta_roll_comp =  2.1390 mrad 
msg =  309, time steps =   10, qsz =    2, switch = on, t =     6182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6641, ay =  0.5754, az =  9.9710, gx =  0.0990 rad/s, gy =  0.0088 rad/s, gz =  0.0348 rad/s, erpm_pitch =    0, erpm_roll = -11732, I_w_pitch = -0.0000 A, I_w_roll = -25.0235 A, theta_roll_comp =  5.0456 mrad 
msg =  310, time steps =   10, qsz =    2, switch = on, t =     6202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7192, ay =  0.8247, az =  9.9339, gx =  0.0731 rad/s, gy =  0.0169 rad/s, gz = -0.0225 rad/s, erpm_pitch =    0, erpm_roll = -11727, I_w_pitch = -0.0000 A, I_w_roll = -20.8576 A, theta_roll_comp =  8.0690 mrad 
msg =  311, time steps =   10, qsz =    2, switch = on, t =     6222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5802, ay =  0.8283, az =  9.9099, gx =  0.0528 rad/s, gy =  0.0175 rad/s, gz = -0.0506 rad/s, erpm_pitch =    0, erpm_roll = -11727, I_w_pitch = -0.0000 A, I_w_roll = -17.6358 A, theta_roll_comp = 10.8524 mrad 
msg =  312, time steps =   10, qsz =    2, switch = on, t =     6242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.3632, ay =  0.8020, az =  9.9255, gx =  0.0455 rad/s, gy =  0.0120 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = -11732, I_w_pitch = -0.0000 A, I_w_roll = -16.6987 A, theta_roll_comp = 13.2341 mrad 
msg =  313, time steps =   10, qsz =    2, switch = on, t =     6262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.3440, ay =  0.9326, az =  9.9207, gx =  0.0268 rad/s, gy =  0.0104 rad/s, gz =  0.0212 rad/s, erpm_pitch =    0, erpm_roll = -11730, I_w_pitch = -0.0000 A, I_w_roll = -13.6884 A, theta_roll_comp = 15.3914 mrad 
msg =  314, time steps =   10, qsz =    2, switch = on, t =     6282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.3968, ay =  1.0932, az =  9.9051, gx = -0.0053 rad/s, gy =  0.0079 rad/s, gz = -0.0225 rad/s, erpm_pitch =    0, erpm_roll = -11730, I_w_pitch = -0.0000 A, I_w_roll = -8.2175 A, theta_roll_comp = 17.3001 mrad 
msg =  315, time steps =   10, qsz =    2, switch = on, t =     6302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.3392, ay =  1.0009, az =  9.8895, gx = -0.0262 rad/s, gy =  0.0007 rad/s, gz = -0.0201 rad/s, erpm_pitch =    0, erpm_roll = -11733, I_w_pitch = -0.0000 A, I_w_roll = -4.6815 A, theta_roll_comp = 18.7181 mrad 
msg =  316, time steps =   10, qsz =    2, switch = on, t =     6322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.3584, ay =  0.9518, az =  9.9267, gx = -0.0379 rad/s, gy = -0.0068 rad/s, gz =  0.0345 rad/s, erpm_pitch =    0, erpm_roll = -11733, I_w_pitch = -0.0000 A, I_w_roll = -2.7258 A, theta_roll_comp = 19.6771 mrad 
msg =  317, time steps =   10, qsz =    2, switch = on, t =     6342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4987, ay =  1.0429, az =  9.8931, gx = -0.0652 rad/s, gy = -0.0065 rad/s, gz =  0.0213 rad/s, erpm_pitch =    0, erpm_roll = -11735, I_w_pitch = -0.0000 A, I_w_roll =  2.0913 A, theta_roll_comp = 20.2790 mrad 
msg =  318, time steps =   10, qsz =    2, switch = on, t =     6362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay =  1.0237, az =  9.9147, gx = -0.0978 rad/s, gy = -0.0049 rad/s, gz = -0.0225 rad/s, erpm_pitch =    0, erpm_roll = -11732, I_w_pitch = -0.0000 A, I_w_roll =  7.9601 A, theta_roll_comp = 20.2997 mrad 
msg =  319, time steps =   10, qsz =    2, switch = on, t =     6382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5706, ay =  0.9446, az =  9.9543, gx = -0.1123 rad/s, gy = -0.0069 rad/s, gz =  0.0055 rad/s, erpm_pitch =    0, erpm_roll = -11732, I_w_pitch = -0.0000 A, I_w_roll = 10.6734 A, theta_roll_comp = 19.6700 mrad 
msg =  320, time steps =   10, qsz =    2, switch = on, t =     6402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6329, ay =  0.7073, az =  9.9698, gx = -0.1153 rad/s, gy = -0.0085 rad/s, gz =  0.0482 rad/s, erpm_pitch =    0, erpm_roll = -11678, I_w_pitch = -0.0000 A, I_w_roll = 11.3783 A, theta_roll_comp = 18.5595 mrad 
