picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -12.2518 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = -84.2874 mrad, 
msg =   11, time steps =   10, qsz =    2, switch = off, t =      222 ms, ax =  0.5598, ay = -0.3308, az =  9.9495, gx =  0.0115 rad/s, gy =  0.0020 rad/s, gz = -0.0021 rad/s, erpm_pitch =    0, erpm_roll = -3577, I_w_pitch = -0.0000 A, I_w_roll = -127.8344 A, theta_roll_comp = -4.7567 mrad, theta_setpoint = -790.7875 mrad, 
msg =   12, time steps =   10, qsz =    2, switch = off, t =      242 ms, ax =  0.5646, ay = -0.3332, az =  9.9423, gx =  0.0120 rad/s, gy =  0.0019 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = -3577, I_w_pitch = -0.0000 A, I_w_roll = -127.8753 A, theta_roll_comp = -5.1002 mrad, theta_setpoint = -790.7875 mrad, 
msg =   13, time steps =   10, qsz =    2, switch = off, t =      262 ms, ax =  0.5478, ay = -0.3261, az =  9.9267, gx =  0.0127 rad/s, gy =  0.0022 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -3550, I_w_pitch = -0.0000 A, I_w_roll = -127.0388 A, theta_roll_comp = -5.4102 mrad, theta_setpoint = -785.1203 mrad, 
msg =   14, time steps =   10, qsz =    2, switch = off, t =      282 ms, ax =  0.5694, ay = -0.3237, az =  9.9195, gx =  0.0128 rad/s, gy =  0.0019 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -3550, I_w_pitch = -0.0000 A, I_w_roll = -127.0164 A, theta_roll_comp = -5.6999 mrad, theta_setpoint = -785.1203 mrad, 
msg =   15, time steps =   10, qsz =    2, switch = on, t =      302 ms, ax =  0.6377, ay = -0.2841, az =  9.9471, gx =  0.0126 rad/s, gy =  0.0016 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -3523, I_w_pitch = -0.0000 A, I_w_roll = -126.0214 A, theta_roll_comp = -5.9518 mrad, theta_setpoint = -779.4532 mrad, 
msg =   16, time steps =   10, qsz =    2, switch = on, t =      322 ms, ax =  0.5802, ay =  0.1415, az =  9.9806, gx = -0.0089 rad/s, gy =  0.0056 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = -3518, I_w_pitch = -0.0000 A, I_w_roll = -121.9306 A, theta_roll_comp = -6.3526 mrad, theta_setpoint = -778.4037 mrad, 
msg =   17, time steps =   10, qsz =    2, switch = on, t =      342 ms, ax =  0.6185, ay =  0.5358, az =  9.9351, gx = -0.0323 rad/s, gy =  0.0086 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -3518, I_w_pitch = -0.0000 A, I_w_roll = -117.7145 A, theta_roll_comp = -6.3385 mrad, theta_setpoint = -778.4037 mrad, 
msg =   18, time steps =   10, qsz =    2, switch = on, t =      362 ms, ax =  0.6114, ay =  0.6737, az = 10.0154, gx = -0.0270 rad/s, gy =  0.0072 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = -3912, I_w_pitch = -0.0000 A, I_w_roll = -131.9852 A, theta_roll_comp = -5.8367 mrad, theta_setpoint = -861.1016 mrad, 
msg =   19, time steps =   10, qsz =    2, switch = on, t =      382 ms, ax =  0.5131, ay =  0.4327, az =  9.9327, gx = -0.0356 rad/s, gy =  0.0007 rad/s, gz =  0.0089 rad/s, erpm_pitch =    0, erpm_roll = -4322, I_w_pitch = -0.0000 A, I_w_roll = -144.2742 A, theta_roll_comp = -5.3495 mrad, theta_setpoint = -947.1577 mrad, 
msg =   20, time steps =   10, qsz =    2, switch = on, t =      402 ms, ax =  0.5202, ay =  0.3632, az =  9.9003, gx = -0.0705 rad/s, gy =  0.0063 rad/s, gz = -0.0084 rad/s, erpm_pitch =    0, erpm_roll = -4826, I_w_pitch = -0.0000 A, I_w_roll = -154.8696 A, theta_roll_comp = -5.6671 mrad, theta_setpoint = -1052.9437 mrad, 
msg =   21, time steps =   10, qsz =    2, switch = on, t =      422 ms, ax =  0.4507, ay =  0.4076, az =  9.8847, gx = -0.0910 rad/s, gy =  0.0023 rad/s, gz = -0.0080 rad/s, erpm_pitch =    0, erpm_roll = -5383, I_w_pitch = -0.0000 A, I_w_roll = -169.7531 A, theta_roll_comp = -6.4867 mrad, theta_setpoint = -1169.8541 mrad, 
msg =   22, time steps =   10, qsz =    2, switch = on, t =      442 ms, ax =  0.4435, ay =  0.3584, az =  9.9615, gx = -0.0970 rad/s, gy = -0.0044 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = -5383, I_w_pitch = -0.0000 A, I_w_roll = -168.5229 A, theta_roll_comp = -7.4342 mrad, theta_setpoint = -1169.8541 mrad, 
msg =   23, time steps =   10, qsz =    2, switch = on, t =      462 ms, ax =  0.4483, ay =  0.2002, az =  9.8464, gx = -0.1217 rad/s, gy = -0.0028 rad/s, gz =  0.0109 rad/s, erpm_pitch =    0, erpm_roll = -6560, I_w_pitch = -0.0000 A, I_w_roll = -203.3799 A, theta_roll_comp = -8.9099 mrad, theta_setpoint = -1416.8983 mrad, 
msg =   24, time steps =   10, qsz =    2, switch = on, t =      482 ms, ax =  0.5095, ay =  0.2493, az =  9.9531, gx = -0.1472 rad/s, gy = -0.0033 rad/s, gz =  0.0296 rad/s, erpm_pitch =    0, erpm_roll = -7154, I_w_pitch = -0.0000 A, I_w_roll = -218.3756 A, theta_roll_comp = -11.1018 mrad, theta_setpoint = -1541.5748 mrad, 
msg =   25, time steps =   10, qsz =    2, switch = on, t =      502 ms, ax =  0.6006, ay =  0.2038, az =  9.9459, gx = -0.1540 rad/s, gy = -0.0052 rad/s, gz =  0.0174 rad/s, erpm_pitch =    0, erpm_roll = -7154, I_w_pitch = -0.0000 A, I_w_roll = -216.7891 A, theta_roll_comp = -13.3778 mrad, theta_setpoint = -1541.5748 mrad, 
msg =   26, time steps =   10, qsz =    2, switch = on, t =      522 ms, ax =  0.5622, ay = -0.0276, az =  9.8679, gx = -0.1663 rad/s, gy = -0.0076 rad/s, gz = -0.0148 rad/s, erpm_pitch =    0, erpm_roll = -8313, I_w_pitch = -0.0000 A, I_w_roll = -253.0611 A, theta_roll_comp = -16.1626 mrad, theta_setpoint = -1784.8409 mrad, 
msg =   27, time steps =   10, qsz =    2, switch = on, t =      542 ms, ax =  0.5598, ay = -0.0971, az =  9.9603, gx = -0.1845 rad/s, gy = -0.0061 rad/s, gz = -0.0124 rad/s, erpm_pitch =    0, erpm_roll = -8313, I_w_pitch = -0.0000 A, I_w_roll = -249.2500 A, theta_roll_comp = -19.4593 mrad, theta_setpoint = -1784.8409 mrad, 
msg =   28, time steps =   10, qsz =    2, switch = on, t =      562 ms, ax =  0.4831, ay = -0.3824, az =  9.9435, gx = -0.1884 rad/s, gy = -0.0053 rad/s, gz =  0.0398 rad/s, erpm_pitch =    0, erpm_roll = -9384, I_w_pitch = -0.0000 A, I_w_roll = -283.9023 A, theta_roll_comp = -23.3338 mrad, theta_setpoint = -2009.6361 mrad, 
msg =   29, time steps =   10, qsz =    2, switch = on, t =      582 ms, ax =  0.4687, ay = -0.5119, az =  9.8596, gx = -0.1868 rad/s, gy = -0.0066 rad/s, gz =  0.0559 rad/s, erpm_pitch =    0, erpm_roll = -9858, I_w_pitch = -0.0000 A, I_w_roll = -299.4432 A, theta_roll_comp = -27.4899 mrad, theta_setpoint = -2109.1257 mrad, 
msg =   30, time steps =   10, qsz =    2, switch = on, t =      602 ms, ax =  0.5922, ay = -0.5766, az =  9.7840, gx = -0.1917 rad/s, gy = -0.0080 rad/s, gz = -0.0057 rad/s, erpm_pitch =    0, erpm_roll = -9858, I_w_pitch = -0.0000 A, I_w_roll = -297.8723 A, theta_roll_comp = -31.7654 mrad, theta_setpoint = -2109.1257 mrad, 
msg =   31, time steps =   10, qsz =    2, switch = on, t =      622 ms, ax =  0.5346, ay = -0.8055, az =  9.9375, gx = -0.1924 rad/s, gy = -0.0115 rad/s, gz = -0.0337 rad/s, erpm_pitch =    0, erpm_roll = -10669, I_w_pitch = -0.0000 A, I_w_roll = -324.2544 A, theta_roll_comp = -36.3513 mrad, theta_setpoint = -2279.3489 mrad, 
msg =   32, time steps =   10, qsz =    2, switch = on, t =      642 ms, ax =  0.5143, ay = -1.1040, az = 10.0382, gx = -0.1785 rad/s, gy = -0.0126 rad/s, gz =  0.0399 rad/s, erpm_pitch =    0, erpm_roll = -10669, I_w_pitch = -0.0000 A, I_w_roll = -325.9461 A, theta_roll_comp = -41.3573 mrad, theta_setpoint = -2279.3489 mrad, 
msg =   33, time steps =   10, qsz =    2, switch = on, t =      662 ms, ax =  0.6245, ay = -1.1831, az =  9.8811, gx = -0.1647 rad/s, gy = -0.0093 rad/s, gz =  0.0791 rad/s, erpm_pitch =    0, erpm_roll = -11282, I_w_pitch = -0.0000 A, I_w_roll = -348.2425 A, theta_roll_comp = -46.2489 mrad, theta_setpoint = -2408.0134 mrad, 
msg =   34, time steps =   10, qsz =    2, switch = on, t =      682 ms, ax =  0.8127, ay = -1.0944, az =  9.7517, gx = -0.1611 rad/s, gy = -0.0073 rad/s, gz =  0.0067 rad/s, erpm_pitch =    0, erpm_roll = -11513, I_w_pitch = -0.0000 A, I_w_roll = -355.9226 A, theta_roll_comp = -50.7778 mrad, theta_setpoint = -2456.4985 mrad, 
msg =   35, time steps =   10, qsz =    2, switch = on, t =      702 ms, ax =  0.8835, ay = -1.2587, az =  9.9579, gx = -0.1524 rad/s, gy = -0.0056 rad/s, gz = -0.0406 rad/s, erpm_pitch =    0, erpm_roll = -11513, I_w_pitch = -0.0000 A, I_w_roll = -356.7665 A, theta_roll_comp = -55.2400 mrad, theta_setpoint = -2456.4985 mrad, 
msg =   36, time steps =   10, qsz =    2, switch = on, t =      722 ms, ax =  0.6689, ay = -1.4181, az = 10.0669, gx = -0.1310 rad/s, gy =  0.0000 rad/s, gz =  0.0210 rad/s, erpm_pitch =    0, erpm_roll = -11848, I_w_pitch = -0.0000 A, I_w_roll = -371.1655 A, theta_roll_comp = -59.6788 mrad, theta_setpoint = -2526.8130 mrad, 
msg =   37, time steps =   10, qsz =    2, switch = on, t =      742 ms, ax =  0.6605, ay = -1.3330, az =  9.8967, gx = -0.1147 rad/s, gy =  0.0078 rad/s, gz =  0.0407 rad/s, erpm_pitch =    0, erpm_roll = -11848, I_w_pitch = -0.0000 A, I_w_roll = -373.4435 A, theta_roll_comp = -63.7160 mrad, theta_setpoint = -2526.8130 mrad, 
msg =   38, time steps =   10, qsz =    2, switch = on, t =      762 ms, ax =  0.7300, ay = -1.2934, az =  9.7912, gx = -0.1093 rad/s, gy =  0.0076 rad/s, gz = -0.0185 rad/s, erpm_pitch =    0, erpm_roll = -12021, I_w_pitch = -0.0000 A, I_w_roll = -379.6693 A, theta_roll_comp = -67.2580 mrad, theta_setpoint = -2563.1243 mrad, 
msg =   39, time steps =   10, qsz =    2, switch = on, t =      782 ms, ax =  0.5286, ay = -1.4804, az =  9.9615, gx = -0.0934 rad/s, gy =  0.0054 rad/s, gz = -0.0326 rad/s, erpm_pitch =    0, erpm_roll = -12058, I_w_pitch = -0.0000 A, I_w_roll = -383.2151 A, theta_roll_comp = -70.6888 mrad, theta_setpoint = -2570.8904 mrad, 
msg =   40, time steps =   10, qsz =    2, switch = on, t =      802 ms, ax =  0.3428, ay = -1.5907, az =  9.9339, gx = -0.0700 rad/s, gy =  0.0044 rad/s, gz =  0.0150 rad/s, erpm_pitch =    0, erpm_roll = -12058, I_w_pitch = -0.0000 A, I_w_roll = -386.9162 A, theta_roll_comp = -73.9217 mrad, theta_setpoint = -2570.8904 mrad, 
msg =   41, time steps =   10, qsz =    2, switch = on, t =      822 ms, ax =  0.5682, ay = -1.3474, az =  9.8176, gx = -0.0584 rad/s, gy =  0.0018 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = -12061, I_w_pitch = -0.0000 A, I_w_roll = -388.6687 A, theta_roll_comp = -76.6304 mrad, theta_setpoint = -2571.5198 mrad, 
msg =   42, time steps =   10, qsz =    2, switch = on, t =      842 ms, ax =  0.6054, ay = -1.3294, az =  9.8955, gx = -0.0499 rad/s, gy = -0.0010 rad/s, gz = -0.0182 rad/s, erpm_pitch =    0, erpm_roll = -12061, I_w_pitch = -0.0000 A, I_w_roll = -389.8351 A, theta_roll_comp = -78.9274 mrad, theta_setpoint = -2571.5198 mrad, 
msg =   43, time steps =   10, qsz =    2, switch = on, t =      862 ms, ax =  0.5922, ay = -1.4121, az =  9.9854, gx = -0.0315 rad/s, gy = -0.0032 rad/s, gz =  0.0122 rad/s, erpm_pitch =    0, erpm_roll = -12007, I_w_pitch = -0.0000 A, I_w_roll = -391.0171 A, theta_roll_comp = -80.8781 mrad, theta_setpoint = -2560.1858 mrad, 
msg =   44, time steps =   10, qsz =    2, switch = on, t =      882 ms, ax =  0.6341, ay = -1.3198, az =  9.8799, gx = -0.0166 rad/s, gy = -0.0017 rad/s, gz =  0.0324 rad/s, erpm_pitch =    0, erpm_roll = -11967, I_w_pitch = -0.0000 A, I_w_roll = -392.1013 A, theta_roll_comp = -82.4838 mrad, theta_setpoint = -2551.7900 mrad, 
msg =   45, time steps =   10, qsz =    2, switch = on, t =      902 ms, ax =  0.7456, ay = -1.2131, az =  9.8416, gx = -0.0119 rad/s, gy = -0.0008 rad/s, gz = -0.0137 rad/s, erpm_pitch =    0, erpm_roll = -11967, I_w_pitch = -0.0000 A, I_w_roll = -392.7630 A, theta_roll_comp = -83.5909 mrad, theta_setpoint = -2551.7900 mrad, 
msg =   46, time steps =   10, qsz =    2, switch = on, t =      922 ms, ax =  0.6677, ay = -1.2515, az =  9.9842, gx = -0.0024 rad/s, gy =  0.0006 rad/s, gz = -0.0270 rad/s, erpm_pitch =    0, erpm_roll = -11899, I_w_pitch = -0.0000 A, I_w_roll = -392.0568 A, theta_roll_comp = -84.5169 mrad, theta_setpoint = -2537.5171 mrad, 
msg =   47, time steps =   10, qsz =    2, switch = on, t =      942 ms, ax =  0.5586, ay = -1.3558, az =  9.9890, gx =  0.0132 rad/s, gy =  0.0031 rad/s, gz =  0.0246 rad/s, erpm_pitch =    0, erpm_roll = -11864, I_w_pitch = -0.0000 A, I_w_roll = -393.5557 A, theta_roll_comp = -85.3295 mrad, theta_setpoint = -2530.1711 mrad, 
msg =   48, time steps =   10, qsz =    2, switch = on, t =      962 ms, ax =  0.6617, ay = -1.2239, az =  9.8404, gx =  0.0215 rad/s, gy =  0.0056 rad/s, gz =  0.0209 rad/s, erpm_pitch =    0, erpm_roll = -11864, I_w_pitch = -0.0000 A, I_w_roll = -394.9565 A, theta_roll_comp = -85.8620 mrad, theta_setpoint = -2530.1711 mrad, 
msg =   49, time steps =   10, qsz =    2, switch = on, t =      982 ms, ax =  0.6114, ay = -1.1760, az =  9.8811, gx =  0.0256 rad/s, gy =  0.0051 rad/s, gz = -0.0411 rad/s, erpm_pitch =    0, erpm_roll = -11808, I_w_pitch = -0.0000 A, I_w_roll = -393.7855 A, theta_roll_comp = -86.0706 mrad, theta_setpoint = -2518.4170 mrad, 
msg =   50, time steps =   10, qsz =    2, switch = on, t =     1002 ms, ax =  0.4675, ay = -1.3546, az =  9.9710, gx =  0.0393 rad/s, gy =  0.0034 rad/s, gz = -0.0265 rad/s, erpm_pitch =    0, erpm_roll = -11808, I_w_pitch = -0.0000 A, I_w_roll = -396.2347 A, theta_roll_comp = -86.1920 mrad, theta_setpoint = -2518.4170 mrad, 
msg =   51, time steps =   10, qsz =    2, switch = on, t =     1022 ms, ax =  0.3896, ay = -1.3725, az =  9.9351, gx =  0.0537 rad/s, gy =  0.0031 rad/s, gz =  0.0358 rad/s, erpm_pitch =    0, erpm_roll = -11769, I_w_pitch = -0.0000 A, I_w_roll = -397.5045 A, theta_roll_comp = -86.2483 mrad, theta_setpoint = -2510.2312 mrad, 
msg =   52, time steps =   10, qsz =    2, switch = on, t =     1042 ms, ax =  0.5442, ay = -1.1196, az =  9.8392, gx =  0.0596 rad/s, gy =  0.0027 rad/s, gz =  0.0144 rad/s, erpm_pitch =    0, erpm_roll = -11754, I_w_pitch = -0.0000 A, I_w_roll = -398.1107 A, theta_roll_comp = -85.9025 mrad, theta_setpoint = -2507.0830 mrad, 
msg =   53, time steps =   10, qsz =    2, switch = on, t =     1062 ms, ax =  0.6773, ay = -1.0465, az =  9.9339, gx =  0.0645 rad/s, gy =  0.0003 rad/s, gz = -0.0458 rad/s, erpm_pitch =    0, erpm_roll = -11754, I_w_pitch = -0.0000 A, I_w_roll = -399.1234 A, theta_roll_comp = -85.1156 mrad, theta_setpoint = -2507.0830 mrad, 
msg =   54, time steps =   10, qsz =    2, switch = on, t =     1082 ms, ax =  0.5838, ay = -1.2383, az =  9.9842, gx =  0.0769 rad/s, gy =  0.0014 rad/s, gz = -0.0120 rad/s, erpm_pitch =    0, erpm_roll = -11733, I_w_pitch = -0.0000 A, I_w_roll = -400.7790 A, theta_roll_comp = -84.2911 mrad, theta_setpoint = -2502.6750 mrad, 
msg =   55, time steps =   10, qsz =    2, switch = on, t =     1102 ms, ax =  0.6173, ay = -1.1532, az =  9.8823, gx =  0.0869 rad/s, gy =  0.0039 rad/s, gz =  0.0422 rad/s, erpm_pitch =    0, erpm_roll = -11733, I_w_pitch = -0.0000 A, I_w_roll = -402.7313 A, theta_roll_comp = -83.3243 mrad, theta_setpoint = -2502.6750 mrad, 
msg =   56, time steps =   10, qsz =    2, switch = on, t =     1122 ms, ax =  0.7204, ay = -0.9062, az =  9.7864, gx =  0.0883 rad/s, gy =  0.0047 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = -11722, I_w_pitch = -0.0000 A, I_w_roll = -402.8516 A, theta_roll_comp = -81.9113 mrad, theta_setpoint = -2500.3662 mrad, 
msg =   57, time steps =   10, qsz =    2, switch = on, t =     1142 ms, ax =  0.6257, ay = -0.9122, az =  9.9674, gx =  0.0909 rad/s, gy =  0.0040 rad/s, gz = -0.0537 rad/s, erpm_pitch =    0, erpm_roll = -11718, I_w_pitch = -0.0000 A, I_w_roll = -403.4261 A, theta_roll_comp = -80.3271 mrad, theta_setpoint = -2499.5266 mrad, 
msg =   58, time steps =   10, qsz =    2, switch = on, t =     1162 ms, ax =  0.5023, ay = -1.0920, az = 10.0130, gx =  0.1019 rad/s, gy =  0.0058 rad/s, gz = -0.0051 rad/s, erpm_pitch =    0, erpm_roll = -11718, I_w_pitch = -0.0000 A, I_w_roll = -405.6445 A, theta_roll_comp = -78.8954 mrad, theta_setpoint = -2499.5266 mrad, 
msg =   59, time steps =   10, qsz =    2, switch = on, t =     1182 ms, ax =  0.4879, ay = -0.9590, az =  9.8632, gx =  0.1086 rad/s, gy =  0.0078 rad/s, gz =  0.0329 rad/s, erpm_pitch =    0, erpm_roll = -11711, I_w_pitch = -0.0000 A, I_w_roll = -406.8641 A, theta_roll_comp = -77.2936 mrad, theta_setpoint = -2498.0574 mrad, 
msg =   60, time steps =   10, qsz =    2, switch = on, t =     1202 ms, ax =  0.6102, ay = -0.7360, az =  9.7996, gx =  0.1082 rad/s, gy =  0.0058 rad/s, gz = -0.0201 rad/s, erpm_pitch =    0, erpm_roll = -11711, I_w_pitch = -0.0000 A, I_w_roll = -407.1215 A, theta_roll_comp = -75.2356 mrad, theta_setpoint = -2498.0574 mrad, 
msg =   61, time steps =   10, qsz =    2, switch = on, t =     1222 ms, ax =  0.6114, ay = -0.8199, az =  9.9591, gx =  0.1106 rad/s, gy =  0.0018 rad/s, gz = -0.0458 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -408.0001 A, theta_roll_comp = -73.0708 mrad, theta_setpoint = -2498.6870 mrad, 
msg =   62, time steps =   10, qsz =    2, switch = on, t =     1242 ms, ax =  0.4915, ay = -0.8751, az =  9.9998, gx =  0.1179 rad/s, gy =  0.0032 rad/s, gz =  0.0164 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -409.6739 A, theta_roll_comp = -71.0581 mrad, theta_setpoint = -2498.8967 mrad, 
msg =   63, time steps =   10, qsz =    2, switch = on, t =     1262 ms, ax =  0.6425, ay = -0.6761, az =  9.8608, gx =  0.1188 rad/s, gy =  0.0055 rad/s, gz =  0.0278 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -410.1980 A, theta_roll_comp = -68.8311 mrad, theta_setpoint = -2498.8967 mrad, 
msg =   64, time steps =   10, qsz =    2, switch = on, t =     1282 ms, ax =  0.7013, ay = -0.5059, az =  9.8584, gx =  0.1142 rad/s, gy =  0.0047 rad/s, gz = -0.0314 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -409.8072 A, theta_roll_comp = -66.2407 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   65, time steps =   10, qsz =    2, switch = on, t =     1302 ms, ax =  0.5742, ay = -0.6641, az =  9.9495, gx =  0.1144 rad/s, gy =  0.0050 rad/s, gz = -0.0353 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -410.1792 A, theta_roll_comp = -63.7953 mrad, theta_setpoint = -2498.6870 mrad, 
msg =   66, time steps =   10, qsz =    2, switch = on, t =     1322 ms, ax =  0.4819, ay = -0.6233, az =  9.9567, gx =  0.1164 rad/s, gy =  0.0080 rad/s, gz =  0.0229 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -410.9040 A, theta_roll_comp = -61.5120 mrad, theta_setpoint = -2498.6870 mrad, 
msg =   67, time steps =   10, qsz =    2, switch = on, t =     1342 ms, ax =  0.5958, ay = -0.3908, az =  9.8440, gx =  0.1118 rad/s, gy =  0.0087 rad/s, gz =  0.0063 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -410.4642 A, theta_roll_comp = -59.0181 mrad, theta_setpoint = -2498.6870 mrad, 
