picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay = -0.2913, az =  9.9279, gx =  0.0067 rad/s, gy =  0.0027 rad/s, gz = -0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11310, I_w_pitch = -0.0000 A, I_w_roll = -5.5666 A, theta_roll_comp = -12.7502 mrad 
msg =  189, time steps =   10, qsz =    2, switch = on, t =     3782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4663, ay = -0.0647, az =  9.8991, gx =  0.1070 rad/s, gy =  0.0019 rad/s, gz = -0.0453 rad/s, erpm_pitch =    0, erpm_roll = -11816, I_w_pitch = -0.0000 A, I_w_roll = -25.3706 A, theta_roll_comp = -1.7732 mrad 
msg =  190, time steps =   10, qsz =    2, switch = on, t =     3802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.3237, ay = -0.1570, az =  9.9147, gx =  0.1215 rad/s, gy = -0.0044 rad/s, gz = -0.0164 rad/s, erpm_pitch =    0, erpm_roll = -11803, I_w_pitch = -0.0000 A, I_w_roll = -28.3187 A, theta_roll_comp =  0.3246 mrad 
msg =  191, time steps =   10, qsz =    2, switch = on, t =     3822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.3980, ay = -0.0432, az =  9.9423, gx =  0.1323 rad/s, gy = -0.0090 rad/s, gz =  0.0411 rad/s, erpm_pitch =    0, erpm_roll = -11803, I_w_pitch = -0.0000 A, I_w_roll = -30.6334 A, theta_roll_comp =  2.6576 mrad 
msg =  192, time steps =   10, qsz =    2, switch = on, t =     3842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.7156, ay =  0.1367, az =  9.9255, gx =  0.1236 rad/s, gy = -0.0049 rad/s, gz =  0.0112 rad/s, erpm_pitch =    0, erpm_roll = -11773, I_w_pitch = -0.0000 A, I_w_roll = -29.4960 A, theta_roll_comp =  5.2857 mrad 
msg =  193, time steps =   10, qsz =    2, switch = on, t =     3862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.8235, ay =  0.2146, az =  9.9950, gx =  0.1176 rad/s, gy = -0.0004 rad/s, gz = -0.0308 rad/s, erpm_pitch =    0, erpm_roll = -11757, I_w_pitch = -0.0000 A, I_w_roll = -28.8429 A, theta_roll_comp =  7.9450 mrad 
msg =  194, time steps =   10, qsz =    2, switch = on, t =     3882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  1.0261, ay =  0.1942, az =  9.9698, gx =  0.1263 rad/s, gy =  0.0059 rad/s, gz =  0.0049 rad/s, erpm_pitch =    0, erpm_roll = -11757, I_w_pitch = -0.0000 A, I_w_roll = -30.8247 A, theta_roll_comp = 10.5939 mrad 
msg =  195, time steps =   10, qsz =    2, switch = on, t =     3902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.9794, ay =  0.3297, az =  9.9998, gx =  0.1264 rad/s, gy =  0.0173 rad/s, gz =  0.0273 rad/s, erpm_pitch =    0, erpm_roll = -11751, I_w_pitch = -0.0000 A, I_w_roll = -31.2990 A, theta_roll_comp = 13.4088 mrad 
msg =  196, time steps =   10, qsz =    2, switch = on, t =     3922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.8199, ay =  0.5706, az =  9.9207, gx =  0.1083 rad/s, gy =  0.0297 rad/s, gz = -0.0316 rad/s, erpm_pitch =    0, erpm_roll = -11751, I_w_pitch = -0.0000 A, I_w_roll = -28.5174 A, theta_roll_comp = 16.3962 mrad 
msg =  197, time steps =   10, qsz =    2, switch = on, t =     3942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4951, ay =  0.5490, az =  9.9171, gx =  0.0986 rad/s, gy =  0.0311 rad/s, gz = -0.0629 rad/s, erpm_pitch =    0, erpm_roll = -11739, I_w_pitch = -0.0000 A, I_w_roll = -27.2258 A, theta_roll_comp = 19.2589 mrad 
msg =  198, time steps =   10, qsz =    2, switch = on, t =     3962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.2350, ay =  0.4651, az =  9.9159, gx =  0.1034 rad/s, gy =  0.0243 rad/s, gz = -0.0105 rad/s, erpm_pitch =    0, erpm_roll = -11735, I_w_pitch = -0.0000 A, I_w_roll = -28.5056 A, theta_roll_comp = 21.8649 mrad 
msg =  199, time steps =   10, qsz =    2, switch = on, t =     3982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.1750, ay =  0.5958, az =  9.8608, gx =  0.0972 rad/s, gy =  0.0181 rad/s, gz =  0.0133 rad/s, erpm_pitch =    0, erpm_roll = -11735, I_w_pitch = -0.0000 A, I_w_roll = -27.8149 A, theta_roll_comp = 24.4391 mrad 
msg =  200, time steps =   10, qsz =    2, switch = on, t =     4002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.2637, ay =  0.8175, az =  9.8835, gx =  0.0771 rad/s, gy =  0.0118 rad/s, gz = -0.0265 rad/s, erpm_pitch =    0, erpm_roll = -11729, I_w_pitch = -0.0000 A, I_w_roll = -24.6179 A, theta_roll_comp = 27.0770 mrad 
msg =  201, time steps =   10, qsz =    2, switch = on, t =     4022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.2781, ay =  0.7732, az =  9.8919, gx =  0.0684 rad/s, gy =  0.0011 rad/s, gz = -0.0240 rad/s, erpm_pitch =    0, erpm_roll = -11729, I_w_pitch = -0.0000 A, I_w_roll = -23.4216 A, theta_roll_comp = 29.4873 mrad 
msg =  202, time steps =   10, qsz =    2, switch = on, t =     4042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.3332, ay =  0.7360, az =  9.9842, gx =  0.0672 rad/s, gy = -0.0068 rad/s, gz =  0.0301 rad/s, erpm_pitch =    0, erpm_roll = -11725, I_w_pitch = -0.0000 A, I_w_roll = -23.5653 A, theta_roll_comp = 31.7333 mrad 
msg =  203, time steps =   10, qsz =    2, switch = on, t =     4062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5766, ay =  0.8990, az =  9.9219, gx =  0.0505 rad/s, gy = -0.0054 rad/s, gz =  0.0206 rad/s, erpm_pitch =    0, erpm_roll = -11723, I_w_pitch = -0.0000 A, I_w_roll = -20.9218 A, theta_roll_comp = 33.9361 mrad 
msg =  204, time steps =   10, qsz =    2, switch = on, t =     4082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6689, ay =  0.9470, az =  9.9291, gx =  0.0264 rad/s, gy = -0.0017 rad/s, gz = -0.0246 rad/s, erpm_pitch =    0, erpm_roll = -11723, I_w_pitch = -0.0000 A, I_w_roll = -16.8915 A, theta_roll_comp = 35.8603 mrad 
msg =  205, time steps =   10, qsz =    2, switch = on, t =     4102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6066, ay =  0.8499, az =  9.9435, gx =  0.0164 rad/s, gy = -0.0016 rad/s, gz = -0.0064 rad/s, erpm_pitch =    0, erpm_roll = -11725, I_w_pitch = -0.0000 A, I_w_roll = -15.3212 A, theta_roll_comp = 37.2811 mrad 
msg =  206, time steps =   10, qsz =    2, switch = on, t =     4122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5982, ay =  0.8115, az =  9.9842, gx =  0.0122 rad/s, gy = -0.0009 rad/s, gz =  0.0358 rad/s, erpm_pitch =    0, erpm_roll = -11725, I_w_pitch = -0.0000 A, I_w_roll = -14.7517 A, theta_roll_comp = 38.5149 mrad 
msg =  207, time steps =   10, qsz =    2, switch = on, t =     4142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay =  0.8631, az =  9.9399, gx = -0.0081 rad/s, gy =  0.0034 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -11726, I_w_pitch = -0.0000 A, I_w_roll = -11.2723 A, theta_roll_comp = 39.5382 mrad 
msg =  208, time steps =   10, qsz =    2, switch = on, t =     4162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5382, ay =  0.8643, az =  9.9195, gx = -0.0294 rad/s, gy =  0.0040 rad/s, gz = -0.0365 rad/s, erpm_pitch =    0, erpm_roll = -11724, I_w_pitch = -0.0000 A, I_w_roll = -7.5321 A, theta_roll_comp = 40.1298 mrad 
msg =  209, time steps =   10, qsz =    2, switch = on, t =     4182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4088, ay =  0.7504, az =  9.9495, gx = -0.0350 rad/s, gy =  0.0011 rad/s, gz =  0.0060 rad/s, erpm_pitch =    0, erpm_roll = -11724, I_w_pitch = -0.0000 A, I_w_roll = -6.5485 A, theta_roll_comp = 40.2739 mrad 
msg =  210, time steps =   10, qsz =    2, switch = on, t =     4202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.3860, ay =  0.7792, az =  9.9315, gx = -0.0395 rad/s, gy = -0.0020 rad/s, gz =  0.0399 rad/s, erpm_pitch =    0, erpm_roll = -11726, I_w_pitch = -0.0000 A, I_w_roll = -5.7372 A, theta_roll_comp = 40.2964 mrad 
msg =  211, time steps =   10, qsz =    2, switch = on, t =     4222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4855, ay =  0.8307, az =  9.9051, gx = -0.0607 rad/s, gy = -0.0013 rad/s, gz = -0.0095 rad/s, erpm_pitch =    0, erpm_roll = -11726, I_w_pitch = -0.0000 A, I_w_roll = -1.9000 A, theta_roll_comp = 40.1315 mrad 
msg =  212, time steps =   10, qsz =    2, switch = on, t =     4242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4699, ay =  0.7600, az =  9.9123, gx = -0.0760 rad/s, gy = -0.0040 rad/s, gz = -0.0272 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll =  0.9565 A, theta_roll_comp = 39.5056 mrad 
msg =  213, time steps =   10, qsz =    2, switch = on, t =     4262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4627, ay =  0.6605, az =  9.9686, gx = -0.0760 rad/s, gy = -0.0073 rad/s, gz =  0.0288 rad/s, erpm_pitch =    0, erpm_roll = -11710, I_w_pitch = -0.0000 A, I_w_roll =  1.1071 A, theta_roll_comp = 38.5644 mrad 
msg =  214, time steps =   10, qsz =    2, switch = on, t =     4282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5982, ay =  0.6521, az =  9.9159, gx = -0.0820 rad/s, gy = -0.0066 rad/s, gz =  0.0406 rad/s, erpm_pitch =    0, erpm_roll = -11710, I_w_pitch = -0.0000 A, I_w_roll =  2.3608 A, theta_roll_comp = 37.4694 mrad 
msg =  215, time steps =   10, qsz =    2, switch = on, t =     4302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6785, ay =  0.6605, az =  9.8883, gx = -0.1013 rad/s, gy = -0.0036 rad/s, gz = -0.0149 rad/s, erpm_pitch =    0, erpm_roll = -11690, I_w_pitch = -0.0000 A, I_w_roll =  6.0352 A, theta_roll_comp = 36.2251 mrad 
msg =  216, time steps =   10, qsz =    2, switch = on, t =     4322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5754, ay =  0.5167, az =  9.9159, gx = -0.1065 rad/s, gy = -0.0040 rad/s, gz = -0.0157 rad/s, erpm_pitch =    0, erpm_roll = -11667, I_w_pitch = -0.0000 A, I_w_roll =  7.2332 A, theta_roll_comp = 34.5796 mrad 
msg =  217, time steps =   10, qsz =    2, switch = on, t =     4342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5202, ay =  0.3332, az =  9.9231, gx = -0.0974 rad/s, gy = -0.0061 rad/s, gz =  0.0387 rad/s, erpm_pitch =    0, erpm_roll = -11667, I_w_pitch = -0.0000 A, I_w_roll =  5.9170 A, theta_roll_comp = 32.6200 mrad 
msg =  218, time steps =   10, qsz =    2, switch = on, t =     4362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6353, ay =  0.2230, az =  9.8991, gx = -0.1010 rad/s, gy = -0.0025 rad/s, gz =  0.0312 rad/s, erpm_pitch =    0, erpm_roll = -11539, I_w_pitch = -0.0000 A, I_w_roll =  6.9054 A, theta_roll_comp = 30.4869 mrad 
msg =  219, time steps =   10, qsz =    2, switch = on, t =     4382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6713, ay =  0.2290, az =  9.9231, gx = -0.1170 rad/s, gy = -0.0004 rad/s, gz = -0.0230 rad/s, erpm_pitch =    0, erpm_roll = -11539, I_w_pitch = -0.0000 A, I_w_roll = 10.1577 A, theta_roll_comp = 28.1356 mrad 
msg =  220, time steps =   10, qsz =    2, switch = on, t =     4402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6413, ay =  0.1415, az =  9.9686, gx = -0.1091 rad/s, gy = -0.0005 rad/s, gz = -0.0131 rad/s, erpm_pitch =    0, erpm_roll = -11225, I_w_pitch = -0.0000 A, I_w_roll =  9.1487 A, theta_roll_comp = 25.6039 mrad 
msg =  221, time steps =   10, qsz =    2, switch = on, t =     4422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5262, ay = -0.0755, az =  9.9423, gx = -0.0906 rad/s, gy = -0.0018 rad/s, gz =  0.0411 rad/s, erpm_pitch =    0, erpm_roll = -11007, I_w_pitch = -0.0000 A, I_w_roll =  6.2063 A, theta_roll_comp = 23.1720 mrad 
msg =  222, time steps =   10, qsz =    2, switch = on, t =     4442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5994, ay = -0.0635, az =  9.9027, gx = -0.0944 rad/s, gy =  0.0016 rad/s, gz =  0.0285 rad/s, erpm_pitch =    0, erpm_roll = -11007, I_w_pitch = -0.0000 A, I_w_roll =  7.2700 A, theta_roll_comp = 20.7183 mrad 
msg =  223, time steps =   10, qsz =    2, switch = on, t =     4462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5874, ay =  0.0491, az =  9.9279, gx = -0.1050 rad/s, gy =  0.0054 rad/s, gz = -0.0346 rad/s, erpm_pitch =    0, erpm_roll = -10431, I_w_pitch = -0.0000 A, I_w_roll =  9.5732 A, theta_roll_comp = 18.3069 mrad 
msg =  224, time steps =   10, qsz =    2, switch = on, t =     4482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5850, ay = -0.0048, az =  9.9782, gx = -0.0893 rad/s, gy =  0.0020 rad/s, gz = -0.0305 rad/s, erpm_pitch =    0, erpm_roll = -10431, I_w_pitch = -0.0000 A, I_w_roll =  7.0972 A, theta_roll_comp = 16.1057 mrad 
msg =  225, time steps =   10, qsz =    2, switch = on, t =     4502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4399, ay = -0.1846, az =  9.9423, gx = -0.0723 rad/s, gy = -0.0022 rad/s, gz =  0.0353 rad/s, erpm_pitch =    0, erpm_roll = -9755, I_w_pitch = -0.0000 A, I_w_roll =  4.3604 A, theta_roll_comp = 14.0365 mrad 
msg =  226, time steps =   10, qsz =    2, switch = on, t =     4522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4867, ay = -0.1271, az =  9.9003, gx = -0.0798 rad/s, gy =  0.0011 rad/s, gz =  0.0490 rad/s, erpm_pitch =    0, erpm_roll = -9389, I_w_pitch = -0.0000 A, I_w_roll =  6.0616 A, theta_roll_comp = 11.9424 mrad 
msg =  227, time steps =   10, qsz =    2, switch = on, t =     4542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6725, ay =  0.1175, az =  9.9075, gx = -0.0870 rad/s, gy =  0.0026 rad/s, gz = -0.0133 rad/s, erpm_pitch =    0, erpm_roll = -9389, I_w_pitch = -0.0000 A, I_w_roll =  7.6733 A, theta_roll_comp =  9.9586 mrad 
msg =  228, time steps =   10, qsz =    2, switch = on, t =     4562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6233, ay =  0.0288, az =  9.9159, gx = -0.0700 rad/s, gy = -0.0034 rad/s, gz = -0.0410 rad/s, erpm_pitch =    0, erpm_roll = -8610, I_w_pitch = -0.0000 A, I_w_roll =  4.8691 A, theta_roll_comp =  8.3107 mrad 
msg =  229, time steps =   10, qsz =    2, switch = on, t =     4582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.1007, az =  9.9746, gx = -0.0616 rad/s, gy = -0.0042 rad/s, gz =  0.0071 rad/s, erpm_pitch =    0, erpm_roll = -8610, I_w_pitch = -0.0000 A, I_w_roll =  3.6035 A, theta_roll_comp =  6.7834 mrad 
msg =  230, time steps =   10, qsz =    2, switch = on, t =     4602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6677, ay = -0.0575, az =  9.9303, gx = -0.0747 rad/s, gy =  0.0035 rad/s, gz =  0.0414 rad/s, erpm_pitch =    0, erpm_roll = -7815, I_w_pitch = -0.0000 A, I_w_roll =  6.2262 A, theta_roll_comp =  5.0719 mrad 
msg =  231, time steps =   10, qsz =    2, switch = on, t =     4622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.7084, ay =  0.1882, az =  9.9375, gx = -0.0786 rad/s, gy =  0.0063 rad/s, gz =  0.0197 rad/s, erpm_pitch =    0, erpm_roll = -7404, I_w_pitch = -0.0000 A, I_w_roll =  7.1817 A, theta_roll_comp =  3.5936 mrad 
msg =  232, time steps =   10, qsz =    2, switch = on, t =     4642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5934, ay =  0.1403, az =  9.9075, gx = -0.0648 rad/s, gy =  0.0003 rad/s, gz = -0.0170 rad/s, erpm_pitch =    0, erpm_roll = -7404, I_w_pitch = -0.0000 A, I_w_roll =  4.8703 A, theta_roll_comp =  2.4610 mrad 
msg =  233, time steps =   10, qsz =    2, switch = on, t =     4662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4064, ay = -0.1391, az =  9.8955, gx = -0.0663 rad/s, gy = -0.0021 rad/s, gz = -0.0137 rad/s, erpm_pitch =    0, erpm_roll = -6565, I_w_pitch = -0.0000 A, I_w_roll =  5.3460 A, theta_roll_comp =  1.1357 mrad 
